INFO     | 2016-10-21 08:42:38,678 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-10-21 08:42:38,682 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-10-21 08:42:38,682 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-10-21 08:42:38,682 | parser     | You set 'models' to: GTR+G
INFO     | 2016-10-21 08:42:38,690 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-10-21 08:42:38,691 | model_load | GTR+G
INFO     | 2016-10-21 08:42:38,691 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-10-21 08:42:39,290 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-10-21 08:42:39,290 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-10-21 08:42:39,290 | config     | Looking for alignment file './Crawford_2012.phy'...
INFO     | 2016-10-21 08:42:39,290 | analysis   | Beginning Analysis
INFO     | 2016-10-21 08:42:39,376 | alignment  | Reading alignment file './Crawford_2012.phy'
INFO     | 2016-10-21 08:42:39,624 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-10-21 08:42:39,758 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-10-21 08:42:39,780 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2016-10-21 08:44:53,917 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2016-10-21 08:47:04,950 | raxml      | ML topology estimation finished
INFO     | 2016-10-21 08:47:04,951 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-10-21 08:47:04,952 | analysis_m |    Set rcluster-max to 11450
INFO     | 2016-10-21 08:47:04,957 | analysis_m |    PartitionFinder will have to analyse 1265114 subsets to complete this analyses
WARNING  | 2016-10-21 08:47:04,957 | progress   |    1265114 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-10-21 08:47:04,958 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-10-21 08:47:11,702 | progress   |       Finished subset 1/1145, 0.09 percent done
INFO     | 2016-10-21 08:47:11,756 | progress   |       Finished subset 2/1145, 0.17 percent done
INFO     | 2016-10-21 08:47:11,835 | progress   |       Finished subset 3/1145, 0.26 percent done
INFO     | 2016-10-21 08:47:11,919 | progress   |       Finished subset 4/1145, 0.35 percent done
INFO     | 2016-10-21 08:47:11,995 | progress   |       Finished subset 5/1145, 0.44 percent done
INFO     | 2016-10-21 08:47:12,056 | progress   |       Finished subset 6/1145, 0.52 percent done
INFO     | 2016-10-21 08:47:12,296 | progress   |       Finished subset 7/1145, 0.61 percent done
INFO     | 2016-10-21 08:47:12,361 | progress   |       Finished subset 8/1145, 0.70 percent done
INFO     | 2016-10-21 08:47:12,593 | progress   |       Finished subset 9/1145, 0.79 percent done
INFO     | 2016-10-21 08:47:12,647 | progress   |       Finished subset 10/1145, 0.87 percent done
INFO     | 2016-10-21 08:47:12,699 | progress   |       Finished subset 11/1145, 0.96 percent done
INFO     | 2016-10-21 08:47:12,760 | progress   |       Finished subset 12/1145, 1.05 percent done
INFO     | 2016-10-21 08:47:12,816 | progress   |       Finished subset 13/1145, 1.14 percent done
INFO     | 2016-10-21 08:47:12,881 | progress   |       Finished subset 14/1145, 1.22 percent done
INFO     | 2016-10-21 08:47:12,949 | progress   |       Finished subset 15/1145, 1.31 percent done
INFO     | 2016-10-21 08:47:13,138 | progress   |       Finished subset 16/1145, 1.40 percent done
INFO     | 2016-10-21 08:47:13,187 | progress   |       Finished subset 17/1145, 1.48 percent done
INFO     | 2016-10-21 08:47:13,234 | progress   |       Finished subset 18/1145, 1.57 percent done
INFO     | 2016-10-21 08:47:13,291 | progress   |       Finished subset 19/1145, 1.66 percent done
INFO     | 2016-10-21 08:47:13,343 | progress   |       Finished subset 20/1145, 1.75 percent done
INFO     | 2016-10-21 08:47:13,394 | progress   |       Finished subset 21/1145, 1.83 percent done
INFO     | 2016-10-21 08:47:13,446 | progress   |       Finished subset 22/1145, 1.92 percent done
INFO     | 2016-10-21 08:47:13,504 | progress   |       Finished subset 23/1145, 2.01 percent done
INFO     | 2016-10-21 08:47:13,577 | progress   |       Finished subset 24/1145, 2.10 percent done
INFO     | 2016-10-21 08:47:13,625 | progress   |       Finished subset 25/1145, 2.18 percent done
INFO     | 2016-10-21 08:47:13,691 | progress   |       Finished subset 26/1145, 2.27 percent done
INFO     | 2016-10-21 08:47:13,744 | progress   |       Finished subset 27/1145, 2.36 percent done
INFO     | 2016-10-21 08:47:13,806 | progress   |       Finished subset 28/1145, 2.45 percent done
INFO     | 2016-10-21 08:47:13,857 | progress   |       Finished subset 29/1145, 2.53 percent done
INFO     | 2016-10-21 08:47:13,923 | progress   |       Finished subset 30/1145, 2.62 percent done
INFO     | 2016-10-21 08:47:13,983 | progress   |       Finished subset 31/1145, 2.71 percent done
INFO     | 2016-10-21 08:47:14,028 | progress   |       Finished subset 32/1145, 2.79 percent done
INFO     | 2016-10-21 08:47:14,094 | progress   |       Finished subset 33/1145, 2.88 percent done
INFO     | 2016-10-21 08:47:14,149 | progress   |       Finished subset 34/1145, 2.97 percent done
INFO     | 2016-10-21 08:47:14,199 | progress   |       Finished subset 35/1145, 3.06 percent done
INFO     | 2016-10-21 08:47:14,249 | progress   |       Finished subset 36/1145, 3.14 percent done
INFO     | 2016-10-21 08:47:14,299 | progress   |       Finished subset 37/1145, 3.23 percent done
INFO     | 2016-10-21 08:47:14,345 | progress   |       Finished subset 38/1145, 3.32 percent done
INFO     | 2016-10-21 08:47:14,393 | progress   |       Finished subset 39/1145, 3.41 percent done
INFO     | 2016-10-21 08:47:14,437 | progress   |       Finished subset 40/1145, 3.49 percent done
INFO     | 2016-10-21 08:47:14,501 | progress   |       Finished subset 41/1145, 3.58 percent done
INFO     | 2016-10-21 08:47:14,558 | progress   |       Finished subset 42/1145, 3.67 percent done
INFO     | 2016-10-21 08:47:14,615 | progress   |       Finished subset 43/1145, 3.76 percent done
INFO     | 2016-10-21 08:47:14,689 | progress   |       Finished subset 44/1145, 3.84 percent done
INFO     | 2016-10-21 08:47:14,770 | progress   |       Finished subset 45/1145, 3.93 percent done
INFO     | 2016-10-21 08:47:14,827 | progress   |       Finished subset 46/1145, 4.02 percent done
INFO     | 2016-10-21 08:47:14,902 | progress   |       Finished subset 47/1145, 4.10 percent done
INFO     | 2016-10-21 08:47:14,969 | progress   |       Finished subset 48/1145, 4.19 percent done
INFO     | 2016-10-21 08:47:15,014 | progress   |       Finished subset 49/1145, 4.28 percent done
INFO     | 2016-10-21 08:47:15,066 | progress   |       Finished subset 50/1145, 4.37 percent done
INFO     | 2016-10-21 08:47:15,135 | progress   |       Finished subset 51/1145, 4.45 percent done
INFO     | 2016-10-21 08:47:15,181 | progress   |       Finished subset 52/1145, 4.54 percent done
INFO     | 2016-10-21 08:47:15,241 | progress   |       Finished subset 53/1145, 4.63 percent done
INFO     | 2016-10-21 08:47:15,287 | progress   |       Finished subset 54/1145, 4.72 percent done
INFO     | 2016-10-21 08:47:15,343 | progress   |       Finished subset 55/1145, 4.80 percent done
INFO     | 2016-10-21 08:47:15,389 | progress   |       Finished subset 56/1145, 4.89 percent done
INFO     | 2016-10-21 08:47:15,453 | progress   |       Finished subset 57/1145, 4.98 percent done
INFO     | 2016-10-21 08:47:15,504 | progress   |       Finished subset 58/1145, 5.07 percent done
INFO     | 2016-10-21 08:47:15,563 | progress   |       Finished subset 59/1145, 5.15 percent done
INFO     | 2016-10-21 08:47:15,627 | progress   |       Finished subset 60/1145, 5.24 percent done
INFO     | 2016-10-21 08:47:15,702 | progress   |       Finished subset 61/1145, 5.33 percent done
INFO     | 2016-10-21 08:47:15,756 | progress   |       Finished subset 62/1145, 5.41 percent done
INFO     | 2016-10-21 08:47:15,800 | progress   |       Finished subset 63/1145, 5.50 percent done
INFO     | 2016-10-21 08:47:15,859 | progress   |       Finished subset 64/1145, 5.59 percent done
INFO     | 2016-10-21 08:47:15,900 | progress   |       Finished subset 65/1145, 5.68 percent done
INFO     | 2016-10-21 08:47:15,959 | progress   |       Finished subset 66/1145, 5.76 percent done
INFO     | 2016-10-21 08:47:16,012 | progress   |       Finished subset 67/1145, 5.85 percent done
INFO     | 2016-10-21 08:47:16,056 | progress   |       Finished subset 68/1145, 5.94 percent done
INFO     | 2016-10-21 08:47:16,121 | progress   |       Finished subset 69/1145, 6.03 percent done
INFO     | 2016-10-21 08:47:16,178 | progress   |       Finished subset 70/1145, 6.11 percent done
INFO     | 2016-10-21 08:47:16,224 | progress   |       Finished subset 71/1145, 6.20 percent done
INFO     | 2016-10-21 08:47:16,269 | progress   |       Finished subset 72/1145, 6.29 percent done
INFO     | 2016-10-21 08:47:16,315 | progress   |       Finished subset 73/1145, 6.38 percent done
INFO     | 2016-10-21 08:47:16,359 | progress   |       Finished subset 74/1145, 6.46 percent done
INFO     | 2016-10-21 08:47:16,407 | progress   |       Finished subset 75/1145, 6.55 percent done
INFO     | 2016-10-21 08:47:16,459 | progress   |       Finished subset 76/1145, 6.64 percent done
INFO     | 2016-10-21 08:47:16,505 | progress   |       Finished subset 77/1145, 6.72 percent done
INFO     | 2016-10-21 08:47:16,552 | progress   |       Finished subset 78/1145, 6.81 percent done
INFO     | 2016-10-21 08:47:16,614 | progress   |       Finished subset 79/1145, 6.90 percent done
INFO     | 2016-10-21 08:47:16,661 | progress   |       Finished subset 80/1145, 6.99 percent done
INFO     | 2016-10-21 08:47:16,719 | progress   |       Finished subset 81/1145, 7.07 percent done
INFO     | 2016-10-21 08:47:16,786 | progress   |       Finished subset 82/1145, 7.16 percent done
INFO     | 2016-10-21 08:47:16,853 | progress   |       Finished subset 83/1145, 7.25 percent done
INFO     | 2016-10-21 08:47:16,900 | progress   |       Finished subset 84/1145, 7.34 percent done
INFO     | 2016-10-21 08:47:16,946 | progress   |       Finished subset 85/1145, 7.42 percent done
INFO     | 2016-10-21 08:47:17,017 | progress   |       Finished subset 86/1145, 7.51 percent done
INFO     | 2016-10-21 08:47:17,073 | progress   |       Finished subset 87/1145, 7.60 percent done
INFO     | 2016-10-21 08:47:17,139 | progress   |       Finished subset 88/1145, 7.69 percent done
INFO     | 2016-10-21 08:47:17,182 | progress   |       Finished subset 89/1145, 7.77 percent done
INFO     | 2016-10-21 08:47:17,231 | progress   |       Finished subset 90/1145, 7.86 percent done
INFO     | 2016-10-21 08:47:17,276 | progress   |       Finished subset 91/1145, 7.95 percent done
INFO     | 2016-10-21 08:47:17,339 | progress   |       Finished subset 92/1145, 8.03 percent done
INFO     | 2016-10-21 08:47:17,399 | progress   |       Finished subset 93/1145, 8.12 percent done
INFO     | 2016-10-21 08:47:17,449 | progress   |       Finished subset 94/1145, 8.21 percent done
INFO     | 2016-10-21 08:47:17,499 | progress   |       Finished subset 95/1145, 8.30 percent done
INFO     | 2016-10-21 08:47:17,542 | progress   |       Finished subset 96/1145, 8.38 percent done
INFO     | 2016-10-21 08:47:17,598 | progress   |       Finished subset 97/1145, 8.47 percent done
INFO     | 2016-10-21 08:47:17,651 | progress   |       Finished subset 98/1145, 8.56 percent done
INFO     | 2016-10-21 08:47:17,704 | progress   |       Finished subset 99/1145, 8.65 percent done
INFO     | 2016-10-21 08:47:17,754 | progress   |       Finished subset 100/1145, 8.73 percent done
INFO     | 2016-10-21 08:47:17,800 | progress   |       Finished subset 101/1145, 8.82 percent done
INFO     | 2016-10-21 08:47:17,849 | progress   |       Finished subset 102/1145, 8.91 percent done
INFO     | 2016-10-21 08:47:17,910 | progress   |       Finished subset 103/1145, 9.00 percent done
INFO     | 2016-10-21 08:47:17,971 | progress   |       Finished subset 104/1145, 9.08 percent done
INFO     | 2016-10-21 08:47:18,017 | progress   |       Finished subset 105/1145, 9.17 percent done
INFO     | 2016-10-21 08:47:18,066 | progress   |       Finished subset 106/1145, 9.26 percent done
INFO     | 2016-10-21 08:47:18,112 | progress   |       Finished subset 107/1145, 9.34 percent done
INFO     | 2016-10-21 08:47:18,158 | progress   |       Finished subset 108/1145, 9.43 percent done
INFO     | 2016-10-21 08:47:18,222 | progress   |       Finished subset 109/1145, 9.52 percent done
INFO     | 2016-10-21 08:47:18,290 | progress   |       Finished subset 110/1145, 9.61 percent done
INFO     | 2016-10-21 08:47:18,352 | progress   |       Finished subset 111/1145, 9.69 percent done
INFO     | 2016-10-21 08:47:18,407 | progress   |       Finished subset 112/1145, 9.78 percent done
INFO     | 2016-10-21 08:47:18,479 | progress   |       Finished subset 113/1145, 9.87 percent done
INFO     | 2016-10-21 08:47:18,548 | progress   |       Finished subset 114/1145, 9.96 percent done
INFO     | 2016-10-21 08:47:18,612 | progress   |       Finished subset 115/1145, 10.04 percent done
INFO     | 2016-10-21 08:47:18,660 | progress   |       Finished subset 116/1145, 10.13 percent done
INFO     | 2016-10-21 08:47:18,712 | progress   |       Finished subset 117/1145, 10.22 percent done
INFO     | 2016-10-21 08:47:18,769 | progress   |       Finished subset 118/1145, 10.31 percent done
INFO     | 2016-10-21 08:47:18,831 | progress   |       Finished subset 119/1145, 10.39 percent done
