INFO     | 2016-10-24 09:47:49,231 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-10-24 09:47:49,237 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-10-24 09:47:49,237 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-10-24 09:47:49,238 | parser     | You set 'models' to: GTR+G
INFO     | 2016-10-24 09:47:49,250 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-10-24 09:47:49,251 | model_load | GTR+G
INFO     | 2016-10-24 09:47:49,251 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-10-24 09:47:49,363 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-10-24 09:47:49,364 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-10-24 09:47:49,364 | config     | Looking for alignment file './Crawford_2012.phy'...
INFO     | 2016-10-24 09:47:49,364 | analysis   | Beginning Analysis
INFO     | 2016-10-24 09:47:49,417 | alignment  | Reading alignment file './Crawford_2012.phy'
INFO     | 2016-10-24 09:47:49,612 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-10-24 09:47:49,683 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-10-24 09:47:49,696 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2016-10-24 09:48:22,813 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2016-10-24 09:48:37,161 | raxml      | ML topology estimation finished
INFO     | 2016-10-24 09:48:37,162 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-10-24 09:48:37,162 | analysis_m |    Set rcluster-max to 1000
INFO     | 2016-10-24 09:48:37,162 | analysis_m |    PartitionFinder will have to analyse 0 subsets to complete this analyses
INFO     | 2016-10-24 09:48:37,163 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-10-24 09:48:45,656 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2016-10-24 09:48:45,696 | analysis_m |    *** Relaxed clustering algorithm step 1 of up to 0 ***
INFO     | 2016-10-24 09:48:45,708 | analysis_m |       Measuring the similarity of 0 subset pairs
INFO     | 2016-10-24 09:52:12,398 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-10-24 09:52:12,406 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-10-24 09:52:12,407 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-10-24 09:52:12,407 | parser     | You set 'models' to: GTR+G
INFO     | 2016-10-24 09:52:12,419 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-10-24 09:52:12,419 | model_load | GTR+G
INFO     | 2016-10-24 09:52:12,420 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-10-24 09:52:12,563 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-10-24 09:52:12,564 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-10-24 09:52:12,564 | config     | Looking for alignment file './Crawford_2012.phy'...
INFO     | 2016-10-24 09:52:12,565 | analysis   | Beginning Analysis
INFO     | 2016-10-24 09:52:12,577 | config     | Checking previously run configuration data...
ERROR    | 2016-10-24 09:52:12,713 | main       | User interrupted the Program
INFO     | 2016-10-24 09:52:48,689 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-10-24 09:52:48,693 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-10-24 09:52:48,693 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-10-24 09:52:48,693 | parser     | You set 'models' to: GTR+G
INFO     | 2016-10-24 09:52:48,700 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-10-24 09:52:48,700 | model_load | GTR+G
INFO     | 2016-10-24 09:52:48,701 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-10-24 09:52:48,781 | config     | Setting 'search' to 'greedy'
INFO     | 2016-10-24 09:52:48,781 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-10-24 09:52:48,781 | config     | Looking for alignment file './Crawford_2012.phy'...
INFO     | 2016-10-24 09:52:48,782 | analysis   | Beginning Analysis
INFO     | 2016-10-24 09:52:48,789 | config     | Checking previously run configuration data...
INFO     | 2016-10-24 09:52:48,887 | alignment  | Reading alignment file './Crawford_2012.phy'
INFO     | 2016-10-24 09:52:48,909 | alignment  | Reading alignment file './analysis/start_tree/source.phy'
INFO     | 2016-10-24 09:52:49,143 | analysis   | Starting tree file found.
INFO     | 2016-10-24 09:52:49,144 | analysis_m | Performing Greedy Analysis
