INFO     | 2016-10-21 08:42:09,159 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-10-21 08:42:09,177 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-10-21 08:42:09,178 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-10-21 08:42:09,178 | parser     | You set 'models' to: GTR+G
INFO     | 2016-10-21 08:42:09,186 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-10-21 08:42:09,186 | model_load | GTR+G
INFO     | 2016-10-21 08:42:09,186 | config     | Setting 'model_selection' to 'aicc'
ERROR    | 2016-10-21 08:42:09,187 | parser     | There was a problem loading your .cfg file, please check and try again
ERROR    | 2016-10-21 08:42:09,187 | parser     | Expected ";" (at char 357), (line:15, col:18)
INFO     | 2016-10-21 08:42:09,187 | parser     | The line causing the problem is this: 'uce_sites_0 = 189, 502, 844, 1268, 1622, 2091, 2555, 2920, 3310, 3713, 4092, 4402, 4800, 5250, 5627, 5949, 6376, 6844, 7241, 7692, 8195, 8631, 9000, 9375, 9751, 10112, 10453, 10866, 11349, 11803, 12181, 12470, 12792, 13220, 13679, 14017, 14297, 14642, 15038, 15553, 16030, 16398, 16817, 17185, 17564, 17969, 18243, 18517, 18940, 19459, 19850, 20192, 20569, 20938, 21382, 21898, 22381, 22785, 23229, 23678, 24097, 24519, 24873, 25262, 25727, 26105, 26485, 26813, 27167, 27684, 28163, 28616, 29062, 29433, 29811, 30251, 30721, 31124, 31473, 31892, 32321, 32680, 33070, 33488, 33980, 34474, 34856, 35158, 35515, 35896, 36179, 36476, 36725, 36966, 37345, 37830, 38193, 38535, 38938, 39287, 39620, 39949, 40371, 40848, 41295, 41768, 42274, 42691, 43053, 43394, 43729, 44134, 44599, 44977, 45240, 45618, 46042, 46360, 46776, 47210, 47494, 47817, 48172, 48538, 48942, 49362, 49822, 50258, 50591, 50934, 51330, 51698, 52073, 52427, 52725, 53061, 53484, 53875, 54138, 54394, 54701, 55034, 55474, 55834, 56013, 56272, 56677, 57126, 57606, 58026, 58301, 58641, 59056, 59569, 60109, 60559, 61004, 61438, 61904, 62402, 62937, 63497, 64066, 64523, 64989, 65535, 66080, 66496, 66846, 67318, 67740, 68126, 68513, 68861, 69288, 69743, 70022, 70341, 70869, 71404, 71779, 72164, 72667, 73149, 73573, 73984, 74392, 74812, 75247, 75681, 76116, 76498, 76834, 77127, 77528, 77948, 78183, 78476, 78883, 79308, 79706, 80024, 80385, 80819, 81315, 81826, 82312, 82757, 83232, 83685, 84036, 84435, 84870, 85275, 85585, 85947, 86435, 86923, 87339, 87746, 88229, 88744, 89256, 89696, 90054, 90445, 90894, 91332, 91771, 92186, 92583, 92985, 93335, 93723, 94055, 94325, 94722, 95043, 95247, 95508, 95886, 96203, 96506, 96865, 97258, 97780, 98294, 98659, 99047, 99488, 99765, 100036, 100360, 100777, 101181, 101517, 101867, 102340, 102798, 103109, 103395, 103754, 104216, 104577, 104920, 105248, 105561, 105955, 106376, 106828, 107311, 107773, 108220, 108613, 108910, 109203, 109633, 110095, 110493, 110902, 111337, 111771, 112236, 112756, 113207, 113613, 114020, 114434, 115000, 115679, 116132, 116391, 116756, 117147, 117596, 118026, 118391, 118837, 119286, 119606, 119839, 120118, 120412, 120664, 120935, 121314, 121745, 122088, 122495, 123029, 123528, 123918, 124262, 124688, 125157, 125588, 126005, 126470, 126884, 127195, 127525, 127872, 128237, 128615, 128988, 129390, 129787, 130190, 130537, 130965, 131392, 131716, 132056, 132404, 132811, 133264, 133597, 133879, 134265, 134627, 135011, 135469, 135957, 136372, 136752, 137180, 137568, 137890, 138226, 138521, 138884, 139325, 139760, 140174, 140502, 140860, 141259, 141706, 142092, 142419, 142910, 143412, 143865, 144436, 144899, 145303, 145767, 146198, 146740, 147244, 147702, 148223, 148676, 149110, 149533, 149963, 150338, 150735, 151283, 151887, 152368, 152671, 153090, 153621, 154054, 154553, 155160, 155677, 156149, 156613, 156987, 157347, 157711, 158156, 158725, 159287, 159800, 160277, 160703, 161063, 161433, 161884, 162342, 162731, 163133, 163552, 164004, 164461, 164945, 165442, 165862, 166243, 166607, 166985, 167366, 167752, 168288, 168918, 169384, 169845, 170285, 170660, 171150, 171632, 172002, 172347, 172669, 173083, 173522, 173946, 174326, 174682, 175048, 175404, 175810, 176171, 176525, 176884, 177221, 177565, 177912, 178336, 178830, 179217, 179620, 180087, 180516, 180978, 181360, 181687, 182055, 182507, 182985, 183306, 183615, 184034, 184471, 184906, 185336, 185697, 186069, 186480, 186911, 187282, 187676, 188033, 188440, 189002, 189468, 189876, 190346, 190779, 191244, 191749, 192149, 192471, 192851, 193289, 193663, 194039, 194459, 194914, 195334, 195899, 196520, 197023, 197420, 197730, 198136, 198618, 198995, 199326, 199692, 200040, 200434, 200787, 201106, 201538, 201902, 202212, 202616, 203017, 203424, 203832, 204169, 204534, 204968, 205436, 205921, 206320, 206735, 207175, 207599, 208062, 208507, 208845, 209128, 209513, 210040, 210589, 211128, 211566, 211809, 212097, 212450, 212833, 213338, 213775, 214066, 214428, 214898, 215305, 215653, 215994, 216365, 216734, 217019, 217349, 217795, 218270, 218652, 219007, 219535, 220066, 220564, 221041, 221430, 221849, 222185, 222474, 222805, 223198, 223611, 223960, 224338, 224702, 225034, 225434, 225917, 226388, 226783, 227164, 227552, 227986, 228499, 229052, 229639, 230086, 230475, 230886, 231281, 231740, 232169, 232550, 232857, 233230, 233655, 234042, 234427, 234796, 235234, 235656, 236083, 236539, 237055, 237548, 237975, 238359, 238691, 239026, 239299, 239799, 240347, 240795, 241261, 241714, 242152, 242543, 243068, 243546, 243947, 244394, 244779, 245131, 245585, 246185, 246756, 247183, 247606, 248166, 248620, 248973, 249478, 249934, 250274, 250662, 251067, 251463, 251819, 252121, 252485, 252976, 253420, 253817, 254228, 254528, 254859, 255311, 255755, 256145, 256481, 256905, 257397, 257852, 258253, 258596, 258876, 259246, 259769, 260233, 260613, 260912, 261132, 261523, 262015, 262360, 262636, 262958, 263415, 263912, 264354, 264652, 264909, 265235, 265579, 265930, 266410, 266863, 267151, 267523, 267923, 268300, 268814, 269351, 269788, 270110, 270440, 270850, 271186, 271544, 271924, 272330, 272707, 273010, 273335, 273771, 274235, 274586, 274938, 275349, 275765, 276234, 276754, 277207, 277616, 277996, 278437, 278948, 279358, 279657, 280069, 280501, 280905, 281430, 281886, 282272, 282681, 283022, 283321, 283673, 284099, 284588, 285119, 285680, 286185, 286715, 287197, 287574, 288006, 288532, 289127, 289698, 290156, 290557, 290966, 291349, 291771, 292141, 292523, 292975, 293374, 293799, 294327, 294779, 295247, 295669, 295955, 296325, 296780, 297192, 297619, 298141, 298591, 298991, 299425, 299878, 300248, 300593, 301047, 301432, 301742, 302164, 302693, 303258, 303747, 304193, 304663, 305108, 305500, 305876, 306185, 306500, 306833, 307164, 307560, 307998, 308364, 308633, 309012, 309478, 309894, 310315, 310689, 311052, 311441, 311847, 312301, 312702, 313125, 313484, 313802, 314210, 314595, 315013, 315400, 315703, 316085, 316594, 317030, 317424, 317737, 317998, 318386, 318724, 319066, 319603, 320066, 320377, 320778, 321276, 321801, 322232, 322710, 323140, 323498, 323887, 324250, 324583, 324887, 325185, 325556, 325984, 326366, 326792, 327267, 327649, 328018, 328486, 328930, 329393, 329871, 330196, 330465, 330813, 331127, 331394, 331709, 332141, 332605, 333054, 333507, 333891, 334241, 334561, 334876, 335233, 335654, 336129, 336546, 336980, 337510, 337954, 338399, 338918, 339377, 339788, 340229, 340549, 340783, 341179, 341687, 342174, 342497, 342797, 343182, 343588, 343964, 344414, 344914, 345271, 345540, 345903, 346351, 346851, 347401, 347910, 348309, 348670, 349008, 349409, 349969, 350540, 350998, 351413, 351906, 352333, 352698, 353101, 353516, 353925, 354377, 354783, 355109, 355592, 356062, 356349, 356642, 357120, 357683, 358222, 358708, 359144, 359597, 360107, 360609, 360965, 361262, 361569, 361975, 362337, 362740, 363292, 363782, 364161, 364520, 364936, 365399, 365870, 366365, 366829, 367194, 367596, 367976, 368346, 368792, 369192, 369566, 369939, 370313, 370802, 371295, 371695, 372122, 372586, 372933, 373217, 373631, 374095, 374443, 374685, 374957, 375381, 375797, 376109, 376471, 376784, 377105, 377473, 377855, 378305, 378762, 379186, 379557, 379984, 380402, 380876, 381371, 381820, 382355, 382940, 383581, 384087, 384508, 384936, 385349, 385785, 386150, 386550, 387073, 387650, 388144, 388531, 388945, 389451, 389947, 390296, 390568, 390908, 391310, 391714, 392091, 392463, 392832, 393118, 393383, 393722, 394191, 394690, 395196, 395697, 396095, 396453, 396926, 397393, 397686, 398004, 398411, 398838, 399271, 399748, 400240, 400595, 400929, 401367, 401847, 402354, 402811, 403275, 403800, 404311, 404766, 405168, 405565, 406037, 406504, 406899, 407297, 407649, 407948, 408214, 408518, 408907, 409314, 409792, 410258, 410651, 411027, 411269, 411467, 411808, 412209, 412583, 412976, 413364, 413734, 414103, 414421, 414756, 415120, 415497, 415967, 416387, 416638, 416991, 417419, 417783, 418287, 418709, 419020, 419378, 419742, 420196, 420632, 421053, 421500, 422017, 422495, 422865, 423288, 423654, 423968, 424357, 424762, 425137, 425584, 426068, 426481, 426830, 427258, 427779, 428180, 428458, 428749, 429224, 429748, 430127, 430519, 430922, 431317, 431758, 432226, 432647, 433095, 433569, 433989, 434490, 434953, 435288, 435614, 436007, 436485, 436843, 437188, 437705, 438148, 438496, 438772, 439081, 439552, 439940, 440281, 440632, 440919, 441198, 441573, 441995, 442340, 442610, 442874, 443228, 443633, 444124, 444593, 444940, 445287, 445590, 445936, 446417, 446873, 447325, 447769, 448147, 448576, 448989, 449381, 449841, 450283, 450622, 450976, 451412, 451776, 452154, 452609, 453060, 453500, 453884, 454259, 454647, 455029, 455439, 455844, 456305, 456810, 457249, 457725, 458176, 458478, 458804, 459166, 459427, 459838, 460353, 460750, 461084, 461370, 461697, 462120, 462509, 462843, 463297, 463731, 464048, 464369, 464709, 465052;'. Please check that line, and make sure it appears in the right place in the config file. If it looks OK, try double-checking the semi-colons on other lines
ERROR    | 2016-10-21 08:42:09,188 | main       | Failed to run. See previous errors.
