Settings used

alignment         : ./Branstetter_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 22510


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -8657507.84671
Scheme AICc       : 17335831.6748
Number of params  : 9850
Number of sites   : 183747
Number of subsets : 948

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 82         | 003e1d7e0eee23db94cfd125692a4084 | uce_10_left                                                                                         
2      | GTR+G      | 557        | 7e9b3dc8d5a5063bb75f96ee4e8862b4 | uce_310_core, uce_1338_core, uce_688_core, uce_24_core, uce_915_core, uce_10_core                   
3      | GTR+G      | 371        | 3ecee5432d4b0d2dd75b66a22b990fec | uce_309_right, uce_271_left, uce_1425_right, uce_832_right, uce_10_right                            
4      | GTR+G      | 50         | 070e23b53f16620b923d0f9d7263fa80 | uce_100_left                                                                                        
5      | GTR+G      | 167        | 18cc2b7299d81a85b2483749c136b9ff | uce_557_core, uce_100_core                                                                          
6      | GTR+G      | 50         | af7041b3076d11e48aa6a2df82796dda | uce_100_right                                                                                       
7      | GTR+G      | 155        | 452e2cbbafb5121c19774ead23ac3f3c | uce_817_left, uce_1004_left, uce_1308_left                                                          
8      | GTR+G      | 386        | c4c16156f1f308da1690c6febd1dbaa0 | uce_1004_core, uce_132_core, uce_1055_core, uce_1143_core                                           
9      | GTR+G      | 297        | ba3b6990dae6c8bce0b10cf1e8c22f10 | uce_1208_right, uce_204_right, uce_1004_right                                                       
10     | GTR+G      | 107        | bf64f433a086b320e945c3cbc2fd0bab | uce_1031_left, uce_1006_left                                                                        
11     | GTR+G      | 432        | ce694d7559aa7d8593230da5543ad648 | uce_1006_core, uce_797_core, uce_589_core, uce_168_core, uce_18_core                                
12     | GTR+G      | 218        | 19ce9b87ef3b0bc83e4685ac8b6735aa | uce_1081_right, uce_1006_right, uce_910_right                                                       
13     | GTR+G      | 116        | a2fbbf83ad52308058d5279ad7d502ae | uce_1007_left                                                                                       
14     | GTR+G      | 265        | 7ba2b10d81e047815c7840b69fcb2d48 | uce_1007_core, uce_292_core                                                                         
15     | GTR+G      | 251        | 8800fdb159096f4bf2b337f96d29f0ef | uce_122_right, uce_1007_right, uce_427_left                                                         
16     | GTR+G      | 491        | 51e0e0d941b916845628e16d8a10ddf8 | uce_30_right, uce_1008_left, uce_791_left, uce_1079_left, uce_1131_left, uce_28_right, uce_560_right
17     | GTR+G      | 250        | ee722b8d4eb107b0db4db1701c1a4691 | uce_344_core, uce_1008_core                                                                         
18     | GTR+G      | 208        | 0cc8c0357859739d8a5a7a22bd5c88c1 | uce_1155_left, uce_1008_right, uce_399_left                                                         
19     | GTR+G      | 118        | 10b2cc9dc2706b646adf7569c5ebfd4f | uce_1010_left                                                                                       
20     | GTR+G      | 342        | 512633a1408a7d77bc0ce135f70f4805 | uce_28_core, uce_57_core, uce_1346_core, uce_1010_core, uce_859_core                                
21     | GTR+G      | 351        | f1f2de7c1529a91c15822e00af22b4c7 | uce_76_right, uce_1479_right, uce_1010_right, uce_689_right, uce_336_right, uce_478_right           
22     | GTR+G      | 285        | 2209d257506bc7b06e09b6c5a08edb1f | uce_616_left, uce_1011_left, uce_124_left                                                           
23     | GTR+G      | 292        | 85bc9914e6345954d36de1a9a7d2d6f1 | uce_186_core, uce_97_core, uce_1011_core, uce_873_core                                              
24     | GTR+G      | 156        | 0e5b2847673bb5115caa4fcae240b480 | uce_1011_right, uce_46_right, uce_1288_right                                                        
25     | GTR+G      | 301        | 9f48c95b120c72113cd6adced9efe298 | uce_1012_left, uce_1483_left, uce_911_left, uce_1045_left, uce_935_right                            
26     | GTR+G      | 489        | f69c2858599f9e71cd9a936ee54ee154 | uce_407_core, uce_66_core, uce_1012_core, uce_507_core, uce_1421_right                              
27     | GTR+G      | 272        | 6742cb6bf7feeea9e90cb51caedfe6b8 | uce_1012_right, uce_3_left, uce_94_right, uce_804_left                                              
28     | GTR+G      | 428        | 2ff6181992c3b388829d348793a8030c | uce_441_right, uce_701_left, uce_308_left, uce_349_left, uce_1013_left                              
29     | GTR+G      | 389        | 84c4159a77ab9cfdeb611248b66d46dd | uce_840_core, uce_1374_core, uce_1013_core, uce_106_core, uce_992_core                              
30     | GTR+G      | 165        | 547da36eeb3087f2f3dbc114de02fc9f | uce_800_right, uce_950_right, uce_1013_right                                                        
31     | GTR+G      | 228        | 305f5545e79720790eba852bec6b8748 | uce_1495_right, uce_1096_all, uce_1014_left                                                         
32     | GTR+G      | 621        | 78baf86425a7f57ba79bf8ca1d981a7b | uce_1442_core, uce_1400_core, uce_1066_core, uce_609_core, uce_1014_core, uce_976_core              
33     | GTR+G      | 188        | 2bd055bda0c76989e8fd87ba4c4a65fa | uce_676_right, uce_1014_right, uce_573_right                                                        
34     | GTR+G      | 106        | 6570a8f03b09027d62206d00253742b5 | uce_1015_left                                                                                       
35     | GTR+G      | 751        | bf443df79d909fa0c94ea93a92d3f992 | uce_997_core, uce_871_core, uce_1193_core, uce_1015_core, uce_1452_core, uce_637_core, uce_706_core, uce_55_core
36     | GTR+G      | 145        | 6d8067582e8715a3b44e383106a6b6fc | uce_1015_right, uce_533_left                                                                        
37     | GTR+G      | 203        | 8da46428d050a23bf63ade16a4ede0b2 | uce_1170_right, uce_1016_left, uce_1206_left                                                        
38     | GTR+G      | 279        | ee0f7635845c812836a595014e28ad00 | uce_1182_core, uce_263_core, uce_499_core, uce_1016_core                                            
39     | GTR+G      | 399        | aa80bf8086af8e1a7126091ee8e9d75b | uce_1016_right, uce_1082_right, uce_1492_right, uce_1277_left, uce_884_left                         
40     | GTR+G      | 165        | 2e1fc760fe49584b12b4b59521b1de2b | uce_1019_left, uce_702_right                                                                        
