Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1842387.23769
Scheme AICc       : 3695066.86532
Number of params  : 5036
Number of sites   : 235232
Number of subsets : 493

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1159       | 0bff2512a6fc31be3279fa48dae33fd7 | uce_1113_core, uce_255_core, uce_1001_left, uce_713_core                                            
2      | GTR+G      | 628        | 628661248289d364c8fc349f83f8593e | uce_59_core, uce_1157_core, uce_7_core, uce_1001_core, uce_1128_left                                
3      | GTR+G      | 51         | 7073ff9fd399c8d9d8b6662636df7b28 | uce_1001_right                                                                                      
4      | GTR+G      | 50         | cad4a544a74a5106f33c47cb221576d8 | uce_1002_left                                                                                       
5      | GTR+G      | 381        | c5b1fe73c3db31d77262e0522055a26a | uce_231_right, uce_231_core, uce_1002_core                                                          
6      | GTR+G      | 393        | 79b2bd4e00777473692c4f101b956cf0 | uce_1002_right, uce_578_right, uce_571_left, uce_671_right                                          
7      | GTR+G      | 259        | 0f84b70eeff72826d2265e5082f6c71d | uce_299_left, uce_57_left, uce_1004_left                                                            
8      | GTR+G      | 727        | f28e843863f7192a56ff1b1d9a76784a | uce_1004_core, uce_265_core, uce_359_core                                                           
9      | GTR+G      | 298        | 16d357e304d07baea6d78730ed3018d3 | uce_335_left, uce_1131_left, uce_1004_right, uce_131_left                                           
10     | GTR+G      | 50         | 64815f9437dac83fca567bded5416b8a | uce_1005_left                                                                                       
11     | GTR+G      | 974        | 38c78c6de3d8cd7585216b4e24d8e40c | uce_86_left, uce_1113_left, uce_1005_core, uce_1211_core                                            
12     | GTR+G      | 155        | 233a70adadef76dec9942c3c4fba0359 | uce_1005_right, uce_979_right, uce_1105_right                                                       
13     | GTR+G      | 423        | f571bf6c4ff23464e2c5bfede1e05cef | uce_901_core, uce_116_right, uce_672_left, uce_239_right, uce_1007_left                             
14     | GTR+G      | 1426       | 7919a00af3499823e9d7b15246c4a52e | uce_934_core, uce_1041_core, uce_175_core, uce_758_core, uce_1007_core                              
15     | GTR+G      | 399        | f993bcf29a220af1043dbf88c8580113 | uce_1007_right, uce_1277_left, uce_331_right, uce_161_left, uce_124_left                            
16     | GTR+G      | 384        | 21270323cd88c3d90c62daac1c1ed157 | uce_1009_left, uce_495_core, uce_908_left                                                           
17     | GTR+G      | 1093       | 95b458faa72a30530aac573e1dee9d93 | uce_503_core, uce_378_core, uce_24_core, uce_447_core, uce_1308_core, uce_396_core, uce_1301_core, uce_1009_core
18     | GTR+G      | 600        | 841be522155f3f8f4a5f92e21f4a1b39 | uce_132_left, uce_1009_right, uce_1223_left, uce_1182_right, uce_739_left, uce_401_left, uce_1260_left
19     | GTR+G      | 155        | 6dc0b30912e493d176da6cc2eb97ee3f | uce_411_right, uce_1014_left                                                                        
20     | GTR+G      | 1291       | 8ecf212e2333be810a61581cd2192fdd | uce_1014_core, uce_321_right, uce_642_core, uce_388_core, uce_255_left, uce_1160_right, uce_690_left
21     | GTR+G      | 511        | e24ac2d9d66bed5f01b2582d0aaf328a | uce_1126_right, uce_414_left, uce_1014_right, uce_755_right                                         
22     | GTR+G      | 435        | 571edf6f86d52464bf1988eb2e9621e5 | uce_1018_left, uce_819_right, uce_1079_right, uce_469_right, uce_420_left                           
23     | GTR+G      | 776        | b7807529fd5ff805cf1d51f4443bcd6f | uce_303_core, uce_558_core, uce_7_right, uce_1018_core, uce_276_core                                
24     | GTR+G      | 580        | f89d3a6df9128cead2a5787d36ab3b6f | uce_1044_core, uce_46_left, uce_1018_right, uce_916_left                                            
25     | GTR+G      | 623        | 72c9e56cf29f485a76c851ad735b11e5 | uce_1173_right, uce_1022_left, uce_90_right, uce_996_left, uce_418_left, uce_547_right, uce_909_right, uce_388_right, uce_913_right
26     | GTR+G      | 1138       | b29626b4beee2a442a47b43746d8d9b7 | uce_1022_core, uce_1139_core, uce_414_core, uce_383_right                                           
