Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41030


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1114644.04771
Scheme AICc       : 2238583.60686
Number of params  : 4612
Number of sites   : 599627
Number of subsets : 458

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1553       | fff61c2d48215157fd687a6646028f7d | uce_1743_left, uce_5774_right, uce_5218_core, uce_7408_right, uce_6252_right, uce_6692_left, uce_6528_left, uce_6970_core, uce_1027_left, uce_5966_left, uce_408_right, uce_2238_left, uce_7738_right, uce_5026_right, uce_7488_right, uce_2273_right, uce_5640_left, uce_5657_left, uce_6383_left
2      | GTR+G      | 1022       | ca71be2520f20f31c824149b55f247ae | uce_6831_left, uce_4347_left, uce_2344_left, uce_7215_right, uce_2256_left, uce_4704_right, uce_2994_left, uce_4822_left, uce_1027_core, uce_3235_right, uce_5925_left, uce_7774_left
3      | GTR+G      | 1550       | 61e2e7529ffa6c83e839804ed67e3394 | uce_6229_left, uce_4435_core, uce_1224_core, uce_1027_right, uce_5804_right, uce_4842_right, uce_2163_core
4      | GTR+G      | 484        | cd45c620699c11af511ad595c156969c | uce_1319_right, uce_4829_right, uce_1126_left, uce_6009_core, uce_7129_right, uce_1059_right, uce_3970_right
5      | GTR+G      | 1904       | 34a1e92543242bfc8a94fea52c737105 | uce_6548_right, uce_225_core, uce_812_core, uce_6923_core, uce_2252_left, uce_4446_right, uce_3071_core, uce_7399_left, uce_2062_all, uce_7941_left, uce_3320_all, uce_5505_core, uce_1126_core, uce_6273_left, uce_4993_core
6      | GTR+G      | 641        | 8287bf8b362fcf7c733aba72ecaa587d | uce_685_left, uce_2994_core, uce_119_right, uce_6049_left, uce_3078_left, uce_2560_right, uce_1126_right, uce_7559_right, uce_3584_left, uce_7487_left
7      | GTR+G      | 1887       | eb37a6dab9b0d6df71b2a97debf84ee1 | uce_5323_left, uce_3134_core, uce_3741_right, uce_3857_left, uce_3931_right, uce_1573_right, uce_442_all, uce_1161_core, uce_4355_core, uce_6756_right, uce_1207_all, uce_7058_left, uce_2487_right
8      | GTR+G      | 441        | f39f6805aa6e21494f41780cc83be286 | uce_1463_left, uce_2981_left, uce_200_left, uce_7277_left, uce_2385_left, uce_2879_left, uce_672_left, uce_1344_left
9      | GTR+G      | 7207       | 28cf44b3c0e7f6ce22f0374d9c4a13f8 | uce_513_core, uce_3025_core, uce_7081_all, uce_4532_core, uce_1910_right, uce_614_core, uce_1344_core, uce_6137_core, uce_2784_core, uce_4033_all, uce_7574_core, uce_5584_core, uce_5586_core, uce_5361_core, uce_843_core, uce_1823_core, uce_7587_core, uce_4562_core, uce_7417_core, uce_5498_core, uce_3894_core, uce_7499_right, uce_3167_core, uce_5292_right, uce_6474_right, uce_5416_left, uce_2874_left, uce_937_core, uce_663_right, uce_4121_core
10     | GTR+G      | 845        | d6d51510b040ae7f6e0a34ff8d74f5cf | uce_3421_right, uce_752_left, uce_2294_left, uce_1344_right, uce_5231_core, uce_7342_left, uce_3069_right, uce_3862_left, uce_6974_right, uce_1004_right, uce_7595_left, uce_6516_left, uce_5597_right
11     | GTR+G      | 832        | ac526f23232f0ea9154900dfd2e2db59 | uce_5050_left, uce_1563_right, uce_4541_left, uce_1376_left, uce_5136_left, uce_7279_right, uce_4540_left, uce_417_right, uce_5564_right, uce_2226_right, uce_4787_right
12     | GTR+G      | 1025       | f9611d58c5293d1079d8868d541ab4f9 | uce_6721_right, uce_5775_core, uce_5190_core, uce_4968_left, uce_1415_left, uce_3664_left, uce_1376_core, uce_2613_core, uce_3154_right, uce_5584_right, uce_2674_core, uce_371_right
13     | GTR+G      | 4610       | 9e3b950aa06d256dc4cbe29e14683570 | uce_131_right, uce_6472_core, uce_1135_left, uce_7277_core, uce_3338_all, uce_1850_right, uce_148_all, uce_381_core, uce_908_all, uce_3926_all, uce_913_all, uce_1768_all, uce_1376_right, uce_3668_all
14     | GTR+G      | 7274       | 3fb27529f6bfd68a575ba7884e986739 | uce_345_all, uce_590_right, uce_6314_core, uce_1809_core, uce_6074_left, uce_2012_all, uce_1573_core, uce_7738_core, uce_408_core, uce_6714_left, uce_4658_core, uce_3323_right, uce_1579_all, uce_1499_all, uce_7370_core, uce_1622_core, uce_6296_left, uce_3089_core, uce_2534_left, uce_1917_core, uce_52_right, uce_1412_core, uce_1371_right, uce_1170_core
15     | GTR+G      | 531        | b6d5ef4adc6f9a76fd5586cf10a31584 | uce_7882_left, uce_5450_left, uce_7283_right, uce_6411_right, uce_1588_left, uce_4212_left, uce_3859_core
16     | GTR+G      | 4599       | ffc9df7a4e3c85e6620b85ab08f36fe5 | uce_97_left, uce_5445_core, uce_1588_core, uce_3560_all, uce_2598_core, uce_6990_left, uce_7763_core, uce_7997_core, uce_3224_all, uce_6831_right, uce_3613_core, uce_7222_left, uce_2432_right, uce_7832_core, uce_888_left, uce_6448_core, uce_6571_left, uce_3008_left, uce_6248_right
17     | GTR+G      | 175        | 82e56d6e7380e4dabec61e5c74f008d3 | uce_7563_right, uce_5215_right, uce_1588_right                                                      
18     | GTR+G      | 1574       | d8c6a38b5a1aed3626057c5011caa98b | uce_7865_core, uce_6553_left, uce_7105_all, uce_5879_right, uce_419_left, uce_1480_left, uce_1702_left, uce_5500_core, uce_5391_right, uce_7427_core
19     | GTR+G      | 899        | 898edac1afcf250d3780aaec4432ccc6 | uce_1970_core, uce_3609_right, uce_1702_core, uce_223_core, uce_6906_right, uce_4117_left, uce_7253_core, uce_7668_right
20     | GTR+G      | 483        | 891d3df42c44cb94bb2389c6de11eaa5 | uce_55_right, uce_2748_left, uce_1702_right, uce_3860_right, uce_5178_left, uce_3741_core, uce_5068_right
21     | GTR+G      | 4151       | db521f3c5b562977aedbaaf4408d8716 | uce_7164_all, uce_6214_left, uce_1120_right, uce_759_right, uce_276_core, uce_5808_core, uce_3664_core, uce_4151_core, uce_4851_left, uce_7504_core, uce_7649_right, uce_1085_right, uce_1946_right, uce_5991_right, uce_1742_all, uce_1736_core
22     | GTR+G      | 2044       | 23fb551560f30f47caf4e4aeb50ac525 | uce_18_left, uce_7906_left, uce_6454_left, uce_990_left, uce_4136_left, uce_3970_core, uce_7586_core, uce_5284_right, uce_7010_core, uce_5076_core, uce_518_core, uce_544_right, uce_7129_core, uce_6787_right, uce_4293_core, uce_6462_left
23     | GTR+G      | 2090       | fda46f30624747a60827c9bbf2f66fa6 | uce_3336_core, uce_4201_right, uce_11_right, uce_18_core, uce_5562_all, uce_3166_right, uce_3978_core, uce_274_left, uce_3636_core, uce_6871_left, uce_6802_core
24     | GTR+G      | 7005       | faba4f90b24e501dc726d2c1105593e8 | uce_1107_core, uce_6233_core, uce_1239_right, uce_1183_right, uce_7211_left, uce_740_core, uce_4117_core, uce_7546_left, uce_5410_right, uce_7969_right, uce_7472_core, uce_2116_all, uce_6106_all, uce_18_right, uce_2178_right, uce_97_core, uce_616_right, uce_2487_core, uce_2980_core, uce_3790_core, uce_6474_core, uce_2104_core, uce_1747_core, uce_325_all
25     | GTR+G      | 851        | bda442372a390e8673802893874b6ce4 | uce_4302_right, uce_3530_left, uce_6831_core, uce_7587_left, uce_1832_left, uce_52_left, uce_2938_right, uce_4013_left, uce_5218_right, uce_7310_right, uce_7832_left, uce_6627_left, uce_63_right
26     | GTR+G      | 2211       | 8bf395b4627a513884ecbb3c0460ce9b | uce_3650_core, uce_2358_core, uce_1832_core, uce_5914_left, uce_1750_core, uce_4426_core, uce_4535_right, uce_1281_right
27     | GTR+G      | 2561       | 5129cc067630c7a0e4a0b14b7e0c2521 | uce_5905_right, uce_915_all, uce_6588_core, uce_3689_right, uce_5647_core, uce_146_right, uce_4122_right, uce_2742_all, uce_6074_right, uce_63_left, uce_3676_left, uce_3097_left, uce_3660_right, uce_6558_core, uce_1415_right, uce_4586_left, uce_1832_right, uce_3416_left, uce_3631_core, uce_1484_left
28     | GTR+G      | 746        | 1f5964c287f1ea48164e2e3a4342e111 | uce_3909_right, uce_1897_left, uce_7678_left, uce_3676_right, uce_4993_left, uce_7379_left, uce_7449_core, uce_3790_right, uce_603_right
29     | GTR+G      | 4059       | 216f0096ee9b1d21af1ba1910c1eb487 | uce_899_right, uce_6059_core, uce_978_right, uce_6838_left, uce_2962_core, uce_1897_core, uce_3065_core, uce_1405_core, uce_3377_left, uce_2112_core, uce_7695_core, uce_5331_core, uce_7419_left, uce_1800_right, uce_5044_core, uce_4978_core, uce_7510_right, uce_1983_core, uce_3198_core, uce_783_all, uce_3687_core
30     | GTR+G      | 4283       | 8bc2ab22fc4a19d257372dc613b216ac | uce_6879_core, uce_5677_right, uce_4076_core, uce_182_core, uce_6136_core, uce_6282_right, uce_6019_right, uce_5827_right, uce_5092_right, uce_1897_right, uce_1230_core, uce_7511_right, uce_7392_core, uce_3882_left, uce_261_core, uce_6014_core
31     | GTR+G      | 993        | ac9a619cf77371bbab97273cdfa8e8cf | uce_655_right, uce_649_core, uce_3159_left, uce_7652_right, uce_5580_core, uce_2818_left, uce_6779_right, uce_5675_core, uce_235_left, uce_4010_left, uce_5936_core, uce_5689_left, uce_6931_right
32     | GTR+G      | 210        | f41d6bb843a7ec0cc4cdc7b27c2afa0b | uce_7246_left, uce_7913_right, uce_3369_left, uce_235_core                                          
33     | GTR+G      | 2485       | 33899c90cacff7359ec327d29b29a572 | uce_2417_left, uce_4107_right, uce_235_right, uce_2350_right, uce_8046_right, uce_1814_core, uce_6840_core, uce_5864_core, uce_2031_all, uce_4863_core, uce_4764_left, uce_6014_right, uce_7211_core, uce_4121_left, uce_5221_right, uce_1362_left, uce_2598_left
34     | GTR+G      | 3547       | d3a5151f3e082d4699356bafc97a23a3 | uce_3011_core, uce_4887_core, uce_2537_all, uce_791_core, uce_6668_left, uce_1430_all, uce_5391_core, uce_2090_right, uce_7379_core, uce_1809_right, uce_4308_core, uce_1976_core, uce_3528_right, uce_3771_right, uce_4147_core, uce_7726_right
35     | GTR+G      | 601        | 382df91cb40785cbbc22c24e7b3f5be5 | uce_1865_left, uce_5277_left, uce_2879_right, uce_550_core, uce_335_core, uce_5402_right, uce_7586_left, uce_2485_left, uce_276_left
36     | GTR+G      | 849        | fa1bb69ca0f7553ec589646f6d99342f | uce_6802_right, uce_276_right, uce_6946_core, uce_7876_right, uce_4978_left, uce_3978_left, uce_44_left, uce_4348_left, uce_7120_core, uce_5557_core, uce_2419_core
37     | GTR+G      | 1746       | ecf10a0702d3d6c57fbe5712c0dbf9f6 | uce_2611_left, uce_2860_left, uce_1336_right, uce_2346_right, uce_1836_core, uce_5808_right, uce_5412_right, uce_1183_core, uce_5639_left, uce_1048_right, uce_2384_all, uce_544_left, uce_6752_right, uce_437_right, uce_1802_left, uce_4887_left, uce_4122_core, uce_1427_core, uce_2857_left
38     | GTR+G      | 3249       | 14979e06caefcc287d9bfc89dd15d35d | uce_937_right, uce_7963_core, uce_5508_left, uce_7227_core, uce_2857_core, uce_5773_left, uce_7732_core, uce_7739_core, uce_5110_core, uce_3987_core, uce_2851_right, uce_6856_right, uce_4944_core, uce_5416_core, uce_891_right, uce_2341_right, uce_5017_core, uce_2178_core
39     | GTR+G      | 479        | 2212443d64f05e82c57a3ec37dfb1ed4 | uce_6333_left, uce_372_left, uce_2857_right, uce_417_left, uce_2962_left, uce_5419_right            
40     | GTR+G      | 2730       | 5e2030b007069d7ba2d2d7babbb02932 | uce_318_right, uce_5419_core, uce_603_core, uce_6324_right, uce_1349_core, uce_5496_core, uce_2465_right, uce_3909_core, uce_3196_all, uce_6860_left, uce_2940_all, uce_5895_core
41     | GTR+G      | 385        | 718fcd4c033311c2408f191cabbfd9b1 | uce_5597_left, uce_2943_left, uce_7982_right, uce_4426_right, uce_1456_right, uce_1034_right        
42     | GTR+G      | 4054       | 73a0ea01cd4abbbc96b038604a0b1447 | uce_4586_core, uce_223_right, uce_2943_core, uce_6721_core, uce_6627_right, uce_6818_core, uce_1781_right, uce_2539_right, uce_309_core, uce_3808_right, uce_6260_right, uce_5919_right, uce_2572_core, uce_5934_core, uce_1128_core, uce_1625_core
43     | GTR+G      | 1248       | b58ef39830b2fc27e8343de14dbdfa7c | uce_5077_left, uce_5200_left, uce_1877_left, uce_5902_right, uce_2973_left, uce_4751_right, uce_2943_right, uce_654_right, uce_1131_left, uce_3122_right
44     | GTR+G      | 528        | e6e1d964377ab626f806acfa4ae3438e | uce_3859_right, uce_685_right, uce_6524_core, uce_2973_core                                         
45     | GTR+G      | 272        | 0b5182bf187d785ccf48258290a53285 | uce_5363_right, uce_2973_right, uce_884_left                                                        
46     | GTR+G      | 5080       | 775ffe1c9f704938f8fcfd99670b8c86 | uce_2344_right, uce_4658_left, uce_223_left, uce_4919_core, uce_4069_core, uce_6179_core, uce_888_right, uce_7522_all, uce_5383_core, uce_4024_core, uce_3150_right, uce_2516_left, uce_2994_right, uce_3020_core, uce_4843_right, uce_6290_left, uce_919_core, uce_3542_left
47     | GTR+G      | 209        | 2abf692df13b0a565b3513ec02ceb933 | uce_6922_core, uce_3067_left, uce_2953_right                                                        
48     | GTR+G      | 4552       | 4d395017dbff2ca5d5012d72f10882b1 | uce_3231_right, uce_7048_right, uce_1995_right, uce_1260_right, uce_1828_right, uce_5196_core, uce_2346_left, uce_2647_core, uce_335_right, uce_6992_left, uce_6079_core, uce_7595_core, uce_3067_core, uce_4915_core, uce_3308_left, uce_7095_core, uce_6454_core, uce_5119_right, uce_3638_core
49     | GTR+G      | 170        | b603c855f38939cc482340c24c7bf75a | uce_3067_right, uce_4335_core                                                                       
50     | GTR+G      | 346        | f32299c8929801f00a01aa92ab86aa75 | uce_3099_left, uce_5146_left, uce_891_left, uce_715_left, uce_6975_left                             
51     | GTR+G      | 3950       | e3409b9a85e28f4997158b42708017f0 | uce_2120_core, uce_2655_left, uce_3812_core, uce_4023_core, uce_1150_core, uce_7063_core, uce_2879_core, uce_4552_left, uce_3583_left, uce_5382_right, uce_7684_core, uce_4361_right, uce_4648_left, uce_3011_left, uce_3099_core, uce_5606_left, uce_132_core, uce_5805_core
52     | GTR+G      | 761        | 65eb516ec257fdff4fee9cfd5b152caa | uce_2566_left, uce_1072_core, uce_2540_right, uce_1412_left, uce_3099_right, uce_3882_right, uce_2465_left, uce_5065_left
53     | GTR+G      | 510        | 367e6136c50be47ac71cad43a7061c8a | uce_14_right, uce_3130_left, uce_7050_core, uce_2952_right, uce_4154_left, uce_3264_left, uce_2178_left
54     | GTR+G      | 5007       | f0838827170d52e947cbfd6081225d4c | uce_3130_core, uce_4335_right, uce_1012_core, uce_7069_left, uce_1304_core, uce_738_core, uce_412_all, uce_671_right, uce_4673_core, uce_334_right, uce_1858_core, uce_7011_right, uce_1194_all, uce_1119_core, uce_7077_core, uce_3987_right
55     | GTR+G      | 1152       | c3f32eccd16fde664c6363d3867bd735 | uce_1749_left, uce_127_right, uce_3130_right, uce_2177_left, uce_7211_right, uce_3477_right, uce_6983_left, uce_1539_right, uce_7122_core, uce_1752_right, uce_5284_core, uce_7012_left, uce_7499_core
56     | GTR+G      | 1559       | 0ae9ae0b12ea97bfccda8ba3c30943e9 | uce_3352_all, uce_7790_core, uce_6735_left, uce_699_core, uce_492_right, uce_5_right                
57     | GTR+G      | 884        | 7f43f3289be40648b91ecafe93ac7d66 | uce_6826_left, uce_7310_left, uce_1545_core, uce_4061_core, uce_3512_left, uce_590_core, uce_2450_right, uce_7246_right, uce_4114_core, uce_2310_right, uce_4578_left, uce_1224_left
58     | GTR+G      | 1325       | 440bd3fa81bd64b06517164e9619c0ec | uce_2335_left, uce_3166_left, uce_2250_core, uce_1484_right, uce_3512_core, uce_3071_left, uce_5560_core, uce_5699_core, uce_1012_right, uce_3932_left, uce_3995_right, uce_1547_core, uce_1810_left
59     | GTR+G      | 1559       | a719f53e7636aa2294f2049978a8ef02 | uce_5441_right, uce_4915_right, uce_7207_left, uce_6872_right, uce_655_left, uce_6072_core, uce_810_right, uce_2465_core, uce_6432_right, uce_3354_left, uce_1698_left, uce_3512_right, uce_2936_left, uce_2714_core, uce_6725_left, uce_6233_left, uce_517_right, uce_2468_right, uce_1003_left
60     | GTR+G      | 1284       | de63845a0dc9c114c601cfb19dc8aeb6 | uce_5062_right, uce_608_left, uce_6598_left, uce_5773_right, uce_5291_right, uce_3660_left, uce_2120_right, uce_4586_right, uce_3894_left, uce_4151_left, uce_3638_right, uce_337_core, uce_759_left, uce_1003_right, uce_4640_right, uce_3905_core
61     | GTR+G      | 5248       | 960444df18ab2d11dfea87c066ac08f6 | uce_1415_core, uce_2682_core, uce_62_core, uce_1345_all, uce_7576_core, uce_2028_all, uce_70_left, uce_3228_right, uce_1560_all, uce_2952_core, uce_3660_core, uce_4389_core, uce_7774_core, uce_2294_core, uce_7425_core, uce_119_core, uce_2780_core, uce_1538_all, uce_5366_core, uce_1899_core, uce_7632_left
62     | GTR+G      | 2071       | 6b81d41fc327968fd8da40855ec4aa37 | uce_2080_core, uce_6117_core, uce_7692_left, uce_5090_left, uce_663_core, uce_6568_core, uce_3535_left, uce_6372_core, uce_6754_core, uce_7515_right, uce_7354_core, uce_3530_right, uce_5016_core, uce_2842_right, uce_7969_core, uce_7077_right, uce_3784_left
63     | GTR+G      | 121        | 7abee7c8d708a07e49d3cc83c804e07d | uce_3784_core, uce_1054_left                                                                        
64     | GTR+G      | 841        | b803455cc9b445e0e0688fb68a170726 | uce_5017_right, uce_3784_right, uce_2184_core, uce_6576_left, uce_4885_core, uce_4601_right, uce_7643_right, uce_7298_left, uce_2349_core, uce_3322_right, uce_2512_right
65     | GTR+G      | 433        | c4fa4c78e252132cc780374713773e68 | uce_7163_core, uce_3995_left, uce_3859_left, uce_5251_core                                          
66     | GTR+G      | 150        | 034e6916dfd0cc260f50f48cf877aac1 | uce_3918_left, uce_4024_left, uce_5441_left                                                         
67     | GTR+G      | 5745       | 61380b2c56566a0ecc947f5e57d32755 | uce_3571_right, uce_4202_right, uce_6826_core, uce_3548_left, uce_2149_all, uce_3918_core, uce_1026_right, uce_3486_right, uce_1357_left, uce_7700_core, uce_7113_core, uce_2516_right, uce_3702_all, uce_3631_left, uce_2310_core, uce_2306_core, uce_4935_left, uce_1012_left, uce_4179_core, uce_3651_core, uce_7996_core, uce_3658_core
68     | GTR+G      | 1662       | e5e030e979b539cc8d9ae2adfb0e7b71 | uce_4644_core, uce_6975_core, uce_7068_right, uce_5677_left, uce_52_core, uce_6649_core, uce_4662_left, uce_3771_left, uce_812_right, uce_6608_right, uce_502_left, uce_3918_right, uce_5450_core, uce_7499_left, uce_323_core, uce_6569_right, uce_7207_right, uce_6258_core, uce_6568_left, uce_6382_right, uce_6214_right, uce_4908_right
