Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41030


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1123000.3197
Scheme AICc       : 2255397.71578
Number of params  : 4662
Number of sites   : 599627
Number of subsets : 463

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1006       | 7d203c39fcc71451f00c04783e3505d9 | uce_2594_left, uce_1027_left, uce_2226_right, uce_7632_right, uce_4654_right, uce_4014_left, uce_5580_right, uce_6084_left, uce_2938_left, uce_5265_left
2      | GTR+G      | 3200       | 589bd1e9b4e1f288e24079d3334a1cb1 | uce_1027_core, uce_7362_right, uce_5584_left, uce_6641_left, uce_7684_right, uce_4552_right, uce_2812_core, uce_181_left, uce_1260_left, uce_518_left, uce_7643_left, uce_3067_left, uce_2671_left, uce_6157_left, uce_52_left, uce_3154_right, uce_5934_left, uce_1898_right, uce_3584_left
3      | GTR+G      | 1999       | d4509c0753ef1ac12d7cdd192eda080f | uce_6273_right, uce_362_right, uce_888_left, uce_353_core, uce_4631_core, uce_3862_right, uce_1625_core, uce_7563_left, uce_134_core, uce_7941_left, uce_7530_left, uce_2943_right, uce_7539_core, uce_5319_right, uce_6641_core, uce_4519_core, uce_7263_left, uce_6669_core, uce_5805_core, uce_3660_right, uce_3825_left, uce_3857_left, uce_5679_left, uce_3609_left, uce_323_core, uce_648_core, uce_1027_right
4      | GTR+G      | 556        | 12837f4e3348e7faa6171d0fea853faa | uce_2901_left, uce_6383_right, uce_3636_left, uce_6072_left, uce_1126_left, uce_5017_left, uce_5982_right
5      | GTR+G      | 3210       | 5313361ac0d847c59ea6d33f3da53af1 | uce_1062_all, uce_3231_right, uce_5704_core, uce_1043_left, uce_7019_left, uce_4232_core, uce_3462_all, uce_1511_core, uce_1126_core, uce_1547_right, uce_665_core, uce_4179_core, uce_3651_core, uce_1971_right, uce_1985_right, uce_1232_left, uce_7352_core
6      | GTR+G      | 342        | 47da5899c0d506f60a42968514ed8b8b | uce_5864_left, uce_1126_right, uce_2560_right, uce_4146_right, uce_6548_right                       
7      | GTR+G      | 3731       | 64a0f68dff8401888c699a29ec25d7dd | uce_3638_right, uce_4389_right, uce_1888_left, uce_4605_right, uce_3499_core, uce_3741_core, uce_6068_right, uce_1850_core, uce_5804_right, uce_7095_right, uce_1207_all, uce_3631_core, uce_3584_right, uce_4986_right, uce_3660_left, uce_337_right, uce_7906_left, uce_2920_core, uce_4446_right, uce_4549_all, uce_1170_right, uce_7012_left, uce_4842_right
8      | GTR+G      | 841        | 21198b607228dd39e4418c64d1e3f351 | uce_5259_right, uce_1344_left, uce_352_right, uce_4662_core, uce_1976_left, uce_7510_left, uce_5496_right
9      | GTR+G      | 1396       | ff2988a20757ebc05747eb2fb57b3e40 | uce_6856_core, uce_5125_core, uce_2668_core, uce_599_core, uce_3008_core, uce_4887_right, uce_1344_core, uce_799_core, uce_680_core, uce_7324_core, uce_641_right, uce_3689_core, uce_3348_core, uce_3199_core, uce_7145_core, uce_5584_core
10     | GTR+G      | 353        | f636f495629b5d1259d15d25215b3bb2 | uce_7068_left, uce_1344_right, uce_5589_right, uce_7831_core                                        
11     | GTR+G      | 938        | 2eaedd50fe8063c84240c3c1a4d3616c | uce_1588_left, uce_5995_right, uce_417_right, uce_1026_left, uce_3470_left, uce_1376_left, uce_4541_left, uce_6964_right, uce_2973_right, uce_6620_core
12     | GTR+G      | 872        | 0c25a7ddcfff51acfccb54f3b8471d42 | uce_4562_right, uce_1376_core, uce_7729_left, uce_5179_core, uce_4674_core, uce_7310_left, uce_8040_left
13     | GTR+G      | 3408       | 1a802912c82355634eea45f23ee70f4a | uce_908_all, uce_3926_all, uce_1768_all, uce_913_all, uce_3668_all, uce_1376_right, uce_812_left, uce_3008_right, uce_6117_left, uce_6831_core, uce_70_right
14     | GTR+G      | 4979       | aa0d11569831a654a1d4d5959bd05363 | uce_2149_all, uce_1484_core, uce_5497_right, uce_1026_right, uce_2136_right, uce_2795_right, uce_6472_core, uce_5410_right, uce_1499_all, uce_1579_all, uce_6474_right, uce_131_right, uce_1425_right, uce_2283_all, uce_238_right, uce_1530_right
15     | GTR+G      | 5070       | 34b3432411f5b9a6bd6e2739025add38 | uce_1423_all, uce_4919_core, uce_225_right, uce_2703_left, uce_1480_right, uce_1072_right, uce_3077_all, uce_7692_left, uce_4078_right, uce_492_right, uce_6818_right, uce_3520_right, uce_1750_right, uce_7372_left, uce_3167_right, uce_2417_left, uce_2600_all, uce_4020_core, uce_1588_core, uce_8011_all, uce_1309_right
16     | GTR+G      | 352        | 5009029001a7551b716b90fa85785d09 | uce_5797_left, uce_4249_core, uce_7649_left, uce_1588_right                                         
17     | GTR+G      | 1628       | 6808945d27f670ccd90f2895875afbce | uce_2385_core, uce_5297_right, uce_6047_core, uce_7774_right, uce_7488_core, uce_8046_right, uce_1702_left
18     | GTR+G      | 1079       | 18fce75380f4c9cfce39d28f33c78f1a | uce_1514_left, uce_2598_left, uce_6101_core, uce_2647_left, uce_1702_core, uce_242_right, uce_115_right, uce_7957_left, uce_6248_right, uce_949_core, uce_752_right
19     | GTR+G      | 564        | bdfabbf0760e5d02913cad400f0ec82e | uce_6414_right, uce_6944_core, uce_1702_right, uce_3486_left, uce_1915_core, uce_2851_left          
20     | GTR+G      | 3018       | 9ae8a7a4a1f7312a2e99de02ae0789f1 | uce_7277_core, uce_7688_core, uce_4754_left, uce_1120_right, uce_1850_right, uce_1742_all, uce_5019_right, uce_2125_right, uce_3377_left, uce_14_left, uce_5098_left, uce_4944_core, uce_4552_left, uce_2211_core, uce_3772_core, uce_3905_core
21     | GTR+G      | 1741       | 662b0e14e8d696460bec2567e2b92626 | uce_5601_left, uce_4519_left, uce_2671_right, uce_1983_right, uce_2468_right, uce_7011_left, uce_3060_left, uce_3490_left, uce_956_all, uce_18_left, uce_2943_left
22     | GTR+G      | 1500       | 996e2341afe9f0b20234cb564caea139 | uce_3043_right, uce_7652_core, uce_6569_core, uce_2784_left, uce_16_core, uce_6277_right, uce_3879_right, uce_1458_left, uce_6906_right, uce_7105_all, uce_5292_right, uce_18_core, uce_7173_left, uce_4212_core
23     | GTR+G      | 3184       | c6591b0f1a799ca897884b0455ecd938 | uce_1610_all, uce_4638_all, uce_127_core, uce_18_right, uce_4993_right, uce_7546_left, uce_5914_left, uce_2114_right, uce_301_all, uce_1158_all, uce_3917_core
24     | GTR+G      | 1124       | 358d76aac15c27ccd74e91756bae603d | uce_5684_right, uce_5795_right, uce_2160_right, uce_1832_left, uce_7721_left, uce_4259_left, uce_6553_right, uce_1613_left
25     | GTR+G      | 2691       | ec42a2c2ee160702d6a1d127c8e6fb9e | uce_4535_right, uce_6764_all, uce_1257_core, uce_6669_right, uce_1832_core, uce_1828_right, uce_7950_all, uce_2812_right, uce_4446_core, uce_5146_right, uce_1281_core, uce_5562_all, uce_7362_core, uce_5231_core, uce_1260_right, uce_6648_right
26     | GTR+G      | 852        | 6599ba2a504d2ec62a2fd5c4cd243ecf | uce_2114_left, uce_1832_right, uce_6648_left, uce_3416_left, uce_6277_left, uce_502_left, uce_63_left, uce_4659_left, uce_6588_left
27     | GTR+G      | 1066       | 74f1a3efc7be4e1873ec9b8c562fcb61 | uce_5597_left, uce_3520_left, uce_1897_left, uce_6189_right, uce_1573_right, uce_2177_left, uce_1802_left, uce_6809_left, uce_4304_left
28     | GTR+G      | 4848       | c719e3c779a3fe324697b755150d8d97 | uce_5596_right, uce_3224_all, uce_1897_core, uce_1745_right, uce_1412_right, uce_2682_right, uce_3320_all, uce_6107_left, uce_5155_left, uce_2952_left, uce_2960_core, uce_2321_left, uce_1564_right, uce_352_left, uce_791_left, uce_17_left, uce_4707_left, uce_6648_core, uce_6379_core, uce_1538_all, uce_1131_core, uce_1514_core, uce_1371_right, uce_5065_core, uce_6462_core, uce_1899_right, uce_6324_core, uce_288_core
29     | GTR+G      | 7566       | 11b02ea9e0e38567b5cd444fccecfce7 | uce_1119_core, uce_7011_core, uce_1897_right, uce_759_core, uce_5300_core, uce_6014_core, uce_6860_left, uce_576_core, uce_5827_right, uce_401_right, uce_7649_right, uce_4851_left, uce_1304_right, uce_7504_core, uce_7969_right, uce_616_right, uce_334_right, uce_2487_core, uce_6754_right, uce_5677_right, uce_7616_right, uce_1194_all, uce_3046_right, uce_3071_right, uce_7511_right, uce_7011_right, uce_7164_all, uce_6214_left, uce_5639_core, uce_1172_core
30     | GTR+G      | 8933       | 8e6537eb18b4c9a1bb058f88bc65c4c9 | uce_7320_all, uce_7370_core, uce_4361_core, uce_990_right, uce_1477_right, uce_325_all, uce_406_all, uce_5148_all, uce_7739_left, uce_5925_right, uce_1005_left, uce_2933_core, uce_1225_core, uce_4593_right, uce_1239_right, uce_1405_left, uce_3228_right, uce_5684_core, uce_6106_all, uce_70_left, uce_396_core, uce_148_all, uce_2116_all, uce_1131_right, uce_239_all, uce_1469_core, uce_422_all, uce_1660_right, uce_5064_all, uce_491_all, uce_3826_all
31     | GTR+G      | 1294       | c59f620cf38af268205e1bb1e1d55da8 | uce_620_left, uce_6339_right, uce_235_left, uce_5450_left, uce_2422_core, uce_5539_left, uce_3743_left, uce_1750_left, uce_6588_right, uce_4853_left, uce_2748_left
32     | GTR+G      | 809        | b61ea70c2ac46cd2dd745e5449962899 | uce_5667_core, uce_2538_core, uce_7764_right, uce_5244_core, uce_5251_right, uce_4361_left, uce_235_core, uce_7946_core
33     | GTR+G      | 1804       | c7590dabb9e77d62ed953b583651c319 | uce_2748_right, uce_1169_core, uce_5179_left, uce_3987_left, uce_235_right, uce_1814_core, uce_3412_core, uce_5410_core, uce_2444_core, uce_6019_core, uce_4976_core, uce_3931_core, uce_919_core, uce_4202_core, uce_5857_core, uce_3167_core, uce_2112_core, uce_6059_core, uce_5775_core, uce_2860_core, uce_4069_core
34     | GTR+G      | 3216       | f2c1503629a3ed2849540b1ffdb10160 | uce_3771_right, uce_3528_right, uce_7530_core, uce_1138_right, uce_3416_core, uce_4853_core, uce_2981_core, uce_5185_core, uce_5185_right, uce_7623_core, uce_2063_core, uce_25_all, uce_5077_left, uce_2537_all, uce_6723_core
35     | GTR+G      | 1218       | 7211331d2639ed3f1ab19dc578eeb8d5 | uce_276_left, uce_1425_left, uce_1786_left, uce_939_left, uce_1484_left, uce_6754_left, uce_4324_right, uce_5827_left, uce_4078_core
36     | GTR+G      | 1224       | a4f4e36596dc2f6004bb7c0689479eab | uce_3973_core, uce_7892_core, uce_2506_core, uce_6571_core, uce_4023_core, uce_4205_core, uce_4509_core, uce_3790_core, uce_6347_right, uce_1893_core, uce_276_core, uce_1054_core, uce_5251_core
37     | GTR+G      | 362        | 78e9ed1aa6de4eb62573a15c1414b4e4 | uce_5757_left, uce_276_right, uce_285_left, uce_1371_left                                           
38     | GTR+G      | 1327       | c342395b3e12325a252c84585a91da63 | uce_6746_right, uce_2842_left, uce_5146_left, uce_5019_core, uce_2294_left, uce_1820_right, uce_2857_left, uce_6363_left, uce_7324_left, uce_6214_core
39     | GTR+G      | 2242       | 479679e8307c02ff1fbb1e9261876688 | uce_799_right, uce_1841_right, uce_5601_core, uce_6598_right, uce_620_core, uce_625_core, uce_2477_right, uce_2419_left, uce_7609_core, uce_2857_core
40     | GTR+G      | 302        | 11bc7d4461f7f4543d233c8884f79f6e | uce_5185_left, uce_372_left, uce_6081_left, uce_2857_right, uce_5539_right                          
41     | GTR+G      | 3264       | cf2fc45bc1277451b3ff3af85f54e936 | uce_6746_left, uce_4033_all, uce_3882_left, uce_1814_right, uce_2940_all, uce_1232_right, uce_3196_all, uce_1888_core, uce_5974_core, uce_1230_core, uce_2529_all, uce_4830_core, uce_4090_core, uce_181_core, uce_3555_core
42     | GTR+G      | 1417       | d2c13e4bcb6399999028d78306814bf2 | uce_3231_core, uce_5905_core, uce_1005_core, uce_5196_core, uce_2943_core, uce_6735_left, uce_200_core, uce_7790_core
43     | GTR+G      | 2354       | 2360bf50e12da1e3dbc99d1811b80523 | uce_6019_left, uce_7726_core, uce_432_core, uce_1480_left, uce_5464_right, uce_2973_left, uce_553_right, uce_5757_right, uce_2572_core, uce_5919_core, uce_2489_core, uce_1299_core, uce_5700_core, uce_3670_core, uce_3200_core, uce_2238_core, uce_5158_core, uce_1309_core
44     | GTR+G      | 1121       | f7d0005f2d78e20c2f92ed2c3cda81c9 | uce_451_core, uce_1138_left, uce_2973_core, uce_4119_core, uce_395_right, uce_4840_right, uce_3235_core, uce_7515_core, uce_5065_right, uce_1625_right, uce_6254_core, uce_7727_core
45     | GTR+G      | 854        | 5bd65088da0ceece54871ab4246c885f | uce_323_left, uce_1239_left, uce_431_left, uce_2994_left, uce_5026_right, uce_7963_left, uce_6654_left, uce_6084_right, uce_6464_right
46     | GTR+G      | 1771       | b11a47ecdbbf3034ebd13454f31393ad | uce_7063_core, uce_717_core, uce_1362_core, uce_223_right, uce_2994_core, uce_4586_core, uce_5994_right, uce_6474_core
47     | GTR+G      | 2702       | b0dbb71551aaf1584c8584f97f8bacea | uce_3353_core, uce_5564_core, uce_3400_left, uce_5834_right, uce_1385_right, uce_1021_right, uce_330_right, uce_2062_all, uce_4236_core, uce_1810_left, uce_2994_right, uce_5075_left, uce_2164_right, uce_7408_core, uce_5290_right, uce_3897_core
48     | GTR+G      | 90         | df05e2cec0841c5565a139b17ba4c0fa | uce_3067_core                                                                                       
49     | GTR+G      | 615        | 134aaf97135c54f4d4c684ffb57a899f | uce_4027_left, uce_4212_left, uce_4541_right, uce_3067_right                                        
50     | GTR+G      | 1174       | 0c8cea40f51dafb5573a84c891ea58f5 | uce_2287_core, uce_5597_right, uce_2468_left, uce_5645_left, uce_8041_left, uce_3099_left, uce_7083_left
51     | GTR+G      | 884        | 5c52bf49af7f505d7eb73847113eaa9b | uce_6179_left, uce_2404_right, uce_7969_left, uce_2361_right, uce_6347_left, uce_5176_left, uce_7632_core, uce_5026_core, uce_3099_core
