Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41030


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1122284.30566
Scheme AICc       : 2254128.2271
Number of params  : 4742
Number of sites   : 599627
Number of subsets : 471

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 858        | 5cafcfe7ac6d6a75123527efec59b859 | uce_5300_left, uce_5158_right, uce_4003_left, uce_1027_left, uce_6664_left, uce_2273_right, uce_3777_right, uce_4610_core, uce_5536_right
2      | GTR+G      | 1426       | 5b87bdacbbb121efe23301055b85e8f9 | uce_7207_core, uce_1027_core, uce_5966_core, uce_1749_right, uce_7117_left, uce_4119_core           
3      | GTR+G      | 1390       | 998b62934d9535220872d8fc2c3d7e89 | uce_3046_core, uce_7392_right, uce_1490_right, uce_6756_right, uce_1832_right, uce_2114_left, uce_7122_core, uce_7999_right, uce_6101_left, uce_337_right, uce_3097_left, uce_3664_right, uce_6296_right, uce_4345_right, uce_5200_left, uce_2820_left, uce_5659_right, uce_4998_left, uce_1484_left, uce_3134_right, uce_1027_right
4      | GTR+G      | 50         | bca47e1564d1faf6ac2ba6279c57f2a8 | uce_1126_left                                                                                       
5      | GTR+G      | 2278       | 6301c602ae84642f7c61117f3a4bf7f2 | uce_7967_core, uce_1723_all, uce_16_core, uce_4519_core, uce_1126_core, uce_25_all, uce_545_right, uce_1345_all, uce_182_core
6      | GTR+G      | 1369       | f0beb9df1d146c259c4059fcce1ab5ea | uce_7016_left, uce_7965_left, uce_6548_right, uce_685_left, uce_1126_right, uce_276_right, uce_7468_right, uce_7673_right, uce_5280_core, uce_1564_core
7      | GTR+G      | 5782       | 2617ee6bb7172fca0b99df2fb3c8143f | uce_2598_core, uce_4236_left, uce_2598_left, uce_7491_core, uce_3188_left, uce_5273_core, uce_2857_core, uce_6872_core, uce_7222_core, uce_4550_right, uce_3410_core, uce_1290_core, uce_5601_core, uce_7468_core, uce_1823_core, uce_6296_core, uce_1207_all, uce_4348_core, uce_3198_right, uce_7628_core, uce_3759_core, uce_3264_core, uce_7246_right, uce_7266_core, uce_4853_right, uce_2591_core, uce_3845_all
8      | GTR+G      | 269        | 81fb8cd185ac7e8a295a8552ceee19f5 | uce_5297_right, uce_2959_left, uce_1344_left, uce_5888_right                                        
9      | GTR+G      | 4469       | 14e1eef557e64ec5d5261bc97ab3e401 | uce_1344_core, uce_6608_core, uce_6474_right, uce_2120_core, uce_4033_all, uce_7692_core, uce_7892_core, uce_1910_core, uce_7511_right, uce_1976_core, uce_6746_core, uce_7081_all, uce_7392_core, uce_5677_right, uce_6642_core, uce_1498_core
10     | GTR+G      | 1073       | b1365cb87a2fcec5cd7257b8e77a8914 | uce_4830_left, uce_6558_right, uce_1107_left, uce_1231_right, uce_3907_left, uce_2713_right, uce_1344_right, uce_211_left, uce_5699_left, uce_2274_right, uce_408_left, uce_1946_left, uce_2780_right, uce_6414_left
