Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15450


Best partitioning scheme

Scheme Name       : step_7
Scheme lnL        : -2882136.52747
Scheme AICc       : 5774753.45047
Number of params  : 5168
Number of sites   : 375172
Number of subsets : 496

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1479       | ce80363f5b7a5984eeb7ccafd0d83d18 | uce5345_core, uce865_left, uce3798_core, uce1849_core, uce1008_left                                 
2      | GTR+G      | 1087       | e61a28ed60f7756edd300060c546c108 | uce3619_left, uce4086_left, uce6467_core, uce6866_left, uce2063_left, uce1008_core, uce7011_right, uce772_core
3      | GTR+G      | 1519       | a611cdb4aff2a04526731bbd37033f8d | uce5554_right, uce3987_left, uce7514_core, uce1008_right                                            
4      | GTR+G      | 1206       | aff7f5aeb9a6201d4ed9c55929610d8f | uce5166_right, uce6945_right, uce412_left, uce729_core, uce1012_left, uce2309_core, uce6730_core, uce7848_left
5      | GTR+G      | 3296       | ff668059c2fc928577509d89f9e3cb0a | uce6586_core, uce548_core, uce3826_left, uce783_right, uce1012_core, uce772_left, uce1052_core      
6      | GTR+G      | 1428       | 8109c3b9f7c8b6bcfb583418411d5a96 | uce6462_core, uce1012_right, uce5560_core, uce2274_core, uce7637_right                              
7      | GTR+G      | 337        | 95c0f4de083d43b22955e47b99a7f538 | uce7494_right, uce1601_core, uce1048_left                                                           
8      | GTR+G      | 1134       | b83822f14461092eb493cf6d6de0f426 | uce5062_right, uce1048_core                                                                         
9      | GTR+G      | 767        | b292a8c3161d126463370c114e4da1a1 | uce2647_core, uce2477_core, uce1048_right, uce2261_left, uce5243_right, uce1742_left, uce2080_left  
10     | GTR+G      | 205        | 133b63f7ee04cd31dad4600931615f6f | uce1052_left, uce3287_left                                                                          
11     | GTR+G      | 1719       | 0be552d59137cd62fb73fb2ee2ace0b4 | uce15_right, uce548_right, uce1052_right, uce149_right                                              
12     | GTR+G      | 1925       | c519d95c7aa5775fcdf65d20d8e3a515 | uce780_left, uce1820_left, uce7583_left, uce2387_left, uce6931_right, uce5560_left, uce1092_left, uce2591_left, uce4325_left, uce246_left, uce7768_right, uce2980_right
13     | GTR+G      | 281        | 82f84bc280309239513a32d61f21ec96 | uce7495_left, uce1092_core, uce1232_core                                                            
14     | GTR+G      | 3457       | 908e5a2dbad6b41a64a9a02ca805dfd0 | uce417_left, uce249_right, uce6530_right, uce1591_core, uce1997_core, uce1092_right, uce327_left    
15     | GTR+G      | 762        | 18f946b117a60c81e33f763ba771c900 | uce2366_left, uce7876_left, uce1094_left, uce3448_left, uce2235_core                                
