Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15450


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -2905218.84821
Scheme AICc       : 5820918.09195
Number of params  : 5168
Number of sites   : 375172
Number of subsets : 496

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 736        | 783142d4dbd6aaa74cc4d0d59d32453b | uce1008_left, uce2841_right, uce518_left, uce4716_right, uce5951_left, uce7495_right, uce3862_right, uce5451_right
2      | GTR+G      | 1153       | 5fbd408bffc6cd072a4fc2324f7a450c | uce3907_right, uce6636_core, uce976_right, uce648_left, uce1008_core                                
3      | GTR+G      | 326        | c786cf6e03d7f4b57565c1be48377e93 | uce3451_left, uce1008_right, uce5077_right                                                          
4      | GTR+G      | 310        | a267d15edfcc97f0c0b648021bb2dc8f | uce1012_left, uce598_right, uce1863_right, uce1703_left                                             
5      | GTR+G      | 5060       | 1396f5476336e377ee8e7ee990d7e67e | uce729_core, uce865_right, uce1810_core, uce1660_core, uce274_right, uce330_core, uce1742_core, uce8030_core, uce2013_right, uce2010_left, uce1012_core, uce871_core, uce1278_core
6      | GTR+G      | 2906       | 3f8b00771c2e4e600b825376f755f3fd | uce1427_core, uce949_right, uce5969_core, uce1232_core, uce6530_right, uce7647_core, uce215_core, uce7465_right, uce1012_right, uce3826_left
7      | GTR+G      | 312        | 305077b4cdfa1b1434f3c23c3ede0b11 | uce1048_left, uce5053_left                                                                          
8      | GTR+G      | 1257       | 11f1c8031e7e40bc0bbb89da6a7602d1 | uce1048_core, uce7102_core, uce4593_core                                                            
9      | GTR+G      | 676        | 669c99246dcb9157148c7607a091fd58 | uce1048_right, uce6105_left, uce7452_right, uce3217_left, uce3696_right, uce1232_left               
10     | GTR+G      | 147        | a3fcc8b1307d100082a3e2e38fb9d3d4 | uce1052_left, uce3_left                                                                             
11     | GTR+G      | 1272       | c3339bcda15aa06430ee9822b2a5fe8d | uce1052_core, uce1530_right, uce902_core, uce5215_left                                              
12     | GTR+G      | 1636       | c17754c4d70a3e087704dc8e399ee345 | uce2378_right, uce1052_right, uce6910_right, uce1232_right, uce396_right, uce149_core, uce1742_right, uce2283_core
13     | GTR+G      | 792        | 645f9acb589c279e1b29bd644bfb5180 | uce876_left, uce4416_left, uce6894_left, uce3897_left, uce3647_right, uce1092_left, uce4195_right, uce6827_right
14     | GTR+G      | 2385       | 9c00b00f8bd083b3f27e42bfe89cad05 | uce5196_core, uce1823_core, uce518_core, uce285_core, uce2980_core, uce1092_core                    
15     | GTR+G      | 695        | 345a9df83b428b6c30ab457d199a9f32 | uce4313_right, uce326_left, uce1281_right, uce7011_left, uce6260_right, uce7399_left, uce6879_right, uce772_left, uce1092_right
16     | GTR+G      | 462        | 56089ab0bbb2dc0087162e6d6aae12aa | uce663_left, uce6703_right, uce1094_left, uce7494_right, uce5969_left                               
17     | GTR+G      | 785        | 6efbcf616c23d9b9a3df50e363b01b1f | uce4586_right, uce518_right, uce1094_core                                                           
18     | GTR+G      | 327        | 20383da85081f5b38bd2a772ac2d52f0 | uce4523_right, uce6524_right, uce1094_right                                                         
19     | GTR+G      | 748        | 455309e7b27959faddea4857cdd3720a | uce616_right, uce6591_core, uce1123_left, uce3436_right                                             
20     | GTR+G      | 1107       | a9e18bd77cabe3652b33641c25da3b72 | uce3946_core, uce1123_core                                                                          
21     | GTR+G      | 344        | 03b8a3637905240edb3745788edc711e | uce3743_left, uce1123_right, uce6410_left                                                           
22     | GTR+G      | 818        | e99d28b6870646796de23725d5a8bb83 | uce3609_right, uce3669_left, uce3492_right, uce1127_left, uce1781_left, uce7362_right               
23     | GTR+G      | 3537       | d1aa6b3ac8cac8f1c8e7b1018af3b858 | uce1127_core, uce6910_core, uce648_core, uce616_core, uce7361_core, uce783_core                     
24     | GTR+G      | 1322       | 3d25274fde35d1074991210d77714176 | uce412_left, uce6467_core, uce1925_right, uce1371_core, uce5412_right, uce1127_right, uce3334_left, uce4993_left
25     | GTR+G      | 734        | 008e760ee8c5658758ef0264537ae7f3 | uce2063_left, uce4593_left, uce3340_left, uce7218_right, uce1135_left, uce3436_left                 
26     | GTR+G      | 1071       | 29e4d513bc3a269124ff656ae5f0afbb | uce513_core, uce1135_core                                                                           
27     | GTR+G      | 383        | 50c236e29a1d2894f7004bd4d2a4aafe | uce3627_left, uce3050_right, uce1135_right                                                          
28     | GTR+G      | 670        | f15e25b62269ec0fa427b75ed734744b | uce1526_right, uce114_left, uce3_right, uce574_right, uce783_right, uce5062_right, uce7957_left     
29     | GTR+G      | 1476       | 13d81602b1b1bcd2578c06e0878cad3a | uce114_core, uce1820_core, uce2114_left, uce337_core                                                
30     | GTR+G      | 1582       | a78ab7ebea58c6060522465500369852 | uce805_core, uce323_core, uce6014_core, uce114_right                                                
31     | GTR+G      | 606        | c60fdef3eea1f7592546f9de1a4dcb55 | uce1591_left, uce1154_left, uce2578_left, uce7133_right                                             
32     | GTR+G      | 2002       | 5205890e21fabbd7a90286e5d352357c | uce2122_core, uce703_core, uce7692_core, uce1154_core                                               
33     | GTR+G      | 211        | d957f7b71a878440605479d38711210b | uce249_left, uce1154_right                                                                          
34     | GTR+G      | 938        | ec40fc39a6a6dde1e5b9d4c3dcc21861 | uce1202_left, uce6260_left, uce2387_right, uce1329_right, uce2335_right, uce6579_right, uce3656_right
35     | GTR+G      | 2147       | e7a1d83351b7b851f1b43a142b44c3d7 | uce2010_core, uce3826_right, uce1202_core, uce3713_core, uce4837_core                               
36     | GTR+G      | 458        | 5e11ff276b0ba231ed91cfc2a311dd42 | uce7157_left, uce1202_right, uce7361_right, uce729_left, uce7527_left                               
37     | GTR+G      | 830        | 8ed0ee2e1715f369e4e9b3bf96bd7e87 | uce422_core, uce1209_left, uce85_right, uce215_right                                                
38     | GTR+G      | 1498       | f083c8c83d1a620ac5949749c97aa2f8 | uce703_left, uce2647_core, uce1209_core, uce3869_right                                              
39     | GTR+G      | 1703       | 42a6d97ae4f5173dbdf21d9870297161 | uce1209_right, uce343_core, uce2940_right, uce4416_core, uce533_left, uce2841_core                  
40     | GTR+G      | 84         | 7f8ec9d07459be641c05a3127333a91e | uce1217_left                                                                                        
41     | GTR+G      | 3751       | 1455d5f1942a666820249f25261f2f0b | uce6113_core, uce3987_right, uce2063_right, uce3287_core, uce1217_core, uce2247_core, uce1412_core  
42     | GTR+G      | 1028       | 068519478595070f7a21958ea3779a38 | uce15_right, uce548_right, uce1547_right, uce149_right, uce1217_right, uce7807_left, uce5077_left   
43     | GTR+G      | 633        | d0d13a8479923a90c06612aaadfb5ebd | uce5344_core, uce3530_right, uce1271_left                                                           
44     | GTR+G      | 918        | dd694b4efc3617b9c8dbe6d424cc8ee0 | uce1271_core, uce146_core                                                                           
45     | GTR+G      | 150        | cc1773b65ba49a3f62f99205e155121e | uce1271_right, uce4607_left                                                                         
46     | GTR+G      | 232        | e831d4617ab31dbe65f243e87d5e4a46 | uce1997_right, uce2895_left, uce1278_left                                                           
