Settings used

alignment         : ./Prebus_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 62940


Best partitioning scheme

Scheme Name       : step_13
Scheme lnL        : -9845742.66457
Scheme AICc       : 19714343.4241
Number of params  : 11346
Number of sites   : 1561581
Number of subsets : 1125

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 457        | 61bbe919a93f8471cba26487655c23e8 | uce1308_left, uce1759_core, uce1750_right, uce1_left, uce61_left, uce442_right                      
2      | GTR+G      | 1501       | 56401d8085aa11db2a3964f80833a9d9 | uce1192_right, uce605_left, uce611_core, uce1992_right, uce1_core                                   
3      | GTR+G      | 887        | d5112b4f907fddf12b7c6cbfc117a916 | uce1_right, uce251_core, uce1618_left, uce826_right                                                 
4      | GTR+G      | 4716       | 21dea9ecc639c2ce178491d37a8b82d4 | uce580_core, uce1395_right, uce2_left, uce589_left, uce946_core, uce1480_left, uce527_right, uce1421_core, uce1265_left, uce833_core, uce1207_left
5      | GTR+G      | 1051       | 76aa495c70eff2543348edb46d9c15aa | uce982_left, uce1200_core, uce526_core, uce155_right, uce369_core, uce77_core, uce305_core, uce312_core, uce2_core, uce809_right, uce234_core, uce1261_core
6      | GTR+G      | 5929       | 721e73f99fe36bcf774c1f6eedc0701e | uce2_right, uce1301_right, uce1232_left, uce1192_left, uce1033_right, uce1249_left, uce200_left, uce819_left, uce1152_left, uce459_right, uce227_left, uce638_left, uce852_right, uce678_left
7      | GTR+G      | 370        | cdbf158ce5705485004aba5a27d11f6f | uce295_right, uce3_left, uce683_right, uce2061_left                                                 
8      | GTR+G      | 2143       | fa6471cbf5726f18b0ec89a54fe382c9 | uce3_core, uce1647_right, uce79_core, uce249_core, uce1792_core, uce1898_left                       
9      | GTR+G      | 2213       | d073febb4c358cbf3c8b3e910c7ecede | uce1033_core, uce275_core, uce585_right, uce124_core, uce1740_left, uce1604_right, uce3_right, uce1231_left, uce440_left, uce1648_left, uce1522_right, uce276_core, uce444_core, uce741_left, uce13_core
10     | GTR+G      | 2433       | 43d0b881d8b404433752519456196755 | uce542_core, uce519_core, uce311_core, uce4_left, uce192_core, uce777_core, uce325_right, uce1049_left
11     | GTR+G      | 425        | 5a7ad191e81e44e8f98d0d8e790dfd4a | uce1040_core, uce394_core, uce1630_left, uce1256_core, uce4_core                                    
12     | GTR+G      | 3075       | 50286904412f18e64e16db72b691f667 | uce1599_core, uce1556_core, uce1843_right, uce2023_left, uce1763_left, uce1798_core, uce4_right, uce1700_right, uce1977_core
13     | GTR+G      | 5697       | 42f7a6d6408d3ee14d7561a61be23318 | uce769_core, uce582_left, uce1387_core, uce1655_core, uce837_core, uce1950_core, uce393_core, uce2009_left, uce5_left, uce1000_core, uce1185_core, uce2027_core, uce1922_core, uce894_core, uce1766_core
14     | GTR+G      | 1480       | 9a8116503d2d0ec63e51da5b2b0b1c64 | uce882_core, uce1763_right, uce1596_core, uce1509_right, uce1120_right, uce375_core, uce1426_core, uce5_core, uce534_right
15     | GTR+G      | 3719       | e61b5b5eed0ffa733ec508bccdce2648 | uce1435_right, uce1247_left, uce1136_right, uce875_left, uce5_right, uce663_left, uce1086_left      
16     | GTR+G      | 548        | 07fcb7535cc243f54a5919b14a8e586f | uce6_left, uce768_right                                                                             
17     | GTR+G      | 2340       | 10b9d79a338cb752f6f9af816fa30cdf | uce1204_left, uce257_right, uce922_left, uce6_core, uce638_right                                    
18     | GTR+G      | 968        | 7ba4956a9ae0781413f5404eba309331 | uce6_right, uce418_left, uce469_right, uce262_left, uce15_core, uce1222_core, uce1063_right         
19     | GTR+G      | 618        | 9f0fa30971e855218aa2e0cc1f86cfa1 | uce158_right, uce1858_right, uce1047_core, uce7_left                                                
20     | GTR+G      | 5354       | f2d0c86f09b957d5086014c48cabf272 | uce1336_core, uce1295_left, uce223_right, uce1578_right, uce1130_left, uce366_left, uce749_core, uce1293_right, uce554_core, uce1330_right, uce490_core, uce583_core, uce1379_core, uce7_core, uce200_right, uce935_core, uce432_core, uce407_right, uce1367_right, uce1027_core, uce227_right, uce789_core
21     | GTR+G      | 968        | acc01543bff95f46a4df87a8a18d406e | uce591_right, uce7_right, uce136_left                                                               
22     | GTR+G      | 2101       | c26ba9054b0d3dfdd5fee50beef69c04 | uce642_core, uce408_core, uce61_core, uce899_right, uce1125_right, uce653_right, uce714_core, uce8_left
23     | GTR+G      | 3586       | 71d75db5b9308d4244cb554a02f6ee65 | uce51_core, uce45_core, uce545_core, uce1524_core, uce1855_core, uce1100_core, uce634_core, uce1031_core, uce1342_core, uce8_core, uce709_core, uce668_right, uce1141_core, uce2036_left, uce1678_core, uce1972_right
24     | GTR+G      | 743        | 19b5b038a4b2e20ca616edac4542b5ef | uce1187_left, uce997_left, uce8_right, uce703_right, uce321_core                                    
25     | GTR+G      | 1402       | f07243bf075126c5de67c21605569c18 | uce9_left, uce351_left, uce464_right, uce414_core                                                   
26     | GTR+G      | 563        | 203c784a0a269a3c5c5a73e512f25686 | uce596_left, uce190_right, uce9_core                                                                
27     | GTR+G      | 966        | 50c217f6e584710bd64463b1eab589bd | uce179_left, uce719_core, uce1192_core, uce537_core, uce1316_right, uce9_right, uce409_left         
28     | GTR+G      | 1145       | 5c43b9142bf9af2812136963c1212a6e | uce10_left, uce162_right, uce517_right, uce358_right                                                
29     | GTR+G      | 1403       | 1489f9d0ef71f732b4d4d96d690bf8c8 | uce1330_left, uce1037_left, uce1360_left, uce280_core, uce247_core, uce1393_core, uce212_core, uce10_core, uce154_right, uce1282_core, uce958_core, uce107_left, uce1181_left, uce188_core, uce389_right, uce758_core, uce1275_core
30     | GTR+G      | 1519       | dde4127cab830751e48f28ea6c306737 | uce786_right, uce1220_core, uce625_right, uce10_right                                               
31     | GTR+G      | 3483       | 3ac17abfa11f41b5c3ea408e1b33b640 | uce861_left, uce1788_right, uce1993_core, uce1223_right, uce2018_right, uce1940_left, uce11_left, uce466_left, uce261_core, uce1911_right, uce1569_right, uce2092_right, uce1214_left, uce1800_right, uce44_left, uce1685_left, uce1625_left
32     | GTR+G      | 401        | 6b8f63c724358f064078ad88d676c678 | uce653_core, uce495_core, uce1501_core, uce1587_core, uce11_core                                    
33     | GTR+G      | 1028       | 0f4f4ab14144fbb8771d1300f4f16a48 | uce1193_right, uce11_right                                                                          
34     | GTR+G      | 1463       | bcd84a7288df8a3d5e0c6d28f6862a60 | uce847_right, uce12_left, uce153_left, uce1577_right, uce236_left, uce718_right                     
35     | GTR+G      | 6442       | a48d93eca1f23cf20528b7d9dceb396b | uce578_left, uce12_core, uce288_right, uce404_right, uce923_left, uce205_right, uce743_core, uce356_left, uce553_right, uce73_left, uce399_right, uce1398_right, uce346_left, uce732_right, uce1205_right
36     | GTR+G      | 2161       | 34dd47529dba6d809f758ae9aed4871d | uce221_left, uce176_core, uce12_right, uce477_right, uce1120_core, uce933_right                     
37     | GTR+G      | 1400       | 5e030183986c394a27410e9d9a2fa4dc | uce13_left, uce456_left, uce1389_core, uce868_core, uce677_left, uce1274_right                      
38     | GTR+G      | 1865       | e4aef8316370633c651aa0b39606f2e4 | uce13_right, uce1140_right, uce913_core, uce699_right, uce1017_left                                 
39     | GTR+G      | 1429       | 4191c42670edc3094fc4e47d0783b392 | uce2071_core, uce14_left                                                                            
40     | GTR+G      | 653        | 9cfd4cc987aae4810462f19f712336b1 | uce1188_right, uce906_right, uce1998_left, uce14_core, uce390_right, uce21_core, uce443_core        
41     | GTR+G      | 2183       | d50e6148ae69177472f02a23b34f0faf | uce1090_right, uce80_right, uce700_left, uce1212_right, uce127_core, uce14_right                    
42     | GTR+G      | 2521       | 73c23e5bc8537a28370f1bfdbe03ead7 | uce1431_right, uce800_right, uce1270_right, uce947_core, uce15_left, uce310_right, uce964_left, uce755_right, uce670_right
43     | GTR+G      | 5131       | 036091f96f177dc7e8740b0caf1912e4 | uce1028_left, uce920_left, uce816_right, uce146_right, uce874_left, uce91_right, uce15_right, uce1313_left, uce995_right, uce842_left, uce98_left, uce985_right, uce468_right, uce661_right, uce835_right
44     | GTR+G      | 1638       | 11a008620342ba011eecb553179c02a7 | uce231_left, uce16_left, uce1194_right, uce581_right, uce630_left                                   
45     | GTR+G      | 52         | 13bd3d5dd91b3173fe49ed2660134450 | uce16_core                                                                                          
46     | GTR+G      | 3781       | 00ee01d8e34db8459db4dd61cb75f86f | uce804_core, uce500_core, uce1372_core, uce938_right, uce892_left, uce16_right, uce646_left, uce1369_right, uce702_right, uce537_right
47     | GTR+G      | 306        | 7132bbfa59d65dd89a674a70cbc930ea | uce301_left, uce17_left                                                                             
48     | GTR+G      | 3352       | 5a2a8cfd63a9bcb64f73ef2060b33e10 | uce325_left, uce684_core, uce1974_core, uce1302_right, uce17_core, uce542_right, uce1013_left, uce588_left, uce576_right, uce1121_core
49     | GTR+G      | 514        | 9321a6c2d38fbbf2b543c2ed9986887e | uce931_right, uce17_right                                                                           
50     | GTR+G      | 4093       | 60f48431dc0e5277604a73ab21e13402 | uce968_right, uce328_left, uce18_right, uce901_left, uce18_left, uce246_core, uce539_right, uce852_left, uce1258_left
51     | GTR+G      | 1091       | 814b670f694205d6ab6ea8f424e0bb0a | uce1451_core, uce18_core, uce396_left, uce689_right, uce865_core, uce1365_left, uce1649_right, uce761_core, uce471_core, uce1999_right
52     | GTR+G      | 4865       | 0902fe71bc7cd103496ac053d1b7c23c | uce1260_core, uce359_right, uce1392_left, uce343_left, uce1275_right, uce19_left, uce284_left, uce470_left, uce999_left, uce1412_right, uce502_left
53     | GTR+G      | 1980       | 73a8d7d20a5ba6dda9cecd744e8f2f38 | uce19_core, uce1383_left, uce786_left, uce506_right, uce1432_core, uce620_core, uce478_core         
54     | GTR+G      | 1509       | 6dea84cd1d7584917e23bf246728750d | uce1824_right, uce19_right, uce929_core, uce330_left, uce1449_right, uce1670_left                   
55     | GTR+G      | 2470       | a753c73f20f5453632a3571597359497 | uce789_right, uce20_left, uce587_right, uce1847_left, uce689_left                                   
56     | GTR+G      | 1876       | 3a29e73cb0f793d4d249cd93f12d88c1 | uce328_right, uce1691_core, uce1239_core, uce1447_left, uce20_core, uce31_core, uce967_left         
57     | GTR+G      | 2929       | 2eb05296635d768b9a181002bf34857e | uce1645_left, uce306_right, uce2076_left, uce1559_right, uce1586_right, uce20_right, uce503_right, uce640_left, uce2041_right, uce1825_right
58     | GTR+G      | 1583       | 80b528ca31fcde6198fe606b8ddfe34d | uce1268_core, uce629_core, uce21_left, uce1444_left, uce194_right, uce177_right, uce616_right       
59     | GTR+G      | 4787       | c581718c232fe819e34d7a174f29b25f | uce1295_core, uce782_left, uce879_left, uce347_right, uce1213_right, uce1240_core, uce285_left, uce1210_left, uce782_right, uce471_left, uce657_core, uce21_right, uce220_right, uce893_core, uce1501_right, uce342_left
60     | GTR+G      | 405        | 0064b94c76b1c493e962b54abd899323 | uce388_left, uce1166_right, uce727_left, uce22_left                                                 
61     | GTR+G      | 1130       | 10ba2b5ae2c432a164628588797ab34f | uce212_right, uce1422_right, uce502_right, uce880_right, uce1504_core, uce22_core                   
62     | GTR+G      | 614        | f0957d5f1a15a29c2e1c2b8fd24d11db | uce1312_right, uce1109_left, uce1428_core, uce1444_core, uce22_right, uce257_core, uce584_left      
63     | GTR+G      | 4546       | 00a30e48c12eb2b66b50c681bfd78d0b | uce524_right, uce338_right, uce168_left, uce1598_right, uce1433_left, uce745_left, uce1862_left, uce1005_left, uce837_left, uce151_left, uce1914_right, uce23_left, uce1651_right, uce2053_left, uce545_left
64     | GTR+G      | 1810       | 62a88caab39f937db0fb53bf487efa24 | uce1175_right, uce23_core, uce2021_core, uce34_core, uce217_core, uce429_core, uce1514_core, uce1630_right, uce1769_core
65     | GTR+G      | 1877       | 8801d34eac2be24ff4846a61f45ccf40 | uce1435_core, uce1572_right, uce206_right, uce1870_right, uce1756_right, uce670_core, uce1343_core, uce631_core, uce23_right
66     | GTR+G      | 3481       | a7922eb8b64281fa38c627f30ca7da67 | uce1662_left, uce314_right, uce529_left, uce1553_right, uce110_right, uce966_left, uce1138_left, uce77_left, uce496_left, uce133_left, uce24_left, uce1123_left, uce219_core, uce226_right
67     | GTR+G      | 1249       | ecff3d2d954a644e5369784fefab1a0e | uce1752_core, uce1927_core, uce1764_core, uce1696_core, uce24_core, uce1345_core, uce1044_core, uce1500_core, uce1976_core
68     | GTR+G      | 2205       | e39e5d6468a1a8da1059a393b1f1accb | uce24_right, uce989_right, uce1667_right, uce130_left, uce2064_right                                
69     | GTR+G      | 3182       | 8bee927d6f9dc21ac44d007073c0cf6e | uce1448_left, uce1692_left, uce1708_right, uce1346_right, uce986_right, uce1723_right, uce1209_left, uce25_left, uce1670_right, uce1605_right, uce1459_left
70     | GTR+G      | 2814       | 80fe3b623b0c154abd7c7da4a7a35b64 | uce25_core, uce1760_core, uce206_core, uce1793_core, uce1841_core, uce1799_core, uce987_right       
71     | GTR+G      | 2130       | 19eb487c166f40160943630a1a7d4d04 | uce447_right, uce338_left, uce352_left, uce225_core, uce1384_left, uce25_right, uce851_left         
72     | GTR+G      | 1829       | 35460a91c79c5d70239a2ac792135309 | uce1686_core, uce240_core, uce698_core, uce1495_left, uce185_core, uce1424_core, uce1069_core, uce40_right, uce1173_right, uce1584_core, uce1782_left, uce1062_core, uce29_left, uce26_left, uce1263_right
73     | GTR+G      | 2136       | b7c54bb06a116be5bd7be789b1b26c5d | uce1297_core, uce1714_right, uce256_core, uce876_right, uce361_core, uce26_core, uce1595_left       
74     | GTR+G      | 1030       | 7560b08cb1590c34ee275e1ea26c5381 | uce593_left, uce357_core, uce1297_left, uce1841_left, uce26_right, uce95_right                      
75     | GTR+G      | 2333       | 5dfa66f35904f6c4cc47bd0eae8d30c8 | uce420_core, uce1480_right, uce920_core, uce2064_left, uce1087_core, uce1668_core, uce646_right, uce875_core, uce581_left, uce27_left, uce938_left, uce178_left
76     | GTR+G      | 633        | 3522ef079bee4c0f4aca99910c2aa287 | uce1225_left, uce1301_core, uce703_core, uce1191_left, uce427_core, uce27_core, uce324_core, uce2064_core
77     | GTR+G      | 3126       | 147d930c22f2c92da40987e39d341baa | uce1290_left, uce1158_right, uce354_core, uce1451_right, uce27_right, uce659_left, uce943_right, uce213_right
78     | GTR+G      | 1017       | a415aa4868fb7a8e78d07edcc3678ca3 | uce900_core, uce229_left, uce459_core, uce2010_core, uce512_right, uce28_left, uce448_right         
79     | GTR+G      | 1085       | 2c1520db354cd2cdd8daa84b6f06a952 | uce163_core, uce28_core, uce1125_left                                                               
80     | GTR+G      | 2375       | 0b101c4aae61e6db0613d89209ef7b7e | uce666_right, uce256_right, uce628_right, uce887_core, uce28_right, uce1653_left, uce1786_left, uce1389_right, uce119_right, uce1531_core, uce1931_right, uce1680_left, uce1681_left, uce1790_right, uce1850_left
81     | GTR+G      | 747        | a499ec84aab1ccf68ff2663bc4018035 | uce29_core, uce396_right, uce766_left                                                               
82     | GTR+G      | 1469       | fdd086fc6ea51dd546b68486382aa155 | uce376_right, uce2051_left, uce322_left, uce1864_right, uce1034_right, uce367_right, uce29_right    
83     | GTR+G      | 2166       | efce7f1e1b590b6982d50ccc9a4d45f3 | uce1244_left, uce226_core, uce503_core, uce1968_core, uce30_left, uce43_core                        
84     | GTR+G      | 4256       | 6b3cf4a8184bc5de478c8210f7308701 | uce1428_left, uce30_core, uce1051_right, uce1074_left, uce225_left, uce231_right, uce1160_core, uce559_left, uce655_right, uce700_right
85     | GTR+G      | 1935       | 4cef292a73acb335e60319b276fbf162 | uce1076_core, uce1550_right, uce367_core, uce1004_core, uce30_right, uce1729_core, uce926_left, uce633_right, uce946_left, uce1478_core, uce1671_right, uce595_right, uce1518_left, uce569_left, uce945_core, uce365_left, uce316_left, uce2052_right
86     | GTR+G      | 751        | 55095698a1ab885c4939f807551f8098 | uce1549_right, uce31_left, uce391_left                                                              
87     | GTR+G      | 1988       | e2d25c3378ad3380c1c8cc566f3e64b5 | uce473_right, uce750_core, uce1197_left, uce31_right, uce1540_right, uce1707_left, uce118_left, uce332_core
88     | GTR+G      | 2595       | d1f18c7f00f8176e57729aac411b7f85 | uce1986_core, uce47_core, uce1658_core, uce1878_core, uce350_core, uce1572_core, uce32_left         
89     | GTR+G      | 1238       | a4e1da30d8834bfa6452705bea18f502 | uce1919_right, uce2018_core, uce1752_right, uce1575_core, uce32_core, uce1532_right, uce1098_right, uce842_right, uce1159_left, uce758_left
90     | GTR+G      | 2757       | eb21d321771342544ffeba660cc63f15 | uce1269_left, uce76_left, uce1342_left, uce1380_left, uce210_core, uce224_left, uce467_left, uce175_core, uce387_left, uce32_right, uce597_right, uce1055_right, uce2082_left, uce601_left
91     | GTR+G      | 2469       | 56ee3dae3e6cab8bab7a118fcfa5cc24 | uce573_core, uce585_core, uce964_right, uce1172_left, uce307_right, uce33_left, uce269_core, uce66_core, uce1307_core, uce308_core
92     | GTR+G      | 2147       | 3909155efad054f5570aeeed89330ba0 | uce1523_left, uce2084_left, uce1886_core, uce2018_left, uce1138_core, uce33_core, uce1634_left      
93     | GTR+G      | 823        | 37e8c540af4b24a9e303a43640030ef5 | uce1244_right, uce562_core, uce33_right, uce729_left, uce1489_left                                  
94     | GTR+G      | 2602       | b18aa5a9db2d5835e54bef600d736a50 | uce1366_right, uce552_right, uce2035_right, uce34_left, uce1009_left, uce519_right, uce1255_right, uce1601_core, uce2035_left, uce1020_left, uce226_left
95     | GTR+G      | 2788       | b26a35034c624bd727f0ee012acefdb3 | uce1377_left, uce564_right, uce447_left, uce1965_left, uce173_core, uce1566_right, uce1488_left, uce2093_left, uce1971_left, uce1948_left, uce34_right, uce728_right, uce1019_left, uce1683_left, uce953_left, uce429_left, uce1750_left, uce2065_right
96     | GTR+G      | 4129       | 54758e83398b39ae8b86124bdbad23c6 | uce674_core, uce35_left, uce1441_right, uce1701_left, uce1387_left, uce1542_left, uce581_core, uce1392_core, uce2011_right, uce1813_left, uce1358_right, uce1772_right, uce1610_left, uce1665_left, uce1844_left, uce693_right, uce855_core, uce1829_right, uce1707_right
97     | GTR+G      | 4302       | 3086dfa5402ae46e43294136b44602ce | uce813_core, uce1605_core, uce1939_core, uce1103_core, uce962_core, uce887_left, uce2079_core, uce1672_core, uce35_core, uce691_core
98     | GTR+G      | 2405       | 11bed22aadef0449b2dd0a0410d31c7e | uce835_left, uce1916_left, uce35_right, uce648_right, uce1594_left, uce1051_left, uce916_left, uce392_left, uce1222_left
99     | GTR+G      | 2671       | f8baa73da5832b5f8bc7f94c77638c24 | uce1697_right, uce1097_right, uce621_right, uce202_left, uce36_left, uce1100_left, uce760_left, uce48_left, uce1613_right, uce1663_right, uce1479_left, uce1699_right, uce1622_right
100    | GTR+G      | 4972       | 571c51d88f5871de288480ce1b94b0bc | uce1926_left, uce1596_right, uce1870_core, uce1591_left, uce371_core, uce1452_right, uce1943_right, uce36_core, uce1782_core, uce1541_core, uce2008_right, uce1947_left, uce248_right, uce2051_core, uce279_core
101    | GTR+G      | 2459       | 5fbea1600145dab096c41d067ba24892 | uce1184_left, uce2020_right, uce771_core, uce1229_left, uce894_left, uce1121_right, uce36_right, uce112_left, uce279_right, uce1575_right, uce685_left, uce626_right
102    | GTR+G      | 821        | 15a86a4de681f1424a08767e6fcca31a | uce1520_left, uce1858_core, uce37_left, uce253_right                                                
103    | GTR+G      | 3578       | 15460455f847bb62f792069b50e2d34a | uce1468_right, uce99_right, uce235_right, uce1236_core, uce1510_right, uce1160_right, uce189_right, uce962_left, uce1172_right, uce818_left, uce37_core, uce183_core, uce91_left, uce2076_right, uce1048_right, uce1518_right, uce1722_right
104    | GTR+G      | 1179       | 3a8ad4dec0e0ba9f3e2abf1106616b34 | uce37_right, uce523_right, uce1830_left                                                             
105    | GTR+G      | 1518       | 8a1715a5204099dc942154971df781ed | uce795_left, uce564_left, uce806_right, uce1304_left, uce38_left, uce201_left, uce1016_core, uce106_core, uce1417_right, uce47_left
106    | GTR+G      | 1866       | c96faa8ccb31025dbe0617625f13f293 | uce376_core, uce1157_core, uce38_core, uce1431_left, uce597_core, uce1307_left, uce2096_left, uce292_core, uce123_right, uce1536_right, uce950_left
107    | GTR+G      | 1132       | 868e465eafc5c1ee4d63509093811a02 | uce202_right, uce776_core, uce1108_left, uce716_right, uce38_right, uce2068_left, uce643_right, uce1808_right, uce1816_left
108    | GTR+G      | 3528       | 12b0655e2f4be3638f2ca7f8bdcc107c | uce1340_core, uce1306_left, uce645_core, uce1326_core, uce1355_core, uce1170_core, uce1340_left, uce676_core, uce39_left, uce1002_right, uce1180_core, uce181_core, uce91_core, uce1467_right
109    | GTR+G      | 1726       | 8c5060b7d647f06957439be98967a63c | uce344_left, uce609_core, uce973_left, uce199_core, uce904_right, uce1334_core, uce75_core, uce1774_left, uce545_right, uce39_core, uce1026_core
110    | GTR+G      | 2185       | d212afa56957f300fb8bfcaf9b14f03c | uce39_right, uce207_core, uce1069_left, uce156_left, uce967_right                                   
111    | GTR+G      | 1613       | 653d3f0e3e9f652a06d9f263aeb80223 | uce40_left, uce1652_core, uce402_left, uce1111_right, uce1513_right, uce1842_right                  
112    | GTR+G      | 1673       | 856c5442e69f2b1805dce86f591b9b02 | uce1967_core, uce2020_core, uce1147_left, uce40_core, uce58_right                                   
113    | GTR+G      | 2410       | 50c94f4d4377762f1d699db5cf7ab23d | uce305_left, uce1007_left, uce207_right, uce80_left, uce41_left, uce1176_left, uce1300_core, uce740_core
114    | GTR+G      | 1143       | e09f8990e93ba67123eb70427de45677 | uce1098_core, uce153_right, uce1099_left, uce270_core, uce1270_core, uce657_right, uce41_core, uce744_core, uce678_core, uce752_core, uce1608_left, uce745_right, uce987_core
115    | GTR+G      | 5309       | e59e222840fe0da29c8b4a5700abb558 | uce41_right, uce814_left, uce214_left, uce1252_right, uce1143_left, uce600_right, uce452_core, uce342_right, uce331_right, uce1235_right, uce1582_right, uce433_right
116    | GTR+G      | 1942       | 9629a59208b728774742fc63f5e3b1fa | uce42_left, uce912_right, uce385_left, uce1353_right, uce1133_left                                  
117    | GTR+G      | 1905       | a393e9b3c38205473a82c0632b4b7e7e | uce1935_core, uce871_core, uce265_core, uce1363_core, uce1889_core, uce42_core, uce1983_core, uce1687_core, uce417_core
118    | GTR+G      | 1260       | b13b53bc80e964242708175c4941da5c | uce1841_right, uce1929_left, uce896_left, uce42_right, uce1548_left                                 
119    | GTR+G      | 1987       | c45c5f3a2dcfd18442677517dbc0ce79 | uce694_left, uce619_right, uce1067_left, uce960_right, uce43_left, uce1891_left, uce1174_core, uce451_left, uce496_right, uce1284_left
120    | GTR+G      | 586        | 049fd32b5d99c6bac72086abd68e35a9 | uce43_right, uce379_left, uce521_left                                                               
121    | GTR+G      | 5577       | f42b6ffaf116c27fe8883ad9f462a969 | uce1657_left, uce1491_core, uce454_core, uce44_core, uce906_core, uce106_right, uce351_core, uce1286_core, uce651_core, uce1522_core, uce1095_left, uce1656_core, uce1698_core
122    | GTR+G      | 1995       | 3de61ae7d288d94a9183d96b24264b70 | uce982_right, uce888_left, uce44_right, uce1198_right, uce1146_right, uce155_left, uce933_left, uce1544_core, uce841_right
123    | GTR+G      | 830        | 431d55e0db9dcfbfbc686779aa0c7fb0 | uce1805_left, uce981_right, uce45_left, uce885_core, uce912_core                                    
124    | GTR+G      | 2337       | 72d6aa2749893f10ed8e77a19059a762 | uce118_right, uce45_right, uce801_right, uce1067_right, uce1115_core, uce1101_core, uce371_left, uce1314_right, uce1149_left, uce2095_left, uce629_right, uce94_right, uce1303_left, uce1599_right, uce935_left, uce1294_core, uce1095_right, uce2011_left, uce1270_left, uce1339_left
125    | GTR+G      | 1917       | 8a1a197c8afe885ad278aa5d1c6d0e30 | uce2035_core, uce844_left, uce1745_right, uce46_left, uce1538_core, uce1569_core, uce1903_core      
126    | GTR+G      | 190        | 0816eaf3d048b3ba562255cd56b452dd | uce46_core, uce528_left                                                                             
127    | GTR+G      | 176        | f4e1af7c8c020f5961fb73c499b4d335 | uce46_right, uce242_core, uce87_core                                                                
128    | GTR+G      | 4664       | b45a1c5bf6b5cad74357bc6effbf993e | uce360_right, uce502_core, uce182_left, uce47_right, uce1106_right, uce920_right, uce2034_left, uce624_core, uce1731_left, uce1414_right, uce1178_left, uce1851_right, uce1266_core, uce1086_core, uce1866_right, uce1922_right, uce1782_right, uce54_right, uce1816_right, uce652_core, uce1832_right, uce277_left, uce80_core, uce1190_core, uce1561_core, uce840_right
129    | GTR+G      | 1608       | b0882d12cf258712fb65626d59d880e7 | uce1744_left, uce1712_left, uce48_core                                                              
130    | GTR+G      | 1317       | e6e935513593018080a4bd16d64d577d | uce1847_core, uce793_left, uce773_core, uce48_right                                                 
131    | GTR+G      | 3992       | 27eaf7c5050c1ef8799eec52210136b6 | uce49_left, uce619_left, uce177_left, uce195_left, uce1280_left, uce1460_left, uce1255_left, uce284_right, uce1497_left, uce1432_left, uce725_right, uce934_right, uce1461_left
