Settings used

alignment         : ./Prebus_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 62920


Best partitioning scheme

Scheme Name       : step_23
Scheme lnL        : -9906311.45439
Scheme AICc       : 19835805.7387
Number of params  : 11506
Number of sites   : 1561581
Number of subsets : 1141

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 323        | a86ebd9cc4a04ce282f6df1de94ea9b0 | uce426_right, uce1_left                                                                             
2      | GTR+G      | 2531       | 68729a0a6ca44cf00fd8031415c050ba | uce2035_core, uce67_core, uce1_core, uce1367_left, uce2094_right, uce1011_core, uce1019_left, uce938_right, uce650_core, uce2057_core, uce1982_core, uce1490_core
3      | GTR+G      | 2535       | 83a9cf2df5130a5876a15da08e363406 | uce1269_right, uce2098_left, uce1217_core, uce1_right, uce45_right, uce1996_core, uce1697_left, uce840_right, uce1106_left, uce1701_left, uce370_right, uce600_right, uce2076_right, uce259_right, uce1279_right
4      | GTR+G      | 2138       | 5be795fe2f426c691d76889e7e1a02a8 | uce1010_core, uce633_left, uce1203_right, uce1104_left, uce2_left, uce1272_left                     
5      | GTR+G      | 2173       | 8c74639363a46206f222e5c44383f5b6 | uce474_core, uce572_core, uce347_left, uce525_core, uce784_core, uce2_core, uce253_core             
6      | GTR+G      | 3278       | ab79d58f3e12986cdd8c0619d4b75581 | uce1161_left, uce166_core, uce1960_core, uce228_left, uce2_right, uce1879_left, uce210_left, uce326_right, uce1121_left
7      | GTR+G      | 732        | 9f99d724705f0a897e49e7106fa260cf | uce3_left, uce1856_left, uce1940_core                                                               
8      | GTR+G      | 1596       | 3152679fe56cec45f7bd851095aedd64 | uce1206_core, uce589_core, uce1084_left, uce260_right, uce3_core, uce131_right                      
9      | GTR+G      | 2246       | b54ff6fac7fcb7b8f2aaaa3109481b25 | uce200_core, uce206_right, uce2011_left, uce1065_left, uce1346_right, uce961_right, uce1855_left, uce1882_core, uce3_right, uce23_right, uce1604_left
10     | GTR+G      | 3878       | 0aafb09e1a097616dfbb61aab888ee73 | uce4_left, uce1041_core, uce144_right, uce294_right, uce344_core, uce412_core, uce243_core, uce12_core, uce323_core, uce857_core
11     | GTR+G      | 2666       | 9977f67dbbcf0085f3748ef65a32d1c7 | uce2028_left, uce166_right, uce29_right, uce757_left, uce4_core, uce1463_core, uce1323_right        
12     | GTR+G      | 1466       | 52b960b158f6a8605f31004413fb89cd | uce170_core, uce375_left, uce684_right, uce1715_right, uce389_left, uce1682_right, uce1054_core, uce915_right, uce4_right
13     | GTR+G      | 2739       | 9adcd0236755e356737e2e7f5e36a006 | uce331_left, uce1482_core, uce1287_core, uce902_core, uce404_left, uce5_left, uce852_left           
14     | GTR+G      | 1809       | 95567e2f2866d8e5ec12e7cb5fc6facb | uce970_right, uce137_left, uce1152_right, uce69_right, uce1180_left, uce342_right, uce453_left, uce1471_right, uce732_left, uce5_core
15     | GTR+G      | 4245       | 7acdebf28d76b34c1882d4ccedc9e208 | uce436_left, uce820_right, uce967_left, uce156_left, uce5_right, uce1036_right, uce1217_right, uce1090_left, uce488_left, uce922_right
16     | GTR+G      | 698        | db9d8065c3ef4f1966bbf01665dbff70 | uce6_left, uce596_right                                                                             
