Scheme Name       : start_scheme
Scheme lnL        : -10065173.4114
Scheme AICc       : 20173075.5416
Number of params  : 21076
Number of sites   : 1561581
Number of subsets : 2098

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 788        | 86139982507f4ea903b44a03b45541b4 | uce1                                                                                                
2      | GTR+G      | 800        | 54ede79f4041733ddf690ac565f25ca8 | uce2                                                                                                
3      | GTR+G      | 812        | a02d89fa7dcf7bc288a3e7fb957bc66d | uce3                                                                                                
4      | GTR+G      | 930        | 804ce5127bc5a335cfffbc3fa3df1a79 | uce4                                                                                                
5      | GTR+G      | 926        | 4e225dd5698712fe7d7607f2dbade44f | uce5                                                                                                
6      | GTR+G      | 791        | 0de6bf41db1640d1a24a79ad62f3f46f | uce6                                                                                                
7      | GTR+G      | 634        | a5490572e22a3aaaf8fb95a14b92f341 | uce7                                                                                                
8      | GTR+G      | 487        | f863de0afe962efbdaab08ac24811da1 | uce8                                                                                                
9      | GTR+G      | 894        | 6096f4fb48899a3034a58715315aab6d | uce9                                                                                                
10     | GTR+G      | 703        | e739b37aa085fab63ea14399ccd975e8 | uce10                                                                                               
11     | GTR+G      | 1031       | 7d80257e60660c091826d9493df0a784 | uce11                                                                                               
12     | GTR+G      | 691        | 8a571ad032c7a63be11d18b6e764a444 | uce12                                                                                               
13     | GTR+G      | 374        | e91b57136f7d1ce161d0d385506bf924 | uce13                                                                                               
14     | GTR+G      | 993        | 5040e11d6d862e7765f9271663f42e7e | uce14                                                                                               
15     | GTR+G      | 596        | eab468aa5d89f6a9c7ab664da0597a3c | uce15                                                                                               
16     | GTR+G      | 994        | b15fddc43b406f54881e5c4db05029ad | uce16                                                                                               
17     | GTR+G      | 887        | d0a3d5c01d88ef11a21847e79dd35f20 | uce17                                                                                               
18     | GTR+G      | 1168       | d61d47baf0ec657c38c3defa49c33945 | uce18                                                                                               
19     | GTR+G      | 1053       | 4d26803e8bd5794bfb9afa81d4de8b6a | uce19                                                                                               
20     | GTR+G      | 726        | 2d3320ccc67865f621ee2dd2aaa5e143 | uce20                                                                                               
21     | GTR+G      | 826        | 10c5e01750dd73b3959c083ddcbd86f8 | uce21                                                                                               
22     | GTR+G      | 664        | b1834813ae02f13985f8d098f910780b | uce22                                                                                               
23     | GTR+G      | 859        | e00e40b9afb3725fb331b7091b295389 | uce23                                                                                               
24     | GTR+G      | 883        | cac112a6a76d2ec59897d658c5d3760e | uce24                                                                                               
25     | GTR+G      | 1070       | efc1e111ace092b08f68ed0eb92005b0 | uce25                                                                                               
26     | GTR+G      | 686        | f8764d0908470fe8a16c091108d06b3b | uce26                                                                                               
27     | GTR+G      | 1092       | 617d98869773020379cd8033304d5f0a | uce27                                                                                               
28     | GTR+G      | 641        | c17dd22fa16c83ce0541ec96ba369169 | uce28                                                                                               
29     | GTR+G      | 492        | 7d4df913df2d9c21eabff420d77229ab | uce29                                                                                               
30     | GTR+G      | 917        | 4e52e4b34f154eb460f66c2bde10f3cb | uce30                                                                                               
31     | GTR+G      | 674        | f4752653f5e3f7c52f48d5c684af1e65 | uce31                                                                                               
32     | GTR+G      | 765        | f2e5cc1011d3786f740731909ba77c01 | uce32                                                                                               
33     | GTR+G      | 747        | 0cc86fd40d0c09abcbf5ad77a811ad02 | uce33                                                                                               
34     | GTR+G      | 929        | d6e9aad07f7694256b86fbdd246c332d | uce34                                                                                               
35     | GTR+G      | 947        | aa9b5a2ad65ecb69d47a58f98fc79fe7 | uce35                                                                                               
36     | GTR+G      | 775        | 4029287d584a9e79c5874c65a897814a | uce36                                                                                               
37     | GTR+G      | 721        | e9408666e4fd7e1d03dfaae81fdd2c25 | uce37                                                                                               
38     | GTR+G      | 494        | c1db4542196c6f6626462d0c8186322e | uce38                                                                                               
39     | GTR+G      | 782        | a2f740bc1870248fdc4afbead57efabf | uce39                                                                                               
40     | GTR+G      | 819        | 768a960817503b6a013359f98dd14f0e | uce40                                                                                               
41     | GTR+G      | 1335       | 731b2964197bd06dff1614cb9004a825 | uce41                                                                                               
42     | GTR+G      | 897        | bbcab6cda0a9b8a829664a3e6161939f | uce42                                                                                               
43     | GTR+G      | 954        | 85ee66642f7127d6a33ce1c5c491679b | uce43                                                                                               
44     | GTR+G      | 883        | dc900c74810e5f2dc121554dd66d243f | uce44                                                                                               
45     | GTR+G      | 768        | c1ff73708a1deb22a363e4d6091b0023 | uce45                                                                                               
46     | GTR+G      | 653        | 9c9b6a1a21e8d0ffcff1a54b8fa515b3 | uce46                                                                                               
47     | GTR+G      | 852        | 55ccc6e3c87c28f6d418ced60aa09103 | uce47                                                                                               
48     | GTR+G      | 844        | 4976e6e5e8052a014a5b7cde1cbedfdb | uce48                                                                                               
49     | GTR+G      | 669        | eb339ba74cc04970c1a4b5b3a8a9e291 | uce49                                                                                               
50     | GTR+G      | 900        | 85a1d5646678ea3bd380e65a082af4ed | uce50                                                                                               
51     | GTR+G      | 420        | 30d5bb01aae789e94c3c17b0b1e5ddf3 | uce51                                                                                               
52     | GTR+G      | 372        | 2df1da35c7be0cfc4df5efe736c6bc14 | uce52                                                                                               
53     | GTR+G      | 730        | 66af0f7bebf08f0d36424d66bc0c691a | uce53                                                                                               
54     | GTR+G      | 774        | f1c7a7591b1e71f0ce7198f04ae2f575 | uce54                                                                                               
55     | GTR+G      | 825        | 42eb15f4ce78df88bc42902d9778c0eb | uce55                                                                                               
56     | GTR+G      | 649        | edc93bf7931c9c1fa5fdc8b400f9c191 | uce56                                                                                               
57     | GTR+G      | 877        | 4253b091238faa69b497f2e2d7f8de4b | uce57                                                                                               
58     | GTR+G      | 582        | d6611ed891b5aa571aeb3c8a716149c9 | uce58                                                                                               
59     | GTR+G      | 813        | 0323e99ec674abc760a97c82af4dbab6 | uce59                                                                                               
60     | GTR+G      | 751        | 07feae23eb6720103acc0f9d158cc31b | uce60                                                                                               
61     | GTR+G      | 736        | 12860f1ae3dbc29ce809d279a42e14a9 | uce61                                                                                               
62     | GTR+G      | 1046       | 32a02c2ebfb84c21401f75c6ec9fbb65 | uce62                                                                                               
63     | GTR+G      | 909        | 956358a0f65a4fbf0d49d2aa593111fd | uce63                                                                                               
64     | GTR+G      | 948        | d44e2a8300bcd7c116bd63c6049bde5b | uce64                                                                                               
65     | GTR+G      | 396        | d684ec354e3b9a1699e066a290ce8cdd | uce65                                                                                               
66     | GTR+G      | 638        | c267b85aa31442def01d65d1f7b11a4c | uce66                                                                                               
67     | GTR+G      | 946        | 250c1fa96bcfc57dd605e858f6923385 | uce67                                                                                               
68     | GTR+G      | 965        | a6a6f751d832e7f50c6963ebfa18c6bf | uce68                                                                                               
69     | GTR+G      | 1168       | fa849f53bf4030d284132c7882de3628 | uce69                                                                                               
70     | GTR+G      | 680        | 19bd29bd05781eb8c3bb1cfe85f7c34e | uce70                                                                                               
71     | GTR+G      | 528        | bb713eb823d3fc1a1b5c25b4c313cd7a | uce71                                                                                               
72     | GTR+G      | 594        | 547d531e325da7d4e2de78df292e3cb5 | uce72                                                                                               
73     | GTR+G      | 843        | d1a22b7b94d36f5517d84c8f9e3d83f7 | uce73                                                                                               
74     | GTR+G      | 595        | 38b10ac45c16b37887a774524a11af68 | uce74                                                                                               
75     | GTR+G      | 1116       | 281f1f8da0c9ea15888a976669893799 | uce75                                                                                               
76     | GTR+G      | 690        | 2ef1502918621c7e0ab25e5019c8bda1 | uce76                                                                                               
77     | GTR+G      | 631        | 7a2a160388246656cbe5482600a7b026 | uce77                                                                                               
78     | GTR+G      | 821        | de87cf84254c5556a9acb1c9fec3f249 | uce78                                                                                               
79     | GTR+G      | 956        | 2775075fa7144ad9e878db2d1e9cb2d4 | uce79                                                                                               
80     | GTR+G      | 857        | 6f229800db45f5ac2f568ab76def16f8 | uce80                                                                                               
81     | GTR+G      | 693        | 7aa594a8365e990cc4563c639d11a912 | uce81                                                                                               
82     | GTR+G      | 274        | b0a358c496c0b9bf102b38cc72e72518 | uce82                                                                                               
83     | GTR+G      | 686        | 5e049ebe26147acfa38d3ef07821c417 | uce83                                                                                               
84     | GTR+G      | 785        | cb31703506f4812721e2e33b25f67cbb | uce84                                                                                               
85     | GTR+G      | 532        | 1698bc71c044886985351b462f729f5e | uce85                                                                                               
86     | GTR+G      | 921        | 930f31ac4dde72ce06d95c3387b9eda6 | uce86                                                                                               
87     | GTR+G      | 595        | 34de073ee9dbe40dae2f49e3521bf094 | uce87                                                                                               
88     | GTR+G      | 1034       | 406529bd9b13b78aae0a2cebe7c0a884 | uce88                                                                                               
89     | GTR+G      | 754        | 1ee8fd16d018bbc3deb832ad22795d1f | uce89                                                                                               
90     | GTR+G      | 851        | 58c960a9068c7e715f33369d8e386d02 | uce90                                                                                               
91     | GTR+G      | 510        | bb23ed6c327da5f4aec46bc20100b824 | uce91                                                                                               
92     | GTR+G      | 256        | 2ce3fc850804e7b1d807ef4e6a67367c | uce92                                                                                               
93     | GTR+G      | 347        | 9e4c3c061a5d3b00dfd035fe1e2ebe30 | uce93                                                                                               
94     | GTR+G      | 734        | 7bf5ddd66376269305d767e4d1710cfd | uce94                                                                                               
95     | GTR+G      | 455        | 8c6fac5aedd9f209de3f575846923947 | uce95                                                                                               
96     | GTR+G      | 860        | 3acfb831d1cf4bbdd67628a42b88e844 | uce96                                                                                               
97     | GTR+G      | 475        | 711b3b14b99a94e79f109a321eaea1a1 | uce97                                                                                               
98     | GTR+G      | 1063       | 9db7bf7dc3dfc57b768bab5650471d8c | uce98                                                                                               
99     | GTR+G      | 1213       | 1571acfdddc397249466df27249b8a17 | uce99                                                                                               
100    | GTR+G      | 1159       | d536d7721f35f9c75476749fcc3849c0 | uce100                                                                                              
101    | GTR+G      | 461        | 922fe0ad873eaf3e5568a968c7c59313 | uce101                                                                                              
102    | GTR+G      | 665        | c12099dfa488ce0b0480c59c7d9f4c07 | uce102                                                                                              
103    | GTR+G      | 698        | a25e89a92abaff65dbaab30407e163d3 | uce103                                                                                              
104    | GTR+G      | 733        | 7928976f3236954dd59f428458b0cf15 | uce104                                                                                              
105    | GTR+G      | 882        | f50697e78ef4e57e3c048d0419aceb02 | uce105                                                                                              
106    | GTR+G      | 933        | 8511f13bf9fb8c57aaf356eccf1621e2 | uce106                                                                                              
107    | GTR+G      | 778        | 96b6351ab70e02fcb7b88de3e3d4beb7 | uce107                                                                                              
108    | GTR+G      | 633        | 5942c55b8829b29b36117d3c55996a63 | uce108                                                                                              
109    | GTR+G      | 636        | 00c1bae21f56836d004d7d7903813f84 | uce109                                                                                              
110    | GTR+G      | 1038       | 3a782f41943bf65b9cb84e5faf9ce93b | uce110                                                                                              
111    | GTR+G      | 504        | db1e47a57cbbfe9ddd26d66800e4cb41 | uce111                                                                                              
112    | GTR+G      | 939        | 8e233c84b4b4757a1667c711339ce2a2 | uce112                                                                                              
113    | GTR+G      | 710        | 25e18ee2f475a6e23d0b712eb132dc02 | uce113                                                                                              
114    | GTR+G      | 346        | 1fa0ca96d167c273dec5f8dad98967c4 | uce114                                                                                              
115    | GTR+G      | 843        | 84606c623ec6615094e09227c27f2860 | uce115                                                                                              
116    | GTR+G      | 421        | 6789eac705771941576bf993eb7910c1 | uce116                                                                                              
117    | GTR+G      | 890        | ec1d2b3a0a4e3e1f1e989ce972fa7123 | uce117                                                                                              
118    | GTR+G      | 697        | 03b68d39e62149e881eaaeafb7d735be | uce118                                                                                              
119    | GTR+G      | 681        | cda46a7e257f7a86af7da9de8fb2293e | uce119                                                                                              
120    | GTR+G      | 771        | 49cc6fe257cfdf7391803d559f8dd20f | uce120                                                                                              
121    | GTR+G      | 892        | 2cf6a974bf26e05886ee24c5cb075177 | uce121                                                                                              
122    | GTR+G      | 735        | 232848f06a1ed6adf54b56ec854f6f3a | uce122                                                                                              
123    | GTR+G      | 918        | 01f46272bb0b37dfdb77094550295427 | uce123                                                                                              
124    | GTR+G      | 670        | b1c5508d26d64c2b34d9a7e4761a1910 | uce124                                                                                              
125    | GTR+G      | 781        | d8c6901899dcdc3cfd08a83c68dac46a | uce125                                                                                              
126    | GTR+G      | 599        | 65cbaecb945ff1c0ffd24a47d1356373 | uce126                                                                                              
127    | GTR+G      | 1138       | 787ce489ca6fd534a2502d2b1b68e63a | uce127                                                                                              
128    | GTR+G      | 954        | 9fb236b7e72c4320b715f182157ef9c5 | uce128                                                                                              
129    | GTR+G      | 877        | 745428afea47b65593c5b8c0fdfb275c | uce129                                                                                              
130    | GTR+G      | 830        | 3255d08c8966e83df6a53a42853412ea | uce130                                                                                              
131    | GTR+G      | 861        | fbee9d38119d3f203b3955ec002cd163 | uce131                                                                                              
132    | GTR+G      | 394        | d638748ac5258589b7273857cd980e45 | uce132                                                                                              
133    | GTR+G      | 893        | 67b9ebe48feb671c8fb42a6acbdd458f | uce133                                                                                              
134    | GTR+G      | 623        | 1f163e0d04378f74bc1dd66f414ff64b | uce134                                                                                              
135    | GTR+G      | 414        | 83385a3735929c8f6285c1026fa5dded | uce135                                                                                              
136    | GTR+G      | 859        | fef6d4b1a61a6c20c31b3c0ed6b82882 | uce136                                                                                              
137    | GTR+G      | 722        | ceaf9ac679645b61fc9ae641ec09279f | uce137                                                                                              
138    | GTR+G      | 727        | 39638e73493cc6e97ffc2a75c7578ae0 | uce138                                                                                              
139    | GTR+G      | 842        | fe151f82d991dbfa6faf448ad7ec37e1 | uce139                                                                                              
140    | GTR+G      | 945        | d6115f3713641fb9d92afc38a835f7f3 | uce140                                                                                              
141    | GTR+G      | 970        | e662e91491bba398af4971deb768bd24 | uce141                                                                                              
142    | GTR+G      | 721        | 88b8d805cd2fa770c3663b8d52ea3a33 | uce142                                                                                              
143    | GTR+G      | 405        | 763edc1cf180e60b1a6a08ca1bc7c9f8 | uce143                                                                                              
144    | GTR+G      | 611        | a128e1d9fab1683bdf01ee9586031e49 | uce144                                                                                              
145    | GTR+G      | 752        | 0e7ff75e11193f4a9fb46c0799de9c6c | uce145                                                                                              
146    | GTR+G      | 896        | 80d6baefa54e91c9e99c6eee5694592b | uce146                                                                                              
147    | GTR+G      | 693        | 36e7b6df5da2d992c79df6f55f8256f4 | uce147                                                                                              
148    | GTR+G      | 843        | 6696b8d41c658892691298b72ead3444 | uce148                                                                                              
149    | GTR+G      | 590        | 87153a5e777ef34a33d5eeed6efda68c | uce149                                                                                              
150    | GTR+G      | 549        | 8cafef4d9fff69e54250762f77b71a6a | uce150                                                                                              
151    | GTR+G      | 867        | 555e89d071acc774577290c4a97cef98 | uce151                                                                                              
152    | GTR+G      | 1027       | 1c3c104bfc02c6a40f5cda055f77ce75 | uce152                                                                                              
153    | GTR+G      | 868        | 7fb043a433b1c02bd6435e9d9a9fc61c | uce153                                                                                              
154    | GTR+G      | 451        | c6102c3e00f77d8311fe2c0ca2dbf8d7 | uce154                                                                                              
155    | GTR+G      | 930        | 11ef2cccbd0fc8343f24d95953666754 | uce155                                                                                              
156    | GTR+G      | 1053       | 6073405b9df84106b06eaa328cc52294 | uce156                                                                                              
157    | GTR+G      | 708        | 1d7f305089a652ab26e5505bb796f56c | uce157                                                                                              
158    | GTR+G      | 462        | 550421f3e56ec9f66e243b82efef8a0a | uce158                                                                                              
159    | GTR+G      | 519        | f91176c8c59b45adac0ae8f5db4bd152 | uce159                                                                                              
160    | GTR+G      | 741        | 73c3e4647e9732d827a5f2511a1e63c0 | uce160                                                                                              
161    | GTR+G      | 643        | 05214ac175eb79a4af82626a306cc05c | uce161                                                                                              
162    | GTR+G      | 416        | 93d8c65b695009e30f6e6f1cb2d8f761 | uce162                                                                                              
163    | GTR+G      | 927        | 42b3191568a5ee55578e83170503b210 | uce163                                                                                              
164    | GTR+G      | 392        | ec1e67744683ca1c182b42f62aba35b3 | uce164                                                                                              
165    | GTR+G      | 929        | cc9017283f8b01a97046fd4af2cc9e97 | uce165                                                                                              
166    | GTR+G      | 1151       | 56234460ab6422ecc0e7d25979cd1a2f | uce166                                                                                              
167    | GTR+G      | 1163       | e114e749b51bdc03fe4f38657eaf116a | uce167                                                                                              
168    | GTR+G      | 849        | 3e2b38679adb2284d8ad86a81c6d48b2 | uce168                                                                                              
169    | GTR+G      | 679        | 899d68df0ac734b019e4987ee66cef20 | uce169                                                                                              
