Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1838831.03725
Scheme AICc       : 3687954.46444
Number of params  : 5036
Number of sites   : 235232
Number of subsets : 493

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 363        | bfabecb3fe967970fbae7ba5f0ddeb0c | uce_1260_core, uce_688_core, uce_1001_left                                                          
2      | GTR+G      | 827        | e77efa58cd66535eddb95bffb9eed2ab | uce_33_core, uce_1157_core, uce_1001_core, uce_713_core, uce_59_core, uce_1128_left                 
3      | GTR+G      | 51         | 7073ff9fd399c8d9d8b6662636df7b28 | uce_1001_right                                                                                      
4      | GTR+G      | 50         | cad4a544a74a5106f33c47cb221576d8 | uce_1002_left                                                                                       
5      | GTR+G      | 624        | d8f0b9f1a688311178ec336af12a0410 | uce_1287_core, uce_516_core, uce_1002_core, uce_1301_right, uce_231_core                            
6      | GTR+G      | 232        | bfd4d26cb265860f99ef692797bd3712 | uce_578_right, uce_1002_right                                                                       
7      | GTR+G      | 360        | 345875974f2e6ae5e6be4f95bdcb82d3 | uce_1136_left, uce_251_right, uce_323_left, uce_1004_left                                           
8      | GTR+G      | 871        | 5155ac1dbe44e6746234ebcd58954b95 | uce_371_core, uce_555_core, uce_1004_core, uce_26_core                                              
9      | GTR+G      | 150        | 3d86375b140a10698697a61654f0c441 | uce_254_right, uce_1004_right, uce_547_left                                                         
10     | GTR+G      | 762        | bba4fee9a14037749f6f49bdff697681 | uce_414_left, uce_1200_right, uce_524_right, uce_435_left, uce_333_right, uce_690_right, uce_1005_left, uce_86_right, uce_885_left
11     | GTR+G      | 1181       | 8688d1c705be42e337841e759ad61fc0 | uce_959_core, uce_1286_right, uce_1209_core, uce_909_left, uce_426_left, uce_1005_core              
12     | GTR+G      | 692        | d41b7f9951e386e6ccfaa2b65f6c8a57 | uce_1005_right, uce_298_right, uce_952_right, uce_1328_left, uce_661_left, uce_1027_left, uce_247_left
13     | GTR+G      | 820        | dbe127d177ba3810b8878834bffdb4d8 | uce_737_left, uce_239_right, uce_619_left, uce_433_left, uce_624_core, uce_871_core, uce_802_core, uce_1080_right, uce_1007_left, uce_698_left
14     | GTR+G      | 493        | 4483e5cd600f9ec49588e3421fcb5d3d | uce_1007_core, uce_67_core                                                                          
15     | GTR+G      | 505        | 4664bdc77e906a993ddc4cd11e15dd11 | uce_630_right, uce_642_left, uce_933_core, uce_706_right, uce_1007_right, uce_758_left              
16     | GTR+G      | 246        | 1ffecdc53f2a6c6c61bef1a0b947be80 | uce_1009_left, uce_871_right                                                                        
17     | GTR+G      | 628        | 558575b6174809f3d97c459c46999fa0 | uce_1214_core, uce_1009_core, uce_601_core, uce_361_left                                            
18     | GTR+G      | 287        | 5af03c212e0876d92df4120342b79bf8 | uce_1009_right, uce_430_right, uce_583_right, uce_305_core, uce_832_left                            
19     | GTR+G      | 511        | 77615aaa8aefb59f3897a784ed1dfe98 | uce_533_left, uce_99_left, uce_291_left, uce_1014_left                                              
20     | GTR+G      | 564        | 6088d86a9fe3f9e03f24542e877fdf35 | uce_219_left, uce_1014_core, uce_804_left, uce_65_right, uce_452_left, uce_1117_right               
21     | GTR+G      | 1042       | 75b1974b0ab7f89c89e73a0f0694f339 | uce_373_left, uce_355_left, uce_822_left, uce_859_left, uce_555_left, uce_1014_right, uce_975_left, uce_1158_left, uce_552_left, uce_757_core, uce_552_right, uce_1308_left, uce_312_right
22     | GTR+G      | 414        | e1fc5ff501746ac5aebd584eeef09cb4 | uce_1018_left, uce_709_left                                                                         
23     | GTR+G      | 50         | 10aeb9ccafa79b6972dcb0dae48923b3 | uce_1018_core                                                                                       
24     | GTR+G      | 392        | 7d3796494633718e35df5632c7aa0c3a | uce_1018_right, uce_1206_left                                                                       
25     | GTR+G      | 454        | 4a14ccbb077582bb306aa3a04b3afed8 | uce_1022_left, uce_388_right, uce_1173_right, uce_225_right, uce_418_left, uce_996_left             
26     | GTR+G      | 1456       | d520736d0f6845fd2689c63e7bbfad65 | uce_1022_core, uce_1160_core, uce_303_right, uce_596_core, uce_383_right, uce_1232_core, uce_131_core
27     | GTR+G      | 673        | d2721210be5137f9b2516165967628dd | uce_90_left, uce_1022_right, uce_252_left, uce_11_right, uce_8_left, uce_1336_left, uce_1060_right, uce_976_right, uce_1256_right
28     | GTR+G      | 839        | add3d04d55f231a69f75e7bed3f2fd09 | uce_1024_left, uce_1220_right, uce_1270_right, uce_315_right, uce_542_right, uce_818_right, uce_302_right, uce_149_left, uce_858_right
29     | GTR+G      | 1711       | 0926b4a5d630addc959edd466c056626 | uce_650_core, uce_1024_core, uce_694_core, uce_433_core, uce_291_right, uce_48_core                 
30     | GTR+G      | 321        | 10bbfa37e048945dcd78341dfe14865e | uce_1024_right, uce_571_right, uce_851_left, uce_1105_right, uce_916_left                           
31     | GTR+G      | 366        | 1173a83e3fadb4c15eadc48ea1c80cb0 | uce_1025_left                                                                                       
32     | GTR+G      | 386        | b644422c11e10efe6cd81ee70ded8894 | uce_1025_core, uce_720_right, uce_222_right, uce_1206_right, uce_225_left                           
33     | GTR+G      | 226        | bc974f06a22c5485a9ce04cfff99edda | uce_1192_right, uce_1301_left, uce_1025_right, uce_214_right                                        
34     | GTR+G      | 159        | df6172d1b59d4529d1222bcf9e29ee0b | uce_813_right, uce_1027_core                                                                        
35     | GTR+G      | 1589       | 1a5b9c672b700bf4c4281e498c7cb383 | uce_149_core, uce_298_core, uce_553_right, uce_299_core, uce_951_core, uce_1027_right               
36     | GTR+G      | 506        | 698df064ca93c42f3195edbb1c2aa29e | uce_1095_right, uce_975_right, uce_1037_core, uce_1028_left                                         
37     | GTR+G      | 590        | 9cdc1939ae035458966057c4dd6e9b4c | uce_625_core, uce_1028_core                                                                         
38     | GTR+G      | 516        | bb143cfe549501238097b1d09bfc3c07 | uce_1028_right, uce_469_core, uce_164_right, uce_759_left                                           
39     | GTR+G      | 80         | 232a03d612b4fbfe6784eea1fa4d9927 | uce_1034_left                                                                                       
40     | GTR+G      | 1127       | e40f0660e495980cae1615e2d49ea082 | uce_1101_core, uce_1041_right, uce_1199_core, uce_355_core, uce_1034_core, uce_822_core             
41     | GTR+G      | 968        | 1fd91687e48dd9ffeddfeb4d0bae72b6 | uce_362_left, uce_67_left, uce_1168_right, uce_1034_right, uce_134_right, uce_794_core, uce_883_left
42     | GTR+G      | 1162       | 1ab9c6d317c2d907ea911d98ad582375 | uce_388_core, uce_899_core, uce_452_core, uce_1037_left, uce_493_right                              
43     | GTR+G      | 550        | 2b072cd2f63917fb6feb4ae9d8a678b8 | uce_802_right, uce_556_right, uce_1037_right, uce_1311_right, uce_175_left, uce_986_left, uce_814_left, uce_298_left
44     | GTR+G      | 194        | 3a56b12245948d9e0858523488afc9d5 | uce_943_left, uce_1041_left, uce_819_right                                                          
45     | GTR+G      | 614        | ad6b30823f5cae411269bd383f14b768 | uce_200_core, uce_830_left, uce_951_right, uce_1267_right, uce_609_right, uce_909_right, uce_1041_core, uce_497_left
46     | GTR+G      | 475        | d8b8afbbb7628657b1bd627771addf63 | uce_447_left, uce_1335_left, uce_1042_left, uce_486_left                                            
47     | GTR+G      | 1427       | 271d98485071d63b91d532105238bfe3 | uce_665_core, uce_640_left, uce_916_core, uce_1042_core, uce_613_core, uce_695_core                 
48     | GTR+G      | 623        | 1a916d3160a1ce4b9f5867fb3a63d0ee | uce_437_right, uce_586_core, uce_604_left, uce_1042_right, uce_1139_right                           
49     | GTR+G      | 277        | 9d18b715f9b44183d3ac1f5a50482272 | uce_1044_left, uce_309_right                                                                        
50     | GTR+G      | 193        | 642e487a42219ef68e4961105d3121f8 | uce_1044_core, uce_675_right                                                                        
51     | GTR+G      | 85         | c57d9cb3571dcc586f6ccaf7550ca438 | uce_1044_right                                                                                      
52     | GTR+G      | 573        | 90064a74dc6fd12bef2ecce2f596388f | uce_503_left, uce_1211_right, uce_1101_left, uce_9_left, uce_165_right, uce_786_left, uce_901_left, uce_105_left, uce_750_left
53     | GTR+G      | 1200       | c9d06eb9219ffdcf624aa05e5d2c4028 | uce_305_right, uce_485_left, uce_1323_core, uce_105_core, uce_766_core, uce_1286_core, uce_247_right, uce_1317_core
54     | GTR+G      | 321        | 75cc5198d0b2f690ad21d151562dd6d5 | uce_801_left, uce_105_right, uce_1220_left, uce_164_left, uce_893_right                             
