Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_7
Scheme lnL        : -1862924.93965
Scheme AICc       : 3736560.32737
Number of params  : 5236
Number of sites   : 235232
Number of subsets : 513

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 404        | 228e8718e55bfde41213548ff17fce1c | uce_168_core, uce_411_core, uce_791_left, uce_1001_left, uce_688_core                               
2      | GTR+G      | 1108       | 823c4a17f0459f8e6f0322019e45dd89 | uce_951_core, uce_883_core, uce_368_core, uce_559_core, uce_1270_core, uce_110_core, uce_601_core, uce_726_core, uce_1001_core, uce_657_core, uce_188_core
3      | GTR+G      | 192        | a2f4d60572a8a0ffab86e65209ce4e6c | uce_1001_right                                                                                      
4      | GTR+G      | 52         | 9c3229d150ea378076d4a46140705122 | uce_1002_left                                                                                       
5      | GTR+G      | 328        | 311a25796fa801f18073a07749d5dd37 | uce_231_core, uce_1002_core, uce_728_core, uce_1244_core                                            
6      | GTR+G      | 565        | a8d68e6d7d3eb6d19fc2d603d310f995 | uce_343_left, uce_1051_core, uce_792_right, uce_1002_right, uce_335_core                            
7      | GTR+G      | 696        | 006d767cebed8dfc32a9ae7c4b204c25 | uce_1004_left, uce_299_left, uce_1138_right, uce_775_right, uce_901_left, uce_739_left, uce_48_right, uce_587_left, uce_315_right
8      | GTR+G      | 1253       | c780dc4aae6b80a0d3c746f7a15b1f0b | uce_740_right, uce_1004_core, uce_378_left, uce_6_right, uce_1220_right, uce_1178_core              
9      | GTR+G      | 201        | bb7dfa24de21aa5497c5c49b89382bf5 | uce_619_right, uce_1004_right                                                                       
10     | GTR+G      | 340        | d7fbc7d448b12358ad8e28e19f81bea1 | uce_1005_left, uce_640_right, uce_631_right, uce_176_left                                           
11     | GTR+G      | 575        | 0addf58aed042b40fe77ee6e5faea40e | uce_1005_core, uce_1042_core, uce_343_core, uce_6_core, uce_820_core, uce_45_core, uce_806_core, uce_709_core
12     | GTR+G      | 1242       | 107447339c32022af749a5ea06385335 | uce_143_core, uce_748_left, uce_1005_right, uce_46_core, uce_86_left, uce_881_right                 
13     | GTR+G      | 1330       | 8284e51be58943186b79f039d07ab154 | uce_700_left, uce_1168_right, uce_206_core, uce_134_right, uce_314_core, uce_883_left, uce_1007_left
14     | GTR+G      | 763        | 5fb8768fc28e1ef3a796289cd5af1185 | uce_1214_core, uce_359_core, uce_899_core, uce_21_core, uce_675_core, uce_1173_core, uce_1007_core, uce_577_core, uce_8_core, uce_1256_core, uce_526_core, uce_1009_core
15     | GTR+G      | 1018       | ecff1e35fb481bba9e8d8b15ec7e45ff | uce_1212_right, uce_571_right, uce_794_right, uce_1277_left, uce_818_left, uce_1007_right           
16     | GTR+G      | 496        | 006cbc0021bbfc854e8fb0e01aadb09b | uce_749_core, uce_1009_left, uce_672_left, uce_1192_right, uce_1301_left                            
17     | GTR+G      | 414        | 7cfd9db1a8ee3b00e14b3b6093deb77d | uce_714_left, uce_749_left, uce_712_left, uce_1009_right                                            
18     | GTR+G      | 125        | eeba8faaee72a06000a6e75cd81f60ad | uce_90_right, uce_1014_left                                                                         
19     | GTR+G      | 1438       | 1bd147291513f4447c810fe0678f45c9 | uce_718_left, uce_934_right, uce_1014_core, uce_283_left, uce_121_right, uce_1256_left, uce_106_left, uce_67_left, uce_805_left
20     | GTR+G      | 474        | 5950db61b78a07771e50685f6f511a63 | uce_1014_right, uce_159_right                                                                       
21     | GTR+G      | 134        | 804cb2e93bff636da901f16f723f124a | uce_1018_left                                                                                       
22     | GTR+G      | 447        | 8932f51d02cd6fca5d52a51769706096 | uce_1018_core, uce_758_core, uce_1165_core                                                          
23     | GTR+G      | 328        | 03955b38de556c9aceb7bf5aa2931b09 | uce_1085_left, uce_1137_core, uce_1018_right                                                        
24     | GTR+G      | 359        | 156514a9a2f791c20f1e27a544e95dd9 | uce_872_right, uce_1022_left, uce_618_core                                                          
25     | GTR+G      | 119        | aec6dc1fc8362ddca503497ae72dc969 | uce_374_core, uce_1022_core                                                                         
26     | GTR+G      | 1856       | 333ebdba7bcdc712454901539ee7e049 | uce_155_right, uce_1022_right, uce_204_right, uce_1034_right, uce_199_left, uce_832_left, uce_148_right, uce_555_left, uce_799_right, uce_1060_right, uce_399_left, uce_1215_right
27     | GTR+G      | 1303       | ea308e0ab2945713686cccac82e884d5 | uce_547_left, uce_858_right, uce_1240_left, uce_1024_left, uce_149_left, uce_1105_left, uce_331_right
28     | GTR+G      | 720        | 91e0daacf4baef174ab22cf818ca1f10 | uce_822_left, uce_383_core, uce_1123_core, uce_763_core, uce_1024_core, uce_801_core, uce_1260_core 
29     | GTR+G      | 1151       | c324e67de5076a107a4069682f10cd8b | uce_1184_right, uce_437_left, uce_31_left, uce_1136_right, uce_901_core, uce_1024_right, uce_1190_left
30     | GTR+G      | 218        | 668e1b07575c7e195d3ee171726132a5 | uce_1025_left, uce_1180_right                                                                       
31     | GTR+G      | 1011       | fa3e2fcf7bc856c0947a7f0fd03f6276 | uce_1095_core, uce_646_left, uce_1025_core, uce_1337_right, uce_124_core, uce_918_left, uce_162_left, uce_586_core
32     | GTR+G      | 507        | d4c9c09f1929d08ae42c2e38a23966b2 | uce_1025_right, uce_503_left, uce_98_right                                                          
33     | GTR+G      | 1049       | 26a37f7eabddeb233f7b4697f42ed170 | uce_1185_right, uce_979_right, uce_43_left, uce_1027_left, uce_149_right, uce_59_right              
34     | GTR+G      | 454        | 7d1b005cc7a45c115d3bf2b0adff050e | uce_705_core, uce_24_left, uce_67_core, uce_1027_core                                               
35     | GTR+G      | 704        | c3b947624ff92daa81845aee1c8fc822 | uce_330_core, uce_674_core, uce_19_core, uce_1027_right, uce_1080_left, uce_671_core                
36     | GTR+G      | 385        | 36fa74f61bea040c3eae454c4f57bce3 | uce_334_right, uce_1079_left, uce_1028_left                                                         
37     | GTR+G      | 186        | 1a64c5fe06a7709ea9bbc07ebac7c41c | uce_1223_left, uce_1028_core                                                                        
38     | GTR+G      | 320        | 1d8947ef9e06ca390304242c4ed395e6 | uce_99_right, uce_1028_right                                                                        
39     | GTR+G      | 294        | 5356ea6fd1b5ae536f9684a67fd578e4 | uce_932_left, uce_1341_right, uce_1034_left                                                         
40     | GTR+G      | 504        | 4d173b1c737e1b3cdf7c675bfc28acab | uce_497_core, uce_1034_core, uce_200_right, uce_757_right                                           
41     | GTR+G      | 965        | fe55a79567fea05185fb31bc8d754ba0 | uce_1037_left, uce_855_left, uce_511_core, uce_351_right, uce_709_right, uce_254_core, uce_609_core, uce_13_core, uce_924_core, uce_222_core
42     | GTR+G      | 1138       | a978513aab9f65e34e377d8a9a10e4ae | uce_332_right, uce_1199_core, uce_1160_core, uce_1037_core, uce_1223_core, uce_603_right, uce_844_core, uce_655_right
43     | GTR+G      | 185        | 313911c85256934419752aa3a079c839 | uce_799_core, uce_1037_right                                                                        
44     | GTR+G      | 750        | f19d603c7960c659d5c726f988ed8a92 | uce_1138_left, uce_1323_left, uce_64_right, uce_1041_left, uce_719_left, uce_829_right, uce_493_left
45     | GTR+G      | 230        | 9b4ef1f56f045b9009f03388167e32da | uce_516_left, uce_120_right, uce_1041_core                                                          
46     | GTR+G      | 694        | c9db5182499d19bf077d6c7f3a89b182 | uce_1041_right, uce_919_right, uce_437_core, uce_706_left                                           
47     | GTR+G      | 1731       | cdd2d187df96136ff24f5cdb4d45787c | uce_1281_core, uce_1249_right, uce_255_core, uce_297_core, uce_361_core, uce_1148_core, uce_157_core, uce_201_right, uce_1042_left, uce_154_core
48     | GTR+G      | 878        | 5d08d64c5b583e88974d42a33e297b3b | uce_150_right, uce_1042_right, uce_1311_left, uce_26_right, uce_975_core                            
49     | GTR+G      | 122        | dec2d55750d9ae2506f06fad3dc3da8b | uce_1044_left                                                                                       
50     | GTR+G      | 314        | 9062933fba877ad597a9e8d1f60d2e89 | uce_1219_right, uce_1044_core                                                                       
51     | GTR+G      | 114        | 30d402278e03ba88b83150dda2205f17 | uce_1044_right                                                                                      
52     | GTR+G      | 1441       | 96ed4f8a3161879009c12abf2e8b5de0 | uce_254_left, uce_649_left, uce_672_right, uce_1312_left, uce_34_left, uce_105_left, uce_710_left, uce_399_right, uce_1206_right, uce_763_left
53     | GTR+G      | 770        | c01232d189b25fef1e415a0dc17fd9ab | uce_1287_left, uce_469_right, uce_105_core, uce_150_left, uce_1139_left, uce_13_right, uce_759_left, uce_1131_right
54     | GTR+G      | 329        | db5055a604a14cfe5f727c6dd33cf1ba | uce_105_right, uce_740_left, uce_961_right                                                          
55     | GTR+G      | 331        | 9620bf171d85e7f3a2edee79cfde1d54 | uce_88_left, uce_219_left, uce_1051_left, uce_556_left                                              
56     | GTR+G      | 817        | 37e560084dbb59a0f79a468b2c01c978 | uce_251_left, uce_251_right, uce_1051_right, uce_73_right, uce_1260_left                            
57     | GTR+G      | 92         | d250b25154055136ecf24f2cfff4b546 | uce_106_core                                                                                        
58     | GTR+G      | 332        | 5f83fb51ed7050df8f33cbb86eb19940 | uce_106_right, uce_327_right, uce_822_right, uce_157_left                                           
59     | GTR+G      | 405        | 2fb87f9324f1f1ae0c57961a2d781be7 | uce_1060_left, uce_667_right, uce_902_right, uce_661_right                                          
60     | GTR+G      | 564        | 4eebc8d8162b338d5cb53eb87c84d9a5 | uce_460_right, uce_1246_left, uce_331_core, uce_786_left, uce_1060_core, uce_497_right, uce_794_left, uce_787_right
61     | GTR+G      | 469        | 1e5cfb38f876e3561f19f330ac450b9e | uce_11_left, uce_162_core, uce_761_core, uce_1062_left                                              
62     | GTR+G      | 1088       | 78cb0f792d781db9d2059c84f5e3a962 | uce_392_core, uce_1196_core, uce_247_core, uce_173_core, uce_840_core, uce_1062_core, uce_791_core, uce_192_core, uce_631_core, uce_656_core, uce_857_core, uce_161_core, uce_813_core, uce_690_core
63     | GTR+G      | 1106       | fac08630c037a424ace4a9ccebf2069d | uce_1062_right, uce_90_core, uce_748_right, uce_164_right, uce_1219_left, uce_485_left              
