name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,465241,-1222103.76,11466,1145,2467139.53,2467719.03,2593842.39
step_1,465241,-1223234.14,7326,731,2461120.27,2461354.72,2542074.85
step_2,465241,-1224288.52,4676,466,2457929.05,2458024.02,2509600.30
step_3,465241,-1225070.66,3126,311,2456393.31,2456435.62,2490936.58
step_4,465241,-1225468.71,2576,256,2456089.41,2456118.11,2484555.01
step_5,465241,-1225648.93,2376,236,2456049.85,2456074.26,2482305.39
step_6,465241,-1225724.94,2296,228,2456041.87,2456064.65,2481413.38
step_7,465241,-1225764.36,2256,224,2456040.73,2456062.72,2480970.23
step_8,465241,-1225784.51,2236,222,2456041.01,2456062.62,2480749.51
step_9,465241,-1225794.69,2226,221,2456041.38,2456062.79,2480639.37
