Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1859457.86109
Scheme AICc       : 3730254.62248
Number of params  : 5536
Number of sites   : 235232
Number of subsets : 543

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 686        | 5d6b9b7bfdb298306a6dd1d71614152f | uce_713_core, uce_220_core, uce_168_core, uce_748_core, uce_1308_core, uce_1001_left, uce_811_core  
2      | GTR+G      | 799        | 4a0fbe966b9fef6d4e0c61d04eac4296 | uce_1128_left, uce_188_core, uce_881_core, uce_559_core, uce_1001_core, uce_503_core                
3      | GTR+G      | 128        | c51361cef4475d787467e0b41f5de94a | uce_1001_right, uce_1214_right                                                                      
4      | GTR+G      | 54         | fa7e4166cf0a3b97d08b52d08c249c90 | uce_1002_left                                                                                       
5      | GTR+G      | 222        | 88c78ac472d26ba97ae6654abd1061be | uce_1002_core, uce_1113_left, uce_231_core, uce_1301_right                                          
6      | GTR+G      | 443        | 04c57589bcacea18528bfb0485e7258d | uce_1341_left, uce_1002_right, uce_325_core, uce_1287_right, uce_420_core, uce_343_left             
7      | GTR+G      | 546        | 0e70a0330cc1e2d956c2d2e226811186 | uce_1004_left, uce_149_left, uce_1041_left, uce_766_right                                           
8      | GTR+G      | 371        | 08e70fd43a77f0da590a3b7421c3e857 | uce_1113_core, uce_1004_core                                                                        
9      | GTR+G      | 591        | 290c6e639542de225e127361bfa696cb | uce_753_right, uce_1206_right, uce_443_left, uce_1004_right                                         
10     | GTR+G      | 1588       | 0499a770d4011e96133030186bbb2efb | uce_176_left, uce_1097_left, uce_161_left, uce_45_left, uce_325_right, uce_916_left, uce_1005_left, uce_227_right
11     | GTR+G      | 246        | ed11b0d0c26f862e68f0ad3baebaabe8 | uce_968_core, uce_549_left, uce_153_core, uce_1005_core                                             
12     | GTR+G      | 728        | d9e088a172e77e25e5d84406616d4267 | uce_1005_right, uce_472_left, uce_500_left, uce_1095_left                                           
13     | GTR+G      | 1951       | 7ef4583d4d276f0c96eeb7f4b15608a3 | uce_121_left, uce_700_left, uce_151_right, uce_769_right, uce_18_core, uce_1007_left, uce_623_core, uce_199_right, uce_297_core
14     | GTR+G      | 323        | 7e785a0992e2c6323d90120698ef1427 | uce_1214_core, uce_1007_core, uce_374_core, uce_894_core                                            
