name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,235232,-1892088.05,6066,596,3796308.09,3796629.28,3859202.37
step_1,235232,-1892691.95,4576,447,3794535.91,3794717.51,3841981.37
step_2,235232,-1893224.66,3686,358,3793821.32,3793938.71,3832038.98
step_3,235232,-1893590.44,3156,305,3793492.88,3793578.74,3826215.32
step_4,235232,-1893756.98,2956,285,3793425.96,3793501.22,3824074.74
step_5,235232,-1893852.76,2856,275,3793417.51,3793487.74,3823029.45
step_6,235232,-1893898.64,2806,270,3793409.28,3793477.06,3822502.81
step_7,235232,-1893916.40,2786,268,3793404.79,3793471.60,3822290.95
step_8,235232,-1893926.58,2776,267,3793405.16,3793471.49,3822187.64
step_9,235232,-1893936.88,2766,266,3793405.77,3793471.62,3822084.56
