Scheme Name       : step_2
Scheme lnL        : -1893224.66125
Scheme AICc       : 3793938.71034
Number of params  : 3686
Number of sites   : 235232
Number of subsets : 358

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 328        | fc2d97469197fe54804bca9eaaacb352 | uce_1001                                                                                            
2      | GTR+G      | 178        | afeafe1e37d7cdcbe762a9f2aecb20f9 | uce_1002                                                                                            
3      | GTR+G      | 1536       | 3756ac7cd74a18391846fbb73a93b6db | uce_1004, uce_98, uce_649, uce_1022                                                                 
4      | GTR+G      | 696        | b104a6c73197c0665727ceb043480b73 | uce_46, uce_1005                                                                                    
5      | GTR+G      | 971        | c970449d53e9ea5740758ace6aee7957 | uce_54, uce_1007                                                                                    
6      | GTR+G      | 507        | f8f1bd53b1f4f2f13ea33c42ec16046c | uce_1009, uce_305                                                                                   
7      | GTR+G      | 474        | 3c4ba045f7053080894e6285b8ab2592 | uce_1014                                                                                            
8      | GTR+G      | 966        | 3fc06475b87f25c644f1a8d3c4fd7e69 | uce_1018, uce_460                                                                                   
9      | GTR+G      | 1443       | d9a76c14e285f9ed85d9c49b57bc38d4 | uce_775, uce_1296, uce_1024, uce_626                                                                
10     | GTR+G      | 861        | cf8b7f11ce31e88ebc65f304124bf46e | uce_1025, uce_132                                                                                   
11     | GTR+G      | 786        | a0de975f4c82b353cee76dfc9a8afb30 | uce_1027, uce_319                                                                                   
12     | GTR+G      | 525        | 4d071a4932fd10427b6c3ecd27d5dac7 | uce_1028                                                                                            
13     | GTR+G      | 683        | 06e3d3349d1c398709667b55329c071e | uce_829, uce_1034                                                                                   
14     | GTR+G      | 1187       | 199f314531cf6973506f21d347d07e1e | uce_1158, uce_1037, uce_986                                                                         
15     | GTR+G      | 783        | 49eacad6990b02d07ee57eafb0917be7 | uce_1041, uce_1138                                                                                  
16     | GTR+G      | 1044       | 44cd66c514369dde6d9cedc53344d5a9 | uce_1042, uce_26                                                                                    
17     | GTR+G      | 303        | e7551d059dd44e88b52ae86ac9ec97f9 | uce_1044                                                                                            
18     | GTR+G      | 596        | 5e97ca6e182c93b696e8e6fa02b94e32 | uce_105, uce_686                                                                                    
19     | GTR+G      | 720        | 68dd9b84111c1bce7555e2eedd5dbaf6 | uce_1051, uce_1137                                                                                  
20     | GTR+G      | 834        | d9d1586f0de50d24fd2ddf5b74e1fe65 | uce_667, uce_106                                                                                    
21     | GTR+G      | 882        | f3d1e41cf07f7fb68ef96e9539bb7860 | uce_1303, uce_1060                                                                                  
22     | GTR+G      | 1120       | 93a7fb68ad7fa887f324756962360635 | uce_855, uce_1062                                                                                   
23     | GTR+G      | 546        | d53cd74cdb75093ba3a6d34b566ddc5d | uce_1063, uce_371                                                                                   
24     | GTR+G      | 767        | 5f5fbda4fdee76d830305dc7e577c7f2 | uce_107, uce_162                                                                                    
25     | GTR+G      | 625        | 1a22f93486e6303e485452d037b2142a | uce_533, uce_1074                                                                                   
26     | GTR+G      | 414        | b0e873ad5e5304e67e18be09e39d2f2c | uce_1075                                                                                            
27     | GTR+G      | 1471       | 78ab235e31d9a537c651b21a00d66b12 | uce_1091, uce_486, uce_1078, uce_794                                                                
28     | GTR+G      | 1568       | 45f3e0197d6854e0a6f965bfc90300e5 | uce_1079, uce_608, uce_570, uce_1279                                                                
29     | GTR+G      | 727        | 22e3b38459101aed1f3b57a41897ecab | uce_108, uce_1293                                                                                   
30     | GTR+G      | 795        | 106a0f2987a8db1d93239cfe6577bb3c | uce_795, uce_1080                                                                                   
31     | GTR+G      | 1158       | 617df66add831dd89c4e55caa8952ce5 | uce_1082, uce_7                                                                                     
32     | GTR+G      | 300        | c459ed18f660c832c490ca8148f9f2a5 | uce_1085                                                                                            
33     | GTR+G      | 1042       | 63334031622cca3f0392730b7e404bd0 | uce_1092, uce_227, uce_19                                                                           
34     | GTR+G      | 1315       | 3ace4544dffae9856cf2cfeeceaa5715 | uce_933, uce_1095, uce_1328                                                                         
35     | GTR+G      | 1837       | e976807f6dab11af39dc1a170dfe7a33 | uce_1096, uce_1251, uce_818, uce_946                                                                
36     | GTR+G      | 1509       | 356f7990424f6c5724fd4234ec006540 | uce_345, uce_1286, uce_1097, uce_1264                                                               
37     | GTR+G      | 901        | 9c869784974480112dc4b19e62a75c31 | uce_1215, uce_11                                                                                    
38     | GTR+G      | 279        | bc5221276dbdaad25a365c86ec5a40f6 | uce_110                                                                                             
39     | GTR+G      | 884        | e00253950e266f86a3fe90145be35fe4 | uce_1101, uce_1312                                                                                  
40     | GTR+G      | 260        | a82e3b6f46966a7871986b910e109cb6 | uce_1102                                                                                            
41     | GTR+G      | 1291       | 56c49326ee9e0b605a6b2efa7962f1ff | uce_247, uce_813, uce_59, uce_1105                                                                  
42     | GTR+G      | 1553       | 69b19ec3e23d31e72cadfd18a01702f0 | uce_1246, uce_1110, uce_673, uce_657                                                                
43     | GTR+G      | 1399       | e25b1e2d32d2baa788be02310ed1744b | uce_1112, uce_333, uce_740                                                                          
44     | GTR+G      | 705        | bb07dc238c0e8f00fed1a84078d00755 | uce_1113                                                                                            
45     | GTR+G      | 405        | 62ee23e7e0425ac9cf812e5172dc48e3 | uce_1117                                                                                            
46     | GTR+G      | 746        | d34b098034e7429a1d346546d579ce5b | uce_1118, uce_1199                                                                                  
47     | GTR+G      | 735        | 24ea3b1d58a11ef442ea491b7cb5afc8 | uce_769, uce_1121                                                                                   
48     | GTR+G      | 1724       | a73dde31e44f22c08f4a976064df583b | uce_1122, uce_205, uce_335                                                                          
49     | GTR+G      | 1215       | 34b7e8b2c75bef700bfbfe5ee192a157 | uce_1123, uce_27, uce_268                                                                           
50     | GTR+G      | 1419       | ef963bc1c02790c8d8f2e6b27bb048ec | uce_737, uce_1126, uce_188                                                                          
51     | GTR+G      | 796        | a84314daea3284a780307e07fbb660f2 | uce_1128, uce_908                                                                                   
52     | GTR+G      | 1169       | 1af097f3c098364abbbdec5d82a6806d | uce_1131, uce_399, uce_73                                                                           
53     | GTR+G      | 219        | 0f3fe62877602d4e9bd681c7a6ee6f06 | uce_1132                                                                                            
54     | GTR+G      | 312        | e5c03e3f1f088503ec8962d70a799f7c | uce_1134                                                                                            
55     | GTR+G      | 430        | d4c77e4d5b6dbd004c63a2e00e32a0ef | uce_1135                                                                                            
56     | GTR+G      | 445        | 360b3417c3968446a479d3f326103dd0 | uce_1136                                                                                            
57     | GTR+G      | 1047       | 77fd44c6777d0e44170509578a30acdf | uce_892, uce_1139, uce_444                                                                          
58     | GTR+G      | 862        | b784c72ed21611ec4b3259e8a847dd13 | uce_705, uce_1142                                                                                   
59     | GTR+G      | 447        | c4b60eb22caaaf39c2ce22548f34d157 | uce_1143                                                                                            
60     | GTR+G      | 1142       | b576fd37b2388c495dce52dd690954e4 | uce_787, uce_259, uce_1148                                                                          
61     | GTR+G      | 754        | 1ebe2e6e6bc6b7d7b25bf1245fc21b53 | uce_149, uce_1151                                                                                   
62     | GTR+G      | 1214       | 931641636a8876c899f49e9bf378d154 | uce_1155, uce_786, uce_161                                                                          
63     | GTR+G      | 782        | 9e0c9e334251cc6ad8b3314238ca328f | uce_1157, uce_1308                                                                                  
64     | GTR+G      | 1328       | f4d791aed7f4f4eeeb44dd184ce2f946 | uce_917, uce_982, uce_116                                                                           
65     | GTR+G      | 835        | ba938ae54a6eaeddcb6989243c867416 | uce_1160, uce_454                                                                                   
