Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 5960


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1893926.58124
Scheme AICc       : 3793471.48888
Number of params  : 2776
Number of sites   : 235232
Number of subsets : 267

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 328        | fc2d97469197fe54804bca9eaaacb352 | uce_1001                                                                                            
2      | GTR+G      | 178        | afeafe1e37d7cdcbe762a9f2aecb20f9 | uce_1002                                                                                            
3      | GTR+G      | 2705       | 8d3bdd87e9a27b11932036c27052e3cd | uce_1131, uce_399, uce_73, uce_1004, uce_98, uce_649, uce_1022                                      
4      | GTR+G      | 931        | ba727c04232e23d31ec3dab36203fc3c | uce_1214, uce_46, uce_1005                                                                          
5      | GTR+G      | 1748       | 2b929f8d12db28f6f4073fb16775e214 | uce_54, uce_1007, uce_605, uce_791                                                                  
6      | GTR+G      | 507        | f8f1bd53b1f4f2f13ea33c42ec16046c | uce_1009, uce_305                                                                                   
7      | GTR+G      | 474        | 3c4ba045f7053080894e6285b8ab2592 | uce_1014                                                                                            
8      | GTR+G      | 966        | 3fc06475b87f25c644f1a8d3c4fd7e69 | uce_1018, uce_460                                                                                   
9      | GTR+G      | 2796       | c008f33d8b9d90e59379a386140a9b9e | uce_45, uce_1228, uce_18, uce_775, uce_1296, uce_1024, uce_626                                      
10     | GTR+G      | 861        | cf8b7f11ce31e88ebc65f304124bf46e | uce_1025, uce_132                                                                                   
11     | GTR+G      | 1245       | 610abccdbbc2f56c958458d5c7580006 | uce_1027, uce_319, uce_617, uce_330                                                                 
12     | GTR+G      | 525        | 4d071a4932fd10427b6c3ecd27d5dac7 | uce_1028                                                                                            
13     | GTR+G      | 3265       | dcbb7ac71ac19f03b54d3df35d2ef74a | uce_1321, uce_630, uce_829, uce_1034, uce_1136, uce_1091, uce_486, uce_1078, uce_794                
14     | GTR+G      | 1187       | 199f314531cf6973506f21d347d07e1e | uce_1158, uce_1037, uce_986                                                                         
15     | GTR+G      | 783        | 49eacad6990b02d07ee57eafb0917be7 | uce_1041, uce_1138                                                                                  
16     | GTR+G      | 1044       | 44cd66c514369dde6d9cedc53344d5a9 | uce_1042, uce_26                                                                                    
17     | GTR+G      | 303        | e7551d059dd44e88b52ae86ac9ec97f9 | uce_1044                                                                                            
18     | GTR+G      | 957        | 6d42aa2582b1ec3a8e703989cf41772e | uce_586, uce_105, uce_686                                                                           
19     | GTR+G      | 720        | 68dd9b84111c1bce7555e2eedd5dbaf6 | uce_1051, uce_1137                                                                                  
20     | GTR+G      | 1194       | f061e208227d026561562e35f981c98a | uce_79, uce_667, uce_106                                                                            
21     | GTR+G      | 882        | f3d1e41cf07f7fb68ef96e9539bb7860 | uce_1303, uce_1060                                                                                  
22     | GTR+G      | 1120       | 93a7fb68ad7fa887f324756962360635 | uce_855, uce_1062                                                                                   
23     | GTR+G      | 546        | d53cd74cdb75093ba3a6d34b566ddc5d | uce_1063, uce_371                                                                                   
24     | GTR+G      | 767        | 5f5fbda4fdee76d830305dc7e577c7f2 | uce_107, uce_162                                                                                    
25     | GTR+G      | 1953       | 8cc3846260a335d7ec3d937801180753 | uce_533, uce_1074, uce_917, uce_982, uce_116                                                        
26     | GTR+G      | 994        | 2ec3c637540edfae3a2300d76cce6dfc | uce_1075, uce_709, uce_1301                                                                         
27     | GTR+G      | 1568       | 45f3e0197d6854e0a6f965bfc90300e5 | uce_1079, uce_608, uce_570, uce_1279                                                                
28     | GTR+G      | 727        | 22e3b38459101aed1f3b57a41897ecab | uce_108, uce_1293                                                                                   
29     | GTR+G      | 795        | 106a0f2987a8db1d93239cfe6577bb3c | uce_795, uce_1080                                                                                   
30     | GTR+G      | 2516       | 6b85645ac90eb3b3fe998b795e3197fd | uce_1082, uce_7, uce_526, uce_577, uce_406                                                          
31     | GTR+G      | 969        | b8a6e4eb437bbcbeacb1679a83472307 | uce_549, uce_1085, uce_595                                                                          
32     | GTR+G      | 1042       | 63334031622cca3f0392730b7e404bd0 | uce_1092, uce_227, uce_19                                                                           
33     | GTR+G      | 1315       | 3ace4544dffae9856cf2cfeeceaa5715 | uce_933, uce_1095, uce_1328                                                                         
34     | GTR+G      | 1837       | e976807f6dab11af39dc1a170dfe7a33 | uce_1096, uce_1251, uce_818, uce_946                                                                
35     | GTR+G      | 1509       | 356f7990424f6c5724fd4234ec006540 | uce_345, uce_1286, uce_1097, uce_1264                                                               
36     | GTR+G      | 2393       | ec48b5c41048bb0cc55bbf77d9fa0e7e | uce_1215, uce_11, uce_465, uce_420, uce_661                                                         
37     | GTR+G      | 279        | bc5221276dbdaad25a365c86ec5a40f6 | uce_110                                                                                             
38     | GTR+G      | 2357       | 7aaa6c5b2dbf8637fc02b8e1f97c9378 | uce_1101, uce_1312, uce_383, uce_802, uce_414                                                       
39     | GTR+G      | 260        | a82e3b6f46966a7871986b910e109cb6 | uce_1102                                                                                            
40     | GTR+G      | 2338       | 17256cdc78ed8671a42e94dca70ddd4d | uce_892, uce_1139, uce_444, uce_247, uce_813, uce_59, uce_1105                                      
41     | GTR+G      | 1553       | 69b19ec3e23d31e72cadfd18a01702f0 | uce_1246, uce_1110, uce_673, uce_657                                                                
42     | GTR+G      | 1399       | e25b1e2d32d2baa788be02310ed1744b | uce_1112, uce_333, uce_740                                                                          
43     | GTR+G      | 705        | bb07dc238c0e8f00fed1a84078d00755 | uce_1113                                                                                            
44     | GTR+G      | 405        | 62ee23e7e0425ac9cf812e5172dc48e3 | uce_1117                                                                                            
45     | GTR+G      | 1348       | 1772d9eccc1ddaa944a5636a33cb480e | uce_1118, uce_1199, uce_165, uce_556                                                                
46     | GTR+G      | 1089       | f27db691d7cb4c91a51e5226f72ad97a | uce_560, uce_769, uce_1121                                                                          
47     | GTR+G      | 1724       | a73dde31e44f22c08f4a976064df583b | uce_1122, uce_205, uce_335                                                                          
48     | GTR+G      | 1729       | 45339051334cfc7e75985061cd5b6943 | uce_96, uce_1123, uce_27, uce_268                                                                   
49     | GTR+G      | 1419       | ef963bc1c02790c8d8f2e6b27bb048ec | uce_737, uce_1126, uce_188                                                                          
50     | GTR+G      | 1256       | 27990ece6b27f4a221ef0a5689f710c5 | uce_603, uce_1128, uce_908                                                                          
51     | GTR+G      | 219        | 0f3fe62877602d4e9bd681c7a6ee6f06 | uce_1132                                                                                            
52     | GTR+G      | 312        | e5c03e3f1f088503ec8962d70a799f7c | uce_1134                                                                                            
53     | GTR+G      | 430        | d4c77e4d5b6dbd004c63a2e00e32a0ef | uce_1135                                                                                            
54     | GTR+G      | 862        | b784c72ed21611ec4b3259e8a847dd13 | uce_705, uce_1142                                                                                   
55     | GTR+G      | 447        | c4b60eb22caaaf39c2ce22548f34d157 | uce_1143                                                                                            
56     | GTR+G      | 1142       | b576fd37b2388c495dce52dd690954e4 | uce_787, uce_259, uce_1148                                                                          
57     | GTR+G      | 1819       | d706d234381e666119702f66c9123b41 | uce_149, uce_1151, uce_61, uce_901, uce_472                                                         
58     | GTR+G      | 1214       | 931641636a8876c899f49e9bf378d154 | uce_1155, uce_786, uce_161                                                                          
59     | GTR+G      | 782        | 9e0c9e334251cc6ad8b3314238ca328f | uce_1157, uce_1308                                                                                  
