INFO     | 2016-12-20 16:45:37,768 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-20 16:45:37,772 | config     | Setting 'alignment' to 'Harrington_2016.phy'
INFO     | 2016-12-20 16:45:37,772 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-20 16:45:37,772 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-20 16:45:37,779 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-20 16:45:37,779 | model_load | GTR+G
INFO     | 2016-12-20 16:45:37,779 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-20 16:45:38,056 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-12-20 16:45:38,056 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-20 16:45:38,056 | config     | Looking for alignment file './Harrington_2016.phy'...
INFO     | 2016-12-20 16:45:38,057 | analysis   | Beginning Analysis
INFO     | 2016-12-20 16:45:38,097 | alignment  | Reading alignment file './Harrington_2016.phy'
INFO     | 2016-12-20 16:45:38,309 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-20 16:45:38,309 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-20 16:45:42,035 | raxml      | Topology estimation finished
INFO     | 2016-12-20 16:45:42,036 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2016-12-20 16:48:35,409 | raxml      | Branchlength estimation finished
INFO     | 2016-12-20 16:48:35,409 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-12-20 16:48:35,409 | analysis_m |    Set rcluster-max to 5960
INFO     | 2016-12-20 16:48:35,411 | analysis_m |    PartitionFinder will have to analyse 347680 subsets to complete this analyses
WARNING  | 2016-12-20 16:48:35,411 | progress   |    347680 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-12-20 16:48:35,411 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-20 16:48:38,772 | progress   |       Finished subset 1/596, 0.17 percent done
INFO     | 2016-12-20 16:48:38,925 | progress   |       Finished subset 2/596, 0.34 percent done
INFO     | 2016-12-20 16:48:39,007 | progress   |       Finished subset 3/596, 0.50 percent done
INFO     | 2016-12-20 16:48:39,082 | progress   |       Finished subset 4/596, 0.67 percent done
INFO     | 2016-12-20 16:48:39,180 | progress   |       Finished subset 5/596, 0.84 percent done
INFO     | 2016-12-20 16:48:39,240 | progress   |       Finished subset 6/596, 1.01 percent done
INFO     | 2016-12-20 16:48:39,286 | progress   |       Finished subset 7/596, 1.17 percent done
INFO     | 2016-12-20 16:48:39,333 | progress   |       Finished subset 8/596, 1.34 percent done
INFO     | 2016-12-20 16:48:39,378 | progress   |       Finished subset 9/596, 1.51 percent done
INFO     | 2016-12-20 16:48:39,432 | progress   |       Finished subset 10/596, 1.68 percent done
