name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,599627,-1143004.21,14822,1479,2315652.43,2316403.81,2483201.25
step_1,599627,-1144072.85,9532,950,2307209.69,2307517.67,2414960.02
step_2,599627,-1145332.83,5982,595,2302629.67,2302750.25,2370250.57
step_3,599627,-1146349.01,3792,376,2300282.03,2300330.30,2343147.03
step_4,599627,-1146915.04,2952,292,2299734.09,2299763.31,2333103.68
step_5,599627,-1147140.61,2692,266,2299665.22,2299689.51,2330095.76
step_6,599627,-1147235.71,2592,256,2299655.42,2299677.94,2328955.55
step_7,599627,-1147274.58,2552,252,2299653.17,2299674.99,2328501.14
step_8,599627,-1147294.31,2532,250,2299652.62,2299674.11,2328274.51
step_9,599627,-1147304.40,2522,249,2299652.79,2299674.11,2328161.64
