Settings used

alignment         : ./Branstetter_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 22510


Best partitioning scheme

Scheme Name       : step_14
Scheme lnL        : -8658640.1568
Scheme AICc       : 17338096.295
Number of params  : 9850
Number of sites   : 183747
Number of subsets : 948

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 82         | 003e1d7e0eee23db94cfd125692a4084 | uce_10_left                                                                                         
2      | GTR+G      | 344        | 31edefb5edfb9809fc0b034eef9d1b46 | uce_10_core, uce_310_core, uce_915_core, uce_24_core                                                
3      | GTR+G      | 150        | 644c8d654e2e32c944559826d6951fa5 | uce_79_right, uce_10_right, uce_832_right                                                           
4      | GTR+G      | 125        | e62606ec568047b1042a5fc2e297c4fc | uce_100_left, uce_957_left                                                                          
5      | GTR+G      | 107        | 8c15a12fd183bc9889daf523939b7c8d | uce_100_core                                                                                        
6      | GTR+G      | 50         | af7041b3076d11e48aa6a2df82796dda | uce_100_right                                                                                       
7      | GTR+G      | 50         | f17bc4f48f22522606f80d8fb8485880 | uce_1004_left                                                                                       
8      | GTR+G      | 439        | 05bac1cf56bbe6488f45399ddb999ae0 | uce_132_core, uce_1004_core, uce_910_core, uce_1055_core                                            
9      | GTR+G      | 439        | f2c579acb0d2688ed6059f661c67ca1b | uce_1004_right, uce_204_right, uce_1492_right, uce_784_right, uce_1208_right                        
10     | GTR+G      | 109        | 82adee62b91f74c924ae5ea0a827b9fa | uce_1006_left, uce_527_core                                                                         
11     | GTR+G      | 185        | 744a60f2c91575e3142a468b6d5ec902 | uce_1238_core, uce_1006_core, uce_1211_core                                                         
12     | GTR+G      | 159        | b488ac6385fef36c7cd7420b3e00bc27 | uce_1006_right, uce_265_right                                                                       
13     | GTR+G      | 117        | 088c52f60ec00fb1a58e355a2fe6fe60 | uce_1007_left                                                                                       
14     | GTR+G      | 264        | c38fa1edba389d1db8b37480e363c923 | uce_1007_core, uce_292_core                                                                         
15     | GTR+G      | 455        | 34105aa5675d928d183c5eb0e8f200d4 | uce_508_right, uce_427_left, uce_1007_right, uce_1132_left, uce_1346_left                           
16     | GTR+G      | 606        | c89b193b7a9f161d2e3d18758e90ea9b | uce_1099_left, uce_310_left, uce_1008_left, uce_1131_left, uce_560_right, uce_1081_right, uce_1022_left, uce_1028_left
17     | GTR+G      | 622        | 6ee16cad2273e04f0fd6d9b2de58c588 | uce_261_core, uce_835_core, uce_600_core, uce_519_core, uce_1425_core, uce_1462_core, uce_1008_core 
18     | GTR+G      | 152        | 78f1fb502d23a3f135ceaa90f8463b71 | uce_1008_right, uce_1296_left                                                                       
19     | GTR+G      | 120        | 24b68eac45804437e7447e08587657b6 | uce_1010_left                                                                                       
20     | GTR+G      | 531        | ec2c38a36b8088f4b2476d121dc8b599 | uce_306_core, uce_1127_core, uce_999_core, uce_1028_core, uce_468_core, uce_1010_core               
21     | GTR+G      | 59         | 066e8f5c5cb3a474f8ee82fe4284c1ac | uce_1010_right                                                                                      
22     | GTR+G      | 325        | c5fc8a7b327cc20ce705944731810f4b | uce_1295_right, uce_1011_left, uce_7_all, uce_373_right                                             
23     | GTR+G      | 198        | 6c14756cfb87087a9754ce352cbdc654 | uce_1011_core, uce_816_core                                                                         
24     | GTR+G      | 156        | 0e5b2847673bb5115caa4fcae240b480 | uce_1011_right, uce_1288_right, uce_46_right                                                        
25     | GTR+G      | 411        | 95412ea119177baebe6babaa86dac51d | uce_1012_left, uce_241_left, uce_911_left, uce_1483_left, uce_51_left, uce_935_right, uce_1045_left 
26     | GTR+G      | 704        | 0f25a618b149a548fb8037040cb60507 | uce_749_core, uce_714_core, uce_969_core, uce_1418_core, uce_66_core, uce_1012_core                 
27     | GTR+G      | 313        | b8f8867336b7e009e8f429b2eb8d722a | uce_485_right, uce_897_right, uce_1012_right                                                        
28     | GTR+G      | 320        | 04127137e08f9dddea0613d61804598c | uce_308_left, uce_1269_left, uce_1013_left                                                          
29     | GTR+G      | 286        | b026cde514b758977905dbb260d2831d | uce_815_all, uce_106_core, uce_1013_core                                                            
30     | GTR+G      | 239        | ee45239898609ed8fc420bf0e8c8eeac | uce_800_right, uce_656_right, uce_1013_right, uce_76_right                                          
31     | GTR+G      | 593        | 97c90362847f91aabf08400b762ee681 | uce_975_right, uce_481_all, uce_734_all, uce_1495_right, uce_1014_left, uce_1096_all                
