INFO     | 2016-12-12 17:08:10,676 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-12 17:08:10,682 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-12-12 17:08:10,682 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-12 17:08:10,682 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-12 17:08:10,689 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-12 17:08:10,689 | model_load | GTR+G
INFO     | 2016-12-12 17:08:10,690 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-12 17:08:11,884 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-12-12 17:08:11,884 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-12 17:08:11,884 | config     | Looking for alignment file './Crawford_2012.phy'...
INFO     | 2016-12-12 17:08:11,884 | analysis   | Beginning Analysis
INFO     | 2016-12-12 17:08:12,180 | alignment  | Reading alignment file './Crawford_2012.phy'
INFO     | 2016-12-12 17:08:12,403 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-12 17:08:12,403 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-12 17:08:13,075 | raxml      | Topology estimation finished
INFO     | 2016-12-12 17:08:13,075 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2016-12-12 17:08:18,095 | raxml      | Branchlength estimation finished
INFO     | 2016-12-12 17:08:18,095 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-12-12 17:08:18,095 | analysis_m |    Set rcluster-max to 34310
INFO     | 2016-12-12 17:08:18,119 | analysis_m |    PartitionFinder will have to analyse 11242018 subsets to complete this analyses
WARNING  | 2016-12-12 17:08:18,119 | progress   |    11242018 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-12-12 17:08:18,120 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-12 17:08:23,402 | progress   |       Finished subset 1/3431, 0.03 percent done
INFO     | 2016-12-12 17:08:23,592 | progress   |       Finished subset 2/3431, 0.06 percent done
INFO     | 2016-12-12 17:08:23,642 | progress   |       Finished subset 3/3431, 0.09 percent done
INFO     | 2016-12-12 17:08:23,688 | progress   |       Finished subset 4/3431, 0.12 percent done
INFO     | 2016-12-12 17:08:23,750 | progress   |       Finished subset 5/3431, 0.15 percent done
INFO     | 2016-12-12 17:08:23,803 | progress   |       Finished subset 6/3431, 0.17 percent done
INFO     | 2016-12-12 17:08:23,856 | progress   |       Finished subset 7/3431, 0.20 percent done
INFO     | 2016-12-12 17:08:23,915 | progress   |       Finished subset 8/3431, 0.23 percent done
INFO     | 2016-12-12 17:08:23,974 | progress   |       Finished subset 9/3431, 0.26 percent done
INFO     | 2016-12-12 17:08:24,030 | progress   |       Finished subset 10/3431, 0.29 percent done
INFO     | 2016-12-12 17:08:24,085 | progress   |       Finished subset 11/3431, 0.32 percent done
INFO     | 2016-12-12 17:08:24,129 | progress   |       Finished subset 12/3431, 0.35 percent done
INFO     | 2016-12-12 17:08:24,183 | progress   |       Finished subset 13/3431, 0.38 percent done
INFO     | 2016-12-12 17:08:24,249 | progress   |       Finished subset 14/3431, 0.41 percent done
INFO     | 2016-12-12 17:08:24,304 | progress   |       Finished subset 15/3431, 0.44 percent done
INFO     | 2016-12-12 17:08:24,356 | progress   |       Finished subset 16/3431, 0.47 percent done
INFO     | 2016-12-12 17:08:24,426 | progress   |       Finished subset 17/3431, 0.50 percent done
INFO     | 2016-12-12 17:08:24,499 | progress   |       Finished subset 18/3431, 0.52 percent done
INFO     | 2016-12-12 17:08:24,564 | progress   |       Finished subset 19/3431, 0.55 percent done
INFO     | 2016-12-12 17:08:24,638 | progress   |       Finished subset 20/3431, 0.58 percent done
INFO     | 2016-12-12 17:08:24,698 | progress   |       Finished subset 21/3431, 0.61 percent done
INFO     | 2016-12-12 17:08:24,769 | progress   |       Finished subset 22/3431, 0.64 percent done
INFO     | 2016-12-12 17:08:24,816 | progress   |       Finished subset 23/3431, 0.67 percent done
INFO     | 2016-12-12 17:08:24,866 | progress   |       Finished subset 24/3431, 0.70 percent done
INFO     | 2016-12-12 17:08:24,905 | progress   |       Finished subset 25/3431, 0.73 percent done
INFO     | 2016-12-12 17:08:24,956 | progress   |       Finished subset 26/3431, 0.76 percent done
INFO     | 2016-12-12 17:08:25,008 | progress   |       Finished subset 27/3431, 0.79 percent done
INFO     | 2016-12-12 17:08:25,225 | progress   |       Finished subset 28/3431, 0.82 percent done
INFO     | 2016-12-12 17:08:25,275 | progress   |       Finished subset 29/3431, 0.85 percent done
INFO     | 2016-12-12 17:08:25,344 | progress   |       Finished subset 30/3431, 0.87 percent done
INFO     | 2016-12-12 17:08:25,389 | progress   |       Finished subset 31/3431, 0.90 percent done
INFO     | 2016-12-12 17:08:25,435 | progress   |       Finished subset 32/3431, 0.93 percent done
INFO     | 2016-12-12 17:08:25,517 | progress   |       Finished subset 33/3431, 0.96 percent done
INFO     | 2016-12-12 17:08:25,567 | progress   |       Finished subset 34/3431, 0.99 percent done
INFO     | 2016-12-12 17:08:25,634 | progress   |       Finished subset 35/3431, 1.02 percent done
INFO     | 2016-12-12 17:08:25,696 | progress   |       Finished subset 36/3431, 1.05 percent done
INFO     | 2016-12-12 17:08:25,747 | progress   |       Finished subset 37/3431, 1.08 percent done
INFO     | 2016-12-12 17:08:25,821 | progress   |       Finished subset 38/3431, 1.11 percent done
INFO     | 2016-12-12 17:08:25,863 | progress   |       Finished subset 39/3431, 1.14 percent done
INFO     | 2016-12-12 17:08:25,919 | progress   |       Finished subset 40/3431, 1.17 percent done
INFO     | 2016-12-12 17:08:25,982 | progress   |       Finished subset 41/3431, 1.19 percent done
INFO     | 2016-12-12 17:08:26,053 | progress   |       Finished subset 42/3431, 1.22 percent done
INFO     | 2016-12-12 17:08:26,117 | progress   |       Finished subset 43/3431, 1.25 percent done
INFO     | 2016-12-12 17:08:26,183 | progress   |       Finished subset 44/3431, 1.28 percent done
INFO     | 2016-12-12 17:08:26,230 | progress   |       Finished subset 45/3431, 1.31 percent done
INFO     | 2016-12-12 17:08:26,291 | progress   |       Finished subset 46/3431, 1.34 percent done
INFO     | 2016-12-12 17:08:26,393 | progress   |       Finished subset 47/3431, 1.37 percent done
INFO     | 2016-12-12 17:08:26,459 | progress   |       Finished subset 48/3431, 1.40 percent done
INFO     | 2016-12-12 17:08:26,504 | progress   |       Finished subset 49/3431, 1.43 percent done
INFO     | 2016-12-12 17:08:26,577 | progress   |       Finished subset 50/3431, 1.46 percent done
INFO     | 2016-12-12 17:08:26,647 | progress   |       Finished subset 51/3431, 1.49 percent done
INFO     | 2016-12-12 17:08:26,721 | progress   |       Finished subset 52/3431, 1.52 percent done
INFO     | 2016-12-12 17:08:26,796 | progress   |       Finished subset 53/3431, 1.54 percent done
INFO     | 2016-12-12 17:08:26,841 | progress   |       Finished subset 54/3431, 1.57 percent done
INFO     | 2016-12-12 17:08:26,887 | progress   |       Finished subset 55/3431, 1.60 percent done
INFO     | 2016-12-12 17:08:26,960 | progress   |       Finished subset 56/3431, 1.63 percent done
INFO     | 2016-12-12 17:08:27,011 | progress   |       Finished subset 57/3431, 1.66 percent done
INFO     | 2016-12-12 17:08:27,081 | progress   |       Finished subset 58/3431, 1.69 percent done
INFO     | 2016-12-12 17:08:27,145 | progress   |       Finished subset 59/3431, 1.72 percent done
INFO     | 2016-12-12 17:08:27,218 | progress   |       Finished subset 60/3431, 1.75 percent done
INFO     | 2016-12-12 17:08:27,272 | progress   |       Finished subset 61/3431, 1.78 percent done
INFO     | 2016-12-12 17:08:27,339 | progress   |       Finished subset 62/3431, 1.81 percent done
INFO     | 2016-12-12 17:08:27,398 | progress   |       Finished subset 63/3431, 1.84 percent done
INFO     | 2016-12-12 17:08:27,452 | progress   |       Finished subset 64/3431, 1.87 percent done
INFO     | 2016-12-12 17:08:27,499 | progress   |       Finished subset 65/3431, 1.89 percent done
INFO     | 2016-12-12 17:08:27,565 | progress   |       Finished subset 66/3431, 1.92 percent done
INFO     | 2016-12-12 17:08:27,613 | progress   |       Finished subset 67/3431, 1.95 percent done
INFO     | 2016-12-12 17:08:27,653 | progress   |       Finished subset 68/3431, 1.98 percent done
INFO     | 2016-12-12 17:08:27,691 | progress   |       Finished subset 69/3431, 2.01 percent done
INFO     | 2016-12-12 17:08:27,758 | progress   |       Finished subset 70/3431, 2.04 percent done
INFO     | 2016-12-12 17:08:27,828 | progress   |       Finished subset 71/3431, 2.07 percent done
INFO     | 2016-12-12 17:08:27,894 | progress   |       Finished subset 72/3431, 2.10 percent done
INFO     | 2016-12-12 17:08:27,952 | progress   |       Finished subset 73/3431, 2.13 percent done
INFO     | 2016-12-12 17:08:28,022 | progress   |       Finished subset 74/3431, 2.16 percent done
INFO     | 2016-12-12 17:08:28,072 | progress   |       Finished subset 75/3431, 2.19 percent done
INFO     | 2016-12-12 17:08:28,116 | progress   |       Finished subset 76/3431, 2.22 percent done
INFO     | 2016-12-12 17:08:28,163 | progress   |       Finished subset 77/3431, 2.24 percent done
INFO     | 2016-12-12 17:08:28,213 | progress   |       Finished subset 78/3431, 2.27 percent done
INFO     | 2016-12-12 17:08:28,277 | progress   |       Finished subset 79/3431, 2.30 percent done
INFO     | 2016-12-12 17:08:28,349 | progress   |       Finished subset 80/3431, 2.33 percent done
INFO     | 2016-12-12 17:08:28,399 | progress   |       Finished subset 81/3431, 2.36 percent done
INFO     | 2016-12-12 17:08:28,441 | progress   |       Finished subset 82/3431, 2.39 percent done
INFO     | 2016-12-12 17:08:28,507 | progress   |       Finished subset 83/3431, 2.42 percent done
INFO     | 2016-12-12 17:08:28,565 | progress   |       Finished subset 84/3431, 2.45 percent done
INFO     | 2016-12-12 17:08:28,615 | progress   |       Finished subset 85/3431, 2.48 percent done
INFO     | 2016-12-12 17:08:28,686 | progress   |       Finished subset 86/3431, 2.51 percent done
INFO     | 2016-12-12 17:08:28,759 | progress   |       Finished subset 87/3431, 2.54 percent done
INFO     | 2016-12-12 17:08:28,813 | progress   |       Finished subset 88/3431, 2.56 percent done
INFO     | 2016-12-12 17:08:28,858 | progress   |       Finished subset 89/3431, 2.59 percent done
INFO     | 2016-12-12 17:08:28,932 | progress   |       Finished subset 90/3431, 2.62 percent done
INFO     | 2016-12-12 17:08:29,003 | progress   |       Finished subset 91/3431, 2.65 percent done
INFO     | 2016-12-12 17:08:29,052 | progress   |       Finished subset 92/3431, 2.68 percent done
INFO     | 2016-12-12 17:08:29,134 | progress   |       Finished subset 93/3431, 2.71 percent done
INFO     | 2016-12-12 17:08:29,183 | progress   |       Finished subset 94/3431, 2.74 percent done
INFO     | 2016-12-12 17:08:29,229 | progress   |       Finished subset 95/3431, 2.77 percent done
INFO     | 2016-12-12 17:08:29,288 | progress   |       Finished subset 96/3431, 2.80 percent done
INFO     | 2016-12-12 17:08:29,337 | progress   |       Finished subset 97/3431, 2.83 percent done
INFO     | 2016-12-12 17:08:29,395 | progress   |       Finished subset 98/3431, 2.86 percent done
INFO     | 2016-12-12 17:08:29,435 | progress   |       Finished subset 99/3431, 2.89 percent done
INFO     | 2016-12-12 17:08:29,477 | progress   |       Finished subset 100/3431, 2.91 percent done
INFO     | 2016-12-12 17:08:29,518 | progress   |       Finished subset 101/3431, 2.94 percent done
INFO     | 2016-12-12 17:08:29,573 | progress   |       Finished subset 102/3431, 2.97 percent done
INFO     | 2016-12-12 17:08:29,645 | progress   |       Finished subset 103/3431, 3.00 percent done
INFO     | 2016-12-12 17:08:29,690 | progress   |       Finished subset 104/3431, 3.03 percent done
INFO     | 2016-12-12 17:08:29,728 | progress   |       Finished subset 105/3431, 3.06 percent done
INFO     | 2016-12-12 17:08:29,784 | progress   |       Finished subset 106/3431, 3.09 percent done
INFO     | 2016-12-12 17:08:29,838 | progress   |       Finished subset 107/3431, 3.12 percent done
INFO     | 2016-12-12 17:08:29,921 | progress   |       Finished subset 108/3431, 3.15 percent done
INFO     | 2016-12-12 17:08:29,963 | progress   |       Finished subset 109/3431, 3.18 percent done
INFO     | 2016-12-12 17:08:30,027 | progress   |       Finished subset 110/3431, 3.21 percent done
INFO     | 2016-12-12 17:08:30,100 | progress   |       Finished subset 111/3431, 3.24 percent done
INFO     | 2016-12-12 17:08:30,157 | progress   |       Finished subset 112/3431, 3.26 percent done
INFO     | 2016-12-12 17:08:30,219 | progress   |       Finished subset 113/3431, 3.29 percent done
INFO     | 2016-12-12 17:08:30,259 | progress   |       Finished subset 114/3431, 3.32 percent done
INFO     | 2016-12-12 17:08:30,301 | progress   |       Finished subset 115/3431, 3.35 percent done
INFO     | 2016-12-12 17:08:30,341 | progress   |       Finished subset 116/3431, 3.38 percent done
INFO     | 2016-12-12 17:08:30,409 | progress   |       Finished subset 117/3431, 3.41 percent done
INFO     | 2016-12-12 17:08:30,455 | progress   |       Finished subset 118/3431, 3.44 percent done
INFO     | 2016-12-12 17:08:30,504 | progress   |       Finished subset 119/3431, 3.47 percent done
INFO     | 2016-12-12 17:08:30,543 | progress   |       Finished subset 120/3431, 3.50 percent done
INFO     | 2016-12-12 17:08:30,582 | progress   |       Finished subset 121/3431, 3.53 percent done
INFO     | 2016-12-12 17:08:30,658 | progress   |       Finished subset 122/3431, 3.56 percent done
INFO     | 2016-12-12 17:08:30,724 | progress   |       Finished subset 123/3431, 3.58 percent done
INFO     | 2016-12-12 17:08:30,767 | progress   |       Finished subset 124/3431, 3.61 percent done
INFO     | 2016-12-12 17:08:30,807 | progress   |       Finished subset 125/3431, 3.64 percent done
INFO     | 2016-12-12 17:08:30,854 | progress   |       Finished subset 126/3431, 3.67 percent done
INFO     | 2016-12-12 17:08:30,938 | progress   |       Finished subset 127/3431, 3.70 percent done
INFO     | 2016-12-12 17:08:30,979 | progress   |       Finished subset 128/3431, 3.73 percent done
INFO     | 2016-12-12 17:08:31,042 | progress   |       Finished subset 129/3431, 3.76 percent done
INFO     | 2016-12-12 17:08:31,114 | progress   |       Finished subset 130/3431, 3.79 percent done
INFO     | 2016-12-12 17:08:31,159 | progress   |       Finished subset 131/3431, 3.82 percent done
INFO     | 2016-12-12 17:08:31,211 | progress   |       Finished subset 132/3431, 3.85 percent done
INFO     | 2016-12-12 17:08:31,282 | progress   |       Finished subset 133/3431, 3.88 percent done
INFO     | 2016-12-12 17:08:31,333 | progress   |       Finished subset 134/3431, 3.91 percent done
INFO     | 2016-12-12 17:08:31,510 | progress   |       Finished subset 135/3431, 3.93 percent done
INFO     | 2016-12-12 17:08:31,556 | progress   |       Finished subset 136/3431, 3.96 percent done
INFO     | 2016-12-12 17:08:31,608 | progress   |       Finished subset 137/3431, 3.99 percent done
INFO     | 2016-12-12 17:08:31,671 | progress   |       Finished subset 138/3431, 4.02 percent done
INFO     | 2016-12-12 17:08:31,729 | progress   |       Finished subset 139/3431, 4.05 percent done
INFO     | 2016-12-12 17:08:31,771 | progress   |       Finished subset 140/3431, 4.08 percent done
INFO     | 2016-12-12 17:08:31,810 | progress   |       Finished subset 141/3431, 4.11 percent done
INFO     | 2016-12-12 17:08:31,858 | progress   |       Finished subset 142/3431, 4.14 percent done
INFO     | 2016-12-12 17:08:31,935 | progress   |       Finished subset 143/3431, 4.17 percent done
INFO     | 2016-12-12 17:08:31,995 | progress   |       Finished subset 144/3431, 4.20 percent done
INFO     | 2016-12-12 17:08:32,041 | progress   |       Finished subset 145/3431, 4.23 percent done
INFO     | 2016-12-12 17:08:32,134 | progress   |       Finished subset 146/3431, 4.26 percent done
INFO     | 2016-12-12 17:08:32,181 | progress   |       Finished subset 147/3431, 4.28 percent done
INFO     | 2016-12-12 17:08:32,220 | progress   |       Finished subset 148/3431, 4.31 percent done
INFO     | 2016-12-12 17:08:32,258 | progress   |       Finished subset 149/3431, 4.34 percent done
INFO     | 2016-12-12 17:08:32,311 | progress   |       Finished subset 150/3431, 4.37 percent done
INFO     | 2016-12-12 17:08:32,401 | progress   |       Finished subset 151/3431, 4.40 percent done
INFO     | 2016-12-12 17:08:32,485 | progress   |       Finished subset 152/3431, 4.43 percent done
INFO     | 2016-12-12 17:08:32,542 | progress   |       Finished subset 153/3431, 4.46 percent done
INFO     | 2016-12-12 17:08:32,588 | progress   |       Finished subset 154/3431, 4.49 percent done
INFO     | 2016-12-12 17:08:32,629 | progress   |       Finished subset 155/3431, 4.52 percent done
INFO     | 2016-12-12 17:08:32,673 | progress   |       Finished subset 156/3431, 4.55 percent done
INFO     | 2016-12-12 17:08:32,743 | progress   |       Finished subset 157/3431, 4.58 percent done
INFO     | 2016-12-12 17:08:32,798 | progress   |       Finished subset 158/3431, 4.61 percent done
INFO     | 2016-12-12 17:08:32,849 | progress   |       Finished subset 159/3431, 4.63 percent done
INFO     | 2016-12-12 17:08:32,888 | progress   |       Finished subset 160/3431, 4.66 percent done
INFO     | 2016-12-12 17:08:32,930 | progress   |       Finished subset 161/3431, 4.69 percent done
INFO     | 2016-12-12 17:08:32,977 | progress   |       Finished subset 162/3431, 4.72 percent done
INFO     | 2016-12-12 17:08:33,026 | progress   |       Finished subset 163/3431, 4.75 percent done
INFO     | 2016-12-12 17:08:33,087 | progress   |       Finished subset 164/3431, 4.78 percent done
INFO     | 2016-12-12 17:08:33,129 | progress   |       Finished subset 165/3431, 4.81 percent done
INFO     | 2016-12-12 17:08:33,173 | progress   |       Finished subset 166/3431, 4.84 percent done
INFO     | 2016-12-12 17:08:33,241 | progress   |       Finished subset 167/3431, 4.87 percent done
INFO     | 2016-12-12 17:08:33,282 | progress   |       Finished subset 168/3431, 4.90 percent done
INFO     | 2016-12-12 17:08:33,326 | progress   |       Finished subset 169/3431, 4.93 percent done
INFO     | 2016-12-12 17:08:33,366 | progress   |       Finished subset 170/3431, 4.95 percent done
INFO     | 2016-12-12 17:08:33,430 | progress   |       Finished subset 171/3431, 4.98 percent done
INFO     | 2016-12-12 17:08:33,494 | progress   |       Finished subset 172/3431, 5.01 percent done
INFO     | 2016-12-12 17:08:33,551 | progress   |       Finished subset 173/3431, 5.04 percent done
INFO     | 2016-12-12 17:08:33,604 | progress   |       Finished subset 174/3431, 5.07 percent done
INFO     | 2016-12-12 17:08:33,658 | progress   |       Finished subset 175/3431, 5.10 percent done
INFO     | 2016-12-12 17:08:33,741 | progress   |       Finished subset 176/3431, 5.13 percent done
INFO     | 2016-12-12 17:08:33,785 | progress   |       Finished subset 177/3431, 5.16 percent done
INFO     | 2016-12-12 17:08:33,830 | progress   |       Finished subset 178/3431, 5.19 percent done
INFO     | 2016-12-12 17:08:33,871 | progress   |       Finished subset 179/3431, 5.22 percent done
INFO     | 2016-12-12 17:08:33,929 | progress   |       Finished subset 180/3431, 5.25 percent done
