INFO     | 2016-12-20 17:21:38,734 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-20 17:21:38,741 | config     | Setting 'alignment' to 'Crawford_2012.phy'
INFO     | 2016-12-20 17:21:38,741 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-20 17:21:38,742 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-20 17:21:38,753 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-20 17:21:38,753 | model_load | GTR+G
INFO     | 2016-12-20 17:21:38,753 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-20 17:21:38,872 | config     | Setting 'search' to 'greedy'
INFO     | 2016-12-20 17:21:38,872 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-20 17:21:38,872 | config     | Looking for alignment file './Crawford_2012.phy'...
INFO     | 2016-12-20 17:21:38,872 | analysis   | Beginning Analysis
INFO     | 2016-12-20 17:21:38,961 | alignment  | Reading alignment file './Crawford_2012.phy'
INFO     | 2016-12-20 17:21:39,255 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-20 17:21:39,255 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-20 17:21:40,051 | raxml      | Topology estimation finished
INFO     | 2016-12-20 17:21:40,052 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2016-12-20 17:21:45,477 | raxml      | Branchlength estimation finished
INFO     | 2016-12-20 17:21:45,478 | analysis_m | Performing Greedy Analysis
INFO     | 2016-12-20 17:21:45,478 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-20 17:21:51,318 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2016-12-20 17:21:51,341 | analysis_m |    Greedy algorithm finished after 1 steps
INFO     | 2016-12-20 17:21:51,341 | analysis_m |    Best scoring scheme is scheme start_scheme, with aicc score of 2481257.253
INFO     | 2016-12-20 17:21:51,360 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2016-12-20 17:21:51,360 | model_util |    
INFO     | 2016-12-20 17:21:51,360 | model_util |    
INFO     | 2016-12-20 17:21:51,361 | model_util |    *Citations for this analysis*
INFO     | 2016-12-20 17:21:51,361 | model_util |    -----------------------------
INFO     | 2016-12-20 17:21:51,361 | model_util |    
INFO     | 2016-12-20 17:21:51,361 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2016-12-20 17:21:51,361 | model_util |    
INFO     | 2016-12-20 17:21:51,361 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2016-12-20 17:21:51,362 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2016-12-20 17:21:51,362 | model_util |    
INFO     | 2016-12-20 17:21:51,362 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2016-12-20 17:21:51,362 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2016-12-20 17:21:51,362 | model_util |    
INFO     | 2016-12-20 17:21:51,362 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2016-12-20 17:21:51,362 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2016-12-20 17:21:51,363 | model_util |    
INFO     | 2016-12-20 17:21:51,364 | main       | Total processing time: 0:00:13 (h:m:s)
INFO     | 2016-12-20 17:21:51,365 | main       | Processing complete.
