Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1836302.83434
Scheme AICc       : 3682710.16937
Number of params  : 4946
Number of sites   : 235232
Number of subsets : 484

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 761        | 71da83dd500ba39b4394cc6d4b46d1a4 | uce_153_core, uce_760_right, uce_1001_left, uce_961_core, uce_238_core                              
2      | GTR+G      | 554        | 39d3f215c17586ec105618c41c6d268c | uce_713_core, uce_1001_core, uce_1128_left, uce_59_core                                             
3      | GTR+G      | 51         | 7073ff9fd399c8d9d8b6662636df7b28 | uce_1001_right                                                                                      
4      | GTR+G      | 50         | cad4a544a74a5106f33c47cb221576d8 | uce_1002_left                                                                                       
5      | GTR+G      | 624        | d8f0b9f1a688311178ec336af12a0410 | uce_1287_core, uce_516_core, uce_1002_core, uce_231_core, uce_1301_right                            
6      | GTR+G      | 618        | a4c0d4c1a65d8fc200834a6a34a0f97a | uce_1283_all, uce_709_left, uce_473_right, uce_905_all, uce_1002_right                              
7      | GTR+G      | 610        | f53637bdb9cfa12b89614d0643199232 | uce_1235_right, uce_252_left, uce_739_right, uce_1278_right, uce_1341_right, uce_7_left, uce_1004_left
8      | GTR+G      | 1085       | 2c302b3defa7de0c9ac184acfabe1b2f | uce_1004_core, uce_371_core, uce_555_core, uce_107_core, uce_1251_core, uce_1132_core               
9      | GTR+G      | 202        | 7e296fa5fc6f2eb2d265c7c5875cb476 | uce_45_core, uce_547_left, uce_1004_right, uce_435_right                                            
10     | GTR+G      | 181        | c24dd88e9772082b8d4c7ce4a682b7cb | uce_775_left, uce_1174_left, uce_1005_left                                                          
11     | GTR+G      | 1181       | 8688d1c705be42e337841e759ad61fc0 | uce_426_left, uce_1005_core, uce_1286_right, uce_959_core, uce_909_left, uce_1209_core              
12     | GTR+G      | 100        | 768044e1cb8db6b90e4176b9378e6c0a | uce_476_left, uce_1005_right                                                                        
13     | GTR+G      | 857        | 3a667c1413e1283c9e5c7300e7c7c347 | uce_1080_right, uce_433_left, uce_608_right, uce_1007_left, uce_871_core, uce_952_right, uce_802_core, uce_1224_left, uce_619_left
14     | GTR+G      | 2208       | f1c773a68626c90783d9989dfc58eca7 | uce_413_core, uce_388_core, uce_373_core, uce_1097_core, uce_993_core, uce_294_core, uce_1007_core, uce_932_core, uce_626_right
15     | GTR+G      | 309        | 405f15818a0a236d64343e114f5a99ff | uce_933_core, uce_1007_right, uce_758_left                                                          
16     | GTR+G      | 246        | 1ffecdc53f2a6c6c61bef1a0b947be80 | uce_1009_left, uce_871_right                                                                        
