Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1857018.5695
Scheme AICc       : 3725313.12022
Number of params  : 5506
Number of sites   : 235232
Number of subsets : 540

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 507        | 5651f24a21fe968fe9a582068c33813b | uce_1001_left, uce_368_right, uce_791_left, uce_748_core, uce_168_core, uce_811_core, uce_1178_core 
2      | GTR+G      | 1050       | 5dcc863b7350d2dbf572b99b2e16660b | uce_881_core, uce_559_core, uce_1001_core, uce_503_core, uce_368_core, uce_819_core, uce_188_core   
3      | GTR+G      | 66         | 1496314bc86ffdcc2a2520a1ab76e721 | uce_1001_right                                                                                      
4      | GTR+G      | 54         | fa7e4166cf0a3b97d08b52d08c249c90 | uce_1002_left                                                                                       
5      | GTR+G      | 222        | 88c78ac472d26ba97ae6654abd1061be | uce_1002_core, uce_1113_left, uce_231_core, uce_1301_right                                          
6      | GTR+G      | 166        | 058ae14b9950a2a8a4c4a8cbcb9ae881 | uce_563_core, uce_1002_right                                                                        
7      | GTR+G      | 169        | e914d065614c1d77a3a103d79d10f2b9 | uce_299_left, uce_1004_left                                                                         
8      | GTR+G      | 397        | 3ff7851a8fe5439845874c1022cc6328 | uce_511_left, uce_1004_core, uce_630_core                                                           
9      | GTR+G      | 590        | 3a1a882d326249eb8239fa2590351729 | uce_1025_left, uce_753_right, uce_259_right, uce_37_right, uce_1004_right                           
10     | GTR+G      | 377        | 9cf8ea21da749bd5f3028bcfecdc5e66 | uce_1005_left, uce_738_left                                                                         
11     | GTR+G      | 491        | abdc721f2dfd54aba7c41fe988f6a7ae | uce_1005_core, uce_153_core, uce_549_left, uce_623_core, uce_1212_core                              
12     | GTR+G      | 635        | d2ff7c5fd5cb76443c900ba50936fcaf | uce_1005_right, uce_363_core, uce_1228_left, uce_1095_left                                          
13     | GTR+G      | 829        | 8a25c4e1bb9797e5373611afe19b3203 | uce_719_right, uce_1007_left, uce_815_left                                                          
14     | GTR+G      | 439        | aa97e0687fedf06b868fd2e31aad0c04 | uce_601_core, uce_32_core, uce_1214_core, uce_1007_core, uce_894_core, uce_374_core                 
15     | GTR+G      | 700        | 1ce15ce4c5848eaa0dd4d8adca48d43b | uce_972_right, uce_1007_right, uce_2_right, uce_1200_right                                          
