Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1860589.89168
Scheme AICc       : 3731848.3929
Number of params  : 5216
Number of sites   : 235232
Number of subsets : 511

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 526        | a9fb6c04624784e54ed4679314fedfdf | uce_1251_core, uce_1220_core, uce_916_core, uce_368_right, uce_1001_left, uce_220_core, uce_811_core, uce_205_core
2      | GTR+G      | 191        | ae01a40436f5c15b22c44c4ca8ac7436 | uce_1001_core, uce_750_core, uce_110_core                                                           
3      | GTR+G      | 192        | a2f4d60572a8a0ffab86e65209ce4e6c | uce_1001_right                                                                                      
4      | GTR+G      | 52         | 9c3229d150ea378076d4a46140705122 | uce_1002_left                                                                                       
5      | GTR+G      | 478        | 2c27ffc8b1f2c516b1ad32c1f85282da | uce_1002_core, uce_231_core, uce_949_right, uce_1082_left                                           
6      | GTR+G      | 755        | ea94d774a85d19e760663b113ecd13bf | uce_335_core, uce_1002_right, uce_1051_core, uce_124_core, uce_343_left, uce_355_left, uce_792_right
7      | GTR+G      | 329        | 7b09813e01e19009dad35bafdc676cc3 | uce_1004_left, uce_802_core, uce_699_right, uce_48_right, uce_587_left                              
8      | GTR+G      | 1115       | e8a244151ca3d1598f57d0ecc09789dc | uce_1041_right, uce_6_right, uce_495_right, uce_1004_core, uce_740_right, uce_1311_core             
9      | GTR+G      | 201        | bb7dfa24de21aa5497c5c49b89382bf5 | uce_1004_right, uce_619_right                                                                       
10     | GTR+G      | 579        | 44ef814f1ac424adf61dfc65260501b6 | uce_295_left, uce_1005_left, uce_295_core, uce_502_left, uce_344_core                               
11     | GTR+G      | 522        | 69a216af3a9db0ffdc68a5df2a1b4bc1 | uce_709_right, uce_1005_core, uce_222_core, uce_351_right, uce_709_core, uce_45_core, uce_820_core  
12     | GTR+G      | 1176       | eb8d1048c1fe0a56230503ba1157e672 | uce_86_left, uce_143_core, uce_1328_core, uce_1097_left, uce_46_core, uce_1005_right                
13     | GTR+G      | 517        | 869ef8a513b7ad75f1e05ccbb6b68036 | uce_1007_left, uce_883_left                                                                         
14     | GTR+G      | 500        | 6b02602e6aae9c9ca3850929ee903c60 | uce_899_core, uce_1173_core, uce_675_core, uce_1009_core, uce_21_core, uce_1007_core, uce_1256_core, uce_8_core
15     | GTR+G      | 969        | d253c4df8a4806a64dcf7eb9c0b53a4a | uce_1212_left, uce_657_left, uce_1007_right, uce_1212_right, uce_1178_right, uce_433_right          
16     | GTR+G      | 549        | ad1587733c61f9c08e2e54a0ba478bba | uce_1009_left, uce_749_core, uce_206_core, uce_672_left, uce_1192_right, uce_1301_left              
17     | GTR+G      | 611        | a998fc86240c78c673a0d7120381166e | uce_1320_right, uce_1009_right, uce_57_left, uce_90_left                                            
18     | GTR+G      | 125        | eeba8faaee72a06000a6e75cd81f60ad | uce_90_right, uce_1014_left                                                                         
19     | GTR+G      | 956        | 845168ac27c21f5fa477152161d8001f | uce_1014_core, uce_283_left, uce_121_right, uce_1256_left, uce_700_left                             
20     | GTR+G      | 361        | c1804198048528babffab0cd7535c56a | uce_1014_right, uce_422_left                                                                        
21     | GTR+G      | 188        | ed915f56e7cdab2b510198759dd493f5 | uce_1018_left, uce_943_left                                                                         
22     | GTR+G      | 695        | 753b4ee8610e2356f0f55cfe076d8cf2 | uce_1018_core, uce_758_core, uce_1165_core, uce_885_core, uce_81_core, uce_1288_core, uce_820_right 
23     | GTR+G      | 469        | 3648d456d73676fc0d9b71792eaa39fc | uce_1178_core, uce_409_right, uce_1018_right, uce_1312_core                                         
24     | GTR+G      | 277        | 6a923615c2b4b076d71c0e7549bccfbc | uce_1022_left, uce_840_right                                                                        
25     | GTR+G      | 322        | a2ea4c3ccb861ab83af5a26ae80eae57 | uce_898_core, uce_862_core, uce_374_core, uce_1022_core                                             
26     | GTR+G      | 1554       | 47739b3c665e2949d1f411d4c2c6afef | uce_1022_right, uce_301_left, uce_418_right, uce_148_right, uce_1128_right, uce_59_right, uce_555_left, uce_799_right, uce_199_left, uce_1060_right
27     | GTR+G      | 527        | 21cd3403bf060696cea616f4271da598 | uce_59_left, uce_1024_left, uce_1287_core, uce_933_right                                            
28     | GTR+G      | 492        | ea1ada66a026ae69011ab352181219b9 | uce_1024_core, uce_383_core, uce_918_core, uce_1228_core, uce_1142_core, uce_982_core               
29     | GTR+G      | 695        | 7622b3c3b62cd357c6fcdb6709bc2197 | uce_649_left, uce_1024_right, uce_951_right, uce_1293_left                                          
30     | GTR+G      | 218        | 668e1b07575c7e195d3ee171726132a5 | uce_1180_right, uce_1025_left                                                                       
31     | GTR+G      | 551        | 7fc73184c2e319d14355b31acfda3880 | uce_239_left, uce_1303_core, uce_133_core, uce_646_left, uce_1025_core                              
32     | GTR+G      | 457        | 60df3802ba37c6776cadf651b1f77805 | uce_1158_right, uce_1025_right                                                                      
33     | GTR+G      | 1238       | c815434c27ffa7e613ce7ee9c92f8ada | uce_19_left, uce_116_right, uce_1034_right, uce_1168_right, uce_1027_left, uce_154_right, uce_1215_right
34     | GTR+G      | 637        | 9ed77908a8fc6c18a11f46b4de8c24d6 | uce_24_left, uce_1027_core, uce_542_core, uce_748_core, uce_157_core, uce_572_core                  
35     | GTR+G      | 1099       | be0602b98fbb98ebd7236b3e7d08e83c | uce_332_right, uce_1037_core, uce_1199_core, uce_1223_core, uce_603_right, uce_90_core, uce_1027_right
36     | GTR+G      | 288        | 6495cb80d04ec29ae0b5ce776b373584 | uce_1028_left, uce_1079_left                                                                        
37     | GTR+G      | 238        | 11bd008876911b9d8113265b78571405 | uce_1028_core, uce_1223_left, uce_609_left                                                          
38     | GTR+G      | 320        | 1d8947ef9e06ca390304242c4ed395e6 | uce_1028_right, uce_99_right                                                                        
39     | GTR+G      | 336        | c898177eda1a07f2af722b8bbb346910 | uce_1034_left, uce_497_right, uce_755_right                                                         
40     | GTR+G      | 396        | 054c13b82818a37dee54466197df463d | uce_954_left, uce_1034_core, uce_1137_core, uce_763_core                                            
41     | GTR+G      | 547        | 8fdfb53de359e4eabc7e5097fbecae2e | uce_954_core, uce_511_core, uce_383_right, uce_321_core, uce_755_core, uce_1037_left, uce_84_core   
42     | GTR+G      | 655        | a7d82c96c6c2ab7a1a758319908e5cb5 | uce_799_core, uce_1037_right, uce_1246_left, uce_766_core, uce_460_right, uce_1181_left, uce_786_left
43     | GTR+G      | 257        | 77dfd7bdaaf397dcc367cac921f0661c | uce_64_right, uce_34_right, uce_1041_left, uce_749_left                                             
44     | GTR+G      | 230        | 9b4ef1f56f045b9009f03388167e32da | uce_516_left, uce_1041_core, uce_120_right                                                          
45     | GTR+G      | 554        | 6abc9977e30f30365235807f84ea4657 | uce_201_right, uce_999_core, uce_1042_left, uce_1074_core                                           
46     | GTR+G      | 256        | e61517c807e921c0411cc9b39eba7767 | uce_1042_core, uce_6_core, uce_161_core, uce_343_core                                               
47     | GTR+G      | 2248       | 47049bfb99635b3497f604a4d428c948 | uce_1142_right, uce_199_right, uce_769_right, uce_299_core, uce_892_left, uce_121_left, uce_523_core, uce_155_right, uce_204_right, uce_726_left, uce_1042_right, uce_373_left, uce_815_left, uce_1082_right
48     | GTR+G      | 122        | dec2d55750d9ae2506f06fad3dc3da8b | uce_1044_left                                                                                       
49     | GTR+G      | 314        | 9062933fba877ad597a9e8d1f60d2e89 | uce_1044_core, uce_1219_right                                                                       
50     | GTR+G      | 114        | 30d402278e03ba88b83150dda2205f17 | uce_1044_right                                                                                      
51     | GTR+G      | 1365       | c65bb75c4b095febc5d9105555b115a8 | uce_535_left, uce_1097_right, uce_473_right, uce_162_right, uce_105_left, uce_486_right, uce_986_left, uce_34_left
52     | GTR+G      | 540        | 758b20f71baf08f335d55fe97d531558 | uce_493_core, uce_61_left, uce_105_core, uce_136_right                                              
53     | GTR+G      | 329        | db5055a604a14cfe5f727c6dd33cf1ba | uce_105_right, uce_961_right, uce_740_left                                                          
54     | GTR+G      | 331        | 9620bf171d85e7f3a2edee79cfde1d54 | uce_88_left, uce_219_left, uce_1051_left, uce_556_left                                              
55     | GTR+G      | 682        | b99ff7aede4ef95b41e57ac26f0acc98 | uce_418_left, uce_1173_right, uce_1051_right, uce_411_left                                          
56     | GTR+G      | 360        | 52aa000d19b04a04ad49fb91be6b151b | uce_1264_left, uce_106_left                                                                         
57     | GTR+G      | 92         | d250b25154055136ecf24f2cfff4b546 | uce_106_core                                                                                        
58     | GTR+G      | 194        | fde023c14d72eab4a293e9410d27077c | uce_327_right, uce_106_right                                                                        
59     | GTR+G      | 475        | f2d28cf775cf09d8d8b03b739a8e3b02 | uce_1060_left, uce_1092_right, uce_631_right, uce_331_left, uce_159_right                           
60     | GTR+G      | 328        | a06ec44943eb007d3d60e68230c6abc6 | uce_107_right, uce_849_right, uce_331_core, uce_161_right, uce_1060_core                            
61     | GTR+G      | 410        | 52c83da3c89d76fa0abdea62914f0d4a | uce_761_core, uce_1062_left, uce_11_left                                                            
62     | GTR+G      | 873        | e8b64c8b5ba8fa6bff6589106e0565ea | uce_1110_core, uce_813_core, uce_690_core, uce_656_core, uce_173_core, uce_631_core, uce_1196_core, uce_840_core, uce_392_core, uce_1062_core
63     | GTR+G      | 2103       | db868fb392d1c56871ab5fe489ffc9c5 | uce_183_left, uce_1235_left, uce_1224_core, uce_120_core, uce_1062_right, uce_361_right, uce_418_core, uce_713_left
64     | GTR+G      | 666        | 9fab5163275e77ef5a551c78db762cfb | uce_190_left, uce_968_right, uce_345_left, uce_1063_left                                            
65     | GTR+G      | 270        | af5485415f2ef5c267bf9171b6e4bd99 | uce_1063_core, uce_573_core, uce_446_core, uce_485_core                                             
66     | GTR+G      | 770        | 033e69044d2c0ba6fc03e7137831c170 | uce_1096_left, uce_163_right, uce_1074_left, uce_192_left, uce_1063_right                           
67     | GTR+G      | 1017       | 589eb970e71a0089a447abbe2a789f4f | uce_209_left, uce_609_right, uce_18_right, uce_1321_left, uce_107_left, uce_6_left, uce_550_right, uce_1215_left
68     | GTR+G      | 1803       | 7b55d73981c015f5dfcf7dd9ffda4775 | uce_982_left, uce_1142_left, uce_388_left, uce_107_core, uce_859_left, uce_624_left, uce_465_core, uce_291_left, uce_362_right
69     | GTR+G      | 1693       | 0769a0a2d9887767d76c01c1519cbe6a | uce_220_right, uce_408_right, uce_1074_right, uce_728_left, uce_690_right, uce_163_left, uce_1126_right
70     | GTR+G      | 221        | 7e862c42ef9ad3a73f6d17a07673191d | uce_1075_left, uce_886_core                                                                         
71     | GTR+G      | 433        | a190297c8cb0909a7dede8ec7046d9b5 | uce_1075_core, uce_552_core, uce_1185_core, uce_254_core, uce_28_core                               
72     | GTR+G      | 302        | bbdd9babe6933c7351870820bee9b9ba | uce_1243_right, uce_1075_right, uce_617_right, uce_64_left                                          
73     | GTR+G      | 1195       | d7fa7b6e10bc6fcf16cb54a5371c4bb1 | uce_932_right, uce_1270_left, uce_1091_right, uce_1078_left, uce_946_right, uce_1328_left, uce_794_right
