INFO     | 2016-12-09 15:19:24,049 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-09 15:19:24,069 | config     | Setting 'alignment' to 'McCormack_2013.phy'
INFO     | 2016-12-09 15:19:24,069 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-09 15:19:24,070 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-09 15:19:24,076 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-09 15:19:24,077 | model_load | GTR+G
INFO     | 2016-12-09 15:19:24,077 | config     | Setting 'model_selection' to 'aicc'
ERROR    | 2016-12-09 15:19:35,365 | main       | User interrupted the Program
INFO     | 2016-12-09 15:19:40,716 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-09 15:19:40,738 | config     | Setting 'alignment' to 'McCormack_2013.phy'
INFO     | 2016-12-09 15:19:40,739 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-09 15:19:40,739 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-09 15:19:40,747 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-09 15:19:40,747 | model_load | GTR+G
INFO     | 2016-12-09 15:19:40,747 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-09 15:20:24,627 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-12-09 15:20:24,628 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-09 15:20:24,628 | config     | Looking for alignment file './McCormack_2013.phy'...
INFO     | 2016-12-09 15:20:24,628 | analysis   | Beginning Analysis
INFO     | 2016-12-09 15:20:25,571 | alignment  | Reading alignment file './McCormack_2013.phy'
INFO     | 2016-12-09 15:20:26,540 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-09 15:20:26,812 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-09 15:20:27,060 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2016-12-09 15:38:34,712 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2016-12-09 15:45:47,015 | raxml      | ML topology estimation finished
INFO     | 2016-12-09 15:45:47,019 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-12-09 15:45:47,019 | analysis_m |    Set rcluster-max to 5540
INFO     | 2016-12-09 15:45:47,022 | analysis_m |    PartitionFinder will have to analyse 301075 subsets to complete this analyses
WARNING  | 2016-12-09 15:45:47,022 | progress   |    301075 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-12-09 15:45:47,022 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-09 15:45:53,564 | progress   |       Finished subset 1/554, 0.18 percent done
INFO     | 2016-12-09 15:45:53,642 | progress   |       Finished subset 2/554, 0.36 percent done
INFO     | 2016-12-09 15:45:53,716 | progress   |       Finished subset 3/554, 0.54 percent done
INFO     | 2016-12-09 15:45:53,788 | progress   |       Finished subset 4/554, 0.72 percent done
INFO     | 2016-12-09 15:45:54,016 | progress   |       Finished subset 5/554, 0.90 percent done
INFO     | 2016-12-09 15:45:54,089 | progress   |       Finished subset 6/554, 1.08 percent done
INFO     | 2016-12-09 15:45:54,156 | progress   |       Finished subset 7/554, 1.26 percent done
INFO     | 2016-12-09 15:45:54,249 | progress   |       Finished subset 8/554, 1.44 percent done
INFO     | 2016-12-09 15:45:54,324 | progress   |       Finished subset 9/554, 1.62 percent done
INFO     | 2016-12-09 15:45:54,409 | progress   |       Finished subset 10/554, 1.81 percent done
INFO     | 2016-12-09 15:45:54,482 | progress   |       Finished subset 11/554, 1.99 percent done
INFO     | 2016-12-09 15:45:54,721 | progress   |       Finished subset 12/554, 2.17 percent done
INFO     | 2016-12-09 15:45:54,982 | progress   |       Finished subset 13/554, 2.35 percent done
INFO     | 2016-12-09 15:45:55,075 | progress   |       Finished subset 14/554, 2.53 percent done
INFO     | 2016-12-09 15:45:55,174 | progress   |       Finished subset 15/554, 2.71 percent done
INFO     | 2016-12-09 15:45:55,253 | progress   |       Finished subset 16/554, 2.89 percent done
INFO     | 2016-12-09 15:45:55,346 | progress   |       Finished subset 17/554, 3.07 percent done
INFO     | 2016-12-09 15:45:55,426 | progress   |       Finished subset 18/554, 3.25 percent done
INFO     | 2016-12-09 15:45:55,675 | progress   |       Finished subset 19/554, 3.43 percent done
INFO     | 2016-12-09 15:45:56,014 | progress   |       Finished subset 20/554, 3.61 percent done
INFO     | 2016-12-09 15:45:56,275 | progress   |       Finished subset 21/554, 3.79 percent done
INFO     | 2016-12-09 15:45:56,617 | progress   |       Finished subset 22/554, 3.97 percent done
INFO     | 2016-12-09 15:45:56,702 | progress   |       Finished subset 23/554, 4.15 percent done
INFO     | 2016-12-09 15:45:56,788 | progress   |       Finished subset 24/554, 4.33 percent done
INFO     | 2016-12-09 15:45:56,867 | progress   |       Finished subset 25/554, 4.51 percent done
INFO     | 2016-12-09 15:45:56,919 | progress   |       Finished subset 26/554, 4.69 percent done
INFO     | 2016-12-09 15:45:57,004 | progress   |       Finished subset 27/554, 4.87 percent done
INFO     | 2016-12-09 15:45:57,102 | progress   |       Finished subset 28/554, 5.05 percent done
INFO     | 2016-12-09 15:45:57,200 | progress   |       Finished subset 29/554, 5.23 percent done
INFO     | 2016-12-09 15:45:57,292 | progress   |       Finished subset 30/554, 5.42 percent done
INFO     | 2016-12-09 15:45:57,529 | progress   |       Finished subset 31/554, 5.60 percent done
INFO     | 2016-12-09 15:45:57,936 | progress   |       Finished subset 32/554, 5.78 percent done
INFO     | 2016-12-09 15:45:58,030 | progress   |       Finished subset 33/554, 5.96 percent done
INFO     | 2016-12-09 15:45:58,128 | progress   |       Finished subset 34/554, 6.14 percent done
INFO     | 2016-12-09 15:45:58,218 | progress   |       Finished subset 35/554, 6.32 percent done
INFO     | 2016-12-09 15:45:58,298 | progress   |       Finished subset 36/554, 6.50 percent done
INFO     | 2016-12-09 15:45:58,383 | progress   |       Finished subset 37/554, 6.68 percent done
INFO     | 2016-12-09 15:45:58,502 | progress   |       Finished subset 38/554, 6.86 percent done
INFO     | 2016-12-09 15:45:58,594 | progress   |       Finished subset 39/554, 7.04 percent done
INFO     | 2016-12-09 15:45:58,797 | progress   |       Finished subset 40/554, 7.22 percent done
INFO     | 2016-12-09 15:45:58,934 | progress   |       Finished subset 41/554, 7.40 percent done
INFO     | 2016-12-09 15:45:59,058 | progress   |       Finished subset 42/554, 7.58 percent done
INFO     | 2016-12-09 15:45:59,487 | progress   |       Finished subset 43/554, 7.76 percent done
INFO     | 2016-12-09 15:45:59,694 | progress   |       Finished subset 44/554, 7.94 percent done
INFO     | 2016-12-09 15:45:59,822 | progress   |       Finished subset 45/554, 8.12 percent done
INFO     | 2016-12-09 15:45:59,923 | progress   |       Finished subset 46/554, 8.30 percent done
INFO     | 2016-12-09 15:46:00,046 | progress   |       Finished subset 47/554, 8.48 percent done
INFO     | 2016-12-09 15:46:00,176 | progress   |       Finished subset 48/554, 8.66 percent done
INFO     | 2016-12-09 15:46:00,359 | progress   |       Finished subset 49/554, 8.84 percent done
INFO     | 2016-12-09 15:46:00,696 | progress   |       Finished subset 50/554, 9.03 percent done
INFO     | 2016-12-09 15:46:00,806 | progress   |       Finished subset 51/554, 9.21 percent done
INFO     | 2016-12-09 15:46:00,903 | progress   |       Finished subset 52/554, 9.39 percent done
INFO     | 2016-12-09 15:46:01,003 | progress   |       Finished subset 53/554, 9.57 percent done
INFO     | 2016-12-09 15:46:01,081 | progress   |       Finished subset 54/554, 9.75 percent done
INFO     | 2016-12-09 15:46:01,169 | progress   |       Finished subset 55/554, 9.93 percent done
INFO     | 2016-12-09 15:46:01,252 | progress   |       Finished subset 56/554, 10.11 percent done
INFO     | 2016-12-09 15:46:01,320 | progress   |       Finished subset 57/554, 10.29 percent done
INFO     | 2016-12-09 15:46:01,405 | progress   |       Finished subset 58/554, 10.47 percent done
INFO     | 2016-12-09 15:46:01,742 | progress   |       Finished subset 59/554, 10.65 percent done
INFO     | 2016-12-09 15:46:01,943 | progress   |       Finished subset 60/554, 10.83 percent done
INFO     | 2016-12-09 15:46:02,036 | progress   |       Finished subset 61/554, 11.01 percent done
INFO     | 2016-12-09 15:46:02,134 | progress   |       Finished subset 62/554, 11.19 percent done
INFO     | 2016-12-09 15:46:02,271 | progress   |       Finished subset 63/554, 11.37 percent done
INFO     | 2016-12-09 15:46:02,483 | progress   |       Finished subset 64/554, 11.55 percent done
INFO     | 2016-12-09 15:46:02,593 | progress   |       Finished subset 65/554, 11.73 percent done
INFO     | 2016-12-09 15:46:02,715 | progress   |       Finished subset 66/554, 11.91 percent done
INFO     | 2016-12-09 15:46:02,967 | progress   |       Finished subset 67/554, 12.09 percent done
INFO     | 2016-12-09 15:46:03,133 | progress   |       Finished subset 68/554, 12.27 percent done
INFO     | 2016-12-09 15:46:03,232 | progress   |       Finished subset 69/554, 12.45 percent done
INFO     | 2016-12-09 15:46:03,335 | progress   |       Finished subset 70/554, 12.64 percent done
INFO     | 2016-12-09 15:46:03,554 | progress   |       Finished subset 71/554, 12.82 percent done
INFO     | 2016-12-09 15:46:03,745 | progress   |       Finished subset 72/554, 13.00 percent done
INFO     | 2016-12-09 15:46:03,835 | progress   |       Finished subset 73/554, 13.18 percent done
INFO     | 2016-12-09 15:46:03,935 | progress   |       Finished subset 74/554, 13.36 percent done
INFO     | 2016-12-09 15:46:04,237 | progress   |       Finished subset 75/554, 13.54 percent done
INFO     | 2016-12-09 15:46:04,373 | progress   |       Finished subset 76/554, 13.72 percent done
INFO     | 2016-12-09 15:46:04,539 | progress   |       Finished subset 77/554, 13.90 percent done
INFO     | 2016-12-09 15:46:04,629 | progress   |       Finished subset 78/554, 14.08 percent done
INFO     | 2016-12-09 15:46:04,999 | progress   |       Finished subset 79/554, 14.26 percent done
INFO     | 2016-12-09 15:46:05,097 | progress   |       Finished subset 80/554, 14.44 percent done
INFO     | 2016-12-09 15:46:05,316 | progress   |       Finished subset 81/554, 14.62 percent done
INFO     | 2016-12-09 15:46:05,430 | progress   |       Finished subset 82/554, 14.80 percent done
INFO     | 2016-12-09 15:46:05,762 | progress   |       Finished subset 83/554, 14.98 percent done
INFO     | 2016-12-09 15:46:05,862 | progress   |       Finished subset 84/554, 15.16 percent done
INFO     | 2016-12-09 15:46:05,962 | progress   |       Finished subset 85/554, 15.34 percent done
INFO     | 2016-12-09 15:46:06,059 | progress   |       Finished subset 86/554, 15.52 percent done
INFO     | 2016-12-09 15:46:06,156 | progress   |       Finished subset 87/554, 15.70 percent done
INFO     | 2016-12-09 15:46:06,255 | progress   |       Finished subset 88/554, 15.88 percent done
INFO     | 2016-12-09 15:46:06,350 | progress   |       Finished subset 89/554, 16.06 percent done
INFO     | 2016-12-09 15:46:06,507 | progress   |       Finished subset 90/554, 16.25 percent done
INFO     | 2016-12-09 15:46:06,679 | progress   |       Finished subset 91/554, 16.43 percent done
