Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41030


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1114586.10199
Scheme AICc       : 2238345.86004
Number of params  : 4552
Number of sites   : 599627
Number of subsets : 452

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1488       | 243013b2006bc91308208005e9ac48f0 | uce_7488_right, uce_6528_left, uce_6959_right, uce_6668_right, uce_7865_right, uce_5557_left, uce_7055_right, uce_1027_left, uce_6970_core, uce_5966_left, uce_7408_right, uce_2238_left, uce_2273_right, uce_6620_core, uce_4982_left, uce_1743_left, uce_5757_left, uce_5774_right
2      | GTR+G      | 743        | 8da8d03d50676179636af685ac6d8299 | uce_6393_left, uce_4610_right, uce_1027_core, uce_6865_right, uce_3235_right, uce_5536_right, uce_2938_left, uce_5024_right
3      | GTR+G      | 3915       | 4d209aa29f4cb4fcaec95c012613c133 | uce_1027_right, uce_1224_core, uce_5804_right, uce_2163_core, uce_4842_right, uce_4598_left, uce_5345_core, uce_3932_left, uce_3995_right, uce_1810_left, uce_1547_core, uce_5291_left, uce_5280_core, uce_7897_left, uce_5451_right, uce_4236_core, uce_8030_core, uce_7799_left, uce_5101_all
4      | GTR+G      | 222        | cd9c5bc4d234d2522b89d1a0bec4f4f4 | uce_4829_right, uce_1319_right, uce_6009_core, uce_1126_left                                        
5      | GTR+G      | 3564       | d5765bd4ae4e29a90d012503eed5fa27 | uce_2941_all, uce_2455_core, uce_225_left, uce_1299_core, uce_1906_all, uce_437_left, uce_6125_all, uce_685_core, uce_1126_core, uce_3077_all, uce_337_left, uce_2160_core, uce_3535_core, uce_3010_core
6      | GTR+G      | 453        | bf13331b47e7a3e3b399e2ee9b27aceb | uce_1126_right, uce_2560_right, uce_3078_left, uce_119_right, uce_1683_right, uce_6049_left, uce_2994_core, uce_685_left
7      | GTR+G      | 2028       | 56a4576642f33b84fad103187b064a92 | uce_1161_core, uce_5773_left, uce_7462_left, uce_7283_left, uce_4223_core, uce_1863_left, uce_7058_left, uce_5845_core, uce_1207_all, uce_4232_left, uce_6964_core
8      | GTR+G      | 1287       | 0f2bfad63a129613937cc36ecdc4430e | uce_3490_core, uce_1749_right, uce_211_core, uce_6355_left, uce_7857_right, uce_181_core, uce_4631_core, uce_3660_left, uce_2879_left, uce_4586_right, uce_3336_left, uce_1344_left
9      | GTR+G      | 5162       | d98eb95676d20a445589dfe5a4dfe0a9 | uce_7692_core, uce_1863_core, uce_335_left, uce_2417_core, uce_6137_core, uce_2784_core, uce_4033_all, uce_7587_core, uce_4562_core, uce_4532_core, uce_7081_all, uce_4202_right, uce_6826_core, uce_614_core, uce_1344_core, uce_4121_core, uce_513_core, uce_3025_core, uce_8041_core, uce_3806_core, uce_4654_core, uce_1187_all
10     | GTR+G      | 2376       | a26c03008ba50dcbcd13b7a26fd39509 | uce_6786_left, uce_2485_left, uce_3584_left, uce_7487_left, uce_550_core, uce_4205_left, uce_3410_right, uce_4931_left, uce_752_left, uce_330_right, uce_7263_core, uce_4631_right, uce_211_left, uce_6414_left, uce_2962_left, uce_3937_core, uce_5864_left, uce_431_core, uce_5277_core, uce_4259_left, uce_3069_right, uce_4658_right, uce_7595_left, uce_6245_right, uce_5068_left, uce_1344_right, uce_5677_core, uce_3540_right, uce_7016_right, uce_5016_left, uce_1865_left, uce_2294_left, uce_2713_right, uce_2879_right
11     | GTR+G      | 291        | 488fdf8faee6f0c038c0034bed7edfd8 | uce_7946_core, uce_5050_left, uce_1376_left, uce_4541_left                                          
12     | GTR+G      | 304        | 2465a67504403fb15a7ecacff834e663 | uce_8041_left, uce_7218_core, uce_1376_core, uce_2668_core, uce_665_left                            
13     | GTR+G      | 4202       | 2ce6cc7b39382cf6de8f99b8f168b2fd | uce_908_all, uce_3926_all, uce_1768_all, uce_913_all, uce_3668_all, uce_1376_right, uce_3353_left, uce_678_core, uce_4927_core, uce_4324_core, uce_6721_core, uce_2943_core, uce_6627_right, uce_6818_core
14     | GTR+G      | 9628       | ca62941bc0f566388ddbe785a66f0bbb | uce_1579_all, uce_1499_all, uce_6019_right, uce_5827_right, uce_843_core, uce_1823_core, uce_3918_core, uce_2149_all, uce_5677_right, uce_6879_core, uce_5092_right, uce_3882_left, uce_15_all, uce_200_core, uce_1747_core, uce_2647_right, uce_4308_core, uce_1976_core, uce_7379_core, uce_1809_right, uce_553_left, uce_1915_right, uce_7078_core, uce_7975_core, uce_5707_core, uce_7761_right, uce_3894_core, uce_7499_right, uce_1625_core, uce_1128_core
15     | GTR+G      | 633        | 7380a0fe0df89cb29216f2a3755e8ca8 | uce_7668_core, uce_7163_right, uce_1588_left, uce_1898_right, uce_2973_right, uce_7882_left, uce_6411_right, uce_884_left
16     | GTR+G      | 3370       | 215ffa49c1a542e584067eb7c0e77c9f | uce_7595_core, uce_6079_core, uce_4919_core, uce_223_left, uce_29_left, uce_7831_right, uce_2164_right, uce_1588_core, uce_1891_right, uce_919_core, uce_4237_right
17     | GTR+G      | 444        | b9b4e719d812e2db90b16f6cbdc170f3 | uce_1588_right, uce_4136_right, uce_1408_left, uce_3777_right, uce_3627_right                       
18     | GTR+G      | 3356       | 2715e30d25fa80e1ea1cbd084ed5fcf7 | uce_4154_right, uce_5391_right, uce_7427_core, uce_1980_core, uce_7941_left, uce_1702_left, uce_4014_core, uce_5539_right, uce_3857_right, uce_6296_right, uce_5998_core, uce_6085_right, uce_4446_right, uce_4183_core, uce_5075_left, uce_4171_core, uce_2920_core, uce_4830_core, uce_646_right, uce_5026_core
