Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 22710


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1141328.39726
Scheme AICc       : 2289540.08814
Number of params  : 3422
Number of sites   : 599627
Number of subsets : 339

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2364       | 777fe032aae1e183ba927ac08e990097 | uce_2226_all, uce_2642_all, uce_7352_left, uce_3368_right, uce_4829_all, uce_4264_all, uce_1027_all 
2      | GTR+G      | 50         | bca47e1564d1faf6ac2ba6279c57f2a8 | uce_1126_left                                                                                       
3      | GTR+G      | 3195       | afda005b7fd866b6e11a1ab973ecacbd | uce_1989_core, uce_1622_core, uce_6894_core, uce_1126_core, uce_6424_core, uce_6693_left, uce_5101_core, uce_1158_all, uce_1499_all, uce_2378_right, uce_3879_left, uce_1194_all, uce_4147_core
4      | GTR+G      | 2148       | 928b15dfa6f995f21339d2527316cccf | uce_4122_all, uce_5888_right, uce_6411_core, uce_5110_right, uce_4910_all, uce_6411_left, uce_7427_right, uce_4640_right, uce_1126_right, uce_132_left, uce_4887_left, uce_6588_left, uce_5597_core
5      | GTR+G      | 3757       | 3edf3380ab645b980ca848c5dec45470 | uce_6233_all, uce_3200_right, uce_6568_all, uce_1207_all, uce_710_all, uce_3660_left, uce_5366_all, uce_5840_core, uce_2651_all, uce_1003_all, uce_7077_right, uce_1897_left
6      | GTR+G      | 4553       | d38fabcc6f8568501dbb35c3ed3c39a0 | uce_6245_all, uce_7595_all, uce_6598_all, uce_5902_core, uce_1743_all, uce_4908_all, uce_7738_all, uce_7298_all, uce_6454_all, uce_1344_all, uce_2090_all
7      | GTR+G      | 4231       | f6a49d3e6db7796bfce8f5f6b0d165e0 | uce_2358_left, uce_3646_left, uce_1376_all, uce_4201_all, uce_5404_all, uce_5277_all, uce_1749_right, uce_2870_all, uce_464_all, uce_544_right, uce_2662_all, uce_7219_all
8      | GTR+G      | 3376       | 8f30774fe6fb5ecfa458d19f34fabb0f | uce_7882_all, uce_2136_all, uce_1588_all, uce_7632_all, uce_3964_all, uce_2250_left, uce_2422_all, uce_1026_all
9      | GTR+G      | 2924       | bb65c630e623d5f67a5039d1af71d139 | uce_5496_right, uce_2835_core, uce_6987_core, uce_2795_all, uce_5639_all, uce_2820_all, uce_1814_all, uce_5268_right, uce_1702_left, uce_285_left, uce_17_right, uce_5951_all
10     | GTR+G      | 1764       | 383215e94c79bbad8c0963e1fd7b3c06 | uce_3882_all, uce_3959_left, uce_1362_all, uce_7559_all, uce_1702_core                              
