Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41030


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1123023.47376
Scheme AICc       : 2255667.52684
Number of params  : 4772
Number of sites   : 599627
Number of subsets : 474

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 624        | e9c1a7be7c13bf27bf442b3a3cde4749 | uce_1997_left, uce_3784_right, uce_2594_left, uce_1027_left, uce_3530_left                          
2      | GTR+G      | 3620       | 91df3fe7415fe4a4ca8e82a276726972 | uce_7459_core, uce_1138_core, uce_5713_right, uce_5401_right, uce_5158_left, uce_4553_right, uce_6516_core, uce_4119_right, uce_680_left, uce_4146_core, uce_7684_right, uce_6890_right, uce_7857_core, uce_810_right, uce_1027_core, uce_7589_left, uce_2160_left, uce_7643_left, uce_5774_right
3      | GTR+G      | 1282       | 040573858013f454496ed1fe77a88182 | uce_3043_core, uce_63_left, uce_4320_left, uce_4659_left, uce_6648_left, uce_3416_left, uce_1150_core, uce_1832_right, uce_7790_left, uce_5601_right, uce_2647_left, uce_3857_left, uce_4754_right, uce_323_core, uce_1027_right, uce_648_core
4      | GTR+G      | 101        | b2bf134f3e3c041345697023b9c3d413 | uce_1126_left, uce_3894_right                                                                       
5      | GTR+G      | 4493       | 0ea8329ca1cb160538d82f19d174b080 | uce_6379_right, uce_1126_core, uce_599_right, uce_372_right, uce_4552_core, uce_545_right, uce_1624_left, uce_3907_right, uce_5155_right, uce_886_right, uce_6997_core, uce_1161_right, uce_6117_left, uce_70_right, uce_6831_core, uce_7688_left, uce_7310_core, uce_2703_core, uce_4042_right, uce_5879_right, uce_3622_right, uce_7028_left, uce_7210_all, uce_6818_left, uce_5937_left, uce_6125_all, uce_3932_core
6      | GTR+G      | 985        | d72b2e7590add53d670af64168b6d429 | uce_7453_right, uce_6548_right, uce_1126_right, uce_2560_right, uce_2849_core, uce_4257_right, uce_6721_right, uce_6649_right, uce_3797_left, uce_1698_core, uce_4550_left
7      | GTR+G      | 5728       | 7a5b63ed1f7d43ff8cd80b48e71b9e60 | uce_4532_left, uce_2925_core, uce_6723_left, uce_3845_all, uce_726_right, uce_7283_core, uce_4012_left, uce_6588_core, uce_5361_left, uce_6101_right, uce_3535_left, uce_1749_core, uce_5445_right, uce_4981_left, uce_7095_right, uce_1207_all, uce_8005_left, uce_4453_left, uce_6608_right, uce_6571_left, uce_6872_core, uce_5218_left, uce_902_all, uce_7117_left
8      | GTR+G      | 3460       | 4d0ae70c700feb9e9dfd6eedc4e64bdf | uce_5259_right, uce_1344_left, uce_4562_left, uce_2860_core, uce_419_right, uce_544_core, uce_683_left, uce_791_right, uce_726_left, uce_2772_left, uce_3348_right, uce_5092_left, uce_7472_left, uce_5978_all, uce_740_right, uce_1783_right, uce_1021_right, uce_7488_core, uce_8046_right, uce_1702_left, uce_949_core, uce_6931_left
9      | GTR+G      | 3012       | 7c0a17193699f6270ab2fe41fff6186b | uce_5689_core, uce_3188_core, uce_3130_core, uce_3671_core, uce_7016_core, uce_4147_core, uce_370_right, uce_7499_right, uce_683_core, uce_6922_core, uce_5980_core, uce_1187_all, uce_5450_core, uce_4013_core, uce_1344_core, uce_799_core, uce_38_core, uce_7726_core, uce_3806_core, uce_2933_right
10     | GTR+G      | 1779       | 3041e4435cbda497cdd3731b8fbc456f | uce_7120_left, uce_4982_right, uce_3410_right, uce_6245_right, uce_132_left, uce_2004_left, uce_6011_core, uce_4146_right, uce_4931_left, uce_4910_right, uce_4122_left, uce_5024_left, uce_5864_left, uce_4024_right, uce_4999_core, uce_6047_right, uce_1344_right
11     | GTR+G      | 1145       | 0e010bab7dcff5f0f1e60d90db3456e2 | uce_5087_left, uce_4986_left, uce_1477_left, uce_2187_left, uce_3421_core, uce_1828_left, uce_5606_right, uce_1376_left, uce_5178_left, uce_6393_left, uce_6252_left
12     | GTR+G      | 769        | 981cdfe1f8c92ac597f0cd94b5500a81 | uce_6454_left, uce_2262_core, uce_7168_left, uce_6826_left, uce_1376_core, uce_371_right, uce_5179_core, uce_3020_left
13     | GTR+G      | 5355       | 651ccc2a47ac7853f55d49c01c12b96f | uce_3668_all, uce_1376_right, uce_2658_all, uce_7688_core, uce_7277_core, uce_7649_right, uce_4754_left, uce_608_right, uce_115_core, uce_2114_right, uce_301_all, uce_5125_left, uce_1425_core, uce_1904_left, uce_3338_all, uce_1135_left, uce_978_right, uce_396_core, uce_148_all
14     | GTR+G      | 4485       | daa242794e1cdbc994d91d4adaacb249 | uce_3702_all, uce_1980_core, uce_2104_right, uce_8036_right, uce_1463_core, uce_4550_core, uce_868_all, uce_7263_core, uce_1499_all, uce_1579_all, uce_131_right, uce_6474_right, uce_2149_all, uce_1484_core, uce_1257_core, uce_1026_right
15     | GTR+G      | 412        | 4e946b1aa5545a5745f22ab9dc7f1ed0 | uce_1588_left, uce_6964_right, uce_4541_left                                                        
16     | GTR+G      | 3331       | 5481c0ef64a1d7476acc54d1b76fac76 | uce_5297_core, uce_2238_core, uce_3488_right, uce_2950_core, uce_6019_left, uce_3482_right, uce_648_right, uce_1588_core, uce_1309_right, uce_8011_all, uce_3520_right, uce_6818_right, uce_7372_left, uce_1750_right, uce_5596_right, uce_2223_all, uce_1995_left
17     | GTR+G      | 301        | 4714cd508e8c74fc2a531d6df6747999 | uce_5797_left, uce_4249_core, uce_1588_right                                                        
18     | GTR+G      | 1722       | 05488b458f09b50fef336794be4c1ee8 | uce_7427_core, uce_211_core, uce_5966_right, uce_783_all, uce_4036_core, uce_2713_core, uce_1170_right, uce_2689_left, uce_1702_core, uce_17_core, uce_6101_core
19     | GTR+G      | 389        | 37dce95af16803522e9ef301c05ca99a | uce_4003_left, uce_1412_left, uce_1850_left, uce_6944_core, uce_1702_right                          
20     | GTR+G      | 4424       | 93e5413502b7438d045f85fd935ab96b | uce_7504_core, uce_4851_left, uce_1742_all, uce_1850_right, uce_2125_right, uce_5019_right, uce_616_right, uce_2487_core, uce_5639_core, uce_1172_core, uce_334_right, uce_5677_right, uce_3054_left, uce_6214_left, uce_7164_all
