Settings used

alignment         : ./Meiklejohn_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41030


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1122102.443
Scheme AICc       : 2253906.75961
Number of params  : 4812
Number of sites   : 599627
Number of subsets : 478

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 720        | b5272de4881fbb98e01494c9952aa9e0 | uce_1027_left, uce_4003_left, uce_4119_left, uce_4610_core, uce_5536_right, uce_3777_right, uce_5684_right, uce_6664_left
2      | GTR+G      | 2023       | 2b5b7da9e8b71e8e47ff5504f00e7658 | uce_4061_right, uce_2023_left, uce_5404_right, uce_7277_right, uce_2385_left, uce_5410_left, uce_1802_left, uce_4121_left, uce_7417_right, uce_1997_core, uce_4212_right, uce_6983_right, uce_4927_left, uce_2994_right, uce_8046_right, uce_1027_core, uce_3020_left, uce_371_left, uce_990_left, uce_5361_right, uce_2346_right, uce_2468_right
3      | GTR+G      | 1309       | a625f3b33035d6dca6145bf901069739 | uce_1868_left, uce_6273_left, uce_5902_right, uce_6902_core, uce_6997_core, uce_7012_left, uce_915_all, uce_3134_right, uce_1027_right, uce_5978_all, uce_752_right
4      | GTR+G      | 562        | 9a5e951c04299457b070793dd4762b6d | uce_4828_right, uce_7129_right, uce_3426_left, uce_4822_left, uce_8017_left, uce_7129_left, uce_1126_left, uce_5028_right
5      | GTR+G      | 3674       | fd36d93fbae4e3db19564ffa6ba96fbd | uce_1126_core, uce_432_core, uce_25_all, uce_7627_core, uce_5185_right, uce_2040_all, uce_1622_core, uce_7967_core, uce_1723_all, uce_16_core, uce_4519_core, uce_4090_core, uce_6125_all, uce_3199_core, uce_7324_core
6      | GTR+G      | 642        | 078d8f9ba38db9124dc9aaef3c2eec77 | uce_238_left, uce_2689_left, uce_3199_right, uce_6946_core, uce_3150_left, uce_5589_right, uce_1126_right, uce_2772_left
7      | GTR+G      | 3964       | ee4dd3819b006cebd2884b5d6d702147 | uce_4853_right, uce_1363_left, uce_1573_right, uce_7840_core, uce_7246_right, uce_3759_core, uce_3264_core, uce_136_core, uce_3959_core, uce_3893_core, uce_6872_core, uce_7468_core, uce_3198_right, uce_6296_core, uce_5936_core, uce_6296_right, uce_1207_all, uce_4348_core
8      | GTR+G      | 750        | a11032a8bada1c5a8529579dadbe2348 | uce_7428_left, uce_2252_left, uce_3584_right, uce_1783_left, uce_4090_right, uce_3322_left, uce_1749_left, uce_683_right, uce_4944_left, uce_5888_right, uce_1344_left
9      | GTR+G      | 3679       | 760474408ce559d0c56503ab6cd2999d | uce_1021_core, uce_1910_core, uce_6608_core, uce_1344_core, uce_4562_core, uce_3188_core, uce_6875_all, uce_6019_core, uce_7807_core, uce_6047_core, uce_3318_all, uce_5379_core, uce_4509_core, uce_7069_left
10     | GTR+G      | 913        | 6ce82e1f32bd87894f836e8527a8b0b3 | uce_5647_left, uce_3060_right, uce_1231_right, uce_3421_right, uce_3410_right, uce_3069_right, uce_1344_right, uce_5699_left, uce_211_left, uce_2560_left, uce_2349_right, uce_4146_right
11     | GTR+G      | 442        | 7c6bf12f64594e6e459d1747cd4d7c76 | uce_3610_right, uce_7408_left, uce_1376_left, uce_5580_right, uce_3613_left, uce_7831_left, uce_7632_right
12     | GTR+G      | 1286       | 59f8cde76ff394e2d42f595a42490b50 | uce_2184_left, uce_7428_core, uce_648_left, uce_2981_left, uce_5602_right, uce_6214_right, uce_7207_right, uce_7197_left, uce_1463_left, uce_7428_right, uce_5914_right, uce_7999_left, uce_5677_left, uce_1376_core, uce_7078_left, uce_717_left, uce_1333_right, uce_6664_right
13     | GTR+G      | 2195       | 00990a13e25cd7b7974b2e0a483c6e43 | uce_3668_all, uce_1376_right, uce_2658_all, uce_3354_core, uce_5416_right, uce_4552_core, uce_2593_core
