Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15450


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -2881863.89609
Scheme AICc       : 5774290.44723
Number of params  : 5208
Number of sites   : 375172
Number of subsets : 500

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1030       | a163ed7f1aa2e82187fbf6cef33a4bf6 | uce1008_left, uce6715_right, uce2010_core, uce4437_left, uce205_core, uce4201_left                  
2      | GTR+G      | 497        | bc470f6c81e425ad841fd80a80ed2951 | uce2063_left, uce1008_core, uce1470_right, uce6866_left                                             
3      | GTR+G      | 1519       | a611cdb4aff2a04526731bbd37033f8d | uce5554_right, uce3987_left, uce1008_right, uce7514_core                                            
4      | GTR+G      | 757        | fb90746cda87bd9b5dd71ee4bd52d3b9 | uce729_core, uce1012_left, uce2309_core, uce7848_left                                               
5      | GTR+G      | 3373       | 2e5297d4d06fac9b3626372bc3cf8009 | uce1012_core, uce1052_core, uce772_left, uce1809_core, uce6282_right, uce4593_core, uce949_right    
6      | GTR+G      | 1054       | 29f6bd955d710cf92b244c246ca1b089 | uce7637_right, uce1012_right, uce6462_core, uce2274_core                                            
7      | GTR+G      | 205        | 7e4ad81fcc5a54b83a8bb4cf4f6854cd | uce318_core, uce1048_left                                                                           
8      | GTR+G      | 1134       | b83822f14461092eb493cf6d6de0f426 | uce1048_core, uce5062_right                                                                         
9      | GTR+G      | 478        | 838945da631cf3a1456cd9e773c7bf54 | uce2080_left, uce1048_right, uce2261_left, uce5243_right                                            
10     | GTR+G      | 267        | 823358f8a958fab3cd5d415b6acf7e5f | uce533_core, uce3287_left, uce1052_left                                                             
11     | GTR+G      | 2218       | 6de65fb9052a0697f4451b1577678671 | uce708_core, uce1547_right, uce15_right, uce1052_right                                              
12     | GTR+G      | 1032       | 8a99494594c7c68a95f3eb535ef35b90 | uce5560_left, uce6931_right, uce2591_left, uce1092_left, uce2994_right, uce2960_right, uce2980_right, uce7768_right
13     | GTR+G      | 281        | 82f84bc280309239513a32d61f21ec96 | uce7495_left, uce1232_core, uce1092_core                                                            
14     | GTR+G      | 3217       | c79c1fe11e4a750b1d103f1182a02747 | uce3159_core, uce149_core, uce330_left, uce5344_right, uce6823_right, uce8030_core, uce1092_right   
15     | GTR+G      | 949        | bcb6491e9299cb3bdf20cb6eaabadc4a | uce2366_left, uce6101_right, uce5178_left, uce6530_core, uce2211_left, uce2591_right, uce6569_right, uce1094_left
16     | GTR+G      | 406        | 3049ef9ce5e8c05ae0cb38343aef16f7 | uce3713_right, uce1094_core, uce7102_right, uce759_right, uce6591_left                              
17     | GTR+G      | 2131       | 35606f8ea6263ec1ae563388fe0dd553 | uce7495_core, uce6301_core, uce1425_core, uce1094_right                                             
18     | GTR+G      | 2123       | eb0ce29853e1ec4aa7f3639b89285ddd | uce1278_core, uce1123_left, uce2112_right, uce7958_core                                             
19     | GTR+G      | 841        | 65735b51561f5e934c5f0e100df785a0 | uce343_left, uce6528_right, uce2539_right, uce3687_right, uce1123_core                              
20     | GTR+G      | 1499       | f22a4ad47e8801e82890c5aef5a7f80c | uce7095_core, uce1123_right, uce7028_core, uce266_core                                              
21     | GTR+G      | 234        | a10e1bc822ae407edcd76eb12789d3e0 | uce4638_left, uce1127_left, uce412_right                                                            
22     | GTR+G      | 810        | b2b44dc3bb774ee061b2079ac08ebcae | uce2366_right, uce1127_core, uce1412_right, uce7763_right, uce3862_left, uce5849_right, uce3713_left
23     | GTR+G      | 1883       | 8adc4dcd4c4c3538b7f3bf53ece901f4 | uce1925_right, uce1127_right, uce2328_core, uce4089_core                                            
24     | GTR+G      | 360        | c38ab75ddb9570bbfeb637e3520d407b | uce274_core, uce1135_left, uce1333_core                                                             
25     | GTR+G      | 3614       | 09e21865de36804a636598cd3f01332f | uce662_right, uce1644_core, uce3439_core, uce7666_right, uce3946_core, uce7647_left, uce52_core, uce1135_core
26     | GTR+G      | 337        | 4a4e84ff95a62da22ced0d112cf5acea | uce6568_left, uce385_core, uce1135_right                                                            
27     | GTR+G      | 3415       | 032330165ead9e9e4964247572337579 | uce2010_left, uce1217_right, uce396_right, uce114_left, uce729_right, uce4523_right                 
28     | GTR+G      | 164        | 8834321202460d7727153ea4ef0230e6 | uce2576_core, uce114_core, uce8030_right                                                            
29     | GTR+G      | 1022       | 3971a67c36b2bb0582db16e31661aa6b | uce1601_right, uce114_right, uce2468_core                                                           
30     | GTR+G      | 2021       | 66dbe74dab83cbc7a062c25882690b39 | uce5676_left, uce7414_left, uce1154_left, uce2013_left, uce772_core, uce2004_left, uce5951_right, uce3632_right, uce6703_left, uce3798_left, uce1281_core, uce4641_left, uce2096_left
