Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15450


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -2914096.46065
Scheme AICc       : 5839208.32181
Number of params  : 5428
Number of sites   : 375172
Number of subsets : 522

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2296       | a04bc111a93dd78c894d19525f085925 | uce7553_right, uce6528_left, uce6894_core, uce1008_left, uce6355_right, uce5037_core, uce6401_left  
2      | GTR+G      | 2454       | b386505c831a820d6c27c23e17e9beec | uce6221_right, uce876_right, uce1008_core, uce2283_left, uce6272_right, uce1961_right, uce327_right, uce7452_left, uce2235_right, uce1783_left
3      | GTR+G      | 350        | 3c462c7d21273636ace71a673f5f5b2c | uce1008_right, uce1209_right, uce5915_right                                                         
4      | GTR+G      | 1365       | 4526cd8df5c61a17d2eb5f82ffacef57 | uce5412_core, uce7637_core, uce449_right, uce7465_right, uce1427_core, uce518_right, uce4631_core, uce1012_left
5      | GTR+G      | 2856       | b60522b2d92d566b53369e002a4b8a79 | uce703_right, uce1012_core, uce6472_core, uce4638_core, uce7647_core, uce7503_right, uce6221_core, uce3826_left
6      | GTR+G      | 1233       | 83b43251640b3818985b839e1856c5ce | uce2010_core, uce7246_right, uce958_left, uce2112_core, uce1012_right                               
7      | GTR+G      | 1666       | bc4f09118681d89a6748b262586d9d0b | uce396_left, uce1048_left, uce759_left, uce1783_right                                               
8      | GTR+G      | 718        | 6b09b14a3fe2f140ef75d775c0284ddc | uce7520_core, uce2830_core, uce1048_core, uce759_core                                               
9      | GTR+G      | 1388       | b9b59e339ada3fdc2e5ac6323e4f5723 | uce1048_right, uce1810_right, uce3096_right, uce52_right                                            
10     | GTR+G      | 847        | 50fae62f0077bc4aaf492bd4ce73275c | uce1154_right, uce7011_right, uce1052_left, uce5021_right                                           
11     | GTR+G      | 2935       | 83855f664a06193474fc45e61764b750 | uce4523_core, uce338_core, uce1530_right, uce1052_core, uce772_core, uce298_right, uce5215_left, uce1412_core
12     | GTR+G      | 1694       | 45bd458034a3955699c1a3e7c0200764 | uce1232_right, uce2378_right, uce3_right, uce548_right, uce2328_core, uce1547_right, uce902_core, uce1052_right
13     | GTR+G      | 620        | 407dee305f5343d74a8260571b90d8f2 | uce4325_left, uce3609_right, uce4089_left, uce408_right, uce3492_right, uce1092_left                
14     | GTR+G      | 991        | f75d8283c2165426b04cad22956d4aa8 | uce1278_left, uce1092_core                                                                          
15     | GTR+G      | 531        | 32d96897e5c5a268ec465be2ab1b3b6f | uce326_right, uce1092_right, uce7697_core, uce4586_right                                            
16     | GTR+G      | 1646       | cf53877b665aefaa1327ed37476f0792 | uce25_left, uce6342_left, uce4437_right, uce1094_left                                               
17     | GTR+G      | 1492       | d374cd7c71d6fd74bdd0c4f9a6126aeb | uce1094_core, uce3451_core, uce3072_core, uce385_core, uce4195_core, uce1591_core, uce274_core, uce871_core, uce7495_core, uce3619_core, uce52_core, uce3991_core, uce6730_right, uce7102_core
18     | GTR+G      | 576        | a6a0fc8c87e698da740b5cd3da15d539 | uce4531_core, uce1094_right                                                                         
