Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15450


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -2905048.46315
Scheme AICc       : 5820639.01481
Number of params  : 5198
Number of sites   : 375172
Number of subsets : 499

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1438       | 0ab9c781da0f4b6a3e4ee377ba62d109 | uce518_left, uce1008_left, uce4993_left, uce3334_left, uce6355_left, uce1389_right, uce5951_left, uce7495_right, uce3862_right, uce5451_right, uce3573_right, uce1660_left, uce1368_right, uce783_left
2      | GTR+G      | 1143       | 0739b90aac75bb5331732105505703b5 | uce2835_core, uce7011_right, uce648_left, uce1008_core                                              
3      | GTR+G      | 326        | c786cf6e03d7f4b57565c1be48377e93 | uce3451_left, uce5077_right, uce1008_right                                                          
4      | GTR+G      | 310        | a267d15edfcc97f0c0b648021bb2dc8f | uce1012_left, uce598_right, uce1863_right, uce1703_left                                             
5      | GTR+G      | 1687       | df8172adf5c5e2af0fad8bf90ae18d33 | uce1012_core, uce2010_left, uce1742_core, uce1278_core                                              
6      | GTR+G      | 1902       | 74573fa948a6863235efd843419e18c6 | uce598_core, uce533_core, uce1012_right, uce1964_core                                               
7      | GTR+G      | 124        | 327cacbd8d091145360f689006f1eb7c | uce1048_left                                                                                        
8      | GTR+G      | 1836       | d1138fcd1522034c6ee167657d6c0f57 | uce2112_core, uce6532_core, uce4593_core, uce1048_core                                              
9      | GTR+G      | 375        | 1d9f7bc3abaf2864cba07cd2d425b9ca | uce712_right, uce1048_right, uce6105_left, uce7452_right                                            
10     | GTR+G      | 211        | ad8b7c0f205353e7fa88dc2bd563c4b4 | uce2069_right, uce3_left, uce1052_left                                                              
11     | GTR+G      | 1272       | c3339bcda15aa06430ee9822b2a5fe8d | uce1052_core, uce1530_right, uce5215_left, uce902_core                                              
12     | GTR+G      | 748        | 6a07ac42ba28de3fcb4448031a49f7dc | uce1232_right, uce1526_right, uce574_right, uce3_right, uce1052_right, uce2378_right, uce6910_right, uce783_right
13     | GTR+G      | 882        | 3960b7c70d4bbaa633eba5ae4bb421a7 | uce625_right, uce2388_right, uce4175_right, uce6071_left, uce3647_right, uce2975_right, uce1092_left
14     | GTR+G      | 2385       | 9c00b00f8bd083b3f27e42bfe89cad05 | uce5196_core, uce1823_core, uce518_core, uce285_core, uce2980_core, uce1092_core                    
15     | GTR+G      | 427        | c2985b83c35cc6b399e758cc137cc6d9 | uce1092_right, uce772_left, uce1209_left, uce1925_right, uce85_right                                
16     | GTR+G      | 462        | 56089ab0bbb2dc0087162e6d6aae12aa | uce6703_right, uce663_left, uce1094_left, uce7494_right, uce5969_left                               
17     | GTR+G      | 667        | 3f36f7ea3423da26fca13d3cd828b485 | uce518_right, uce1094_core                                                                          
18     | GTR+G      | 415        | 4c387a1bee785f4a542dad3db76d038d | uce1094_right, uce6524_right, uce7157_right, uce4523_right                                          
19     | GTR+G      | 602        | 25140258bcaf7affa9d8dbfc6339c7a1 | uce616_right, uce1123_left, uce3436_right, uce6591_right, uce7427_right                             
20     | GTR+G      | 1434       | 53a1add730b83f1bc78dae9fd076edc5 | uce3835_core, uce1123_core, uce3946_core                                                            
21     | GTR+G      | 2071       | 9069ccf82f000eab67f05322e9fc5638 | uce3492_core, uce6568_core, uce876_right, uce4641_core, uce6410_left, uce7095_core, uce1123_right   
22     | GTR+G      | 578        | 8105991a9b0eebe9c86a14625bfbc901 | uce6827_left, uce3609_right, uce4154_left, uce1127_left, uce3492_right                              
23     | GTR+G      | 2968       | b8b1bf7738c5a32bded081659ad1a16a | uce7361_core, uce783_core, uce1127_core, uce6910_core, uce648_core                                  
24     | GTR+G      | 1499       | e77f062b42469dfe85a95b874d9cbaba | uce7806_left, uce2013_core, uce2733_core, uce1127_right, uce5412_right                              
25     | GTR+G      | 349        | b76116210832e3ad0e3561288696d281 | uce3436_left, uce1135_left                                                                          
26     | GTR+G      | 1176       | dbfde9085661eb61c6656b632fb5f0dd | uce1135_core, uce513_core, uce671_left                                                              
27     | GTR+G      | 383        | 50c236e29a1d2894f7004bd4d2a4aafe | uce3627_left, uce3050_right, uce1135_right                                                          
28     | GTR+G      | 371        | d77b4583bcf39940c4cea65fddd861cb | uce114_left, uce334_right, uce7957_left, uce5062_right                                              
29     | GTR+G      | 1335       | 4ded6724e03b934d6d8198ab75e689a8 | uce4792_core, uce1820_core, uce114_core                                                             
30     | GTR+G      | 1548       | 0ba8720af93a52063b406130dbb5831e | uce323_core, uce3376_core, uce114_right, uce805_core                                                
31     | GTR+G      | 777        | 3ccff73e6339ae09ea2b280d23e617aa | uce5915_left, uce1154_left, uce7133_right, uce2578_left, uce5914_right, uce3884_left                
32     | GTR+G      | 3716       | 9e737e3fc408ae36775c84933c655640 | uce1154_core, uce7692_core, uce2998_core, uce7414_core, uce2576_right, uce5053_core, uce2122_core, uce881_core
33     | GTR+G      | 211        | d957f7b71a878440605479d38711210b | uce249_left, uce1154_right                                                                          
34     | GTR+G      | 568        | e715b6f87cdeb2fd26b2950b7c548747 | uce6260_left, uce1202_left, uce4205_right, uce2895_right                                            
35     | GTR+G      | 2426       | eeec5bf57cec5ccb68e1b01422e970ea | uce1202_core, uce3713_core, uce3826_right, uce1427_core, uce949_right, uce4837_core, uce871_core    
36     | GTR+G      | 835        | d0941dd8d6c878e96036d035fe21cdd2 | uce1202_right, uce5382_right, uce7801_left, uce7157_left, uce205_left, uce2560_right, uce1863_left, uce2963_right
37     | GTR+G      | 1195       | 1fbbd8cfd4014435237555f8d2de5806 | uce1209_core, uce2647_core                                                                          
38     | GTR+G      | 374        | 74986e7d0e70ad0bf3eb5d7c1f37fbf5 | uce1209_right, uce7028_left, uce1660_right, uce342_right, uce7520_left                              
39     | GTR+G      | 84         | 7f8ec9d07459be641c05a3127333a91e | uce1217_left                                                                                        
40     | GTR+G      | 1018       | b72f12a61e10115b1ea499318892517d | uce4220_core, uce1217_core                                                                          
41     | GTR+G      | 923        | 660b77a4b1eea65708e10cb554cf508f | uce1217_right, uce149_right, uce7807_left, uce5077_left, uce15_right, uce1742_right                 
42     | GTR+G      | 901        | 3cc44dd9e555d3561628e39e82ce4116 | uce4585_left, uce6233_right, uce2713_right, uce1232_left, uce759_left                               
43     | GTR+G      | 2388       | 5da426735ed3154a374eb7d6bb86e88e | uce4585_core, uce2366_core, uce3826_core, uce6608_right, uce1232_core, uce5969_core                 
44     | GTR+G      | 547        | 9afaa2216b0be249c4111a0e16421729 | uce7647_left, uce1556_right, uce1271_left, uce4585_right, uce6472_left                              
45     | GTR+G      | 918        | dd694b4efc3617b9c8dbe6d424cc8ee0 | uce1271_core, uce146_core                                                                           
46     | GTR+G      | 150        | cc1773b65ba49a3f62f99205e155121e | uce1271_right, uce4607_left                                                                         
47     | GTR+G      | 146        | 02c858d72c727537687703b1f074963a | uce2895_left, uce1278_left                                                                          
48     | GTR+G      | 747        | 3230cbf982bd8d3c03dc2c3a03979f6e | uce8030_left, uce1278_right, uce7472_right, uce649_core                                             
49     | GTR+G      | 1732       | 45ee19c32eed141655b12e82001d6f76 | uce2960_right, uce3105_left, uce7068_left, uce5158_right, uce4908_right, uce6703_left, uce7768_right, uce5037_left, uce919_right, uce1281_left, uce3180_left
50     | GTR+G      | 2894       | 5d2fd2b0aa64ea8b7714026b30f3e56d | uce3353_right, uce1703_core, uce7763_core, uce4416_right, uce1281_core, uce649_left, uce6866_core, uce2140_core
51     | GTR+G      | 850        | 8710f16fa2d64c3bafd75ed244ac1e62 | uce1884_left, uce2096_right, uce805_right, uce6823_right, uce298_left, uce205_right, uce1427_left, uce6260_right, uce1281_right
52     | GTR+G      | 87         | 346efc9a2c78a34e958e39926e544904 | uce1309_left                                                                                        
53     | GTR+G      | 1304       | c15de9dd776fce933efbb4fcbcc9c58c | uce1309_core, uce1781_right, uce1405_core                                                           
54     | GTR+G      | 902        | 1d98babca40db68894d3a8a069dd317f | uce1309_right, uce5215_core, uce7957_right, uce3287_right                                           
55     | GTR+G      | 65         | 7d92a2a943b9646830061e7a7610cdd4 | uce1314_left                                                                                        
56     | GTR+G      | 935        | d0983e6c4e9a32810cb6211b774f268e | uce587_right, uce1314_core                                                                          
57     | GTR+G      | 1919       | b6c7688d799c6ad26f2bcea0048cb293 | uce1485_left, uce1314_right, uce6844_left, uce3863_core, uce2114_core, uce7801_core                 
58     | GTR+G      | 133        | d5b211de797f85040661891d1c732374 | uce1329_left, uce5700_left                                                                          
59     | GTR+G      | 1810       | 1e8641b29936d75f15f3fde7495447e3 | uce3528_core, uce1780_right, uce1329_core, uce85_core                                               
