INFO     | 2016-12-13 21:58:58,523 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-13 21:58:58,552 | config     | Setting 'alignment' to 'Moyle_2016.phy'
INFO     | 2016-12-13 21:58:58,553 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-13 21:58:58,553 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-13 21:58:58,564 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-13 21:58:58,564 | model_load | GTR+G
INFO     | 2016-12-13 21:58:58,564 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-13 21:59:34,605 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-12-13 21:59:34,605 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-13 21:59:34,606 | config     | Looking for alignment file './Moyle_2016.phy'...
INFO     | 2016-12-13 21:59:34,606 | analysis   | Beginning Analysis
INFO     | 2016-12-13 21:59:35,381 | alignment  | Reading alignment file './Moyle_2016.phy'
INFO     | 2016-12-13 21:59:37,967 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-13 21:59:38,347 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-13 21:59:38,592 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2016-12-14 02:08:39,820 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2016-12-14 03:03:34,527 | raxml      | ML topology estimation finished
INFO     | 2016-12-14 03:03:34,528 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-12-14 03:03:34,529 | analysis_m |    Set rcluster-max to 8910
INFO     | 2016-12-14 03:03:34,536 | analysis_m |    PartitionFinder will have to analyse 769471 subsets to complete this analyses
WARNING  | 2016-12-14 03:03:34,536 | progress   |    769471 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-12-14 03:03:34,536 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-14 03:03:40,004 | progress   |       Finished subset 1/891, 0.11 percent done
INFO     | 2016-12-14 03:03:40,211 | progress   |       Finished subset 2/891, 0.22 percent done
INFO     | 2016-12-14 03:03:40,286 | progress   |       Finished subset 3/891, 0.34 percent done
INFO     | 2016-12-14 03:03:40,352 | progress   |       Finished subset 4/891, 0.45 percent done
INFO     | 2016-12-14 03:03:40,410 | progress   |       Finished subset 5/891, 0.56 percent done
INFO     | 2016-12-14 03:03:40,585 | progress   |       Finished subset 6/891, 0.67 percent done
INFO     | 2016-12-14 03:03:40,665 | progress   |       Finished subset 7/891, 0.79 percent done
INFO     | 2016-12-14 03:03:40,829 | progress   |       Finished subset 8/891, 0.90 percent done
INFO     | 2016-12-14 03:03:40,907 | progress   |       Finished subset 9/891, 1.01 percent done
INFO     | 2016-12-14 03:03:41,023 | progress   |       Finished subset 10/891, 1.12 percent done
INFO     | 2016-12-14 03:03:41,115 | progress   |       Finished subset 11/891, 1.23 percent done
INFO     | 2016-12-14 03:03:41,300 | progress   |       Finished subset 12/891, 1.35 percent done
INFO     | 2016-12-14 03:03:41,387 | progress   |       Finished subset 13/891, 1.46 percent done
INFO     | 2016-12-14 03:03:41,555 | progress   |       Finished subset 14/891, 1.57 percent done
INFO     | 2016-12-14 03:03:41,643 | progress   |       Finished subset 15/891, 1.68 percent done
INFO     | 2016-12-14 03:03:41,738 | progress   |       Finished subset 16/891, 1.80 percent done
INFO     | 2016-12-14 03:03:41,828 | progress   |       Finished subset 17/891, 1.91 percent done
INFO     | 2016-12-14 03:03:41,910 | progress   |       Finished subset 18/891, 2.02 percent done
INFO     | 2016-12-14 03:03:42,025 | progress   |       Finished subset 19/891, 2.13 percent done
INFO     | 2016-12-14 03:03:42,117 | progress   |       Finished subset 20/891, 2.24 percent done
INFO     | 2016-12-14 03:03:42,276 | progress   |       Finished subset 21/891, 2.36 percent done
INFO     | 2016-12-14 03:03:42,364 | progress   |       Finished subset 22/891, 2.47 percent done
INFO     | 2016-12-14 03:03:42,463 | progress   |       Finished subset 23/891, 2.58 percent done
INFO     | 2016-12-14 03:03:42,559 | progress   |       Finished subset 24/891, 2.69 percent done
INFO     | 2016-12-14 03:03:42,629 | progress   |       Finished subset 25/891, 2.81 percent done
INFO     | 2016-12-14 03:03:42,714 | progress   |       Finished subset 26/891, 2.92 percent done
INFO     | 2016-12-14 03:03:42,779 | progress   |       Finished subset 27/891, 3.03 percent done
INFO     | 2016-12-14 03:03:42,925 | progress   |       Finished subset 28/891, 3.14 percent done
INFO     | 2016-12-14 03:03:43,029 | progress   |       Finished subset 29/891, 3.25 percent done
INFO     | 2016-12-14 03:03:43,113 | progress   |       Finished subset 30/891, 3.37 percent done
INFO     | 2016-12-14 03:03:43,212 | progress   |       Finished subset 31/891, 3.48 percent done
INFO     | 2016-12-14 03:03:43,309 | progress   |       Finished subset 32/891, 3.59 percent done
INFO     | 2016-12-14 03:03:43,400 | progress   |       Finished subset 33/891, 3.70 percent done
INFO     | 2016-12-14 03:03:43,537 | progress   |       Finished subset 34/891, 3.82 percent done
INFO     | 2016-12-14 03:03:43,719 | progress   |       Finished subset 35/891, 3.93 percent done
INFO     | 2016-12-14 03:03:43,916 | progress   |       Finished subset 36/891, 4.04 percent done
INFO     | 2016-12-14 03:03:43,971 | progress   |       Finished subset 37/891, 4.15 percent done
INFO     | 2016-12-14 03:03:44,054 | progress   |       Finished subset 38/891, 4.26 percent done
INFO     | 2016-12-14 03:03:44,135 | progress   |       Finished subset 39/891, 4.38 percent done
INFO     | 2016-12-14 03:03:44,263 | progress   |       Finished subset 40/891, 4.49 percent done
INFO     | 2016-12-14 03:03:44,344 | progress   |       Finished subset 41/891, 4.60 percent done
INFO     | 2016-12-14 03:03:44,412 | progress   |       Finished subset 42/891, 4.71 percent done
INFO     | 2016-12-14 03:03:44,467 | progress   |       Finished subset 43/891, 4.83 percent done
INFO     | 2016-12-14 03:03:44,543 | progress   |       Finished subset 44/891, 4.94 percent done
INFO     | 2016-12-14 03:03:44,605 | progress   |       Finished subset 45/891, 5.05 percent done
INFO     | 2016-12-14 03:03:44,665 | progress   |       Finished subset 46/891, 5.16 percent done
INFO     | 2016-12-14 03:03:44,745 | progress   |       Finished subset 47/891, 5.27 percent done
INFO     | 2016-12-14 03:03:44,854 | progress   |       Finished subset 48/891, 5.39 percent done
INFO     | 2016-12-14 03:03:44,939 | progress   |       Finished subset 49/891, 5.50 percent done
INFO     | 2016-12-14 03:03:45,018 | progress   |       Finished subset 50/891, 5.61 percent done
INFO     | 2016-12-14 03:03:45,129 | progress   |       Finished subset 51/891, 5.72 percent done
INFO     | 2016-12-14 03:03:45,218 | progress   |       Finished subset 52/891, 5.84 percent done
INFO     | 2016-12-14 03:03:45,378 | progress   |       Finished subset 53/891, 5.95 percent done
INFO     | 2016-12-14 03:03:45,512 | progress   |       Finished subset 54/891, 6.06 percent done
INFO     | 2016-12-14 03:03:45,609 | progress   |       Finished subset 55/891, 6.17 percent done
INFO     | 2016-12-14 03:03:45,703 | progress   |       Finished subset 56/891, 6.29 percent done
INFO     | 2016-12-14 03:03:45,800 | progress   |       Finished subset 57/891, 6.40 percent done
INFO     | 2016-12-14 03:03:45,869 | progress   |       Finished subset 58/891, 6.51 percent done
INFO     | 2016-12-14 03:03:45,959 | progress   |       Finished subset 59/891, 6.62 percent done
INFO     | 2016-12-14 03:03:46,044 | progress   |       Finished subset 60/891, 6.73 percent done
INFO     | 2016-12-14 03:03:46,216 | progress   |       Finished subset 61/891, 6.85 percent done
INFO     | 2016-12-14 03:03:46,274 | progress   |       Finished subset 62/891, 6.96 percent done
INFO     | 2016-12-14 03:03:46,335 | progress   |       Finished subset 63/891, 7.07 percent done
INFO     | 2016-12-14 03:03:46,422 | progress   |       Finished subset 64/891, 7.18 percent done
INFO     | 2016-12-14 03:03:46,514 | progress   |       Finished subset 65/891, 7.30 percent done
INFO     | 2016-12-14 03:03:46,622 | progress   |       Finished subset 66/891, 7.41 percent done
INFO     | 2016-12-14 03:03:46,681 | progress   |       Finished subset 67/891, 7.52 percent done
INFO     | 2016-12-14 03:03:46,757 | progress   |       Finished subset 68/891, 7.63 percent done
INFO     | 2016-12-14 03:03:46,856 | progress   |       Finished subset 69/891, 7.74 percent done
INFO     | 2016-12-14 03:03:46,950 | progress   |       Finished subset 70/891, 7.86 percent done
INFO     | 2016-12-14 03:03:47,038 | progress   |       Finished subset 71/891, 7.97 percent done
INFO     | 2016-12-14 03:03:47,179 | progress   |       Finished subset 72/891, 8.08 percent done
INFO     | 2016-12-14 03:03:47,265 | progress   |       Finished subset 73/891, 8.19 percent done
INFO     | 2016-12-14 03:03:47,430 | progress   |       Finished subset 74/891, 8.31 percent done
INFO     | 2016-12-14 03:03:47,502 | progress   |       Finished subset 75/891, 8.42 percent done
INFO     | 2016-12-14 03:03:47,613 | progress   |       Finished subset 76/891, 8.53 percent done
INFO     | 2016-12-14 03:03:47,744 | progress   |       Finished subset 77/891, 8.64 percent done
INFO     | 2016-12-14 03:03:47,818 | progress   |       Finished subset 78/891, 8.75 percent done
INFO     | 2016-12-14 03:03:47,876 | progress   |       Finished subset 79/891, 8.87 percent done
INFO     | 2016-12-14 03:03:48,002 | progress   |       Finished subset 80/891, 8.98 percent done
INFO     | 2016-12-14 03:03:48,085 | progress   |       Finished subset 81/891, 9.09 percent done
INFO     | 2016-12-14 03:03:48,258 | progress   |       Finished subset 82/891, 9.20 percent done
INFO     | 2016-12-14 03:03:48,340 | progress   |       Finished subset 83/891, 9.32 percent done
INFO     | 2016-12-14 03:03:48,396 | progress   |       Finished subset 84/891, 9.43 percent done
INFO     | 2016-12-14 03:03:48,456 | progress   |       Finished subset 85/891, 9.54 percent done
INFO     | 2016-12-14 03:03:48,638 | progress   |       Finished subset 86/891, 9.65 percent done
INFO     | 2016-12-14 03:03:48,709 | progress   |       Finished subset 87/891, 9.76 percent done
INFO     | 2016-12-14 03:03:48,841 | progress   |       Finished subset 88/891, 9.88 percent done
INFO     | 2016-12-14 03:03:48,922 | progress   |       Finished subset 89/891, 9.99 percent done
INFO     | 2016-12-14 03:03:49,010 | progress   |       Finished subset 90/891, 10.10 percent done
INFO     | 2016-12-14 03:03:49,100 | progress   |       Finished subset 91/891, 10.21 percent done
INFO     | 2016-12-14 03:03:49,202 | progress   |       Finished subset 92/891, 10.33 percent done
INFO     | 2016-12-14 03:03:49,360 | progress   |       Finished subset 93/891, 10.44 percent done
INFO     | 2016-12-14 03:03:49,448 | progress   |       Finished subset 94/891, 10.55 percent done
INFO     | 2016-12-14 03:03:49,542 | progress   |       Finished subset 95/891, 10.66 percent done
