Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15430


Best partitioning scheme

Scheme Name       : step_18
Scheme lnL        : -2913592.44229
Scheme AICc       : 5839665.10037
Number of params  : 6138
Number of sites   : 375172
Number of subsets : 593

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1347       | dbd660ee5ac006951c5fc466e3c4a9e8 | uce6532_left, uce2335_left, uce3647_left, uce1008_left, uce7095_left                                
2      | GTR+G      | 596        | cf54f8f1b62de1a4e4f9f97821a01f27 | uce1008_core, uce7495_core, uce4680_core, uce6248_core                                              
3      | GTR+G      | 538        | 843c23b30c07de116fdceec08e05c0ee | uce1008_right, uce7514_core                                                                         
4      | GTR+G      | 1436       | 1fc334fbd7a8e06a17d2f04a6dfba17a | uce976_core, uce3826_right, uce343_right, uce1809_right, uce1232_right, uce4863_right, uce1012_left, uce616_right
5      | GTR+G      | 566        | 95c067d0068d2b75d9004c8f63fc6d18 | uce1591_core, uce4195_core, uce1278_core, uce1012_core                                              
6      | GTR+G      | 1513       | 9bd8600017d01bd741bc25a1e1d7c9f6 | uce7666_right, uce5021_right, uce2539_right, uce1012_right                                          
7      | GTR+G      | 1449       | e759571316a0087b4fa02cb9b41a3a9d | uce2112_left, uce7950_left, uce2468_left, uce1048_left                                              
8      | GTR+G      | 1243       | 9c0b755a14597453d5f9e6b543bce611 | uce114_core, uce2010_core, uce337_core, uce7472_core, uce1048_core, uce1809_core, uce3436_core, uce4607_right
9      | GTR+G      | 1020       | b01a07fc42422bfade6c7100846647a4 | uce1048_right, uce318_left, uce4154_right                                                           
10     | GTR+G      | 1280       | 057091615779adc1d6b2bb95e5d83748 | uce3448_right, uce662_right, uce1052_left, uce2185_core, uce6931_left                               
11     | GTR+G      | 735        | ba9fa064da7711d0d2ec038126125011 | uce548_core, uce4638_core, uce949_core, uce1052_core, uce5914_core, uce4227_core                    
12     | GTR+G      | 1454       | 7c16bf18bc94e5c08928d07cf513562a | uce1547_right, uce6586_core, uce1052_right                                                          
13     | GTR+G      | 529        | 0e2d25fba0355e91693dc036cbb59315 | uce2733_left, uce2397_left, uce2994_right, uce246_left, uce1092_left                                
14     | GTR+G      | 215        | e0550e5c025ed79aab0a4e2775d36d24 | uce6787_core, uce5759_core, uce1092_core                                                            
15     | GTR+G      | 3072       | ac5693e2a7e7504da7511b9431fe13e8 | uce7724_left, uce417_left, uce330_left, uce1092_right, uce533_left, uce1405_right                   
16     | GTR+G      | 2601       | 5ef62a8ce512e62535136673ecd47fd7 | uce4325_left, uce6945_core, uce7133_right, uce2882_left, uce4086_left, uce1094_left, uce1591_left, uce7583_left
17     | GTR+G      | 1572       | 680acf116a35e7711bba7514264c9a74 | uce6472_left, uce1094_core, uce7427_left, uce1660_left, uce1412_right                               
18     | GTR+G      | 2578       | 31aed7e314181a16f64274f12f5d0a9d | uce4531_right, uce396_right, uce865_right, uce5969_right, uce2235_core, uce1094_right, uce7028_left, uce6272_core
19     | GTR+G      | 782        | 91d4f40daad6fc9cce4a105ada674424 | uce816_core, uce1123_left, uce6608_right, uce2477_right                                             
20     | GTR+G      | 383        | d5ca88982fcdbadfb124e8b30864fd9a | uce2378_core, uce1123_core, uce4626_core, uce6992_core                                              
21     | GTR+G      | 583        | efe79437092784fed4907c0c092ef2ef | uce5166_right, uce3863_core, uce5037_core, uce1123_right                                            
22     | GTR+G      | 1111       | 3e18eebbac50610b75ae2986f03dd1d2 | uce5053_left, uce5412_left, uce1127_left, uce4195_left                                              
23     | GTR+G      | 955        | db6b0913fbc73b24e27e767265f8d00b | uce1127_core, uce4437_core, uce7950_core, uce6432_core                                              
24     | GTR+G      | 1052       | e3424040928b051c4ab5d1b3ea65085b | uce3096_left, uce1127_right, uce1820_core                                                           
25     | GTR+G      | 698        | de55e2bb409dbc5d90a77ac35ee9d6bc | uce1135_left                                                                                        
26     | GTR+G      | 142        | a0180411b4aff1110acef02974fe61a1 | uce417_core, uce1135_core                                                                           
27     | GTR+G      | 474        | a5b858e26f262bef3409230c214d7139 | uce5586_left, uce1135_right, uce2870_left, uce3835_right                                            
28     | GTR+G      | 2693       | bf38d0525c50970966bae5516f318844 | uce146_right, uce149_core, uce1805_core, uce15_left, uce1601_core, uce114_left, uce729_right        
29     | GTR+G      | 672        | 849cef251a2a55c3befe39586fe42164 | uce6532_right, uce114_right                                                                         
30     | GTR+G      | 548        | f4d4ed92ffb673cc2655c6988baa4700 | uce5155_right, uce2387_left, uce1154_left                                                           
31     | GTR+G      | 358        | 700bd3f457890ee3624c7d74e14bb2ef | uce1154_core, uce385_core                                                                           
32     | GTR+G      | 815        | 21389fc3d6a61a81dbe9b32ad98df1ef | uce2069_left, uce1154_right                                                                         
33     | GTR+G      | 994        | 4d8fda56828a17db8803793360ed408d | uce1202_left, uce663_left, uce7494_right, uce338_right                                              
34     | GTR+G      | 335        | 3c5246c582e1875479615f1039b05369 | uce2980_core, uce6014_core, uce1202_core                                                            
35     | GTR+G      | 1042       | 2685530a6d76699fd98832d74c095d47 | uce1202_right, uce7643_left, uce6823_left, uce625_left, uce7958_left                                
36     | GTR+G      | 1141       | afeeedd2cbcbced9498a36209e615b7e | uce587_core, uce1209_left, uce2397_core                                                             
