INFO     | 2016-12-13 09:56:10,866 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-13 09:56:10,873 | config     | Setting 'alignment' to 'Moyle_2016.phy'
INFO     | 2016-12-13 09:56:10,873 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-13 09:56:10,874 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-13 09:56:10,883 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-13 09:56:10,883 | model_load | GTR+G
INFO     | 2016-12-13 09:56:10,884 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-13 09:56:11,768 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-12-13 09:56:11,769 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-13 09:56:11,769 | config     | Looking for alignment file './Moyle_2016.phy'...
INFO     | 2016-12-13 09:56:11,769 | analysis   | Beginning Analysis
INFO     | 2016-12-13 09:56:11,872 | alignment  | Reading alignment file './Moyle_2016.phy'
INFO     | 2016-12-13 09:56:14,250 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-13 09:56:14,250 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-13 09:56:34,138 | raxml      | Topology estimation finished
INFO     | 2016-12-13 09:56:34,139 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2016-12-13 10:06:55,664 | raxml      | Branchlength estimation finished
INFO     | 2016-12-13 10:06:55,665 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-12-13 10:06:55,665 | analysis_m |    Set rcluster-max to 15450
INFO     | 2016-12-13 10:06:55,672 | analysis_m |    PartitionFinder will have to analyse 2294174 subsets to complete this analyses
WARNING  | 2016-12-13 10:06:55,672 | progress   |    2294174 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-12-13 10:06:55,672 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-13 10:07:06,771 | progress   |       Finished subset 1/1545, 0.06 percent done
INFO     | 2016-12-13 10:07:06,936 | progress   |       Finished subset 2/1545, 0.13 percent done
INFO     | 2016-12-13 10:07:07,091 | progress   |       Finished subset 3/1545, 0.19 percent done
INFO     | 2016-12-13 10:07:08,220 | progress   |       Finished subset 4/1545, 0.26 percent done
INFO     | 2016-12-13 10:07:08,297 | progress   |       Finished subset 5/1545, 0.32 percent done
INFO     | 2016-12-13 10:07:08,491 | progress   |       Finished subset 6/1545, 0.39 percent done
INFO     | 2016-12-13 10:07:09,028 | progress   |       Finished subset 7/1545, 0.45 percent done
INFO     | 2016-12-13 10:07:09,566 | progress   |       Finished subset 8/1545, 0.52 percent done
INFO     | 2016-12-13 10:07:09,846 | progress   |       Finished subset 9/1545, 0.58 percent done
INFO     | 2016-12-13 10:07:10,077 | progress   |       Finished subset 10/1545, 0.65 percent done
INFO     | 2016-12-13 10:07:10,234 | progress   |       Finished subset 11/1545, 0.71 percent done
INFO     | 2016-12-13 10:07:10,446 | progress   |       Finished subset 12/1545, 0.78 percent done
INFO     | 2016-12-13 10:07:10,522 | progress   |       Finished subset 13/1545, 0.84 percent done
INFO     | 2016-12-13 10:07:10,667 | progress   |       Finished subset 14/1545, 0.91 percent done
INFO     | 2016-12-13 10:07:10,858 | progress   |       Finished subset 15/1545, 0.97 percent done
INFO     | 2016-12-13 10:07:11,007 | progress   |       Finished subset 16/1545, 1.04 percent done
INFO     | 2016-12-13 10:07:11,117 | progress   |       Finished subset 17/1545, 1.10 percent done
INFO     | 2016-12-13 10:07:11,191 | progress   |       Finished subset 18/1545, 1.17 percent done
INFO     | 2016-12-13 10:07:11,394 | progress   |       Finished subset 19/1545, 1.23 percent done
INFO     | 2016-12-13 10:07:11,586 | progress   |       Finished subset 20/1545, 1.29 percent done
INFO     | 2016-12-13 10:07:11,755 | progress   |       Finished subset 21/1545, 1.36 percent done
INFO     | 2016-12-13 10:07:11,940 | progress   |       Finished subset 22/1545, 1.42 percent done
INFO     | 2016-12-13 10:07:12,391 | progress   |       Finished subset 23/1545, 1.49 percent done
INFO     | 2016-12-13 10:07:12,976 | progress   |       Finished subset 24/1545, 1.55 percent done
INFO     | 2016-12-13 10:07:13,208 | progress   |       Finished subset 25/1545, 1.62 percent done
INFO     | 2016-12-13 10:07:13,485 | progress   |       Finished subset 26/1545, 1.68 percent done
INFO     | 2016-12-13 10:07:14,271 | progress   |       Finished subset 27/1545, 1.75 percent done
INFO     | 2016-12-13 10:07:14,397 | progress   |       Finished subset 28/1545, 1.81 percent done
INFO     | 2016-12-13 10:07:14,563 | progress   |       Finished subset 29/1545, 1.88 percent done
INFO     | 2016-12-13 10:07:14,757 | progress   |       Finished subset 30/1545, 1.94 percent done
INFO     | 2016-12-13 10:07:14,943 | progress   |       Finished subset 31/1545, 2.01 percent done
INFO     | 2016-12-13 10:07:15,080 | progress   |       Finished subset 32/1545, 2.07 percent done
INFO     | 2016-12-13 10:07:15,511 | progress   |       Finished subset 33/1545, 2.14 percent done
INFO     | 2016-12-13 10:07:15,710 | progress   |       Finished subset 34/1545, 2.20 percent done
INFO     | 2016-12-13 10:07:16,015 | progress   |       Finished subset 35/1545, 2.27 percent done
INFO     | 2016-12-13 10:07:16,130 | progress   |       Finished subset 36/1545, 2.33 percent done
INFO     | 2016-12-13 10:07:16,296 | progress   |       Finished subset 37/1545, 2.39 percent done
INFO     | 2016-12-13 10:07:16,551 | progress   |       Finished subset 38/1545, 2.46 percent done
INFO     | 2016-12-13 10:07:16,785 | progress   |       Finished subset 39/1545, 2.52 percent done
INFO     | 2016-12-13 10:07:17,030 | progress   |       Finished subset 40/1545, 2.59 percent done
INFO     | 2016-12-13 10:07:17,569 | progress   |       Finished subset 41/1545, 2.65 percent done
INFO     | 2016-12-13 10:07:17,695 | progress   |       Finished subset 42/1545, 2.72 percent done
INFO     | 2016-12-13 10:07:18,079 | progress   |       Finished subset 43/1545, 2.78 percent done
INFO     | 2016-12-13 10:07:18,243 | progress   |       Finished subset 44/1545, 2.85 percent done
INFO     | 2016-12-13 10:07:18,504 | progress   |       Finished subset 45/1545, 2.91 percent done
INFO     | 2016-12-13 10:07:18,677 | progress   |       Finished subset 46/1545, 2.98 percent done
INFO     | 2016-12-13 10:07:18,848 | progress   |       Finished subset 47/1545, 3.04 percent done
INFO     | 2016-12-13 10:07:19,022 | progress   |       Finished subset 48/1545, 3.11 percent done
INFO     | 2016-12-13 10:07:19,133 | progress   |       Finished subset 49/1545, 3.17 percent done
INFO     | 2016-12-13 10:07:19,303 | progress   |       Finished subset 50/1545, 3.24 percent done
INFO     | 2016-12-13 10:07:19,407 | progress   |       Finished subset 51/1545, 3.30 percent done
INFO     | 2016-12-13 10:07:19,593 | progress   |       Finished subset 52/1545, 3.37 percent done
INFO     | 2016-12-13 10:07:19,953 | progress   |       Finished subset 53/1545, 3.43 percent done
INFO     | 2016-12-13 10:07:20,075 | progress   |       Finished subset 54/1545, 3.50 percent done
INFO     | 2016-12-13 10:07:20,482 | progress   |       Finished subset 55/1545, 3.56 percent done
INFO     | 2016-12-13 10:07:20,617 | progress   |       Finished subset 56/1545, 3.62 percent done
INFO     | 2016-12-13 10:07:20,811 | progress   |       Finished subset 57/1545, 3.69 percent done
INFO     | 2016-12-13 10:07:21,265 | progress   |       Finished subset 58/1545, 3.75 percent done
INFO     | 2016-12-13 10:07:21,426 | progress   |       Finished subset 59/1545, 3.82 percent done
INFO     | 2016-12-13 10:07:21,575 | progress   |       Finished subset 60/1545, 3.88 percent done
INFO     | 2016-12-13 10:07:21,972 | progress   |       Finished subset 61/1545, 3.95 percent done
INFO     | 2016-12-13 10:07:22,091 | progress   |       Finished subset 62/1545, 4.01 percent done
INFO     | 2016-12-13 10:07:22,253 | progress   |       Finished subset 63/1545, 4.08 percent done
INFO     | 2016-12-13 10:07:22,533 | progress   |       Finished subset 64/1545, 4.14 percent done
INFO     | 2016-12-13 10:07:22,748 | progress   |       Finished subset 65/1545, 4.21 percent done
INFO     | 2016-12-13 10:07:22,879 | progress   |       Finished subset 66/1545, 4.27 percent done
INFO     | 2016-12-13 10:07:23,111 | progress   |       Finished subset 67/1545, 4.34 percent done
INFO     | 2016-12-13 10:07:23,272 | progress   |       Finished subset 68/1545, 4.40 percent done
INFO     | 2016-12-13 10:07:23,391 | progress   |       Finished subset 69/1545, 4.47 percent done
INFO     | 2016-12-13 10:07:23,475 | progress   |       Finished subset 70/1545, 4.53 percent done
INFO     | 2016-12-13 10:07:23,581 | progress   |       Finished subset 71/1545, 4.60 percent done
INFO     | 2016-12-13 10:07:23,917 | progress   |       Finished subset 72/1545, 4.66 percent done
INFO     | 2016-12-13 10:07:23,996 | progress   |       Finished subset 73/1545, 4.72 percent done
INFO     | 2016-12-13 10:07:24,187 | progress   |       Finished subset 74/1545, 4.79 percent done
INFO     | 2016-12-13 10:07:24,391 | progress   |       Finished subset 75/1545, 4.85 percent done
INFO     | 2016-12-13 10:07:24,735 | progress   |       Finished subset 76/1545, 4.92 percent done
INFO     | 2016-12-13 10:07:24,816 | progress   |       Finished subset 77/1545, 4.98 percent done
INFO     | 2016-12-13 10:07:24,935 | progress   |       Finished subset 78/1545, 5.05 percent done
INFO     | 2016-12-13 10:07:25,388 | progress   |       Finished subset 79/1545, 5.11 percent done
INFO     | 2016-12-13 10:07:25,560 | progress   |       Finished subset 80/1545, 5.18 percent done
INFO     | 2016-12-13 10:07:25,785 | progress   |       Finished subset 81/1545, 5.24 percent done
INFO     | 2016-12-13 10:07:25,893 | progress   |       Finished subset 82/1545, 5.31 percent done
INFO     | 2016-12-13 10:07:26,076 | progress   |       Finished subset 83/1545, 5.37 percent done
INFO     | 2016-12-13 10:07:26,236 | progress   |       Finished subset 84/1545, 5.44 percent done
INFO     | 2016-12-13 10:07:26,448 | progress   |       Finished subset 85/1545, 5.50 percent done
INFO     | 2016-12-13 10:07:26,625 | progress   |       Finished subset 86/1545, 5.57 percent done
INFO     | 2016-12-13 10:07:26,910 | progress   |       Finished subset 87/1545, 5.63 percent done
INFO     | 2016-12-13 10:07:27,246 | progress   |       Finished subset 88/1545, 5.70 percent done
INFO     | 2016-12-13 10:07:27,446 | progress   |       Finished subset 89/1545, 5.76 percent done
INFO     | 2016-12-13 10:07:27,659 | progress   |       Finished subset 90/1545, 5.83 percent done
INFO     | 2016-12-13 10:07:27,728 | progress   |       Finished subset 91/1545, 5.89 percent done
INFO     | 2016-12-13 10:07:28,041 | progress   |       Finished subset 92/1545, 5.95 percent done
INFO     | 2016-12-13 10:07:28,301 | progress   |       Finished subset 93/1545, 6.02 percent done
INFO     | 2016-12-13 10:07:28,549 | progress   |       Finished subset 94/1545, 6.08 percent done
INFO     | 2016-12-13 10:07:28,672 | progress   |       Finished subset 95/1545, 6.15 percent done
INFO     | 2016-12-13 10:07:28,810 | progress   |       Finished subset 96/1545, 6.21 percent done
INFO     | 2016-12-13 10:07:29,700 | progress   |       Finished subset 97/1545, 6.28 percent done
INFO     | 2016-12-13 10:07:30,097 | progress   |       Finished subset 98/1545, 6.34 percent done
INFO     | 2016-12-13 10:07:30,159 | progress   |       Finished subset 99/1545, 6.41 percent done
INFO     | 2016-12-13 10:07:30,419 | progress   |       Finished subset 100/1545, 6.47 percent done
INFO     | 2016-12-13 10:07:30,608 | progress   |       Finished subset 101/1545, 6.54 percent done
