Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15450


Best partitioning scheme

Scheme Name       : step_12
Scheme lnL        : -2914344.77741
Scheme AICc       : 5839663.7744
Number of params  : 5408
Number of sites   : 375172
Number of subsets : 520

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2320       | 24c1103fca9a42c3f5848fa1ef3c2731 | uce7994_right, uce6355_right, uce1008_left, uce4154_right, uce5969_left, uce1389_left, uce7553_right, uce4339_right, uce7764_right, uce4205_left
2      | GTR+G      | 809        | b458553843d675ae5a47def7aa2b58fd | uce3861_right, uce1008_core, uce3776_left                                                           
3      | GTR+G      | 778        | ae78b5c5f0426edbd5df966c7eb7d0d6 | uce587_core, uce1008_right, uce548_core, uce15_left                                                 
4      | GTR+G      | 1866       | faabbf9a7a449c8e588ca9c8e9a95fa1 | uce7763_left, uce7495_right, uce3713_core, uce937_right, uce449_right, uce7637_core, uce518_right, uce1012_left, uce4631_core
5      | GTR+G      | 1519       | 0b1226b87e8547e5f90678138462ca83 | uce703_right, uce1012_core, uce1723_core, uce6472_core, uce3826_core, uce3376_core                  
6      | GTR+G      | 1368       | aff3b62f3f4c2cd14f26b57e84ec2e10 | uce6400_left, uce958_core, uce1012_right, uce2112_core, uce4863_right, uce1814_core, uce1820_core, uce2539_core
7      | GTR+G      | 1300       | 34b8554af88b8e8833993aba1ba3f308 | uce396_left, uce1048_left, uce1783_right                                                            
8      | GTR+G      | 977        | 7592ed2ba8453fa8d10bf7abb79af97a | uce7520_core, uce2830_core, uce3_core, uce759_core, uce1048_core                                    
9      | GTR+G      | 970        | 022cbd90d93f59d49506abb9b96bbe08 | uce759_left, uce1810_right, uce1048_right                                                           
10     | GTR+G      | 563        | 7e950c48c446b657c3c70ee054b25a01 | uce3586_left, uce2646_right, uce1052_left                                                           
11     | GTR+G      | 2279       | 8d4c505f7a9a0c8b147434ba9088f58c | uce338_core, uce4523_core, uce1530_right, uce1052_core, uce5215_core, uce3869_core, uce1556_core    
12     | GTR+G      | 1441       | 16c005c62436073c64c3c2cad37eaf24 | uce1052_right, uce902_core, uce1660_core, uce15_core                                                
13     | GTR+G      | 483        | 5a8ef51a67a419c55307e27ba9199740 | uce1092_left, uce3647_right, uce4969_right, uce3897_left                                            
14     | GTR+G      | 1211       | 936381673fcb502494e95f97b0a771ee | uce6342_left, uce1329_right, uce1092_core                                                           
15     | GTR+G      | 402        | e34317ecb5f8a0e90887a516e89b34bc | uce533_left, uce1092_right                                                                          
16     | GTR+G      | 1508       | 179525bc4ce502ac4bbc320568b05033 | uce4437_right, uce1094_left, uce7361_right, uce7950_right, uce8030_right                            
17     | GTR+G      | 439        | 0f5851f76118b250dd9b038a49e6ab6b | uce1329_core, uce5679_core, uce1094_core, uce8006_core                                              
18     | GTR+G      | 1037       | 567b5096c6855a089852615aff0fe123 | uce4531_core, uce1094_right, uce7157_right, uce4523_right, uce3_right, uce1742_right                
19     | GTR+G      | 222        | 90f4a8dc05a3edcbe8400ec5aab629ea | uce1123_left                                                                                        
20     | GTR+G      | 582        | 94d990cd3bc6dcccb329b7f9b666fdb1 | uce5477_core, uce1123_core                                                                          
21     | GTR+G      | 617        | 8acc01b1b7ba5c0850cc2327e063a12c | uce343_left, uce1123_right, uce3336_core                                                            
22     | GTR+G      | 1189       | 009228654cb7f87911a2a4714877c50e | uce5412_left, uce1127_left, uce4680_left                                                            
23     | GTR+G      | 1337       | 9000a4876c773fee326d3b40769ca505 | uce4607_core, uce8017_core, uce6210_core, uce1127_core, uce7957_core, uce3584_core, uce3287_right   
24     | GTR+G      | 845        | e12c88f934859da4c2e465ea42186d00 | uce1127_right, uce2539_left                                                                         
25     | GTR+G      | 616        | a55216e7c1c797f27f9bc4dcb949b11b | uce2063_left, uce3439_left, uce3528_left, uce1135_left                                              
26     | GTR+G      | 675        | 992ea7ea6b6f73059d80435f4da5e0a5 | uce1135_core                                                                                        
27     | GTR+G      | 276        | cfa7ae45b09a48365121c55401d3d986 | uce4566_left, uce1135_right                                                                         
28     | GTR+G      | 1602       | 0f14c73354420a1ff257d014cb8db800 | uce4531_right, uce1526_right, uce114_left, uce574_right, uce1547_right, uce2328_core, uce1232_right, uce548_right, uce2378_right, uce1526_core
29     | GTR+G      | 897        | da86e736d8de19bbd976f93978f875a2 | uce114_core, uce2870_core, uce2521_core, uce1965_core, uce6245_left, uce4176_core, uce2468_core     
30     | GTR+G      | 1644       | 8d4e353fb7c4e7e7d4fec8b4ccd67786 | uce114_right, uce3353_core, uce533_core, uce2309_core, uce337_core                                  
31     | GTR+G      | 1132       | 1e7c4a28873db60387808673d5a7c881 | uce1154_left, uce663_right, uce625_right, uce999_left, uce4325_right, uce2980_left, uce2388_right   
32     | GTR+G      | 1672       | ebe3d122f964508fbd672af6ebf6ef04 | uce2998_core, uce1154_core, uce7692_right, uce1929_left                                             
33     | GTR+G      | 1149       | d125a531151f80e76ccd3081bf1b1d10 | uce2010_right, uce1154_right, uce7011_right                                                         
34     | GTR+G      | 611        | c69a9604f8364adac7be0fa67ae41518 | uce7494_right, uce1202_left                                                                         
35     | GTR+G      | 1261       | dfc5717615b08f22380a308d9a85a186 | uce2980_core, uce1202_core, uce3334_core, uce5196_core, uce5158_core                                
36     | GTR+G      | 621        | 54269605b43af136b15b19660d705ce1 | uce2896_left, uce1202_right, uce3198_right                                                          
37     | GTR+G      | 2755       | b8b9373a3c6815b92d5cd32f424eb48e | uce4837_left, uce1278_right, uce8030_left, uce7399_left, uce1209_left, uce772_left, uce2477_right, uce5849_core, uce6823_core, uce1405_right
38     | GTR+G      | 732        | 7aefb26576e4152bad1ec35909f04d44 | uce1209_core, uce5554_core                                                                          
39     | GTR+G      | 1534       | 41ac6dcac5b79702f4bedffa7af8568a | uce1808_right, uce5915_right, uce1209_right, uce6931_left, uce3573_core, uce4837_right, uce3609_left
40     | GTR+G      | 72         | 9fa3e37bcde1e16b2f931d5608d5091e | uce1217_left                                                                                        
41     | GTR+G      | 738        | e1d30008cc1bc801e3eb0cc08e6f83fc | uce1858_core, uce1217_core, uce1523_right                                                           
42     | GTR+G      | 985        | 6a889a52a1d263e19cb988a390addc0c | uce4607_right, uce149_right, uce7807_left, uce1217_right, uce15_right                               
43     | GTR+G      | 2262       | 6cdf4218bcd5fa78407181627dc33a08 | uce6992_right, uce7520_right, uce625_left, uce865_left, uce1232_left, uce6277_left, uce3987_left, uce712_core
44     | GTR+G      | 1810       | 96a036c2156a1fca06cc90968f7b4476 | uce7553_core, uce1573_core, uce1232_core, uce5383_core, uce2096_core, uce662_core                   
45     | GTR+G      | 792        | 19ec8f8895ef7c774f7cba7a82303f20 | uce7399_right, uce1271_left, uce7227_core                                                           
46     | GTR+G      | 63         | c5a42e6ab4d120f588214d0e0346b4fb | uce1271_core                                                                                        
47     | GTR+G      | 403        | 35a2ae3132521c8a50e3ffd2e81bb73f | uce1271_right                                                                                       
48     | GTR+G      | 906        | 1487fa83c0e6b909ec84c394c7050b6e | uce1278_left, uce4792_core                                                                          
49     | GTR+G      | 404        | 611fe134a9dd2aac2f63aecb96b42ebf | uce648_core, uce5867_core, uce2578_core, uce7527_core, uce1278_core                                 
50     | GTR+G      | 903        | 715d1cec6a302810d75583adab4d8970 | uce861_right, uce5196_right, uce1281_left, uce3180_left, uce4416_left                               
51     | GTR+G      | 701        | 2753314747e2b124f90f7ee71f9930b8 | uce805_right, uce1281_core, uce5053_core                                                            
52     | GTR+G      | 1796       | e7589104653675616bfbc63a63fc6354 | uce215_right, uce3573_left, uce2521_left, uce298_left, uce6807_left, uce2122_left, uce3198_left, uce6608_right, uce4335_core, uce1281_right, uce4227_right, uce2142_right
53     | GTR+G      | 100        | 5179beb333664d5a23e95aa4db9a44e8 | uce422_core, uce1309_left                                                                           
