INFO     | 2016-12-13 21:57:08,060 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-12-13 21:57:08,074 | config     | Setting 'alignment' to 'Moyle_2016.phy'
INFO     | 2016-12-13 21:57:08,075 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-12-13 21:57:08,075 | parser     | You set 'models' to: GTR+G
INFO     | 2016-12-13 21:57:08,082 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2016-12-13 21:57:08,082 | model_load | GTR+G
INFO     | 2016-12-13 21:57:08,082 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2016-12-13 21:57:38,769 | config     | Setting 'search' to 'rclusterf'
INFO     | 2016-12-13 21:57:38,770 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-12-13 21:57:38,770 | config     | Looking for alignment file './Moyle_2016.phy'...
INFO     | 2016-12-13 21:57:38,770 | analysis   | Beginning Analysis
INFO     | 2016-12-13 21:57:39,216 | alignment  | Reading alignment file './Moyle_2016.phy'
INFO     | 2016-12-13 21:57:40,170 | analysis   | Starting tree will be estimated from the data.
INFO     | 2016-12-13 21:57:40,170 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2016-12-13 21:57:51,422 | raxml      | Topology estimation finished
INFO     | 2016-12-13 21:57:51,422 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2016-12-13 22:10:29,109 | raxml      | Branchlength estimation finished
INFO     | 2016-12-13 22:10:29,120 | analysis_m | Performing relaxed clustering analysis
INFO     | 2016-12-13 22:10:29,121 | analysis_m |    Set rcluster-max to 8910
INFO     | 2016-12-13 22:10:29,126 | analysis_m |    PartitionFinder will have to analyse 769471 subsets to complete this analyses
WARNING  | 2016-12-13 22:10:29,127 | progress   |    769471 is a lot of subsets, this might take a long time to analyse. Perhaps consider using a different search scheme instead (see the Manual)
INFO     | 2016-12-13 22:10:29,127 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2016-12-13 22:10:44,098 | progress   |       Finished subset 1/891, 0.11 percent done
INFO     | 2016-12-13 22:10:44,409 | progress   |       Finished subset 2/891, 0.22 percent done
INFO     | 2016-12-13 22:10:44,698 | progress   |       Finished subset 3/891, 0.34 percent done
INFO     | 2016-12-13 22:10:44,862 | progress   |       Finished subset 4/891, 0.45 percent done
INFO     | 2016-12-13 22:10:45,032 | progress   |       Finished subset 5/891, 0.56 percent done
INFO     | 2016-12-13 22:10:45,194 | progress   |       Finished subset 6/891, 0.67 percent done
INFO     | 2016-12-13 22:10:45,361 | progress   |       Finished subset 7/891, 0.79 percent done
INFO     | 2016-12-13 22:10:45,570 | progress   |       Finished subset 8/891, 0.90 percent done
INFO     | 2016-12-13 22:10:45,725 | progress   |       Finished subset 9/891, 1.01 percent done
INFO     | 2016-12-13 22:10:46,002 | progress   |       Finished subset 10/891, 1.12 percent done
INFO     | 2016-12-13 22:10:46,179 | progress   |       Finished subset 11/891, 1.23 percent done
INFO     | 2016-12-13 22:10:46,411 | progress   |       Finished subset 12/891, 1.35 percent done
INFO     | 2016-12-13 22:10:46,609 | progress   |       Finished subset 13/891, 1.46 percent done
INFO     | 2016-12-13 22:10:46,818 | progress   |       Finished subset 14/891, 1.57 percent done
INFO     | 2016-12-13 22:10:47,123 | progress   |       Finished subset 15/891, 1.68 percent done
INFO     | 2016-12-13 22:10:47,414 | progress   |       Finished subset 16/891, 1.80 percent done
INFO     | 2016-12-13 22:10:47,769 | progress   |       Finished subset 17/891, 1.91 percent done
