Settings used

alignment         : ./Moyle_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 5150


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -2964616.25
Scheme AICc       : 5935114.26265
Number of params  : 2918
Number of sites   : 375172
Number of subsets : 271

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1311       | c6f179c9dfb63c6320f47a903ff0cb0a | uce6636, uce1008                                                                                    
2      | GTR+G      | 3103       | c0edaa722d4ebe4436ab3c26d4fa4c33 | uce1012, uce4586, uce958, uce1660                                                                   
3      | GTR+G      | 1624       | 76fd78f665f6b1ec576a9382cc2e563f | uce1048, uce949                                                                                     
4      | GTR+G      | 2209       | 91c42c98cb49d5e533d4da1b4c0783d7 | uce1052, uce149, uce3                                                                               
5      | GTR+G      | 1549       | 7b7fc71a0d1d0efbd0b08f582937be8d | uce1092, uce2647                                                                                    
6      | GTR+G      | 1521       | 18fe2fdcb7132fac10502383d247166e | uce1094, uce772                                                                                     
7      | GTR+G      | 4461       | b641be5b6836802d726a8557373c1148 | uce1123, uce3198, uce1644, uce1232, uce3072, uce7527                                                
8      | GTR+G      | 2463       | d2625a0c428ad9338c4dcbeab5b841aa | uce1127, uce598, uce4416                                                                            
9      | GTR+G      | 1528       | a8abea62ad76d6fe9def1c0182e8d297 | uce1135, uce3586                                                                                    
10     | GTR+G      | 1413       | 3313edcc24f11d6036c14c8228de83e0 | uce5215, uce114                                                                                     
11     | GTR+G      | 2613       | cd95923cde7c607469bc63ea9aa3e19a | uce1154, uce3336, uce1591, uce1884                                                                  
12     | GTR+G      | 2036       | 0693bb114b4bfa8f0b6a3e44426a2cda | uce1202, uce7494, uce337                                                                            
13     | GTR+G      | 1305       | ad118ade43f35218e77f35ee1733826d | uce1209, uce2283                                                                                    
14     | GTR+G      | 644        | fd824f40fb62acc6c63e9efb3a1b3e10 | uce1217                                                                                             
15     | GTR+G      | 565        | 5f331d3d0afde1492c628fc365958f5d | uce1271                                                                                             
16     | GTR+G      | 1833       | 29930c1af47fc0cc86439afc6d8bc9db | uce3096, uce1278                                                                                    
17     | GTR+G      | 4546       | 0dfd0f38017c9c047e3cfda9e7105d9d | uce1281, uce6569, uce5994, uce1357, uce2591, uce5412                                                
18     | GTR+G      | 1670       | b5d1ab469cf4331e2a034559613714e2 | uce1309, uce422                                                                                     
19     | GTR+G      | 667        | 2f85c756f6448d4507ae281aace036b0 | uce1314                                                                                             
