Settings used

alignment         : ./Prebus_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 62940


Best partitioning scheme

Scheme Name       : step_18
Scheme lnL        : -9871862.20129
Scheme AICc       : 19766846.3396
Number of params  : 11476
Number of sites   : 1561581
Number of subsets : 1138

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 110        | c2f92bb33b761bb19bd0f433fc5a1576 | uce1_left, uce46_right                                                                              
2      | GTR+G      | 3573       | 9fa3cf8eb6e79f9a0e6c761c75c7ef1b | uce233_core, uce865_core, uce325_core, uce1999_left, uce1_core, uce1142_core, uce650_right          
3      | GTR+G      | 798        | 5c32776ddfb7ed5d2a0c9f1950d6c0c5 | uce1_right, uce1178_right                                                                           
4      | GTR+G      | 2788       | 74e09ec875e214b78d3d38939f088a67 | uce651_right, uce1645_right, uce765_right, uce1170_right, uce1218_right, uce275_right, uce1323_left, uce2_left, uce1433_left, uce115_right
5      | GTR+G      | 2850       | b02e5da069ee3800b5d73367abde8dcf | uce1319_core, uce7_core, uce1393_left, uce467_core, uce822_core, uce644_core, uce736_core, uce1259_core, uce2_core, uce1099_core
6      | GTR+G      | 2028       | 36a218b002d0442ae8031f9b914e6c3d | uce292_right, uce1140_left, uce1449_left, uce2_right, uce1430_right, uce326_right, uce600_left, uce699_right
7      | GTR+G      | 168        | 70de03d8e5b4f3dc33189f28fc1eb149 | uce691_left, uce3_left                                                                              
8      | GTR+G      | 2724       | 2478fd1bbe1a59bbf6f8f4cfc03a467d | uce98_core, uce1965_core, uce2055_right, uce3_core, uce172_core, uce1968_core                       
9      | GTR+G      | 2687       | ecf83ccae87b7312913ebc3a3b6887bf | uce1964_right, uce978_left, uce287_left, uce738_left, uce1603_left, uce739_left, uce1028_left, uce961_right, uce737_left, uce737_right, uce1967_left, uce1812_right, uce3_right, uce1231_left, uce440_left, uce1229_right
10     | GTR+G      | 106        | 3f3318d2982e16fabfe1f9c98e17f403 | uce4_left, uce2022_left                                                                             
11     | GTR+G      | 2470       | 5cfd5594e8075bf8c41fcc1c36d83d34 | uce485_core, uce706_core, uce1114_left, uce219_core, uce714_core, uce4_core, uce1773_core           
12     | GTR+G      | 1847       | 8bff9c326201a6f73d43874d96699dba | uce1288_left, uce4_right, uce144_left, uce1101_left, uce284_right, uce1464_left                     
13     | GTR+G      | 2160       | 89c686c0f07d5ae25eabcf675cef367c | uce539_left, uce254_right, uce5_left, uce263_core                                                   
14     | GTR+G      | 1537       | ce0506509a15161be3fa6e2ae77cdb72 | uce1044_right, uce5_core, uce1451_right, uce138_core, uce1676_core, uce575_core, uce1395_core, uce1428_right, uce596_core
15     | GTR+G      | 557        | 6cccceb172ba9df1fda696aa7f2ce303 | uce1059_right, uce215_right, uce5_right, uce1287_right                                              
16     | GTR+G      | 1397       | 5d6b9113b25fdb704e03bc6f270ee9d7 | uce768_right, uce819_left, uce1462_left, uce1234_right, uce6_left, uce1450_right, uce1587_right     
17     | GTR+G      | 2873       | 976057c16f758937078ae74bc9492b69 | uce1045_core, uce212_left, uce6_core, uce1455_core, uce394_right, uce1448_core, uce1679_core, uce352_core
18     | GTR+G      | 497        | 13ed0daa744c38c687c9d461e5182cf2 | uce933_left, uce6_right                                                                             
19     | GTR+G      | 635        | 5624d38b8f8ce04f8a80abaca449e21e | uce626_left, uce261_left, uce7_left, uce1344_left                                                   
20     | GTR+G      | 689        | 3d0b7914b309162b156916f064735882 | uce7_right, uce978_right, uce1445_left, uce571_right                                                
