Settings used

alignment         : ./Prebus_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 20980


Best partitioning scheme

Scheme Name       : step_16
Scheme lnL        : -10072610.7144
Scheme AICc       : 20161619.0827
Number of params  : 8156
Number of sites   : 1561581
Number of subsets : 806

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1619       | a287a90538c39d70369420fb43d71a84 | uce1358, uce1                                                                                       
2      | GTR+G      | 4085       | 11c611098781797033928e49e57e93cb | uce520, uce240, uce200, uce2, uce296                                                                
3      | GTR+G      | 1523       | fb01d3a636ee33a743d8aec8345c5533 | uce3, uce1129                                                                                       
4      | GTR+G      | 4481       | 99ac9ba703cf25fcbcb876ac11fdbcab | uce4, uce890, uce807, uce847, uce1131, uce919                                                       
5      | GTR+G      | 2943       | ea2462f2fa78a199aa7e35b85a141375 | uce539, uce5, uce1247                                                                               
6      | GTR+G      | 791        | 0de6bf41db1640d1a24a79ad62f3f46f | uce6                                                                                                
7      | GTR+G      | 2858       | 21671352576545e2ed9a0b33ce950ec2 | uce452, uce7, uce591, uce557                                                                        
8      | GTR+G      | 1474       | f0f3f7f98f7a4061c145f8376c2c039c | uce403, uce8, uce1802                                                                               
9      | GTR+G      | 894        | 6096f4fb48899a3034a58715315aab6d | uce9                                                                                                
10     | GTR+G      | 703        | e739b37aa085fab63ea14399ccd975e8 | uce10                                                                                               
11     | GTR+G      | 1824       | 8ad32c9bfbbcdeea7a3ac5e63ac9675f | uce1385, uce11                                                                                      
12     | GTR+G      | 1720       | a3e3e139aab8822c33780fbfd6743a18 | uce97, uce12, uce1041                                                                               
13     | GTR+G      | 2109       | c3cf1c039f6acfd03c485fb99b7900be | uce1101, uce222, uce294, uce13, uce648                                                              
14     | GTR+G      | 2896       | cc63bca3e1485986c68fdba8520b1425 | uce14, uce563, uce1166, uce797                                                                      
15     | GTR+G      | 3534       | 0f079b8ae0f7850a2216fc33dd78848f | uce1211, uce530, uce15, uce1270, uce1863                                                            
16     | GTR+G      | 1543       | cb4eea1827a618be37b2db5e48137c7d | uce150, uce16                                                                                       
17     | GTR+G      | 3003       | 9ac131842671eb90ce2e9717763d2c6e | uce858, uce17, uce1760, uce1411                                                                     
18     | GTR+G      | 3030       | 3bcd43319c4b726b4b35b098e6de166b | uce18, uce185, uce1739                                                                              
19     | GTR+G      | 2570       | 330edebf73695d7363c91e444af2d13f | uce1319, uce19, uce1435                                                                             
20     | GTR+G      | 3371       | 2069f919e38469de4217a177404e42c5 | uce1264, uce1482, uce20, uce1311                                                                    
21     | GTR+G      | 2065       | 089e0655059054abba25afd9387e1fad | uce21, uce345                                                                                       
22     | GTR+G      | 664        | b1834813ae02f13985f8d098f910780b | uce22                                                                                               
23     | GTR+G      | 1893       | 027a6595cd27ed1bd2aded395d8de246 | uce1392, uce23                                                                                      
24     | GTR+G      | 1954       | 899fb031a13bf96d1adcea7c7a284f56 | uce631, uce24                                                                                       
25     | GTR+G      | 1719       | bd53d17b01c800e0bec897d3ade1d9a7 | uce1067, uce25                                                                                      
26     | GTR+G      | 1514       | c086016e0804bebc81312622f809621b | uce1333, uce26                                                                                      
27     | GTR+G      | 3146       | 49b802545e495b8ba451998c2029501e | uce798, uce27, uce372, uce885                                                                       
28     | GTR+G      | 2954       | 32b5d8e5fd15ed476a5f0f900e05acfd | uce518, uce279, uce632, uce28                                                                       
29     | GTR+G      | 1536       | d30480ea005359e47ce3b0e0a31177a9 | uce29, uce976, uce2097                                                                              
30     | GTR+G      | 1988       | 5fb65d8790d49b3c0485567bf033ce18 | uce1464, uce30                                                                                      
31     | GTR+G      | 2268       | 4c2e07e69f2c96f29f65941a8e5fd449 | uce31, uce925, uce1542                                                                              
32     | GTR+G      | 3620       | 55d5ec7ff82e1122f4113c58cf3a9da3 | uce1118, uce1724, uce172, uce1598, uce32                                                            
33     | GTR+G      | 1682       | 956bcd42606c40e82c467a6bf6259cd6 | uce33, uce58, uce1883                                                                               
34     | GTR+G      | 4040       | ab33a51a7fa801474353fc8cfc7780c6 | uce1755, uce1660, uce674, uce836, uce262, uce34                                                     
35     | GTR+G      | 2811       | d4413dd0127807532d2f4f41172ebc59 | uce1995, uce35, uce1597                                                                             
36     | GTR+G      | 3795       | 937f1be61166706e3df2f558d13f6ef3 | uce36, uce405, uce1900, uce1849, uce621                                                             
37     | GTR+G      | 4988       | 3a1854cba4ca94ff5b32521f461342d5 | uce614, uce940, uce208, uce427, uce37, uce498                                                       
38     | GTR+G      | 6137       | e379b5be7a7add8b82934c54dfc727cc | uce1614, uce38, uce989, uce277, uce1339, uce459, uce789, uce970                                     
39     | GTR+G      | 3502       | a19ea3c26c088bfe45fa7435cfc034c5 | uce225, uce1266, uce1055, uce39                                                                     
40     | GTR+G      | 5972       | 2cce628e4e68b521c166112bdbb264dd | uce1230, uce396, uce40, uce440, uce1458, uce1557, uce2068, uce1461                                  
41     | GTR+G      | 5014       | c95024898b064f46d9c5eeb5e83b1b2e | uce1277, uce1033, uce1251, uce41, uce819                                                            
42     | GTR+G      | 3636       | 814e959701ec75067a99b0367e60d3b5 | uce42, uce1324, uce1977, uce1699                                                                    
43     | GTR+G      | 2370       | a3cca3412f7f9494f8d3151f44b98aa3 | uce1269, uce43, uce1010                                                                             
44     | GTR+G      | 3687       | 646ed108ef874bbd3bcdee77564ddb01 | uce1229, uce44, uce454, uce1106, uce765                                                             
45     | GTR+G      | 4803       | ae27bcae3209398d2cba04453343f166 | uce1804, uce1813, uce1144, uce47, uce76, uce45                                                      
46     | GTR+G      | 1064       | 8a9b7273a737805150de175054b9ebdf | uce2056, uce46                                                                                      
47     | GTR+G      | 5036       | ca820dcbd6faae1390fb4b8fc3a3754f | uce1516, uce1757, uce1994, uce1846, uce1713, uce48                                                  
48     | GTR+G      | 5300       | 080828a28472efab92224caafd6fbd26 | uce687, uce1925, uce691, uce651, uce1763, uce49                                                     
49     | GTR+G      | 2125       | 10da99f0ece681006077764854f38494 | uce1243, uce50, uce269                                                                              
50     | GTR+G      | 2492       | 1a333a16d5d2f0a45aa0284ae1563558 | uce615, uce772, uce1903, uce1992, uce51                                                             
51     | GTR+G      | 372        | 2df1da35c7be0cfc4df5efe736c6bc14 | uce52                                                                                               
52     | GTR+G      | 730        | 66af0f7bebf08f0d36424d66bc0c691a | uce53                                                                                               
53     | GTR+G      | 4474       | 224a9be6c4d100020406d3cbaf262bc1 | uce275, uce1805, uce54, uce1049, uce204, uce146                                                     
54     | GTR+G      | 2645       | c767b263b03c4db9379e5ab9df2279dc | uce1750, uce1583, uce871, uce55                                                                     
55     | GTR+G      | 3658       | 0afe0452b7456f1d7b459b295936b7f0 | uce1446, uce1912, uce1123, uce56, uce493                                                            
56     | GTR+G      | 1672       | 0a44a6d423a261c7c6ddbd4dd5f8f4e9 | uce57, uce567                                                                                       
57     | GTR+G      | 813        | 0323e99ec674abc760a97c82af4dbab6 | uce59                                                                                               
58     | GTR+G      | 1648       | 4c15aa757f6554394024941919c75998 | uce821, uce60                                                                                       
59     | GTR+G      | 4664       | 369693c936a4be1b6e9f869f51e48f95 | uce259, uce61, uce1064, uce1444, uce1445, uce744, uce324                                            
60     | GTR+G      | 2994       | 7318aafe23831211e3934111f9c33c39 | uce2048, uce1841, uce62, uce1833                                                                    
61     | GTR+G      | 1925       | aa99ccf4a888c15b2ac83cded0064bf5 | uce63, uce1354                                                                                      
62     | GTR+G      | 3278       | b195e119db06245346f92b5e91c0f317 | uce709, uce64, uce1438, uce571                                                                      
63     | GTR+G      | 396        | d684ec354e3b9a1699e066a290ce8cdd | uce65                                                                                               
64     | GTR+G      | 3296       | 809ed53304ba8a66a0f3e0db4ba07b5e | uce451, uce706, uce1982, uce66, uce808                                                              
65     | GTR+G      | 2339       | 625fab425ed13720007e84ec7e3a54ac | uce67, uce331, uce431                                                                               
66     | GTR+G      | 1601       | c9d096661e09260cf8202673e4b248c4 | uce1808, uce68                                                                                      
67     | GTR+G      | 3705       | a731a06129ab23952ae3a898ae26f210 | uce865, uce588, uce69, uce288                                                                       
68     | GTR+G      | 3640       | 9fd09bdbfb141601b32c193285398d49 | uce1795, uce70, uce686, uce1286, uce2085                                                            
69     | GTR+G      | 528        | bb713eb823d3fc1a1b5c25b4c313cd7a | uce71                                                                                               
70     | GTR+G      | 594        | 547d531e325da7d4e2de78df292e3cb5 | uce72                                                                                               
71     | GTR+G      | 2981       | 34a5334bc074ac555d12534e5dcab256 | uce1901, uce73, uce394                                                                              
72     | GTR+G      | 1257       | 26d3fbd9b9c169c5b80bacb9e700e6e1 | uce74, uce416                                                                                       
73     | GTR+G      | 4035       | 836a57d96b6cbced26ed5718694d75ce | uce1205, uce488, uce900, uce75, uce1652                                                             
74     | GTR+G      | 5989       | 88217adaa71bcf9c395ef1ef512c9d3f | uce1146, uce1510, uce659, uce619, uce401, uce77, uce676                                             
75     | GTR+G      | 4356       | b408d1d868583ca188b3919a9f6ff06a | uce580, uce592, uce156, uce78, uce967                                                               
76     | GTR+G      | 956        | 2775075fa7144ad9e878db2d1e9cb2d4 | uce79                                                                                               
77     | GTR+G      | 1483       | 096e81759e392375f683f0d39cd01660 | uce80, uce1389                                                                                      
78     | GTR+G      | 2383       | 7d84079c8a6a926a5ddcb7b6672f8408 | uce601, uce81, uce1366                                                                              
79     | GTR+G      | 1032       | 864ebece22175b7f3f751fcaf787a55d | uce241, uce82, uce1442                                                                              
80     | GTR+G      | 5596       | c1f981500d44b0e4320c6660bb34cf16 | uce83, uce1048, uce1202, uce1553, uce681, uce1728                                                   
81     | GTR+G      | 4042       | a8a5b2e42d1e108fb1eb61a39f56e8cf | uce84, uce1581, uce1798, uce713, uce1794                                                            
82     | GTR+G      | 4131       | 7ea83bec76e774baf117e0622ce5116e | uce1821, uce160, uce1590, uce85, uce914, uce1799                                                    
83     | GTR+G      | 921        | 930f31ac4dde72ce06d95c3387b9eda6 | uce86                                                                                               
84     | GTR+G      | 2666       | 72f4ab7a7f776608185c99bcfa0c5a08 | uce87, uce1169, uce1063, uce194                                                                     
85     | GTR+G      | 2041       | a5facb7b87aa04ba6e2319658e87f0da | uce88, uce1651                                                                                      
86     | GTR+G      | 754        | 1ee8fd16d018bbc3deb832ad22795d1f | uce89                                                                                               
87     | GTR+G      | 4370       | 26b5e97f82f2f86214575486242a61ee | uce1148, uce90, uce638, uce2086, uce535                                                             
88     | GTR+G      | 3996       | fc2fce2b45dd629fb2fbc8a00aae208c | uce1397, uce1372, uce1141, uce1293, uce91                                                           
89     | GTR+G      | 2498       | 264144df0f003e8db4a5fd08ffd2fef3 | uce950, uce1962, uce1871, uce92, uce1517                                                            
90     | GTR+G      | 347        | 9e4c3c061a5d3b00dfd035fe1e2ebe30 | uce93                                                                                               
91     | GTR+G      | 2654       | 1a5e48a7e2d49578365861a4332706f1 | uce94, uce1066, uce763                                                                              
92     | GTR+G      | 2205       | 1a6bb88b60859fdc736921a33fe112a2 | uce95, uce1489, uce1334                                                                             
93     | GTR+G      | 2635       | 983d3ceab53626b2f8acc15988ea28da | uce1413, uce1254, uce96                                                                             
94     | GTR+G      | 1687       | 93194804303bb629470919945ead725e | uce425, uce98                                                                                       
