Settings used

alignment         : ./Branstetter_2017-permut-21.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 22510


Best partitioning scheme

Scheme Name       : step_13
Scheme lnL        : -8776285.70398
Scheme AICc       : 17568645.0694
Number of params  : 7700
Number of sites   : 183747
Number of subsets : 733

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 205        | c25945591e6428e14e7ea9ef57a9a767 | uce_816_left, uce_240_core, uce_10_left                                                             
2      | GTR+G      | 429        | 69cf85e27511cb8c8b28a004b5f07b2d | uce_10_core, uce_1246_all, uce_876_left, uce_1069_core, uce_258_right                               
3      | GTR+G      | 336        | 87535cd12ee9b8a57f1dec520d283df9 | uce_1292_core, uce_10_right, uce_1038_right, uce_613_core, uce_1131_core, uce_851_left              
4      | GTR+G      | 208        | 0d24c8f2fe511f32b6f60bfb8c08e48b | uce_520_left, uce_82_right, uce_100_left                                                            
5      | GTR+G      | 1076       | d37f2f4249aface472ce97fe739d1f7f | uce_221_core, uce_291_core, uce_275_right, uce_1177_left, uce_100_core, uce_1423_core, uce_160_all, uce_789_right, uce_1020_right, uce_196_left, uce_6_core
6      | GTR+G      | 201        | e9929adc85680d9fb3277278fcfb5d59 | uce_100_right, uce_17_core, uce_1114_left, uce_566_left                                             
7      | GTR+G      | 326        | 7b834ee12db5c44fb7fbbe83fd72a7f3 | uce_858_left, uce_292_left, uce_1373_core, uce_1004_left, uce_824_left                              
8      | GTR+G      | 458        | 773a4e00802be421609e87e4f577b85c | uce_852_right, uce_1416_left, uce_370_left, uce_1004_core                                           
9      | GTR+G      | 50         | b1b1000a26c12aab97ccfc58164b2a49 | uce_1004_right                                                                                      
10     | GTR+G      | 328        | 6630b046406a34815c7b7ba279391588 | uce_689_core, uce_1031_right, uce_1006_left, uce_741_right                                          
11     | GTR+G      | 54         | 98261a7744edc1719c1445d9c3073307 | uce_1006_core                                                                                       
12     | GTR+G      | 434        | ee5961de8ce5dcf30bff39b5adbafd41 | uce_1391_left, uce_1006_right, uce_821_core, uce_1139_right, uce_401_left, uce_159_core             
13     | GTR+G      | 1099       | 9b748f1a71b9da43405d8d5e5a910ba3 | uce_23_left, uce_882_left, uce_1368_left, uce_819_core, uce_1119_left, uce_408_core, uce_1140_left, uce_688_left, uce_123_right, uce_553_left, uce_1214_core, uce_1007_left, uce_518_core
14     | GTR+G      | 212        | a6527d004f821038d8ea370dc7bc4ee8 | uce_1007_core, uce_620_left                                                                         
15     | GTR+G      | 630        | ee69e62335a480b7e280b82baaf5da78 | uce_898_right, uce_574_core, uce_1007_right, uce_132_left, uce_1190_core, uce_39_right, uce_1291_right
16     | GTR+G      | 127        | 5c7f470d14f05d4714ad4dcaa16fe3ef | uce_689_right, uce_1008_left                                                                        
17     | GTR+G      | 138        | 3456eb996dbee37183bf3ea63a3146d9 | uce_1008_core                                                                                       
18     | GTR+G      | 187        | e769a61461357f051d7f0dfddba2a59b | uce_1008_right, uce_1133_left                                                                       
19     | GTR+G      | 752        | 9e63c27ac6239a0e5be21d9fcfb6c3e0 | uce_1237_left, uce_898_left, uce_947_core, uce_975_core, uce_1112_left, uce_1190_right, uce_1010_left
20     | GTR+G      | 150        | 941cef6c826705cb27960e4522b84608 | uce_1010_core, uce_1177_core                                                                        
21     | GTR+G      | 243        | 01d7c788343fc85b37bf2b903612a1dd | uce_1178_all, uce_616_core, uce_1010_right                                                          
22     | GTR+G      | 369        | c770eecccffd3d783ca59b915d463fb2 | uce_1497_core, uce_46_right, uce_695_left, uce_1011_left, uce_674_core                              
23     | GTR+G      | 130        | f0c53242f037c09b56265a1ef9606e87 | uce_240_left, uce_1011_core                                                                         
24     | GTR+G      | 157        | 7499d27085757d1918abbd55a855e913 | uce_599_left, uce_589_left, uce_1011_right                                                          
25     | GTR+G      | 409        | daa22308a280794f61616f2fa50df3fc | uce_568_right, uce_1012_left, uce_516_core, uce_596_left                                            
26     | GTR+G      | 549        | bf9b2ccc9714617da56f70666817e011 | uce_1012_core, uce_654_core, uce_923_core, uce_305_core                                             
27     | GTR+G      | 276        | 60254be51a188d0e42a92364c93d0656 | uce_212_left, uce_275_core, uce_1012_right                                                          
28     | GTR+G      | 182        | c2c1aa917f1e1115ce05649d3e5d293f | uce_1013_left, uce_706_right                                                                        
29     | GTR+G      | 233        | 359ed5da60b7e736e0ec190e0244cdd1 | uce_799_right, uce_1013_core, uce_87_core                                                           
30     | GTR+G      | 65         | fc686455c26ca6c19116c63d97335249 | uce_1013_right                                                                                      
31     | GTR+G      | 182        | ec829d90fe43eaf7fd9d326cc1cf0eec | uce_780_core, uce_1014_left, uce_979_core                                                           
32     | GTR+G      | 156        | 79355229feceb17165592ad37c875c67 | uce_1323_right, uce_1014_core                                                                       
33     | GTR+G      | 637        | 0fb5ca75870b8f0778345236cc428952 | uce_1218_all, uce_1014_right, uce_82_core, uce_1303_all                                             
34     | GTR+G      | 587        | 6c3da1a83c906d936304543992d80c1b | uce_1497_left, uce_991_left, uce_1055_right, uce_1015_left, uce_950_right, uce_1446_left            
35     | GTR+G      | 65         | 9198b1cecd038fc596c18e184ab883cf | uce_1015_core                                                                                       
36     | GTR+G      | 262        | d72a465839187f7ca2ea35cb9593ce8b | uce_1015_right, uce_859_right, uce_86_left                                                          
37     | GTR+G      | 634        | d8a17390cd0723782cabda96366baaf8 | uce_699_right, uce_1016_left, uce_630_core, uce_1096_all, uce_560_left, uce_613_right, uce_332_all  
38     | GTR+G      | 372        | 3a1e788b174f4aa96650de0ad90baa35 | uce_1016_core, uce_1496_core, uce_1259_left, uce_901_right, uce_1384_core                           
39     | GTR+G      | 931        | 85e3fb40b205132f7e8301865abb2f85 | uce_537_core, uce_662_core, uce_306_right, uce_554_core, uce_1094_right, uce_706_core, uce_1016_right, uce_983_core
40     | GTR+G      | 230        | 9da346d958259ef064d0a19d88f7b742 | uce_390_right, uce_1019_left                                                                        
41     | GTR+G      | 84         | c56f0256a390707030550d1106864d1d | uce_1019_core                                                                                       
42     | GTR+G      | 233        | 1a38f2af64931fb15864947b54876cb2 | uce_1019_right, uce_781_left, uce_1208_right                                                        
