Settings used

alignment         : ./Harrington_2016-permut-12.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_7
Scheme lnL        : -1892783.38786
Scheme AICc       : 3793510.71773
Number of params  : 3906
Number of sites   : 235232
Number of subsets : 380

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 686        | 67a36bb83af0808b05220e3681b927e7 | uce_1311_right, uce_1001_left, uce_192_left, uce_190_right, uce_1157_left, uce_386_core, uce_11_core, uce_1182_right, uce_1085_left
2      | GTR+G      | 838        | 488edebbfdfcb2d7ca5c48df762973cf | uce_188_core, uce_345_right, uce_908_core, uce_1001_core, uce_1079_right, uce_1157_core             
3      | GTR+G      | 1477       | 812a1b675b560d7d40786d86c12cb2e6 | uce_449_core, uce_596_right, uce_550_left, uce_414_core, uce_151_left, uce_1301_core, uce_1004_right, uce_1001_right, uce_578_core, uce_596_left
4      | GTR+G      | 326        | 20a30b4a4dcb3f613fe813253ca9d929 | uce_617_left, uce_1002_left, uce_688_core, uce_871_core                                             
5      | GTR+G      | 432        | a074288480e6dcf7ae493d3fb533bf91 | uce_553_right, uce_1002_core, uce_1293_left, uce_1004_left, uce_749_left, uce_608_right             
6      | GTR+G      | 427        | c02bf960bf855cddae45a3ce2ce92517 | uce_1002_right, uce_1337_core, uce_1028_left, uce_608_left, uce_67_right, uce_605_right, uce_573_left
7      | GTR+G      | 904        | e1ea0c5ab96b59090a203af4e837f51f | uce_959_right, uce_976_left, uce_1004_core, uce_225_core, uce_949_left, uce_857_left                
8      | GTR+G      | 305        | e8484e18119297abe92aed6c23736587 | uce_650_right, uce_951_right, uce_860_right, uce_1005_left, uce_1165_right                          
9      | GTR+G      | 869        | f3bdefdfc6277d5dbd06350cd40a0a22 | uce_164_core, uce_1005_core, uce_205_core, uce_297_core                                             
10     | GTR+G      | 840        | 6c1ca591f710cd4a01b0486005ee84fb | uce_705_right, uce_1285_left, uce_1005_right, uce_26_core                                           
