Settings used

alignment         : ./Harrington_2016-permut-17.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17880


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1887632.81857
Scheme AICc       : 3783623.56114
Number of params  : 4106
Number of sites   : 235232
Number of subsets : 400

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1807       | ffd0542c2fd751a042157245ee954600 | uce_675_core, uce_791_left, uce_46_left, uce_368_left, uce_695_right, uce_246_left, uce_549_left, uce_706_right, uce_86_right, uce_392_core, uce_108_left
2      | GTR+G      | 1796       | 7090d161e06ee46876cece435e715d12 | uce_795_right, uce_1082_left, uce_1102_core, uce_713_right, uce_713_core, uce_1293_core, uce_549_right, uce_6_core, uce_46_core, uce_362_right, uce_526_right
3      | GTR+G      | 361        | 8678a0f58f617841872947fa5e61aab4 | uce_640_right, uce_46_right, uce_1001_core                                                          
4      | GTR+G      | 408        | 99ffab44c2eb7fc6dd76de7fa768ebb9 | uce_796_core, uce_1195_right, uce_804_core, uce_478_left, uce_1195_left                             
5      | GTR+G      | 1154       | b6b018491a4117ab5f0316ab42f0be3d | uce_161_left, uce_788_right, uce_726_core, uce_1022_left, uce_485_left, uce_502_left, uce_252_left, uce_577_core, uce_1195_core
6      | GTR+G      | 580        | ee7f42f180d1300de3dada16994b8e49 | uce_593_core, uce_1196_left, uce_772_core, uce_84_right, uce_1287_left, uce_450_core, uce_442_core  
7      | GTR+G      | 563        | 2424c8a967a7364507e0d0efe1b28f74 | uce_151_right, uce_1196_core, uce_1092_left, uce_418_left                                           
8      | GTR+G      | 1223       | fa057e214b895f80d978f427379988fc | uce_1126_core, uce_1196_right, uce_323_right, uce_476_core, uce_917_right, uce_700_core, uce_550_right, uce_1336_core
9      | GTR+G      | 776        | 86ec65ccab5978e52c9eac26222e9aa7 | uce_433_left, uce_587_left, uce_327_right, uce_757_core                                             
10     | GTR+G      | 2250       | 0839379be4b0f266e89cb560e0d47957 | uce_1139_core, uce_1009_core, uce_437_core, uce_1034_core, uce_587_core, uce_1027_core, uce_1095_right, uce_325_right, uce_1256_core, uce_131_right, uce_748_core, uce_27_left, uce_1287_core, uce_609_left, uce_1171_left, uce_1279_right
11     | GTR+G      | 506        | 2e41a90f72544def8976f3304b7fe951 | uce_763_left, uce_268_left, uce_587_right, uce_1267_core, uce_314_left                              
12     | GTR+G      | 613        | f883a182f283fa0828c1ea61297001ee | uce_1135_right, uce_165_left, uce_1135_left, uce_626_core, uce_185_left                             
13     | GTR+G      | 1010       | 883e31fe5907b4958d95bc6c2cb31b6f | uce_434_right, uce_1279_core, uce_1244_left, uce_105_core, uce_686_right, uce_465_core, uce_1051_core, uce_596_right, uce_165_core, uce_1199_left
14     | GTR+G      | 175        | d6dcd54be77349c64e26999e72bb66b6 | uce_618_right, uce_165_right                                                                        
15     | GTR+G      | 159        | 83439b1c8d2160d273b7d773df8c8da8 | uce_1199_core, uce_306_left                                                                         
16     | GTR+G      | 1781       | 815384c2858bdc587e62698864886cca | uce_1137_right, uce_710_left, uce_740_right, uce_844_left, uce_157_right, uce_1311_right, uce_593_right, uce_306_core, uce_174_left, uce_187_left, uce_853_right, uce_298_right, uce_370_left, uce_159_right
17     | GTR+G      | 722        | a70cfe0bfd149829d6f59a8b71dba67c | uce_1320_right, uce_471_left, uce_1296_core, uce_1168_left, uce_753_core, uce_434_core, uce_1220_core, uce_686_left, uce_306_right, uce_344_left
18     | GTR+G      | 1240       | 2595709519d4a04840d89393370f9dff | uce_1004_right, uce_1205_right, uce_116_left, uce_626_right, uce_1122_left, uce_886_core, uce_1136_core, uce_924_core, uce_313_core, uce_952_left, uce_972_right
19     | GTR+G      | 811        | b82a237c948d3b345c14e3ce1265d0f4 | uce_857_core, uce_1185_left, uce_1122_core, uce_1180_left, uce_448_right, uce_219_right, uce_414_core, uce_174_right
20     | GTR+G      | 744        | fd442cb405d7d46721448c18f654d864 | uce_799_core, uce_359_right, uce_553_left, uce_1122_right, uce_1018_left, uce_299_core, uce_1171_core, uce_648_right
21     | GTR+G      | 478        | b0e6391a6eb6d261f4e816221b65e84b | uce_61_left, uce_81_left, uce_24_left, uce_1080_left, uce_901_left, uce_1190_left                   
22     | GTR+G      | 235        | 4813c0b141a2344bef2ac95a027f7603 | uce_899_core, uce_541_core, uce_81_core, uce_259_core                                               
23     | GTR+G      | 1054       | 399abd6968bf6c263c6d45c39ec44f00 | uce_430_left, uce_81_right, uce_1095_left, uce_657_core, uce_578_left                               
24     | GTR+G      | 1033       | 7c4619acdbfce4a1b3b6ee0b23923bbb | uce_143_left, uce_1288_left, uce_175_right, uce_935_core, uce_67_right, uce_761_left                
25     | GTR+G      | 273        | cf975acceff0cc3d7ff9e1fd8a480201 | uce_1288_core, uce_143_core, uce_1214_right                                                         
26     | GTR+G      | 788        | 62e605d51256471b8c1d6c01142c7e10 | uce_795_core, uce_690_right, uce_143_right                                                          
27     | GTR+G      | 3064       | c0fb98e7a3175d037380fac944194bd7 | uce_485_core, uce_28_right, uce_420_left, uce_1135_core, uce_428_left, uce_1037_right, uce_1022_right, uce_247_core, uce_1148_right, uce_951_core, uce_374_left, uce_24_right, uce_129_left, uce_1184_left, uce_1182_core, uce_486_left, uce_19_right, uce_794_left, uce_836_right, uce_1004_core, uce_1137_core
28     | GTR+G      | 812        | 68af6bc674de6051630e1998d971ffce | uce_374_right, uce_442_left, uce_363_core, uce_485_right, uce_944_right, uce_1281_right, uce_154_right, uce_277_right
29     | GTR+G      | 345        | d94e0925fd1659e2a306e65ca9a398a6 | uce_1143_left                                                                                       
30     | GTR+G      | 50         | 7f6dfae8fde34af46ad89192a9462894 | uce_1143_core                                                                                       
31     | GTR+G      | 52         | 7a8c74d00508ea7126bed308ab566685 | uce_1143_right                                                                                      
32     | GTR+G      | 254        | 58531b934ae948c6ccd1bd3b273f95c2 | uce_657_left, uce_1317_left, uce_1186_left                                                          
33     | GTR+G      | 229        | 8d7a671c5d5492a8f7a6e4a88009def4 | uce_657_right, uce_3_right                                                                          
34     | GTR+G      | 916        | 2c4c76bab9fe6dc5cfc4caee1665b5ee | uce_714_left, uce_1260_core, uce_710_core, uce_858_right, uce_1028_core, uce_302_core, uce_951_left, uce_799_left, uce_996_left
35     | GTR+G      | 125        | 4a0cad69b5a93adb640188a5218d934b | uce_619_left, uce_714_core                                                                          
36     | GTR+G      | 479        | 2b50edf78f23cdec391d4f2cadae842f | uce_98_left, uce_714_right, uce_90_right, uce_872_right                                             
37     | GTR+G      | 802        | a03b892b7cfba2f3202343ed02e6093c | uce_951_right, uce_334_core, uce_1323_left, uce_1267_right, uce_225_right                           
38     | GTR+G      | 327        | 6d8f403e227af699436e195f728a5b6f | uce_1323_core, uce_739_core, uce_401_core, uce_132_left                                             
39     | GTR+G      | 1126       | e4e9dada0c9bbf995c600bd3708ca34b | uce_586_right, uce_755_core, uce_65_core, uce_556_right, uce_961_core, uce_1323_right, uce_79_right, uce_720_left, uce_1199_right, uce_1244_core
40     | GTR+G      | 108        | c93fad46d70b03cadafd43cfba645171 | uce_690_left, uce_200_core                                                                          
41     | GTR+G      | 2417       | 987ddbfd0062c626cf8a2988e7016531 | uce_690_core, uce_705_left, uce_1337_right, uce_649_right, uce_1123_left, uce_96_right, uce_472_right, uce_340_right, uce_69_core, uce_934_left, uce_1224_left, uce_786_core, uce_376_left, uce_199_right, uce_566_core, uce_909_right
42     | GTR+G      | 224        | 80ce0b5ec68a0d5123002dde3e09ee00 | uce_1185_core, uce_1112_core, uce_1190_core                                                         
43     | GTR+G      | 452        | 8e12098ceaa9806b3bf393d797577f04 | uce_297_right, uce_393_left, uce_1190_right                                                         
44     | GTR+G      | 71         | 82e612d9143578bb30e59de07bb9bcbb | uce_303_left                                                                                        
45     | GTR+G      | 469        | 619cc5897a57bb74a7c8af1b0811074c | uce_408_core, uce_303_core, uce_713_left, uce_351_core, uce_33_core, uce_21_core                    
46     | GTR+G      | 187        | 9cbe8c9020a34b70809d261c3553bf11 | uce_303_right                                                                                       
47     | GTR+G      | 403        | a54d220153fe6c06a3f66723ccde5e26 | uce_698_left, uce_1102_left, uce_1096_right, uce_229_core                                           
48     | GTR+G      | 551        | fac745fa3d904ece71ff595a8c25f61c | uce_1128_right, uce_1301_left, uce_255_right, uce_698_core, uce_84_core, uce_709_right, uce_54_core 
49     | GTR+G      | 1596       | 7dd112c9ebfba3930704a8be03eff210 | uce_268_right, uce_853_core, uce_107_right, uce_299_right, uce_698_right, uce_1279_left, uce_1121_left, uce_1142_core
