dataset,perm,number,method,tree,models,AICc,Subsets,Parameters,UCE-subsets,PF,note
Crawford_2012,empirical,,entropy,MP,GTR+G,2380958.418,452,4536,done,done,empirical
Crawford_2012,permut,0,entropy,MP,GTR+G,2442356.172,371,3726,done,done,simulated
Crawford_2012,permut,1,entropy,MP,GTR+G,2442400.146,375,3766,done,done,simulated
Crawford_2012,permut,2,entropy,MP,GTR+G,2442156.885,375,3766,done,done,simulated
Crawford_2012,permut,3,entropy,MP,GTR+G,2442373.697,363,3646,done,done,simulated
Crawford_2012,permut,4,entropy,MP,GTR+G,2442109.828,372,3736,done,done,simulated
Crawford_2012,permut,5,entropy,MP,GTR+G,2442905.555,372,3736,done,done,simulated
Crawford_2012,permut,6,entropy,MP,GTR+G,2442170.769,359,3606,done,done,simulated
Crawford_2012,permut,7,entropy,MP,GTR+G,2442339.688,349,3506,done,done,simulated
Crawford_2012,permut,8,entropy,MP,GTR+G,2442199.782,353,3546,done,done,simulated
Crawford_2012,permut,9,entropy,MP,GTR+G,2442335.782,352,3536,done,done,simulated
Crawford_2012,permut,10,entropy,MP,GTR+G,2442270.963,370,3716,done,done,simulated
Crawford_2012,permut,11,entropy,MP,GTR+G,2442329.469,355,3566,done,done,simulated
Crawford_2012,permut,12,entropy,MP,GTR+G,2442607,362,3636,done,done,simulated
Crawford_2012,permut,13,entropy,MP,GTR+G,2442424.734,359,3606,done,done,simulated
Crawford_2012,permut,14,entropy,MP,GTR+G,2442332.123,368,3696,done,done,simulated
Crawford_2012,permut,15,entropy,MP,GTR+G,2442578.964,368,3696,done,done,simulated
Crawford_2012,permut,16,entropy,MP,GTR+G,2442268.114,361,3626,done,done,simulated
Crawford_2012,permut,17,entropy,MP,GTR+G,2442568.476,362,3636,done,done,simulated
Crawford_2012,permut,18,entropy,MP,GTR+G,2442152.465,363,3646,done,done,simulated
Crawford_2012,permut,19,entropy,MP,GTR+G,2442220.248,355,3566,done,done,simulated
Crawford_2012,permut,20,entropy,MP,GTR+G,2442460.55,362,3636,done,done,simulated
Crawford_2012,permut,21,entropy,MP,GTR+G,2442696.926,363,3646,done,done,simulated
Crawford_2012,permut,22,entropy,MP,GTR+G,2442417.725,356,3576,done,done,simulated
Crawford_2012,permut,23,entropy,MP,GTR+G,2442182.721,359,3606,done,done,simulated
Crawford_2012,permut,24,entropy,MP,GTR+G,2442494.144,357,3586,done,done,simulated
Harrington_2016,empirical,,entropy,MP,GTR+G,3687954.464,493,5036,done,done,empirical
Harrington_2016,permut,0,entropy,MP,GTR+G,3783511.896,382,3926,done,done,simulated
Harrington_2016,permut,1,entropy,MP,GTR+G,3783646.283,388,3986,done,done,simulated
Harrington_2016,permut,2,entropy,MP,GTR+G,3783737.657,381,3916,done,done,simulated
Harrington_2016,permut,3,entropy,MP,GTR+G,3784042.775,375,3856,done,done,simulated
Harrington_2016,permut,4,entropy,MP,GTR+G,3783819.14,386,3966,done,done,simulated
Harrington_2016,permut,5,entropy,MP,GTR+G,3784052.887,398,4086,done,done,simulated
Harrington_2016,permut,6,entropy,MP,GTR+G,3784137.507,384,3946,done,done,simulated
Harrington_2016,permut,7,entropy,MP,GTR+G,3783569.645,395,4056,done,done,simulated
Harrington_2016,permut,8,entropy,MP,GTR+G,3783189.661,383,3936,done,done,simulated
Harrington_2016,permut,9,entropy,MP,GTR+G,3783470.653,383,3936,done,done,simulated
Harrington_2016,permut,10,entropy,MP,GTR+G,3783416.507,388,3986,done,done,simulated
Harrington_2016,permut,11,entropy,MP,GTR+G,3784107.753,387,3976,done,done,simulated
Harrington_2016,permut,12,entropy,MP,GTR+G,3783279.151,397,4076,done,done,simulated
