Dataset,Methods,AICc,Subsets,Parameters
Crawford,1-Single,2481257.25,1,26
Crawford,2-SP,2458688.95,85,866
Crawford,3-UCE,2467719.03,1145,11466
Crawford,4-PF-UCE,2456062.62,222,2236
Crawford,5-GC,2410728.44,456,4576
Crawford,6-MU,2397171.32,461,4626
Crawford,7-EN,2380958.42,452,4536
McCormack,1-Single,3192533.02,1,72
McCormack,2-SP,3166285.99,101,1072
McCormack,3-UCE,3162976.03,1541,15472
McCormack,4-PF-UCE,3147457.96,318,3242
McCormack,5-GC,3088673.34,615,6212
McCormack,6-MU,3094082.23,638,6442
McCormack,7-EN,3055310.19,586,5922
Harrington,1-Single,3833182.37,1,116
Harrington,2-SP,3800797.49,114,1246
Harrington,3-UCE,3796629.28,596,6066
Harrington,4-PF-UCE,3793471.49,267,2776
Harrington,5-GC,3736560.33,513,5236
Harrington,6-MU,3695066.87,493,5036
Harrington,7-EN,3687954.46,493,5036
Meiklejohn,1-Single,2339168.01,1,42
Meiklejohn,2-SP,2314873.86,97,1002
Meiklejohn,3-UCE,2316403.81,1479,14822
Meiklejohn,4-PF-UCE,2299674.11,249,2522
Meiklejohn,5-GC,2255397.72,463,4662
Meiklejohn,6-MU,2254128.23,471,4742
Meiklejohn,7-EN,2238583.61,458,4612
Moyle,1-Single,6005671.76,1,218
Moyle,2-SP,5936151.63,200,2208
Moyle,3-UCE,5937376.82,515,5358
Moyle,4-PF-UCE,5935114.26,271,2918
Moyle,5-GC,5839663.77,520,5408
Moyle,6-MU,5820918.09,496,5168
Moyle,7-EN,5774753.45,496,5168
