Settings used

alignment         : ./McCormack_2013-permut-24.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 46170


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1555528.17495
Scheme AICc       : 3121847.2133
Number of params  : 5342
Number of sites   : 539526
Number of subsets : 528

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1228       | 6116b187a49be0e2a57ab59d3c349d21 | chr5_11334_right, chr2_17532_core, chr6_1554_right, chr12_5739_left, chr7_10618_left, chr2_18662_right, chr10_4758_left, chr5_10797_core
2      | GTR+G      | 626        | 6b464d29da7f5b7156b394289e29a283 | chr7_6366_left, chr12_5739_core, chr11_6038_left, chrz_11491_left, chr2_11740_core, chr2_23160_right, chr9_3515_core, chr24_2269_core
3      | GTR+G      | 2765       | 908b6a6ea989080360a27c0a7d0c0a75 | chrz_4819_right, chr8_675_core, chr2_6737_left, chr2_23687_left, chr2_13889_core, chr2_18683_right, chr6_9640_right, chr3_509_left, chr2_27294_right, chr1_5297_left, chr10_4312_core, chr12_5739_right, chr3_509_right, chr2_5666_left, chr2_8770_right, chr3_7396_right, chr5_10384_core
4      | GTR+G      | 1736       | 7017dc37c3180ca21fe5130a71f5b8a7 | chr5_14403_core, chr2_4420_left, chr7_1370_left, chrz_11569_core, chr2_2938_left, chr7_10494_core, chr7_10489_left, chr2_13064_left, chr2_13044_core, chr20_1626_left, chr3_5573_right, chr9_5281_left, chr2_24864_right, chr6_7340_core, chr8_4425_right
5      | GTR+G      | 206        | 4664d9b4efaf0501d6a9ec26d67201fb | chr5_11167_core, chr3_454_core, chr7_10489_core, chr2_14216_core                                    
6      | GTR+G      | 1726       | 60fb0b54a3571eb6bc178b1b69fa718b | chr2_25833_core, chr5_12835_left, chr12_4859_right, chr4_2423_left, chrz_60_right, chr5_10239_right, chr3_18703_right, chr5_11293_right, chr2_21308_core, chr26_2216_core, chr7_10489_right
7      | GTR+G      | 459        | fb47598f325ef5d88bd62c488f70ff17 | chr2_8786_left, chr1_15477_core, chr6_10028_core, chr7_10882_core, chr1_21570_left, chr3_3090_left, chr4_11305_right
8      | GTR+G      | 1553       | a038107b415690e80fef71cd8789fd51 | chrz_3271_left, chr4_15987_right, chr2_8786_core, chr6_3144_right, chr2_8701_right, chr5_2947_core, chr1_31727_right, chr1_27635_right, chr4_16026_right, chrun_random_8931_core
9      | GTR+G      | 1560       | 838392cf7fa7f0a8441a1bc707752732 | chr8_4014_left, chr2_12861_left, chr6_9822_right, chr4_10898_right, chr6_9807_core, chr2_6719_right, chrz_7936_right, chr7_10800_core, chr2_11806_left, chr12_1854_right, chr1_24978_core, chr7_10443_left, chr2_8786_right, chr8_8832_right, chr1_33124_left
10     | GTR+G      | 2067       | bf58da1c8b2e4a73b72cd34f48dd8004 | chr13_2300_left, chr2_17617_left, chr2_7957_right, chr7_9078_left, chr2_13032_right, chr5_10135_right, chr11_3418_left, chr2_7934_left, chr13_408_right, chr6_3086_right, chr3_7394_left, chr2_17641_left, chr1_28694_core, chr3_24775_left, chr2_24773_right, chrz_6570_right, chr4_13367_left
11     | GTR+G      | 1016       | 2bfa78d0fb6789fc759ab2da36b48acc | chr6_8033_core, chr7_10361_right, chr2_17527_left, chr3_7394_core, chr2_18572_core, chr5_11165_left, chr7_4747_core, chr7_4965_left
12     | GTR+G      | 2649       | d741c43e1f513de5c3d544bdfd70a87a | chr2_25941_core, chr2_22620_right, chr5_17205_core, chr5_11794_right, chr1_28849_right, chr1_32334_left, chr1_31727_left, chr3_7394_right, chr9_7189_core, chr7_10445_left, chr2_24737_left, chr6_8033_left, chr2_17749_core, chr1_28684_core, chr7_5228_right, chr11_3432_left, chr5_11247_right, chr7_4885_core, chrz_7923_right, chr2_7393_core, chr6_9784_core
13     | GTR+G      | 171        | a0373af78a3cb58406f17d33894d62f8 | chr6_5979_core, chr1_36035_core, chr18_3195_left                                                    
14     | GTR+G      | 1806       | 0c194fa9836f51a8d21d77017363d383 | chr13_2800_right, chr3_3174_left, chr4_7577_core, chr1_28752_core, chr5_2960_right, chr12_1396_left, chr8_4123_right, chr1_32234_core, chr4_18935_right, chr5_1840_left, chr4_7593_left, chr18_3195_core
15     | GTR+G      | 921        | 4865f7580f35d681310ee3389637ff82 | chr9_7189_left, chr18_3195_right, chrz_178_core, chr7_1405_core, chr8_8897_left, chr3_5482_core, chr2_8622_right, chr6_9776_left, chr4_10598_core, chrz_7677_right
16     | GTR+G      | 919        | b7cfb4540e05a853d1f96b304f93c5a5 | chr8_7440_left, chrz_6062_core, chr1_29889_right, chr1_28639_left, chr10_2828_core, chr5_1698_right, chr1_32234_left, chrz_4781_left, chr7_2784_core
17     | GTR+G      | 178        | c06e42043dc54835524ad282ef976326 | chr8_7440_core, chr5_10120_core, chr4_11095_right                                                   
18     | GTR+G      | 1389       | 0395a2bfe79fe30e0fad2016502aa08a | chr3_24787_core, chr1_28747_right, chr2_18578_right, chr1_32337_core, chr8_4410_right, chr8_7440_right, chr10_5715_left, chr10_5708_right
19     | GTR+G      | 1067       | 31b7211d71921e42bab81bf5f1f19464 | chr3_5447_left, chr2_30193_left, chr11_3129_right, chr1_29333_left, chr17_3004_right, chr5_18035_right, chr7_6308_right, chr2_12017_left, chr2_23175_right, chr7_1412_core, chr1_22025_left
20     | GTR+G      | 439        | 67eebdf3dabd401ff1f8b565c49ca527 | chr1_29333_core, chr7_10832_right, chr4_13362_left, chr4_17860_left, chrz_6575_right                
21     | GTR+G      | 2133       | cee7cfe37ea3288bd4334366c4f45206 | chr1_29333_right, chr3_5908_right, chrun_random_7197_right, chr2_24807_core, chr4_4926_left, chr5_11156_left, chr1_2557_right, chrz_7901_right, chr6_3231_right, chr3_226_right, chr6_3147_core, chr5_11541_right, chr2_24737_core, chr2_17003_right, chr7_8107_left
22     | GTR+G      | 2416       | f13ee24a2258db393ce3b4e364776c1c | chr8_4425_left, chr11_3345_core, chr5_11269_core, chr3_20402_right, chr2_29129_left, chrz_6588_right, chr3_7281_right, chr1_32429_core, chr3_5767_right, chr11_3129_core, chr9_3566_right, chr13_727_left, chr1_28709_right, chr2_13894_left
23     | GTR+G      | 2253       | 6e1bc01f7ea6aa8a042f6fe2ca6dfe6b | chr2_18665_left, chrz_7997_core, chr7_1405_left, chr3_5455_right, chr6_1350_right, chr13_727_core, chr2_11187_right, chr12_3186_core, chr5_1669_left, chr3_5455_left, chrz_11555_right, chr9_7138_right, chr3_454_right, chr5_17281_right, chr1_8234_left, chr15_4186_core, chr6_8806_right, chr11_3253_left, chr6_4403_left, chr11_6465_core
24     | GTR+G      | 1706       | 65f8cd7fb18dbc00ca04571c84ca1a1c | chr6_9631_left, chr15_672_core, chr13_727_right, chr2_22628_left, chr9_5205_left, chr7_10675_core, chr1_5281_left, chr5_2017_right, chr3_17583_left, chr9_5281_right, chr1_25693_left, chr7_10443_core, chr2_24707_right
25     | GTR+G      | 1730       | 3b60b48eb7087292603dc7114afa30e3 | chr23_232_core, chr2_22071_core, chr6_9571_left, chr8_2614_left, chr7_1370_right, chr15_677_left, chr1_16539_right, chr7_10865_core, chr11_3445_left, chr7_4715_left, chr2_18664_left, chr8_446_left, chr4_13410_right, chr3_17498_right, chr3_7243_right, chr5_10252_left, chr7_4747_left, chr7_10445_right
26     | GTR+G      | 1133       | 8c84143ef01a3e52d010ba732ab0c4ac | chr7_4698_right, chr6_5958_core, chr1_32215_right, chr8_446_core, chr4_9731_core, chr1_28645_left, chr2_8051_core, chr11_3445_core, chr2_14269_core, chr6_9559_left, chr6_8801_core, chr1_31092_core
27     | GTR+G      | 2470       | 8928f2d97e262e84df9a3a6868b0de80 | chr8_446_right, chr2_24773_left, chr5_2984_right, chr7_2669_left, chr11_5044_right, chr1_5442_right, chr1_32216_left, chr13_4905_core, chr4_13387_left, chr18_3123_core, chr11_1962_right, chr2_18612_left, chr4_2456_right, chr13_696_right, chrz_3358_right
28     | GTR+G      | 3139       | b5abd1f0484eddd54cc3cb94978720b3 | chr11_3326_core, chr2_8051_left, chr1_29824_left, chr13_1644_core, chr1_32363_right, chr4_11166_left, chr2_5526_core, chr3_16833_left, chr7_10791_right, chr8_4221_core, chr11_2537_left, chr5_1840_core, chr20_5169_right, chr2_2147_left, chr1_13025_left, chr1_27556_right, chr2_8146_core, chr3_362_left, chr2_23668_right, chr7_5357_left
29     | GTR+G      | 1277       | d0bfccfd02ab69bb75b43ec6c83c241f | chr11_1600_left, chr11_3419_core, chr8_9158_left, chr1_29824_core, chr10_4748_core, chr6_7142_all, chr9_3633_core, chr3_7263_right, chr2_24761_core, chr4_16026_left, chr6_3324_left, chr1_31095_core, chr10_4885_left, chr7_10361_core, chr2_18578_left
30     | GTR+G      | 1424       | 7e66c53332ead975743afe2b5c224c9b | chr4_7423_core, chr1_32318_left, chr1_5279_core, chr2_17838_core, chr3_19987_core, chrz_4787_core, chr13_2771_left, chr1_6051_core, chr7_4965_right, chr14_3614_left, chr1_29824_right, chr3_5768_core, chr1_32398_core
31     | GTR+G      | 2612       | 322fb2b270e1a90b98157bc06f419c8b | chr5_11541_core, chr3_5573_left, chr8_3277_core, chr3_18703_left, chr5_15086_left, chr5_14720_right, chr2_24707_left, chr7_10832_left, chr3_299_right, chr5_11258_right, chr8_5307_left, chr2_12017_right, chr6_10028_left, chr4_17860_right
32     | GTR+G      | 1267       | 2e43afda14b038ea1c704396b64bfe7f | chr2_23133_left, chr2_24707_core, chr1_35494_left, chr6_8114_left, chr2_11191_core, chr11_3326_left, chr4_8796_right, chr8_4067_right, chr5_11269_right, chr11_6443_right, chrz_11477_core
33     | GTR+G      | 3672       | e2034145055826bf7010b85bcb6992c2 | chr5_11304_right, chr3_18148_core, chr4_13384_left, chr1_32334_core, chr6_3274_left, chr4_9746_core, chr4_7551_right, chr1_28809_right, chr1_32424_right, chr1_14905_core, chr1_31646_left, chr1_28980_left, chr11_6465_right, chr1_20864_left, chr2_6737_right, chr7_2784_left, chr3_371_left, chr2_11187_left, chr7_5166_left, chrz_6644_core, chr9_1949_left, chr3_21994_right
