Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1185898.53883
Scheme AICc       : 2380958.41845
Number of params  : 4536
Number of sites   : 465241
Number of subsets : 452

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 825        | ad5e486635e31978c2543e0b37bab939 | chr1_31648_core, chr10_2828_left, chr4_8796_left, chr12_1169_right, chr13_714_left, chr7_10269_left, chr1_31709_left, chr1_25682_left, chr2_24797_right, chr5_10260_left, chr2_21782_right
2      | GTR+G      | 585        | b85267bd01227d152361521cf62b67ee | chr10_2828_core, chr2_16467_core, chr5_14166_core                                                   
3      | GTR+G      | 721        | a46c12049cb9085f02c46777adcc05ec | chr2_6754_left, chr6_3257_right, chr10_2828_right, chr7_11467_right, chr5_18035_left, chr1_22335_right
4      | GTR+G      | 585        | 226351479166f67d5ea23dde1e0da32f | chr10_5708_left, chr10_4312_left, chr2_26684_core, chr17_2965_right, chr8_9173_left, chr1_32446_right, chr7_10443_right, chr1_12668_left
5      | GTR+G      | 2421       | 9586bca728228bd4ed59d797a1a035b3 | chr2_17532_core, chr8_661_core, chr3_338_core, chr9_7150_core, chr1_14899_core, chr11_1757_core, chr1_32389_core, chrz_1402_core, chrz_6036_core, chr1_28859_core, chr10_4312_core, chr9_3633_right, chr5_11293_core, chr2_13460_core
6      | GTR+G      | 1337       | de3607973889154d83d80c18d3037d9f | chr2_6444_right, chrz_8113_left, chr4_7278_right, chr3_360_right, chr2_18677_left, chr1_32363_right, chr4_4009_left, chr5_11245_right, chr3_18306_right, chr2_2147_right, chr1_28805_left, chr5_10841_left, chr2_18926_right, chr1_5281_left, chr10_4312_right
7      | GTR+G      | 1037       | bf5189e6402f4e2a04943cb25005805d | chr3_1300_right, chr3_2614_core, chr10_4575_left, chr3_5918_left, chr7_10694_core, chr3_5687_left, chr2_27234_right, chr3_3067_right, chr8_707_left, chr1_32334_right, chr2_24734_left, chr8_4340_right
8      | GTR+G      | 3030       | f83920e6809eb2021a5fbdb3ab584823 | chr6_4125_left, chr4_14147_right, chr4_7278_core, chr3_17781_right, chr5_11165_core, chr2_13044_core, chr9_6328_core, chr2_22605_right, chr8_9141_right, chr2_26684_left, chr10_4575_core, chr6_5992_core, chr9_5277_core, chr2_6728_right, chr20_2151_right, chr11_3318_right, chr6_4410_left
9      | GTR+G      | 569        | f46c3984d188f57a33d44847bc261fd8 | chr10_4575_right, chr2_21466_left, chr3_13411_right, chr3_14127_right, chr4_5420_left, chr6_8823_core
10     | GTR+G      | 2688       | b1181e8d5254a90fafa053f61f7735bc | chr1_5338_core, chr2_8146_left, chr10_4599_left, chr5_11783_left, chr8_707_core, chr7_6598_left, chr7_4746_left, chr9_3537_core, chr2_14247_right, chr5_1737_right, chr3_362_right, chr1_5277_right, chr2_14319_left, chr2_7412_left, chr9_7138_core
