Settings used

alignment         : ./Crawford_2012-permut-13.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34350


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -1217578.19124
Scheme AICc       : 2442424.73379
Number of params  : 3606
Number of sites   : 465241
Number of subsets : 359

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 901        | c1b24cb1c85062e98c24b27b2a886fec | chr6_9069_left, chr4_2456_right, chr18_3214_right, chrz_11394_core, chr2_24807_right, chrz_6778_left, chr2_27308_left, chr2_13034_right
2      | GTR+G      | 1725       | de6f7a8ab1309fb4c055a627a4caa9a1 | chr2_24869_left, chr2_6336_left, chr14_726_core, chr7_6327_right, chr2_27308_core, chr5_10164_right, chr6_8057_right, chr5_11146_right, chr2_12017_left, chr5_1840_left, chr6_4118_right, chr3_17699_right, chr12_5913_left
3      | GTR+G      | 2113       | 6cae3bc6c9b726ae3fe318866defdb01 | chr26_2189_right, chr2_23600_left, chr2_27308_right, chr4_9731_right, chr7_10860_left, chr5_10587_right, chrz_11479_right, chrz_14584_right, chr2_8770_left, chr11_3422_core, chr2_17003_right, chr12_5730_right
4      | GTR+G      | 1258       | a8285502861db89385c3f652d1b9e20e | chr3_6203_core, chr2_6767_core, chr5_10260_core, chrz_6578_left, chr20_1380_right, chr12_5938_core, chr6_5992_left, chr5_10252_core, chrz_467_core, chr3_23724_right, chr1_37895_left, chr2_11740_right, chr5_15083_core
5      | GTR+G      | 572        | dfe63b713209fe668f5ac73fa9b1ffa5 | chrz_12021_core, chr1_37895_core, chr6_4980_core, chr1_37896_core, chr2_13527_right, chr3_18306_core
6      | GTR+G      | 1083       | 0b4aab861ddee3370d90780d6fd413de | chr19_2703_core, chr1_2746_right, chr5_12017_core, chr8_3325_right, chr5_3401_core, chr1_37895_right, chr7_3352_right, chr8_8938_right, chr7_6308_right
7      | GTR+G      | 2513       | 5501080cd807a266da0230cfdadc0bb2 | chr2_14319_left, chr2_24869_right, chr3_5441_left, chr5_3418_right, chr2_17517_core, chr2_7957_core, chr7_10520_left, chr1_28729_left, chr4_1464_left, chr8_707_core, chrz_8694_right, chr8_8942_core, chr5_1674_left, chr6_3086_core, chr5_2978_left, chr6_4403_left
8      | GTR+G      | 1621       | b15d957ce5d9629be710200938bab497 | chr3_451_core, chr5_10912_core, chr1_34773_left, chr5_10216_core, chr9_3551_core, chr2_7970_core, chr1_5316_core, chr1_28694_core, chr2_24807_left, chrz_7833_right, chr3_25156_left, chr2_14319_core, chr20_5307_right, chr5_11336_right
9      | GTR+G      | 1821       | d085da6b120c5903d735de47eb699d9e | chrz_4750_left, chr5_11292_right, chr2_14319_right, chr2_26677_right, chr7_10793_right, chrz_4819_left, chr5_11334_core, chr11_3232_right, chr3_6248_left
10     | GTR+G      | 3665       | 51c059a5c3f21cdfe25bb6334c2d0ad2 | chr3_24963_left, chr5_10353_core, chr3_5893_right, chrz_11394_right, chr1_14872_left, chr9_6300_core, chrz_5495_right, chr1_14872_right, chr2_18144_right, chr1_29891_left, chr9_5129_core, chr5_10051_core, chr20_5193_core, chr5_10191_left, chr3_18256_left, chrz_3148_core, chr7_6205_core, chr9_3633_left, chr5_10260_right, chr4_2423_left, chr14_715_left, chr3_17583_left, chr1_22087_left, chr1_5316_left, chr2_24714_left
11     | GTR+G      | 3647       | 6e5bc7113d0cf5fd97c8e5ca85e29f81 | chr2_8154_left, chr11_1757_right, chr1_28805_core, chr5_1757_core, chr6_3228_left, chr8_4260_right, chr4_4009_core, chr6_7868_right, chr8_5307_right, chr12_5938_left, chr2_24728_left, chr5_10846_core, chr13_3033_right, chr3_7243_right, chr6_9640_core, chr1_5316_right, chr6_3228_right, chr5_1674_right
