Settings used

alignment         : ./Harrington_2016.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17820


Best partitioning scheme

Scheme Name       : step_7
Scheme lnL        : -1839684.35553
Scheme AICc       : 3689974.57645
Number of params  : 5186
Number of sites   : 235232
Number of subsets : 508

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 248        | 6625a5a75cdc04de4b4ade9042716a43 | uce_1001_left, uce_1260_core                                                                        
2      | GTR+G      | 719        | d3052880d7d4b2f57304cbd08fe0c628 | uce_214_left, uce_1243_core, uce_670_core, uce_1001_core, uce_1128_left                             
3      | GTR+G      | 51         | 7073ff9fd399c8d9d8b6662636df7b28 | uce_1001_right                                                                                      
4      | GTR+G      | 50         | cad4a544a74a5106f33c47cb221576d8 | uce_1002_left                                                                                       
5      | GTR+G      | 381        | c5b1fe73c3db31d77262e0522055a26a | uce_231_right, uce_1002_core, uce_231_core                                                          
6      | GTR+G      | 1024       | 5942ca7d5fe0b4f53d427303c6b66924 | uce_555_left, uce_437_right, uce_1002_right, uce_1205_left, uce_994_left, uce_43_left, uce_987_left, uce_69_right, uce_593_left, uce_796_right
7      | GTR+G      | 714        | e77a4f148802dc14c5047b6d5d8a32ba | uce_390_core, uce_699_right, uce_57_left, uce_334_left, uce_1041_left, uce_566_right, uce_1004_left, uce_726_left, uce_323_left
8      | GTR+G      | 1684       | 3afdc7d35dcda3348d3a0228dfa5adf9 | uce_893_core, uce_1158_core, uce_1220_core, uce_120_core, uce_753_core, uce_32_left, uce_515_right, uce_1004_core
9      | GTR+G      | 123        | f500b474045a9235f5eead46ab5ed791 | uce_131_left, uce_1004_right                                                                        
10     | GTR+G      | 50         | 64815f9437dac83fca567bded5416b8a | uce_1005_left                                                                                       
11     | GTR+G      | 267        | 2fe9b97e4a73290160d90c8be7f0019b | uce_1005_core, uce_168_right                                                                        
12     | GTR+G      | 335        | eb9f2e1704b9ae85b803eebed6c957fd | uce_979_right, uce_1005_right, uce_619_left, uce_1328_left                                          
13     | GTR+G      | 506        | 6c34c4f6c8fe1ef5212b05ea858fde53 | uce_793_core, uce_901_core, uce_1007_left, uce_918_left, uce_1105_right, uce_1112_right, uce_1063_left
14     | GTR+G      | 764        | 64e8a2dde1262b0b2af696b2f5fa1658 | uce_129_core, uce_758_core, uce_1007_core                                                           
15     | GTR+G      | 304        | 24f13fdd74b7960e35d7b95f1945a11f | uce_1277_left, uce_1007_right, uce_578_left, uce_630_right                                          
16     | GTR+G      | 91         | 515dbadfce7496a2c294c7b2645344f7 | uce_1009_left                                                                                       
17     | GTR+G      | 641        | 2ea9c53edde3bc59cc144f970890d9d9 | uce_1214_core, uce_1301_core, uce_1009_core, uce_601_right, uce_601_core, uce_1075_left             
18     | GTR+G      | 306        | 270d9c2653e826818882531cdd8cb1bb | uce_1009_right, uce_430_right, uce_1223_left, uce_401_left                                          
19     | GTR+G      | 153        | fc7ff6ae5d686dc52cd5341b3c5cafc9 | uce_1014_left, uce_446_left                                                                         
