name,start,stop
uce_2491,218,270
uce_171,111,197
uce_5951,78,312
uce_2943,55,177
uce_886,75,132
uce_2941,55,136
uce_2940,98,316
uce_7324,143,214
uce_888,62,126
uce_7320,76,135
uce_7322,52,212
uce_3308,312,370
uce_1946,67,331
uce_1781,192,313
uce_1783,235,347
uce_1786,141,192
uce_319,300,352
uce_318,54,190
uce_5562,69,269
uce_317,166,282
uce_5864,60,130
uce_3043,122,173
uce_5441,380,513
uce_3046,102,236
uce_7032,209,275
uce_2540,134,213
uce_956,208,259
uce_958,70,389
uce_225,51,227
uce_223,88,630
uce_550,91,227
uce_553,214,264
uce_220,283,340
uce_884,230,280
uce_794,244,309
uce_791,82,139
uce_799,52,110
uce_62,260,368
uce_63,103,179
uce_6329,159,221
uce_6324,74,151
uce_1169,86,263
uce_1161,121,173
uce_422,260,335
uce_2790,190,275
uce_6499,50,168
uce_2795,76,134
uce_6252,91,168
uce_6254,50,119
uce_6258,79,308
uce_6472,101,361
uce_6474,133,186
uce_5076,133,183
uce_5077,208,258
uce_5075,60,192
uce_6780,57,288
uce_6787,376,435
uce_6786,50,166
uce_3555,231,309
uce_6074,252,321
uce_5675,109,308
uce_6071,254,392
uce_5677,181,368
uce_5679,270,320
uce_6079,110,371
uce_5098,211,264
uce_5090,50,180
uce_5092,110,165
uce_4787,78,151
uce_1304,62,115
uce_1309,267,319
uce_5415,111,164
uce_5416,50,319
uce_2377,198,337
uce_5410,191,249
uce_2371,124,195
uce_5412,143,220
uce_2378,96,254
uce_5419,213,357
uce_4237,72,215
uce_4236,56,289
uce_4232,108,292
uce_6923,121,366
uce_6922,168,293
uce_5327,220,287
uce_5323,75,245
uce_1410,112,166
uce_1412,100,241
uce_1415,199,266
uce_1417,72,262
uce_5528,57,117
uce_4302,65,129
uce_5259,188,254
uce_4304,192,263
uce_4309,202,253
uce_5251,117,404
uce_6818,261,314
uce_2800,56,113
uce_4122,182,264
uce_6813,181,342
uce_3826,98,238
uce_3825,64,224
uce_3824,237,357
uce_1090,76,202
uce_4227,58,246
uce_1573,138,361
uce_1579,52,108
uce_7783,82,379
uce_3959,76,260
uce_3958,173,242
uce_3228,74,181
uce_3224,276,397
uce_3222,67,203
uce_7253,82,135
uce_3477,129,233
uce_3470,70,125
uce_2973,322,386
uce_891,117,488
uce_899,114,166
uce_3316,94,461
uce_3318,310,390
uce_1793,77,302
uce_1794,66,116
uce_309,97,176
uce_301,193,255
uce_5893,52,114
uce_5895,171,228
uce_3857,59,243
uce_7023,94,584
uce_7022,67,170
uce_2576,68,123
uce_7028,103,467
uce_2572,185,312
uce_949,145,248
uce_235,200,272
uce_544,171,244
uce_545,195,265
uce_238,86,136
uce_239,111,178
uce_3784,111,200
uce_783,304,357
uce_7515,307,366
uce_3141,52,165
uce_6317,55,295
uce_6314,80,417
uce_1624,148,312
uce_70,180,231
uce_7804,328,378
uce_7807,50,375
uce_1172,109,450
uce_1170,279,414
uce_2149,278,331
uce_437,221,423
uce_432,51,318
uce_431,82,195
uce_3490,263,319
uce_2784,192,243
uce_2781,114,195
uce_2780,65,124
uce_3499,358,445
uce_6260,156,211
uce_5797,128,455
uce_5796,202,284
uce_5795,58,108
uce_6448,87,139
uce_6447,197,272
uce_5438,165,218
uce_6440,195,246
uce_5065,191,368
uce_5064,50,138
uce_6049,169,417
uce_5062,51,264
uce_3560,62,255
uce_5068,51,223
uce_5667,58,109
uce_5087,171,261
uce_4931,240,290
uce_4426,229,298
uce_4935,54,274
uce_1319,53,143
uce_5404,62,235
uce_5402,144,376
uce_2361,359,410
uce_5331,69,222
uce_1408,391,567
uce_4680,142,289
uce_4681,57,107
uce_1405,225,297
uce_5539,190,355
uce_4335,131,183
uce_5244,326,418
uce_2211,93,325
uce_5536,372,429
uce_2814,140,190
uce_4119,77,128
uce_3812,124,178
uce_6865,76,195
uce_4114,59,361
uce_6860,57,260
uce_2818,60,126
uce_7791,53,361
uce_1547,185,307
uce_1545,115,311
uce_7799,62,284
uce_4208,144,194
uce_1997,339,389
uce_4202,160,214
uce_4751,141,192
uce_3352,70,168
uce_4754,193,271
uce_4207,165,433
uce_4205,215,273
uce_1898,80,175
uce_1899,58,368
uce_3964,174,298
uce_1897,56,228
uce_1891,79,135
uce_1893,75,144
uce_7246,156,276
uce_7957,136,189
uce_2960,50,196
uce_157,55,113
uce_2962,237,300
uce_3368,59,216
uce_3369,92,165
uce_5882,166,216
uce_3025,175,236
uce_5888,174,224
uce_3020,126,211
uce_7016,222,316
uce_2560,236,426
uce_7012,88,140
uce_7010,72,299
uce_2566,186,266
uce_7019,218,279
uce_939,169,251
uce_937,255,382
uce_200,182,614
uce_3797,59,268
uce_3790,220,283
uce_3799,50,235
uce_3798,55,352
uce_3150,255,391
uce_6301,170,220
uce_3154,71,430
uce_3159,115,193
uce_335,145,327
uce_334,75,128
uce_337,117,196
uce_843,90,173
uce_330,88,139
uce_1143,51,181
uce_7876,139,246
uce_4998,157,230
uce_3488,57,301
uce_2177,80,235
uce_5601,131,405
uce_2178,113,238
uce_3482,116,308
uce_3486,91,337
uce_2772,182,384
uce_6273,139,190
uce_5602,147,297
uce_6277,94,203
uce_7908,266,322
uce_5978,195,268
uce_6454,75,129
uce_7906,141,196
uce_2417,227,292
uce_6059,206,274
uce_6879,194,416
uce_1092,199,249
uce_3571,52,285
uce_5657,85,398
uce_2682,211,270
uce_3772,79,129
uce_3771,258,308
uce_3777,231,374
uce_2689,259,327
uce_3775,54,337
uce_5659,73,264
uce_6874,55,333
uce_4435,163,218
uce_2358,106,156
uce_4436,95,305
uce_4927,151,208
uce_2350,91,224
uce_6693,72,280
uce_6692,62,112
uce_6690,174,469
uce_6696,176,243
uce_5345,135,420
uce_7491,92,271
uce_7499,77,162
uce_7652,91,176
uce_4693,170,503
uce_4320,79,277
uce_4324,56,265
uce_1430,96,182
uce_4117,193,248
uce_5508,272,323
uce_2226,148,306
uce_5505,56,164
uce_2222,241,389
uce_2223,70,120
uce_5500,193,261
uce_3808,183,233
uce_4107,85,290
uce_6875,186,309
uce_3806,208,279
uce_6872,81,306
uce_6871,58,249
uce_1550,106,190
uce_4747,111,420
uce_4212,184,395
uce_3970,74,305
uce_3973,78,161
uce_7279,243,306
uce_1888,217,290
uce_3978,73,291
uce_7277,61,265
uce_7472,103,205
uce_2994,113,240
uce_4662,58,296
uce_7310,100,185
uce_3377,72,123
uce_4211,67,348
uce_7009,82,316
uce_3010,50,382
uce_3011,66,177
uce_2516,210,283
uce_2512,72,360
uce_146,83,139
uce_148,53,145
uce_6072,76,128
uce_211,70,164
uce_3166,55,437
uce_3167,190,242
uce_11,148,231
uce_2422,88,184
uce_5840,199,249
uce_15,132,490
uce_14,244,299
uce_17,91,212
uce_16,57,245
uce_322,345,395
uce_323,66,123
uce_326,84,142
uce_325,108,386
uce_7867,87,192
uce_1154,201,373
uce_7865,181,232
uce_1150,145,246
uce_1158,265,404
uce_2164,132,444
uce_2160,83,212
uce_2163,59,116
uce_451,119,176
uce_2169,118,394
uce_6208,65,395
uce_6206,152,371
uce_6424,52,262
uce_7913,61,361
uce_7574,335,404
uce_3580,286,336
uce_1085,108,272
uce_3583,120,170
uce_3584,224,350
uce_5640,86,346
uce_5645,192,259
uce_5647,166,234
uce_5646,257,317
uce_6516,51,319
uce_3742,50,237
uce_3743,85,185
uce_3741,146,287
uce_6730,131,271
uce_6735,128,233
uce_1336,50,380
uce_1333,67,240
uce_4915,65,339
uce_2349,121,201
uce_4910,257,319
uce_5425,290,340
uce_2344,96,492
uce_2346,98,438
uce_2341,243,304
uce_4919,312,387
uce_2187,151,266
uce_2184,157,224
uce_7484,61,224
uce_7487,243,295
uce_7482,178,245
uce_7489,121,184
uce_7488,100,309
uce_7643,54,119
uce_7649,51,177
uce_3463,55,114
uce_1423,52,544
uce_1425,151,220
uce_1427,183,233
uce_4355,66,168
uce_5510,263,316
uce_4598,107,250
uce_2238,213,302
uce_4591,51,160
uce_6843,103,156
uce_6840,52,163
uce_4171,98,149
uce_4179,152,264
uce_8040,437,500
uce_8041,91,290
uce_8043,231,307
uce_4828,70,321
uce_8046,289,353
uce_1526,128,179
uce_4778,55,435
uce_4003,75,175
uce_3904,54,168
uce_3905,142,307
uce_3907,51,262
uce_7266,55,185
uce_3909,106,223
uce_7263,66,214
uce_7468,93,144
uce_6990,102,371
uce_1636,65,268
uce_7462,61,113
uce_7460,57,225
uce_2981,57,193
uce_2980,81,349
uce_3348,83,139
uce_3349,55,184
uce_3340,189,288
uce_1985,92,361
uce_1983,197,376
uce_1980,122,326
uce_1989,50,100
uce_7078,122,181
uce_7077,52,149
uce_3008,169,240
uce_915,53,103
uce_2506,178,253
uce_910,69,189
uce_913,65,131
uce_919,116,179
uce_1858,283,385
uce_132,89,239
uce_131,268,348
uce_136,75,205
uce_134,69,127
uce_1850,109,160
uce_599,285,342
uce_268,127,192
uce_590,52,288
uce_261,186,236
uce_25,50,162
uce_3174,226,280
uce_7105,81,194
uce_2432,160,368
uce_2437,255,380
uce_685,124,276
uce_868,98,148
uce_686,232,288
uce_680,241,455
uce_683,185,274
uce_464,148,375
uce_665,104,213
uce_663,65,155
uce_6189,211,281
uce_660,134,413
uce_6184,190,307
uce_406,83,173
uce_6214,55,254
uce_6210,242,497
uce_6432,239,351
uce_6438,283,479
uce_4303,146,217
uce_5639,89,422
uce_5982,202,379
uce_5980,158,307
uce_3759,82,304
uce_6509,85,151
uce_7857,171,364
uce_7854,62,113
uce_6723,144,199
uce_6721,170,324
uce_6725,50,101
uce_4908,105,376
uce_4308,222,289
uce_5185,88,344
uce_1187,50,158
uce_5188,54,107
uce_1183,248,300
uce_1181,129,191
uce_7673,99,243
uce_2901,63,305
uce_7678,115,173
uce_1456,110,162
uce_4348,213,268
uce_4347,336,389
uce_4345,243,340
uce_1458,53,314
uce_5564,130,303
uce_5297,79,136
uce_2247,385,436
uce_5560,63,128
uce_5290,51,104
uce_5291,95,148
uce_4586,313,372
uce_4121,50,143
uce_6856,262,315
uce_7589,235,292
uce_7586,216,330
uce_7587,274,358
uce_7582,199,310
uce_1539,161,230
uce_1538,103,154
uce_1530,52,210
uce_4764,53,168
uce_4766,106,182
uce_5363,173,229
uce_5361,130,235
uce_5366,95,151
uce_4013,253,313
uce_4012,258,312
uce_4010,111,196
uce_4014,107,210
uce_3917,153,328
uce_4201,313,368
uce_7298,191,328
uce_3918,277,330
uce_6987,54,146
uce_1622,51,188
uce_6983,56,300
uce_1625,299,349
uce_7459,56,309
uce_7453,62,254
uce_3354,167,299
uce_1995,192,254
uce_3353,103,153
uce_1996,124,183
uce_2538,117,298
uce_2539,281,448
uce_7069,110,171
uce_7068,129,188
uce_353,69,193
uce_2530,51,102
uce_7063,68,361
uce_2537,58,122
uce_2534,113,198
uce_902,86,439
uce_903,171,270
uce_908,232,289
uce_127,131,421
uce_1841,226,304
uce_274,255,309
uce_276,224,363
uce_3104,108,471
uce_38,194,259
uce_5190,356,408
uce_7113,85,369
uce_7117,311,368
uce_2404,168,273
uce_699,80,281
uce_876,237,292
uce_4509,281,331
uce_2748,177,373
uce_671,147,577
uce_672,53,148
uce_2742,124,219
uce_678,67,117
uce_3610,72,125
uce_3613,252,306
uce_6228,77,443
uce_6229,161,223
uce_583,95,150
uce_18,54,139
uce_6084,173,473
uce_6085,176,326
uce_5998,136,194
uce_6081,69,185
uce_5995,243,342
uce_5994,186,237
uce_5996,198,270
uce_5991,271,337
uce_3724,214,267
uce_7848,109,261
uce_7841,79,267
uce_7840,418,499
uce_6714,50,279
uce_4486,51,373
uce_4978,94,144
uce_4976,86,145
uce_1190,81,136
uce_5196,142,338
uce_1194,298,433
uce_5193,189,251
uce_6158,73,228
uce_5757,140,192
uce_5755,56,346
uce_6157,331,384
uce_7668,259,321
uce_5179,64,127
uce_5178,175,246
uce_5176,73,354
uce_5174,109,197
uce_1447,106,318
uce_4806,52,236
uce_5280,217,387
uce_5284,113,170
uce_2256,128,183
uce_2252,84,362
uce_2250,155,245
uce_4578,185,242
uce_7595,62,342
uce_4394,53,233
uce_5379,53,163
uce_4027,197,283
uce_4024,64,137
uce_3926,67,280
uce_4023,109,168
uce_4020,181,261
uce_7283,116,395
uce_7282,254,367
uce_1616,56,122
uce_7442,137,201
uce_1613,155,273
uce_1610,348,411
uce_7449,128,193
uce_4151,55,239
uce_4154,150,279
uce_1360,174,282
uce_518,114,203
uce_222,122,174
uce_6887,267,353
uce_7050,216,307
uce_2529,148,252
uce_7054,63,113
uce_7055,118,275
uce_7058,82,171
uce_2521,178,281
uce_119,252,372
uce_115,234,369
uce_1877,170,220
uce_7126,113,173
uce_7122,130,226
uce_7120,90,235
uce_2419,127,308
uce_2418,85,268
uce_7129,76,297
uce_4259,69,286
uce_641,123,233
uce_646,53,315
uce_2734,116,233
uce_648,123,173
uce_6231,53,194
uce_6230,82,134
uce_3605,141,221
uce_3609,59,357
uce_242,58,138
uce_249,168,361
uce_1290,62,164
uce_1291,281,333
uce_7941,154,210
uce_1299,148,198
uce_1051,56,223
uce_2080,125,362
uce_1053,228,278
uce_1054,185,254
uce_1059,63,305
uce_2088,96,171
uce_6528,296,348
uce_2642,200,350
uce_2646,118,177
uce_2647,314,370
uce_2648,57,305
uce_6524,62,255
uce_4968,273,323
uce_6414,58,205
uce_3421,58,165
uce_6411,88,245
uce_3426,130,180
uce_5148,127,182
uce_5146,234,297
uce_5147,65,120
uce_7616,289,347
uce_1477,125,498
uce_4361,70,294
uce_4562,138,469
uce_5542,243,329
uce_2260,51,150
uce_2069,106,355
uce_2062,123,196
uce_2063,115,227
uce_4389,132,298
uce_7721,73,243
uce_7722,87,137
uce_1511,79,167
uce_7726,196,247
uce_1512,120,189
uce_7729,108,191
uce_4707,240,290
uce_5382,148,205
uce_4704,113,340
uce_4033,132,211
uce_4036,103,428
uce_3287,211,372
uce_3934,154,421
uce_3937,233,327
uce_3931,188,250
uce_3932,58,269
uce_4638,68,205
uce_4632,134,184
uce_4631,89,139
uce_4146,219,273
uce_3462,164,229
uce_3927,171,272
uce_3924,211,264
uce_6890,130,194
uce_6894,117,180
uce_7546,265,323
uce_2575,245,322
uce_7048,87,438
uce_1754,209,292
uce_1863,106,327
uce_1865,132,253
uce_1868,96,155
uce_3122,172,247
uce_7133,182,236
uce_2465,97,161
uce_2468,243,386
uce_810,187,238
uce_812,55,106
uce_814,65,239
uce_499,260,310
uce_497,60,275
uce_491,119,193
uce_492,80,141
uce_654,120,189
uce_655,173,223
uce_3636,130,397
uce_3631,67,144
uce_233,61,245
uce_3638,163,230
uce_256,172,247
uce_1285,110,329
uce_1281,106,347
uce_7950,59,188
uce_7959,78,136
uce_1043,182,401
uce_2090,122,302
uce_1048,137,271
uce_2651,287,415
uce_5606,389,442
uce_6558,121,174
uce_5580,107,183
uce_2655,235,303
uce_5974,117,279
uce_3702,76,127
uce_2658,109,331
uce_6553,101,188
uce_6393,88,439
uce_6771,185,266
uce_6779,137,222
uce_2385,50,259
uce_2384,62,197
uce_3622,52,310
uce_5773,79,129
uce_5775,346,529
uce_5774,66,125
uce_5777,57,211
uce_625,113,247
uce_6179,111,162
uce_3416,125,255
uce_3412,262,372
uce_3410,60,290
uce_6608,135,199
uce_5155,118,247
uce_7609,63,390
uce_5158,218,429
uce_1469,54,408
uce_1463,50,363
uce_1268,69,120
uce_4822,107,230
uce_2274,138,248
uce_5557,81,380
uce_1260,57,503
uce_2270,57,384
uce_2273,149,234
uce_4829,120,257
uce_4552,87,155
uce_4553,281,393
uce_4550,51,286
uce_4559,50,133
uce_8009,56,262
uce_8005,363,434
uce_7733,75,178
uce_7732,103,174
uce_7768,100,329
uce_7739,188,262
uce_7738,67,150
uce_5391,79,363
uce_5394,54,126
uce_4044,222,382
uce_4042,50,111
uce_3517,170,228
uce_6953,348,477
uce_6959,252,430
uce_1677,99,151
uce_7427,204,269
uce_7425,198,385
uce_7428,52,280
uce_4605,100,443
uce_4602,241,303
uce_4600,74,130
uce_4601,102,237
uce_2896,333,422
uce_7559,133,194
uce_1706,221,336
uce_7554,82,191
uce_3250,106,246
uce_1814,146,198
uce_1810,134,344
uce_1813,86,211
uce_533,90,220
uce_717,139,431
uce_715,50,257
uce_711,64,261
uce_710,200,366
uce_3134,183,293
uce_3130,56,269
uce_7145,203,296
uce_3139,231,426
uce_2477,62,127
uce_4453,164,220
uce_2474,124,174
uce_396,167,233
uce_395,75,231
uce_7386,59,111
uce_1925,150,253
uce_2713,169,238
uce_2714,140,271
uce_4593,94,158
uce_620,56,490
uce_627,82,133
uce_3627,58,230
uce_5808,72,124
uce_5805,136,196
uce_5804,73,313
uce_7094,215,303
uce_7095,164,259
uce_4175,239,291
uce_1072,52,357
uce_2527,141,215
uce_5947,66,330
uce_2662,250,301
uce_5943,50,313
uce_6548,184,294
uce_2668,274,369
uce_2959,238,292
uce_7897,216,405
uce_7892,173,234
uce_6383,116,350
uce_6382,175,235
uce_6765,51,273
uce_6764,113,276
uce_1385,197,356
uce_4945,144,257
uce_4944,61,207
uce_5498,461,511
uce_5494,186,269
uce_5496,96,156
uce_5497,366,429
uce_5704,185,236
uce_5707,208,259
uce_5700,54,179
uce_5701,140,199
uce_3400,111,182
uce_7969,169,298
uce_7963,190,437
uce_7967,329,383
uce_7965,64,392
uce_7632,299,357
uce_5125,96,146
uce_7637,51,340
uce_6613,88,292
uce_1490,238,291
uce_1498,99,163
uce_4830,117,231
uce_4549,54,176
uce_2283,115,388
uce_2287,306,376
uce_4541,115,217
uce_1257,320,372
uce_1252,238,294
uce_1253,220,272
uce_5013,115,172
uce_5016,206,288
uce_5017,50,213
uce_5019,171,310
uce_2040,331,455
uce_5238,107,164
uce_8017,101,215
uce_5231,67,294
uce_8011,140,321
uce_7700,54,311
