Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -1193913.19183
Scheme AICc       : 2397171.32267
Number of params  : 4626
Number of sites   : 465241
Number of subsets : 461

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 522        | e318fdbff24ddcca86781288a6a8e63f | chr3_457_left, chr2_6444_core, chr9_7434_left, chr5_10047_left, chr10_2828_left                     
2      | GTR+G      | 1944       | f7ab079ec4141a009832dbc5b580ab52 | chr9_3551_right, chr8_1565_core, chr1_39151_left, chr8_1333_right, chr10_2828_core, chr1_5483_core, chr1_8658_core, chr6_7862_right, chr4_9636_right, chr1_22430_left, chr18_1424_core, chr2_21314_left
3      | GTR+G      | 306        | 503db707beee57f5ddbf5d9945483802 | chr10_2828_right, chr6_9640_left, chr2_16467_left                                                   
4      | GTR+G      | 1145       | 40f68d3e9227c4263a19304a0e0787b2 | chr10_4312_left, chr8_199_left, chr2_6728_left, chr2_13034_left, chr11_4789_right, chr2_8698_right, chr8_707_left, chr5_10912_left, chr1_22454_left, chr8_3445_left, chr12_4543_right, chr7_11573_left, chr4_13330_right
5      | GTR+G      | 2752       | 6d88c841f5b82aabead1a56706fce260 | chr1_31094_core, chr1_32389_core, chr20_2151_right, chr4_13362_core, chr3_17885_left, chr2_8145_core, chr9_7434_core, chr6_9772_core, chr1_28671_core, chr7_4715_right, chr3_520_right, chr5_3213_right, chr20_1620_core, chr2_13449_right, chr10_4312_core
6      | GTR+G      | 826        | 85ee48009db67232e90668a08e66cad1 | chr3_23724_left, chr2_8688_left, chrz_10013_right, chr5_10912_right, chr10_4312_right, chr8_4075_left, chrz_11650_right, chr6_9024_left, chr8_1574_right, chrz_1319_left, chr2_21303_left, chr2_11789_left, chr7_11565_right, chr5_3213_left
7      | GTR+G      | 483        | 37a037214e73b0b486a6ac7fc869bd90 | chr10_4575_left, chrz_7416_right, chr1_32307_right, chr1_5292_left, chr1_34708_left, chr6_4403_left, chr3_11879_left
8      | GTR+G      | 2316       | 891eab25b48f392874aad668c9316f2e | chr2_23595_left, chr6_9789_right, chrz_14348_right, chr2_24947_core, chr6_8771_left, chr2_23621_right, chr8_4221_right, chr2_27294_right, chr2_11187_right, chr2_7218_left, chr2_8114_core, chr6_7982_core, chr10_4575_core, chr3_5478_left
9      | GTR+G      | 698        | cb29a4e0f269af8b7fc2cca3e803fa73 | chr2_8145_right, chr8_1565_left, chr11_2599_left, chr9_3515_right, chr21_1511_left, chr5_11772_right, chr10_4575_right, chr1_19885_core, chr2_11732_right, chr20_2151_left, chr5_12347_right
10     | GTR+G      | 1054       | 8728ec73f9d7aaffc62380d0079eb677 | chr10_4599_left, chr3_19997_left, chr6_7254_left, chr3_7394_left, chr7_4715_left, chr1_2746_core, chr9_6291_right, chr8_709_right, chr12_5897_right, chr5_10816_right, chr2_11736_left, chr3_5573_right, chr2_23651_right, chr5_10906_left
11     | GTR+G      | 2323       | 2653147ac9b9f78b5da690ff60dcfe78 | chr11_3419_left, chr6_5992_right, chr1_32334_left, chr7_10160_core, chr3_17666_left, chr10_4599_core, chr1_28859_right, chr4_7278_right, chr2_24774_core, chr6_9803_left, chr3_5767_right, chr2_9136_core, chr3_5577_right, chr4_10251_right, chr2_11187_core
12     | GTR+G      | 299        | 903f86a84106b0cc0abc1b1258e0ec6d | chr11_5062_core, chr1_28709_core, chr10_4599_right, chr1_34708_right                                
