Scheme Name       : start_scheme
Scheme lnL        : -1143004.21341
Scheme AICc       : 2316403.81192
Number of params  : 14822
Number of sites   : 599627
Number of subsets : 1479

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 536        | eae42518a0f7b09dbd6ee83e9acfdee0 | uce_1027                                                                                            
2      | GTR+G      | 337        | ea2224d8c2cfa36135e43095a99ddf6d | uce_1126                                                                                            
3      | GTR+G      | 357        | 2cd771c3a102f366eb021511e266beb2 | uce_1207                                                                                            
4      | GTR+G      | 355        | cf489b1d47ffa81a624d92c6727740b2 | uce_1344                                                                                            
5      | GTR+G      | 644        | afeae6aee282ea8428fca0cbaaaa8b5f | uce_1376                                                                                            
6      | GTR+G      | 511        | d0ccff06c38097faa84227f5d8f1a176 | uce_1499                                                                                            
7      | GTR+G      | 775        | 91fa53743277317d1dcd18940c15bcc8 | uce_1588                                                                                            
8      | GTR+G      | 260        | 12502523f4f021394fcb03aa6d908b4b | uce_1702                                                                                            
9      | GTR+G      | 243        | 71cb9365db59092639a49fdc30102aec | uce_1742                                                                                            
10     | GTR+G      | 264        | 2cc0a73733f30cef1e77e5223dc97fc7 | uce_18                                                                                              
11     | GTR+G      | 371        | 787fbf909a3d9b6a351d41b0c3b1af89 | uce_1832                                                                                            
12     | GTR+G      | 297        | e0e1624b62ef51b57fb7d7d691f48b2a | uce_1897                                                                                            
13     | GTR+G      | 323        | 78083d8fd2fd6305e69dbe117dc558d8 | uce_2116                                                                                            
14     | GTR+G      | 324        | 999ba738ef3bbd5b3451090da5f1a772 | uce_235                                                                                             
15     | GTR+G      | 220        | d6dcd550ea67651a2c2b111cd9394165 | uce_2537                                                                                            
16     | GTR+G      | 470        | d81c6dac8742645e44dd855480dfbed3 | uce_276                                                                                             
17     | GTR+G      | 391        | 12be3fed4324cb7d4fd26d6e3d5012f1 | uce_2857                                                                                            
18     | GTR+G      | 407        | 754552c5e4359532174b2ef64b6ebc29 | uce_2940                                                                                            
19     | GTR+G      | 256        | 284298d6cc20cb9719c645ffc47c5788 | uce_2943                                                                                            
20     | GTR+G      | 529        | bba56327b4b0435b2b9a46d11a3b83b0 | uce_2973                                                                                            
21     | GTR+G      | 461        | 1a51fe14e6f19fca535ce4a96a276305 | uce_2994                                                                                            
22     | GTR+G      | 442        | 7a6a82c0aa73f4505859c6c0b2d8a67e | uce_3067                                                                                            
23     | GTR+G      | 295        | 1bcbdda1ddc6f678c431a85d305da0f3 | uce_3099                                                                                            
24     | GTR+G      | 371        | df7dae4827cfb0760535312d7c298f38 | uce_3130                                                                                            
25     | GTR+G      | 218        | 81256e7dab0aff1a5904c2186d6dd161 | uce_3352                                                                                            
26     | GTR+G      | 304        | 4993225b001f0959f9385ed87a676463 | uce_3512                                                                                            
27     | GTR+G      | 312        | 676d8ed41c5cc0f75787ff1d82027ac5 | uce_3660                                                                                            
28     | GTR+G      | 331        | 858fddf9a1585910cc022c001a0950f5 | uce_3784                                                                                            
29     | GTR+G      | 627        | 63f6bb4c1e405aa720272f5deb5ccc83 | uce_3859                                                                                            
30     | GTR+G      | 403        | 27ece579f3b2e5042afc67aab47ab1b7 | uce_3918                                                                                            
31     | GTR+G      | 316        | 427fcb6897e1396a8cd5f4c8d2443069 | uce_3924                                                                                            
32     | GTR+G      | 342        | 54a7ddf80d7f937df3d5cc60191633ee | uce_3927                                                                                            
33     | GTR+G      | 552        | 152063ddb7eecfef60283675e98d7336 | uce_417                                                                                             
34     | GTR+G      | 352        | 307375b72090afc39b82bd5c14000cb1 | uce_4208                                                                                            
35     | GTR+G      | 483        | 2b1da133a685bf65b20483b7979cfa11 | uce_4347                                                                                            
36     | GTR+G      | 377        | ef806222d9eb1936ef22352cd4c4d277 | uce_4348                                                                                            
37     | GTR+G      | 399        | a331d05298d179ccdd5ae5e5047e6930 | uce_4766                                                                                            
38     | GTR+G      | 348        | 43883815c0ad798276c8a0d5422478ec | uce_4829                                                                                            
39     | GTR+G      | 216        | 70be2233a1a5a9021c5c27d832adac11 | uce_4866                                                                                            
40     | GTR+G      | 303        | d65452c4e3c4169fc2ab763275675850 | uce_4927                                                                                            
41     | GTR+G      | 252        | 5567e44e97dc4409120b398e0bb6060f | uce_5075                                                                                            
42     | GTR+G      | 388        | c05cc5bb93eea6d897d16c4e6e59f33b | uce_5077                                                                                            
43     | GTR+G      | 342        | 47cd608edced7b93daaf1a0a69089b42 | uce_5174                                                                                            
44     | GTR+G      | 380        | 165acebf375a13c2c3050da0c528bfc9 | uce_5188                                                                                            
45     | GTR+G      | 402        | 0707d543ed6d8d2c45635eb44c053608 | uce_545                                                                                             
46     | GTR+G      | 322        | 12a930c8cf6b53e06eb816aa4b59dd03 | uce_5478                                                                                            
47     | GTR+G      | 330        | 87907b03a996a02b33366c38694bacd8 | uce_5589                                                                                            
48     | GTR+G      | 288        | 0aefa9e7d6ba49dc332d34079356ca76 | uce_5934                                                                                            
49     | GTR+G      | 270        | d2e561ae7208abc3ae87203bf2da6893 | uce_6125                                                                                            
50     | GTR+G      | 232        | 33abe875d9490fc2111b468607f68046 | uce_6136                                                                                            
51     | GTR+G      | 447        | 3265369df8597e69f99bbfff96d20f76 | uce_6158                                                                                            
52     | GTR+G      | 586        | 58bb7722111fd6b1d938f606d9695462 | uce_6642                                                                                            
53     | GTR+G      | 501        | ccc16dcf40797c56aa7ca85297252b63 | uce_6654                                                                                            
54     | GTR+G      | 352        | b1d5c93d07222c982f44a5976ccbd332 | uce_6725                                                                                            
55     | GTR+G      | 391        | 75436fb899d663a2bc75c20080d0606d | uce_6730                                                                                            
56     | GTR+G      | 381        | 4fe702567d72fb200d97cbf3d1627c04 | uce_7055                                                                                            
57     | GTR+G      | 354        | 5243fe09f8fa0cdad9dda01967cbb786 | uce_711                                                                                             
58     | GTR+G      | 473        | fb21181f88dc613be87c2ca007e7a506 | uce_738                                                                                             
59     | GTR+G      | 374        | 37573ef52da4c66224aa5d8345d59db2 | uce_7510                                                                                            
60     | GTR+G      | 453        | 078f5a9ba97e5cf7a00c9e232640249f | uce_752                                                                                             
61     | GTR+G      | 292        | 616e91fead0046e56d149dbaf3b488fb | uce_7554                                                                                            
62     | GTR+G      | 386        | 408a6bbb6836c2016e7732d50aaefdd4 | uce_7668                                                                                            
63     | GTR+G      | 425        | d76b41fec6f6bfb331a3fce83cba6bcd | uce_783                                                                                             
64     | GTR+G      | 410        | 692d38bedd45470424fc2af66ed8217e | uce_7984                                                                                            
65     | GTR+G      | 291        | 688b965217562f7e9abf66a86bcd06f8 | uce_814                                                                                             
66     | GTR+G      | 404        | 432007317fbf5d9a00765c21d6551d5f | uce_876                                                                                             
67     | GTR+G      | 401        | 6d122f325b8cee97c669dc913b950c7f | uce_910                                                                                             
68     | GTR+G      | 246        | 486139c523aadfc9e749c74b954a0d51 | uce_915                                                                                             
69     | GTR+G      | 264        | fd1f3ed87c522d802cd2456e4bee862d | uce_95                                                                                              
70     | GTR+G      | 464        | 9a833c5aa32df53f452e591f9291f018 | uce_1613                                                                                            
71     | GTR+G      | 416        | 9c5951273a2ff894f0f642c665499bf3 | uce_1625                                                                                            
72     | GTR+G      | 336        | b4a4b12956dff55bdd652c9ad67a6392 | uce_2008                                                                                            
73     | GTR+G      | 369        | b2a6f9b70d28e325bffc1d7d9ecd4182 | uce_2933                                                                                            
74     | GTR+G      | 482        | 0f7d8201e7ecf6e740feece26054f17c | uce_4003                                                                                            
75     | GTR+G      | 391        | 9e836680d075d8a3f26b65d7df91a0d3 | uce_4117                                                                                            
76     | GTR+G      | 410        | 762c19577bcd668c3c4bfb0e2a1da92e | uce_5755                                                                                            
77     | GTR+G      | 433        | 25126ed6c9a299e09b5ac292b4bcd368 | uce_5827                                                                                            
78     | GTR+G      | 499        | 26ecafe5fd5144f3fed0c1d40d6ceeb5 | uce_6324                                                                                            
79     | GTR+G      | 363        | 467989c359da81cd827066c13c79db66 | uce_6454                                                                                            
80     | GTR+G      | 353        | 7d795e05949e470ae4a28cf44a3f5604 | uce_6649                                                                                            
81     | GTR+G      | 383        | c22d5a6e6da5650d8f41fdedce5b6be8 | uce_6752                                                                                            
82     | GTR+G      | 404        | a716c6028e5b8c8bec2c5ab029810da7 | uce_6797                                                                                            
83     | GTR+G      | 483        | d1c1322285a5b3aa6f21645b417eef22 | uce_7050                                                                                            
84     | GTR+G      | 414        | f050168705030a9f2ecb36a32e6a35d9 | uce_7530                                                                                            
85     | GTR+G      | 439        | dcbc191a1ffba3583fcb3910cf086c1d | uce_7700                                                                                            
86     | GTR+G      | 485        | 9eebc1ff586b4d86bf09713cccf6976e | uce_1003                                                                                            
87     | GTR+G      | 418        | 252d93ea803ba15195b5ace6fc90579c | uce_1004                                                                                            
88     | GTR+G      | 461        | e1ab833e6f742dea4d9b85cc2a50717e | uce_1005                                                                                            
89     | GTR+G      | 392        | d91e2f7008ea5836fa6d0a4d719038d0 | uce_1012                                                                                            
90     | GTR+G      | 340        | 6048980e33c43630974e8747cd07e6b9 | uce_1021                                                                                            
91     | GTR+G      | 600        | 291fe9c22f4e8a4bdef7b66fdc9568f5 | uce_1026                                                                                            
92     | GTR+G      | 379        | 9497826ab22140db44f695cdd5aa7ee6 | uce_1034                                                                                            
93     | GTR+G      | 561        | 508c4c1e3c74f291c5a58bcf98442e13 | uce_1043                                                                                            
94     | GTR+G      | 353        | 6eeff67859298f0243c34e9d6e65c0a5 | uce_1048                                                                                            
95     | GTR+G      | 340        | 0095f3e7970cfb11851754d9f85de098 | uce_1051                                                                                            
96     | GTR+G      | 455        | 24c83d24d4a3fba75613cfe4fac2180a | uce_1053                                                                                            
97     | GTR+G      | 506        | 6d5b06df2f702fc4abbac9f408518928 | uce_1054                                                                                            
98     | GTR+G      | 493        | b5f2121d1caae68fdee34fbd8f9dcd8a | uce_1059                                                                                            
99     | GTR+G      | 336        | 969e31ee170f0c0a96905541a6594ed3 | uce_1062                                                                                            
100    | GTR+G      | 425        | 3a0691d322d12467aca17427a1a20385 | uce_1072                                                                                            
101    | GTR+G      | 331        | eebb548f1641b89d6b4ef7181c4af7f8 | uce_1085                                                                                            
102    | GTR+G      | 348        | 680039197a3885df5a7d920b53c6df54 | uce_1090                                                                                            
103    | GTR+G      | 373        | c31964f3eb6a0219ad0dbee560af1ae3 | uce_1092                                                                                            
104    | GTR+G      | 334        | 23b9f62f9b87d267e9a38b49f261d7bf | uce_11                                                                                              
105    | GTR+G      | 488        | 21e36464deaf99e3cb9cb9f7ab5c7646 | uce_1107                                                                                            
106    | GTR+G      | 366        | 17b6edd2cdba9a8e046c901acf4f9902 | uce_1119                                                                                            
107    | GTR+G      | 487        | 9ed08ae200ad1a26feaa31c95a4e25ca | uce_1120                                                                                            
108    | GTR+G      | 400        | e14c35785765ba7b762d76b4889c41ba | uce_1128                                                                                            
109    | GTR+G      | 427        | 1e6e6597742b4b2c1e2fabbba48c380f | uce_1131                                                                                            
110    | GTR+G      | 327        | 20c8500823fbebdc04936449e8e8abbd | uce_1135                                                                                            
111    | GTR+G      | 484        | f077a831deba63b5ffee1263a6d5e43d | uce_1138                                                                                            
112    | GTR+G      | 255        | 782c9db31f4c714df640223ecd2e1577 | uce_1143                                                                                            
113    | GTR+G      | 439        | 44e690081028b650d06916ff557def28 | uce_115                                                                                             
114    | GTR+G      | 459        | 805340f498d69c8618ba423b9e059d7c | uce_1150                                                                                            
115    | GTR+G      | 476        | 688fc7c164bd8cc9784bffa261e73d6e | uce_1154                                                                                            
116    | GTR+G      | 539        | d9d0b1e63affebf3928b90a7570de52b | uce_1158                                                                                            
117    | GTR+G      | 317        | b7349878a0ce886a944ae9787fba7d76 | uce_1161                                                                                            
118    | GTR+G      | 383        | b59f2817d09b15b33d1e75f823ec4229 | uce_1169                                                                                            
119    | GTR+G      | 574        | a5510334f1a256a72941911e2ff424f0 | uce_1170                                                                                            
120    | GTR+G      | 563        | 825b45c1c20d3bf3c0529874f036d466 | uce_1172                                                                                            
121    | GTR+G      | 435        | 7111d030e9c954bd26c26e4de4df6df6 | uce_1181                                                                                            
122    | GTR+G      | 374        | 6251e33b13658e56cd7b3f9b8d8f9043 | uce_1183                                                                                            
123    | GTR+G      | 312        | e26dba2a54b8db221916ceedd8c6ecee | uce_1187                                                                                            
124    | GTR+G      | 490        | 2244610ec5b62277163ca1dfba0695c0 | uce_119                                                                                             
125    | GTR+G      | 365        | 5b8f5b7e5fbe6e2c75921b0ab3e5dfbf | uce_1190                                                                                            
126    | GTR+G      | 494        | 23df1ccf732f46cb10c12227ffa49770 | uce_1194                                                                                            
127    | GTR+G      | 348        | 3ffa3bfb152330fcca5f19513f0ffc76 | uce_1205                                                                                            
128    | GTR+G      | 373        | f77ecf9529b0479eb14e205079cb30bf | uce_1206                                                                                            
129    | GTR+G      | 409        | c254bb011966c45414cbe7ecba533170 | uce_1216                                                                                            
130    | GTR+G      | 368        | a2a80396847841ef1c7e3727b852c452 | uce_1224                                                                                            
131    | GTR+G      | 438        | 28f1916f9f2c03ddd775a160b05ded87 | uce_1225                                                                                            
132    | GTR+G      | 304        | 43fe386a197c18694a86278dcf541b5e | uce_1230                                                                                            
133    | GTR+G      | 347        | 8dbb64c215c4dfb5173d2d6f4916efac | uce_1231                                                                                            
134    | GTR+G      | 433        | 767acc617a4468186c416542b66cf0dc | uce_1232                                                                                            
135    | GTR+G      | 366        | e54e5358013640f3d9f60cca32046e06 | uce_1239                                                                                            
136    | GTR+G      | 382        | c14997bcd9cfedd73fa97df424fa060f | uce_1252                                                                                            
137    | GTR+G      | 341        | af923af99b42e6fe679459e2053cd492 | uce_1253                                                                                            
138    | GTR+G      | 466        | b4498d0c7e56e0a4372b2151e1046b67 | uce_1257                                                                                            
139    | GTR+G      | 681        | 1df76d3821a6ee79480031ea3c3b612a | uce_1260                                                                                            
140    | GTR+G      | 266        | 2d88f8d5c3b4013b60bcbfe849eb1e45 | uce_1268                                                                                            
141    | GTR+G      | 489        | 03b06aa6045a5db7ace1c8aa5b27d029 | uce_127                                                                                             
142    | GTR+G      | 470        | 0815287aafa2280689ddec692771a6e6 | uce_1281                                                                                            
143    | GTR+G      | 452        | 9ba7327177eb34673430862e10865f9c | uce_1285                                                                                            
144    | GTR+G      | 588        | f019c100635c13e197adc5a84a54d1ae | uce_1290                                                                                            
145    | GTR+G      | 455        | 946d8ebfc9d4e05b6cd8cd579bbd5fa3 | uce_1291                                                                                            
146    | GTR+G      | 371        | 0619257d0f475dc7bd5871706f89468a | uce_1299                                                                                            
147    | GTR+G      | 555        | 59418a484b9b5ea43c80329bb7a94120 | uce_1304                                                                                            
148    | GTR+G      | 418        | 4685f5fe716c2b1d23829c6704524083 | uce_1309                                                                                            
149    | GTR+G      | 458        | 4b0861881043b542a71579e4396196d6 | uce_131                                                                                             
150    | GTR+G      | 341        | e3795a0e3cc335c0edea4f28396881a9 | uce_1319                                                                                            
151    | GTR+G      | 311        | b2c17f3d8ced14cc997cfe1c5eb4d74d | uce_132                                                                                             
152    | GTR+G      | 383        | f7423434ede1e32b8692fb9859f954b4 | uce_1333                                                                                            
153    | GTR+G      | 438        | 1dc126886a45d6aeaa1a9c0127588a3b | uce_1336                                                                                            
154    | GTR+G      | 433        | eebd8c7f520c07e53511389842457079 | uce_134                                                                                             
155    | GTR+G      | 336        | 4f8c5bdc5d1cb01653aeadcea08cfee3 | uce_1342                                                                                            
156    | GTR+G      | 254        | d08bc9961c3b1eb855e83e70b589b463 | uce_1345                                                                                            
157    | GTR+G      | 411        | 1e1eae83fe792478c16c7f6b50821fea | uce_1349                                                                                            
158    | GTR+G      | 349        | 0169b6b6c3017141f8d57bfa2f6de3cd | uce_1354                                                                                            
159    | GTR+G      | 566        | fe2e674c85dfca66761d970661289fa7 | uce_1357                                                                                            
160    | GTR+G      | 594        | a900f618eda51fa66a10d8c9b2efb6cb | uce_136                                                                                             
161    | GTR+G      | 347        | 60f5bd9bd875edb30c796822c56c88ec | uce_1360                                                                                            
162    | GTR+G      | 460        | 092fde72d8221f1c9e6ddc5bfee842d5 | uce_1362                                                                                            
163    | GTR+G      | 489        | a68df67a039646b2a9fde7b004319e18 | uce_1363                                                                                            
164    | GTR+G      | 391        | 0e9e172233e9cbdfa080fea693200a57 | uce_1371                                                                                            
165    | GTR+G      | 408        | 28101638f6312cf775e1f374619ffc04 | uce_1385                                                                                            
166    | GTR+G      | 399        | acbb95f419a5c2bd0dbe8439047cb550 | uce_14                                                                                              
167    | GTR+G      | 359        | e2972155aa021bf4811412c62c45fbbf | uce_1405                                                                                            
168    | GTR+G      | 647        | a7e087dc3faadc7aa3d3754f4d360499 | uce_1408                                                                                            
169    | GTR+G      | 383        | 6ea9e055233ea3828f662f08190b4f68 | uce_1410                                                                                            
170    | GTR+G      | 651        | ab6ceb629be0ecdc5e838d25443cfa06 | uce_1412                                                                                            
171    | GTR+G      | 423        | 7461d4d1af86fa07c53caf0589d4b494 | uce_1415                                                                                            
172    | GTR+G      | 313        | a881232462d270589f76592ddaef0c95 | uce_1417                                                                                            
173    | GTR+G      | 606        | 60328b66c561021ed29fa5207fc3ec42 | uce_1423                                                                                            
174    | GTR+G      | 628        | 3de9dece0423e5d86c494800c6cca8cb | uce_1425                                                                                            
175    | GTR+G      | 432        | 1d2470306315a8c4cd6dbf591aa3a063 | uce_1427                                                                                            
176    | GTR+G      | 271        | b374278e3a07487c402bd6075ca94dde | uce_1430                                                                                            
177    | GTR+G      | 456        | 09b722abbe1a5938f2010148ccd8df4b | uce_1447                                                                                            
178    | GTR+G      | 523        | 83fab98b5d59e004256bdf4bced4443a | uce_1456                                                                                            
179    | GTR+G      | 378        | 971b585c70b1d96905b9994e0bd6cde4 | uce_1458                                                                                            
180    | GTR+G      | 419        | 901849268efeaf5ba418890b8da9ba8f | uce_146                                                                                             
181    | GTR+G      | 439        | abaa5640e2b212451843266da1cc66ab | uce_1463                                                                                            
182    | GTR+G      | 471        | 10c57690b29e14acd77fe03b51451e93 | uce_1469                                                                                            
183    | GTR+G      | 655        | 87e9f179b70fce0e16d77637227b8ca2 | uce_1477                                                                                            
184    | GTR+G      | 282        | 6b0a464c7d45e3dbac8ed314879aceef | uce_148                                                                                             
185    | GTR+G      | 456        | 24ca9edf43a5853bd2c2341fb2cab818 | uce_1480                                                                                            
