name,start,stop
chr3_5587,68,288
chr6_7868,235,408
chr12_3865,142,217
chr3_5834,150,217
chr17_2984,138,194
chr1_22454,108,277
chr8_9173,150,219
chr2_17639,210,296
chr5_10912,269,345
chr4_6739,45,105
chr4_13410,85,182
chr6_8771,42,137
chr1_32294,128,220
chr14_3774,85,137
chr2_21314,59,126
chr5_10260,61,125
chr2_29129,66,214
chr9_5239,64,114
chr2_11736,89,151
chr5_10384,128,190
chr2_26684,167,384
chr2_24830,88,138
chr2_27234,60,456
chr1_26730,54,178
chrz_6036,242,355
chr3_6231,93,388
chr9_5129,51,246
chr20_5173,107,230
chr9_5205,281,335
chr3_17607,74,170
chr3_18148,94,228
chrz_7819,111,346
chr9_2502,256,445
chr6_7862,158,483
chr2_11806,263,314
chr9_7434,157,373
chr6_5992,143,241
chr20_2737,70,404
chr1_31092,88,353
chr1_5442,95,378
chr2_21162,154,372
chr2_24869,96,198
chr3_520,187,290
chr1_31095,391,446
chr3_17781,54,188
chr2_5526,53,103
chr2_23548,59,257
chr2_17527,321,371
chr17_3004,192,252
chr17_3001,51,221
chr5_10164,66,163
chr1_31654,260,310
chr3_19997,201,259
chr7_10849,296,404
chr2_8698,145,450
chr2_23651,146,217
chr1_5316,66,352
chr2_8051,70,316
chr12_1169,69,382
chr7_6301,75,367
chr2_8629,145,203
chr11_4789,114,298
chr5_12015,194,271
chr5_2308,249,335
chr5_12017,58,350
chr3_5687,187,269
chr3_451,61,168
chr3_17735,134,189
chr3_457,198,460
chr19_329,43,222
chr8_5049,99,374
chr1_34768,280,381
chr7_5015,58,116
chr1_30659,56,414
chr5_1701,69,145
chr2_10510,34,261
chr7_6598,85,199
chr3_5644,41,299
chr2_25860,117,167
chr2_7190,27,201
chr3_5766,122,341
chr12_4543,209,273
chr7_11606,26,419
chr7_4726,136,193
chr2_21462,65,304
chr12_5878,84,136
chr2_21466,106,218
chr4_11110,155,211
chr9_6291,118,342
chr7_9078,191,278
chrz_4772,229,280
chr2_18606,117,169
chr2_22077,206,257
chr7_10555,109,294
chr8_4233,162,214
chr1_14909,96,368
chr1_14908,33,184
chr2_22071,38,602
chr7_10997,135,361
chr8_3473,49,315
chr3_24775,39,101
chr3_3828,195,296
chr2_8655,92,175
chr2_11725,96,275
chr5_1800,78,399
chr6_8017,41,92
chrz_3148,152,206
chr8_3308,48,385
chr3_5494,183,257
chr6_3326,131,357
chr6_4027,51,149
chr2_24761,26,146
chr2_22024,41,330
chr2_25261,79,159
chr1_28726,335,408
chr17_1772,63,136
chr4_7243,95,160
chr1_34708,163,213
chr18_4478,27,90
chr12_5913,174,324
chrz_11557,82,242
chr4_4009,93,145
chrz_11555,32,96
chr5_1757,105,332
chr2_23670,98,445
chr3_5877,163,477
chrz_4757,82,329
chr3_21776,46,359
chr5_10904,150,417
chr7_10302,170,323
chr4_15363,78,269
chr7_4732,79,423
chr4_9636,52,283
chr8_3279,166,447
chr6_9069,26,104
chr2_8573,133,417
chr7_10860,226,336
chr2_9158,170,236
chr4_10045,125,238
chr7_10865,393,455
chr8_851,29,108
chr2_17775,260,311
chr5_14763,214,281
chr2_14319,303,387
chr9_6388,202,300
chr4_7565,298,352
chr2_24935,26,311
chr9_3537,112,344
chr9_5277,37,88
chr5_11231,79,134
chr9_7150,112,349
chrz_14584,102,156
chr6_3033,63,209
chr1_1057,25,153
chr3_6277,243,413
chr1_32333,53,144
chr3_9749,143,320
chr2_27261,60,276
