Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41870


Best partitioning scheme

Scheme Name       : step_13
Scheme lnL        : -1540263.43617
Scheme AICc       : 3093484.65301
Number of params  : 6402
Number of sites   : 539526
Number of subsets : 634

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 524        | 5b30dc72bed222d82b847141afe8294f | chr8_7440_left, chr24_1041_left, chr3_2053_left, chr9_6300_left, chr3_5687_left, chr5_12349_left, chr11_4723_left
2      | GTR+G      | 501        | 1ed42461d66f5698067d43cca4d4efb1 | chr1_14389_left, chr4_17431_core, chr5_11167_right, chr24_1041_core, chr4_4009_right, chr1_32597_core
3      | GTR+G      | 1601       | 42909a5388408b9bdeeb08836c192bf6 | chr5_10912_right, chr1_32398_right, chr20_1656_right, chr2_13034_left, chrz_14674_left, chr24_1041_right, chr2_17569_right, chr7_11485_right, chr1_8234_left, chr1_27615_left, chr1_16525_left, chr1_28671_left, chr3_7396_right, chr5_5191_left, chr3_18148_core, chr5_14666_right
4      | GTR+G      | 716        | bf5f56bf5dbb8d07d274bcef4a943686 | chr2_25881_left, chrz_11491_left, chr7_10160_core, chr3_457_left, chr7_11511_left, chr3_5455_core, chr7_4702_left
5      | GTR+G      | 588        | aa4c043ef06592d5b26ba20467781f48 | chr21_1559_core, chr7_2690_core, chr11_3419_core, chr7_10269_core, chr3_457_core, chr6_4125_right, chr13_4268_core, chr11_3418_core
6      | GTR+G      | 1987       | 0936bcbd4a4cec3f3e7301bc96bac576 | chr13_2870_core, chr3_16816_left, chr15_672_core, chr1_1098_left, chr3_5529_core, chr18_3183_core, chr5_11293_core, chr6_3274_core, chr3_457_right, chr7_4732_core, chr3_5577_core, chr19_365_right, chr3_5877_core, chr4_17854_right, chr6_3324_core, chr5_11146_core, chr5_2918_core, chr1_27559_core, chr1_14351_left, chr1_28671_core, chr2_8600_right, chr6_4109_core
7      | GTR+G      | 1056       | 44819f588c27ef0d727896c1095d8b90 | chr5_10052_left, chr11_3190_left, chr1_23645_left, chr20_309_left, chr7_2690_right, chr2_18704_left, chr3_24957_right, chrz_3388_all, chr11_3350_core, chr2_9384_left
8      | GTR+G      | 2909       | 901b260d8b2502147bcf3e1070ec2f1a | chr3_18428_left, chr1_24978_right, chr1_14872_all, chr2_9384_core, chr7_10530_all, chr8_8088_right, chrz_6695_core, chr12_5678_all, chr5_13733_left, chr1_8428_right, chr1_18757_right, chr14_747_left, chr11_1787_left, chr1_29914_right, chr17_2963_core
9      | GTR+G      | 1703       | bad561e520822540d81d765fb680baa6 | chr6_9803_right, chr3_17438_right, chr2_17749_left, chr7_11574_right, chr15_677_right, chr1_28729_left, chr3_19987_core, chr2_12867_left, chr1_25682_core, chr3_15480_core, chr3_7243_right, chr3_5577_left, chr2_9384_right, chr9_3537_right, chr5_15913_left, chr1_32294_core, chr1_14351_core, chr4_13362_right, chr11_3326_core, chr7_10609_left
10     | GTR+G      | 366        | 33b21ced788d03cfb9fe7737ed429d83 | chr15_3386_core, chr5_2015_left, chr24_1019_right, chrz_8004_left, chr3_5552_left, chrz_4723_left   
11     | GTR+G      | 635        | 12431c5ab4f26763d317105b74a49f09 | chr2_20206_core, chr6_9787_left, chr12_5999_left, chr2_26586_left, chrz_8004_core, chr7_1669_left, chr2_18477_right
12     | GTR+G      | 412        | b2e183fc11b9f5f720403c8e100613d3 | chrz_8004_right, chr14_3774_left, chr9_5199_left, chr2_24761_right                                  
13     | GTR+G      | 874        | d46802243d1a043c9d63a31c789e9738 | chr2_13491_right, chr8_4030_left, chr4_2456_core, chr6_8017_left, chr5_11219_right, chr8_6230_left, chr5_3213_core, chr9_6388_right, chr2_24823_left
14     | GTR+G      | 1547       | 6024f31cc64ddd3d0e16f847e08a73ce | chr3_18421_all, chr10_5678_left, chr8_4030_core, chr3_17583_right, chr2_8786_core, chr8_9165_right, chr9_1172_core, chr3_7290_core, chr2_24864_right, chr2_24773_left, chr7_8149_core
15     | GTR+G      | 2019       | 5a802bffb3c534759a1b1eaf66da0139 | chr3_6220_core, chr7_1412_right, chr2_7393_core, chr12_5903_right, chr9_5190_right, chr7_10443_core, chr5_10201_right, chr8_4030_right, chr3_17769_core, chr3_7145_right, chr1_30659_right, chr6_3293_core, chr2_5486_core, chr11_2599_left, chr4_7513_right, chr2_7417_core, chr1_5427_right, chr1_32429_core, chr6_9493_core, chr10_4885_core, chrun_random_9893_right
16     | GTR+G      | 1237       | afc83c6d4676a2ff13ab09e96597bda9 | chrz_6036_left, chr11_4750_left, chr5_14781_right, chr3_18306_right, chr6_8800_left, chr5_1674_left, chr8_7015_right, chr3_13418_left
17     | GTR+G      | 1886       | c3ca1d830c9846e44b97c4cb23368451 | chr2_23106_all, chr6_8800_core, chr5_14763_all, chrz_1585_all, chrz_7406_left                       
18     | GTR+G      | 203        | 750448ff4a5ec29f6051c16aa838aee0 | chr3_17806_right, chr6_8800_right                                                                   
19     | GTR+G      | 125        | 8797658533be4c2d9674deee5ccf0fc9 | chr3_5644_right, chr21_1565_left                                                                    
20     | GTR+G      | 1741       | 053d783cd16d490c47a129890d862afd | chr7_1380_core, chr5_8793_left, chr1_14888_core, chr9_6291_core, chr2_18637_core, chr19_2433_left, chr2_21358_core, chr11_3558_core, chr2_13491_core, chr15_672_right, chr1_5281_right, chr8_8071_core, chr2_8629_right, chr7_1405_core, chr3_5441_core, chr21_1565_core, chr5_2305_core, chr11_3190_core, chr12_3113_right, chr3_6129_core
21     | GTR+G      | 203        | d4c76fed5f55a12853e44f4c8d6a117b | chr21_1565_right, chr20_1666_core, chr4_13410_left                                                  
22     | GTR+G      | 3100       | 9e322cb87950c7034196b38548c03152 | chr5_11258_core, chr17_2991_left, chr8_707_core, chr7_10298_right, chr6_9802_left, chr8_6860_left, chr10_4599_all, chr8_7531_right, chr6_9502_right, chr8_6872_left, chr7_4670_left, chr5_14684_core, chr1_5478_right, chr13_3033_left, chr11_1757_left
23     | GTR+G      | 708        | 580662de0b074b1eff97574d72eda340 | chr3_5559_right, chrz_11557_core, chrz_14552_core, chr7_4670_core, chr1_25705_right, chr9_1169_right, chr13_484_core
24     | GTR+G      | 1877       | 355536e47c132c56302f2eabb7f33ab9 | chrz_10691_left, chr5_10096_left, chr7_4670_right, chr3_5845_left, chr2_12819_left, chr2_24830_right, chr7_10870_all, chr6_7188_right, chr26_2766_right, chr6_7105_right, chr2_17606_right
25     | GTR+G      | 264        | b349faa1a5142248b9211dc8e29c52d9 | chr24_1203_left, chr7_1360_right, chr12_1854_left                                                   
26     | GTR+G      | 435        | 3d8ff50684069889eeb80c0d0d9e4adc | chr20_1531_left, chr11_3548_core, chr5_11822_core, chr8_4399_right, chr24_1203_core                 
27     | GTR+G      | 760        | 6d98f09fc0c64083a7a74cd1c3440b95 | chr5_18035_right, chrz_8981_left, chr2_2210_left, chr2_17541_right, chr11_1678_right, chr12_2198_left, chr24_1203_right
28     | GTR+G      | 296        | df9234530b3cc893e8125cdc902381e8 | chr1_25676_left, chr3_13462_right, chr3_7145_left, chr1_26661_right, chr1_21570_left                
29     | GTR+G      | 3818       | 9ef3038b4556ca5b7f3c4a02d469ac4b | chr8_4123_right, chrz_7997_right, chr6_4126_all, chr1_14993_left, chr3_9732_left, chr11_3545_right, chr11_3420_right, chr5_10239_all, chr4_18926_left, chr2_27294_right, chr6_9631_all, chr13_1981_right, chr12_5878_all, chr3_360_right, chr2_18724_right, chr1_21570_core
30     | GTR+G      | 1294       | 7af03ab8c388733eaed21678b53bff8f | chrz_4757_right, chr2_21782_core, chr2_14414_core, chr2_12017_left, chr3_7243_left, chr1_30549_core, chr6_7104_right, chrz_14348_right, chr1_21570_right, chr8_6872_core
31     | GTR+G      | 314        | 42bd67a44e8fe302b4fcbef0337e6a62 | chr4_7423_left, chr13_187_left, chr8_6894_right, chr2_13034_right                                   
32     | GTR+G      | 689        | ebcc356df175f22cec0f34e2091d0144 | chr5_14650_left, chr4_10149_left, chr1_30549_right, chrz_3515_left, chrz_4750_left, chr8_707_left, chr2_6040_right, chr13_187_core, chr9_2938_right
