Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 45730


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1538052.30015
Scheme AICc       : 3088673.33766
Number of params  : 6212
Number of sites   : 539526
Number of subsets : 615

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 937        | 9fce167781dc0e5925ef695f1236978a | chr2_17838_right, chrz_5971_left, chr13_720_left, chr2_8560_right, chr2_23648_left, chr24_1041_left, chr9_5199_core, chr6_8786_right, chr15_2142_core, chr5_5859_right
2      | GTR+G      | 591        | b2baa8b40038ec5cb95f2657e223c433 | chr24_1041_core, chr2_17749_left, chr1_28859_core, chrz_6615_core, chr7_9104_right, chr2_18477_left, chr5_2984_core
3      | GTR+G      | 187        | 64b2a3911d662fc42eff83a2155e7035 | chr24_1041_right, chr1_29914_left                                                                   
4      | GTR+G      | 827        | 8f6a4b786ecbc1dd219b82eeea494436 | chr5_14718_core, chr9_3638_left, chr3_457_left, chr2_24947_right, chr7_10832_left, chr2_6719_right, chr2_24823_right, chr1_37895_left, chr6_8744_left, chr3_14526_core
5      | GTR+G      | 1543       | 8b8ce501537ea3c9a970bf5fa5ad06b0 | chr6_8823_core, chr1_30659_right, chrz_1072_core, chr5_10797_right, chr4_7513_left, chr4_13410_core, chr1_5474_right, chr5_10251_right, chr6_3284_right, chr3_6124_core, chr9_1169_core, chr3_457_core, chr12_5828_core
6      | GTR+G      | 2452       | 84cbd0ed7a2a49576bf01b8651c1ac8f | chr2_8622_core, chr7_1402_core, chr2_25833_core, chr8_7462_right, chr3_457_right, chr2_12867_core, chr2_8154_core, chr7_1402_right, chr4_7258_core, chr4_4009_core, chr4_17854_right, chr4_7006_core, chr7_9143_core, chr2_5666_core, chr2_24773_left, chr6_9686_right, chr7_10505_left, chr1_5468_core, chr1_29817_core, chr7_4911_core, chr1_5427_core, chr1_27626_core, chr2_21320_left
7      | GTR+G      | 436        | a593fa68d50013d7dc66fa284f7abd74 | chr21_1612_left, chr15_3386_core, chr2_9384_left, chr3_5893_core, chrz_7824_core, chr4_13410_left, chr5_11822_core
8      | GTR+G      | 2523       | 624fdc262cdac42545111e4fb2b1a501 | chr1_5948_core, chr4_11305_right, chr1_31646_left, chr17_2965_right, chr11_3350_right, chr8_3277_core, chr5_1698_right, chr3_7394_left, chr9_6328_right, chr3_576_left, chr6_8033_left, chr8_2614_core, chr2_25860_left, chr2_9384_core, chr1_27635_core, chr11_1549_right, chr9_1130_right, chr3_5577_right, chr2_24864_right, chr5_3223_left
9      | GTR+G      | 612        | 14d0a6620bc3fb46afe0c38c154ff8b7 | chr2_9384_right, chr2_2147_core, chr10_4599_core, chr18_1500_core, chr17_2984_right, chr6_3228_core, chr12_4212_core, chr20_3192_right
10     | GTR+G      | 258        | 6a8ecf9fb039ee1188d3db23ea3a0c2e | chr8_8835_left, chrz_8004_left, chr3_16358_right                                                    
11     | GTR+G      | 2044       | cb933f5c5dd21ba7d760647429fe5e01 | chrz_8004_core, chr4_11095_left, chr7_11423_core, chr4_4926_left, chr2_12858_left, chr1_32388_left, chr2_21320_right, chr2_5758_right, chr22_640_left, chr2_21301_left, chr2_12872_left, chr12_4543_right, chr1_9589_left, chr7_10791_left, chr2_5482_left, chr1_2557_left
12     | GTR+G      | 2890       | e9fd926eb085b22b1adc866516f1327c | chrz_6036_right, chr2_23106_core, chr12_3566_right, chr4_13362_left, chr5_15939_left, chr1_32248_right, chr10_4312_right, chrz_8004_right, chr3_5687_left, chr14_3108_left, chr11_1455_core, chr4_10598_right, chr8_1617_left, chr12_5730_right, chr1_23645_right, chr3_3067_left, chr2_3186_left, chr2_24886_right
13     | GTR+G      | 601        | dd2575023f61dafa945eb6d7fe689393 | chr18_3195_right, chr18_3204_right, chrun_random_7943_core, chr1_7924_right, chr11_4756_core, chr8_4030_left, chr10_5715_left
14     | GTR+G      | 1865       | 85a781743f3384bdf7f9f99e7d6e17e9 | chr3_18421_right, chr5_10985_left, chr8_4030_core, chr17_2965_left, chr11_3350_core, chr1_32216_left, chr2_24864_left, chrz_7691_right, chr7_10735_core, chr3_3174_core, chr1_32365_left
15     | GTR+G      | 1877       | f8c77b64aaa2f5d9043f470e99013d2b | chr7_1396_core, chr3_5766_core, chr2_27234_core, chr2_23138_core, chr2_21308_right, chr6_8822_right, chr7_10609_left, chrz_11684_core, chr9_5281_core, chr9_1164_right, chr8_4030_right, chr3_6277_core, chr1_21008_core, chr1_14993_right, chr6_9536_core
16     | GTR+G      | 792        | 83470c70b5c9684dc94a9e039adbf7dc | chr2_18637_right, chrz_467_core, chr2_23113_right, chr6_4980_left, chr8_1333_left, chr6_8800_left, chr2_30193_core, chr8_6894_left, chr8_1574_right, chr1_26661_core
17     | GTR+G      | 1019       | f92fc0f9213ebc14eee444acfb863b80 | chr11_3326_right, chrz_3515_right, chr6_8800_core, chr3_5848_right, chr7_10353_left, chr1_31648_left, chr7_5446_core, chr5_10353_right, chr1_38350_left, chrz_8024_left
18     | GTR+G      | 493        | 617c1c605e62e15873746226712a8f32 | chr4_11159_left, chr1_5483_right, chr2_12816_core, chr2_8735_right, chr6_8800_right, chr7_1405_left, chr6_9474_left
19     | GTR+G      | 81         | fe43ed82007ee62aff0ce8f8088b5054 | chr21_1565_left                                                                                     
20     | GTR+G      | 1779       | d847e58358b95f4b0c68e2156245a64c | chr11_1678_core, chr7_11511_right, chr6_9799_core, chr2_9158_core, chr8_1574_core, chr21_1565_core, chr1_28710_core, chr6_3258_core, chr4_17854_core, chr2_7982_core, chr2_11187_core, chr8_8088_core, chr7_11565_core, chr1_16186_core, chr6_7254_core, chr1_32397_core, chr3_226_core, chr19_2433_left, chr8_8071_core, chr7_2725_core, chr1_5281_right
21     | GTR+G      | 195        | 4997a37837a0c3feb47a8325ad969550 | chr21_1565_right, chr13_694_right, chr2_24787_core                                                  
22     | GTR+G      | 1237       | 9762003b54fa752f142c70f7f37f40de | chr7_11511_core, chr5_3396_left, chr3_2737_core, chr7_4670_left, chr2_2794_right, chr20_5193_left, chr6_7862_core, chr2_25995_core, chr6_8114_left, chr8_8938_left
23     | GTR+G      | 429        | daad6e948572036e443ba0dadda2054e | chr2_11806_right, chr19_365_core, chr7_2690_core, chr12_5999_core, chr7_4670_core, chr1_1098_core   
24     | GTR+G      | 1337       | f0d7be98c2bc7cf8a01a92319d83ced0 | chr1_32301_core, chr2_18710_right, chr3_5478_left, chr5_14679_core, chr7_11574_core, chr7_4670_right, chr8_446_left, chr1_31709_right, chr2_17629_left, chr3_18950_right, chr1_24978_left
25     | GTR+G      | 707        | bfeaba1daee1ad612b77d0b2dcea822c | chr11_2436_right, chr4_13110_left, chr15_2142_right, chr24_1203_left, chr7_961_left, chr3_2627_left 
26     | GTR+G      | 217        | 06855026c2d8f74eedf10852805efb79 | chr10_2961_left, chr24_1203_core, chr11_6481_right, chr21_1511_left                                 
27     | GTR+G      | 1073       | 25c0946e2e87fcfcf2cce0b1bdf6807a | chr1_26323_right, chr3_24957_core, chr7_10866_core, chr2_23651_right, chr24_1203_right, chr2_17641_right, chrz_5682_left, chr3_3177_core, chr1_24978_core, chr3_226_right, chrz_7418_core, chr4_9746_left, chr2_4153_left, chr4_11155_right
28     | GTR+G      | 871        | 4478dead0f97198f6951b31d9b1e2db7 | chr7_10870_core, chr8_4091_left, chr4_6508_right, chrz_14460_core, chr2_6719_core, chr8_7536_left, chr8_199_core, chr1_21570_left, chr5_1839_left
29     | GTR+G      | 2451       | 36e4df5060b80a082de899b598938dd5 | chr1_12668_core, chrz_7901_core, chr3_362_core, chr3_18148_core, chr7_2669_left, chr7_10443_core, chr4_13387_core, chr1_38350_core, chr15_4186_right, chr2_7964_core, chr8_9156_core, chr1_21570_core, chr7_1402_left, chr20_5307_right, chr3_23027_core, chr23_249_right, chr4_13110_core, chr3_18428_core, chr6_9776_core
30     | GTR+G      | 983        | fb2e267a123ab1fa350b4b40655da079 | chr5_10096_left, chr1_21570_right, chr3_6277_left, chr2_22177_right, chr14_3108_right, chr2_24761_right, chr2_8629_left, chr2_21254_right, chr8_661_left
31     | GTR+G      | 482        | 0d4c92975cd8fb1a22c0593d23330300 | chr2_5401_core, chr13_707_right, chr3_5644_right, chr13_187_left, chr7_10800_left, chr2_16467_left  
