Scheme Name       : start_scheme
Scheme lnL        : -1892088.04517
Scheme AICc       : 3796629.27744
Number of params  : 6066
Number of sites   : 235232
Number of subsets : 596

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 328        | fc2d97469197fe54804bca9eaaacb352 | uce_1001                                                                                            
2      | GTR+G      | 178        | afeafe1e37d7cdcbe762a9f2aecb20f9 | uce_1002                                                                                            
3      | GTR+G      | 364        | 02e1906fbba123ac02bc35b81df0b4d6 | uce_1004                                                                                            
4      | GTR+G      | 315        | 6700579c7ea43ede654a3e45416bae09 | uce_1005                                                                                            
5      | GTR+G      | 510        | 35bdee05b1802f989607634e7c949236 | uce_1007                                                                                            
6      | GTR+G      | 236        | 27695c088daf5073197764d1f98dac46 | uce_1009                                                                                            
7      | GTR+G      | 474        | 3c4ba045f7053080894e6285b8ab2592 | uce_1014                                                                                            
8      | GTR+G      | 559        | c79334a85e4724383b40fee36708cc78 | uce_1018                                                                                            
9      | GTR+G      | 429        | fcbc5e8e37550d88bdce16619fe3c483 | uce_1022                                                                                            
10     | GTR+G      | 489        | 983a50754573fd60cdb871bac9359768 | uce_1024                                                                                            
11     | GTR+G      | 519        | fff0d435dbe264d8b1283585839b053b | uce_1025                                                                                            
12     | GTR+G      | 501        | 29c35078ac7c9c32cea32c46fbae0d3f | uce_1027                                                                                            
13     | GTR+G      | 525        | 4d071a4932fd10427b6c3ecd27d5dac7 | uce_1028                                                                                            
14     | GTR+G      | 260        | fe895dd7c382fea4c0f462a2daab8e15 | uce_1034                                                                                            
15     | GTR+G      | 394        | dd7d2ae8b2704ac703e3c558f9a16cfb | uce_1037                                                                                            
16     | GTR+G      | 304        | 1d409d9b297ff872a4ccb4c74d334bdb | uce_1041                                                                                            
17     | GTR+G      | 464        | 2485ed0c7a0f25ce5e32aae800ad61ac | uce_1042                                                                                            
18     | GTR+G      | 303        | e7551d059dd44e88b52ae86ac9ec97f9 | uce_1044                                                                                            
19     | GTR+G      | 266        | 1d4e0ec19e819258a239643166395e08 | uce_105                                                                                             
20     | GTR+G      | 465        | 844de4fb076eb7230b8142afddcd6f79 | uce_1051                                                                                            
21     | GTR+G      | 445        | 12af5fdb55d7a5fba5a33e7cb232595d | uce_106                                                                                             
22     | GTR+G      | 454        | 479928ba6d86b70eff365e27558cdf68 | uce_1060                                                                                            
23     | GTR+G      | 534        | fd62803ca1ae82ae25a99c38544cffb6 | uce_1062                                                                                            
24     | GTR+G      | 246        | 6ceb691af59d056b740fee0c264d96de | uce_1063                                                                                            
25     | GTR+G      | 421        | 3cf503850325d26ddce090caad310266 | uce_107                                                                                             
26     | GTR+G      | 383        | 874fd58da38c1790b9f84d658581cf08 | uce_1074                                                                                            
27     | GTR+G      | 414        | b0e873ad5e5304e67e18be09e39d2f2c | uce_1075                                                                                            
28     | GTR+G      | 414        | b17e0a9e8494e0c15a67e19afb67a6fb | uce_1078                                                                                            
29     | GTR+G      | 238        | aecc008ca72b86bfd3f93d2fd438b172 | uce_1079                                                                                            
30     | GTR+G      | 397        | 2c3bfe2a2ea838f09d6d9c348e6eaf99 | uce_108                                                                                             
31     | GTR+G      | 396        | 19338b17ae5e4078500abda9c0368876 | uce_1080                                                                                            
32     | GTR+G      | 783        | f11636d6daf9916b50f2445d981d789f | uce_1082                                                                                            
33     | GTR+G      | 300        | c459ed18f660c832c490ca8148f9f2a5 | uce_1085                                                                                            
34     | GTR+G      | 375        | 3ba4a8820754b95e4a6e446e1fbd2ec2 | uce_1091                                                                                            
35     | GTR+G      | 341        | 0a4bb29d462566a0eab9c1bd9ffdd84c | uce_1092                                                                                            
36     | GTR+G      | 616        | 3e5d079903922c582987464f59c93345 | uce_1095                                                                                            
37     | GTR+G      | 399        | ec6709a7febabe433d8e884703fdde81 | uce_1096                                                                                            
38     | GTR+G      | 436        | e2009ea35e078eb929cd09777d38aeb8 | uce_1097                                                                                            
39     | GTR+G      | 505        | dadcc05831fc62127188195c1d0784d5 | uce_11                                                                                              
40     | GTR+G      | 279        | bc5221276dbdaad25a365c86ec5a40f6 | uce_110                                                                                             
41     | GTR+G      | 448        | 63a257de57d526b3df26cfcb214a82db | uce_1101                                                                                            
42     | GTR+G      | 260        | a82e3b6f46966a7871986b910e109cb6 | uce_1102                                                                                            
43     | GTR+G      | 263        | 53315e2640ca7bf69d31314da392c5f1 | uce_1105                                                                                            
44     | GTR+G      | 331        | 70de0fe44067457d2d48d775e6123b08 | uce_1110                                                                                            
45     | GTR+G      | 419        | 04a50de372a8afb23111aac55a791883 | uce_1112                                                                                            
46     | GTR+G      | 705        | bb07dc238c0e8f00fed1a84078d00755 | uce_1113                                                                                            
47     | GTR+G      | 405        | 62ee23e7e0425ac9cf812e5172dc48e3 | uce_1117                                                                                            
48     | GTR+G      | 372        | 945f47a8087a1b4efc2154ed45c78ff2 | uce_1118                                                                                            
49     | GTR+G      | 395        | d14d65e9a03a5b600842001a2b21785d | uce_1121                                                                                            
50     | GTR+G      | 552        | aa2fbda7ef540a7691dadad75d7a646a | uce_1122                                                                                            
51     | GTR+G      | 416        | 039ce43759219cd4907bddb60a58b219 | uce_1123                                                                                            
52     | GTR+G      | 434        | e2f6746248417f98efa1ff9bc05db0c3 | uce_1126                                                                                            
53     | GTR+G      | 224        | e47bdc2bd2ef4a80ee1196ec98e27e23 | uce_1128                                                                                            
54     | GTR+G      | 357        | 0fa55cdb9285885abfb6e2aa8394eb9f | uce_1131                                                                                            
55     | GTR+G      | 219        | 0f3fe62877602d4e9bd681c7a6ee6f06 | uce_1132                                                                                            
56     | GTR+G      | 312        | e5c03e3f1f088503ec8962d70a799f7c | uce_1134                                                                                            
57     | GTR+G      | 430        | d4c77e4d5b6dbd004c63a2e00e32a0ef | uce_1135                                                                                            
58     | GTR+G      | 445        | 360b3417c3968446a479d3f326103dd0 | uce_1136                                                                                            
59     | GTR+G      | 255        | f915ab2f2b571fd2359cd224a3498849 | uce_1137                                                                                            
60     | GTR+G      | 479        | 21137e2c84325c2b4be53f771f26f5ad | uce_1138                                                                                            
61     | GTR+G      | 275        | db74e4ab7ce465ce04293afbffe990a5 | uce_1139                                                                                            
62     | GTR+G      | 321        | b5aeb93a13500cffee0a3f1fc11e5dc6 | uce_1142                                                                                            
63     | GTR+G      | 447        | c4b60eb22caaaf39c2ce22548f34d157 | uce_1143                                                                                            
64     | GTR+G      | 337        | 1b502a16c1a070ab8eb8402091b23d35 | uce_1148                                                                                            
65     | GTR+G      | 176        | 188ee4700d66aa0edd9cc0fa07e41f94 | uce_1151                                                                                            
66     | GTR+G      | 468        | c82da033955108ecc4c51cdd3bb61b96 | uce_1155                                                                                            
67     | GTR+G      | 281        | 465eb1beda75bf10fef1536a8b42e339 | uce_1157                                                                                            
68     | GTR+G      | 405        | 2c1a5a43167aaaaae176a3323af5ad06 | uce_1158                                                                                            
69     | GTR+G      | 381        | 51e00b893774557c3117a7271246fb23 | uce_116                                                                                             
70     | GTR+G      | 437        | 57ccbbff1ddf17e8a7bfaae2b274f93f | uce_1160                                                                                            
71     | GTR+G      | 330        | f823e6dfa683c6fd1132ccb945fcfa4f | uce_1165                                                                                            
72     | GTR+G      | 251        | 10dee04981953024ab1bd1dc83188117 | uce_1168                                                                                            
73     | GTR+G      | 621        | d2f03099c5fdd550682159e8ad678611 | uce_1171                                                                                            
74     | GTR+G      | 384        | 3b411218cf6100f290444044284a355e | uce_1173                                                                                            
