Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 30930


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -1202239.07748
Scheme AICc       : 2413048.38923
Number of params  : 4246
Number of sites   : 465241
Number of subsets : 423

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 847        | a68076e874b375d6bd8ebeee709efb4d | chr5_11266_right, chr7_6190_left, chr2_6444_left, chr10_2828_left, chrz_6110_right, chr2_21782_right, chr9_7138_right
2      | GTR+G      | 635        | 633d9253dabeed1b154fa27bf808a824 | chr3_21577_left, chr7_11479_left, chr20_309_left, chr10_2828_core                                   
3      | GTR+G      | 412        | d4899c49b34e530f3444732c9509c838 | chr1_39151_all, chr10_2828_right                                                                    
4      | GTR+G      | 2531       | 11dd4dfda750b32e441df80ad971b871 | chr18_3214_left, chrz_6800_left, chr2_24830_right, chr10_4660_all, chr3_6115_right, chr2_18606_left, chr2_8154_right, chr6_8771_core, chr4_2456_left, chr11_3231_left, chr2_11732_left, chr2_21313_core, chr10_4312_all, chr1_32597_right, chr6_7241_left, chr7_6327_left
5      | GTR+G      | 1075       | b4c833f948b9498e2da5029a431e1b67 | chr2_7435_left, chr9_7138_left, chr1_28747_left, chr10_4575_left, chrz_11420_left, chr3_18306_right, chr2_25261_right, chr5_3407_left
6      | GTR+G      | 1471       | 9beec52e192fe174866dec1b37a7f31b | chr2_23648_left, chr5_3213_right, chr6_3274_all, chr10_4575_core, chrz_6036_right, chr1_32234_core, chr7_11510_right, chr8_3451_right, chr2_11187_right
7      | GTR+G      | 1314       | 91e84db14a3cdc12f632c24d36d212a2 | chr6_3252_core, chr4_13410_right, chr2_6336_right, chr10_4575_right, chr7_10865_core, chr24_1019_all, chr9_7189_right
8      | GTR+G      | 1376       | 27178638374a546d4706335f96492507 | chr2_25261_left, chr2_24704_left, chr3_338_right, chr5_14679_all, chr8_4403_right, chr10_4599_left, chr5_10052_left, chr3_5767_right, chr7_9143_left
9      | GTR+G      | 1939       | 6d04824dbf8231654da4ab452cae73ca | chrz_8179_left, chr3_6253_right, chr10_4599_core, chr2_21313_left, chr1_34773_right, chr4_6508_core, chr7_6205_left, chr8_4947_core, chrz_14313_right, chr2_13044_core, chr5_14166_right, chr11_6443_all, chr8_2110_left
10     | GTR+G      | 2415       | 0546eb0d62f3fef2d2c25cd465a290e5 | chr3_9734_left, chr7_10377_left, chr5_11269_left, chr1_31095_left, chr2_24799_left, chr1_34775_right, chrz_14208_left, chrun_random_73_left, chr3_3177_left, chr1_5316_left, chr7_10882_right, chr10_4599_right, chr7_1412_left, chr9_3633_left, chr3_5675_left, chr6_7323_right, chr7_9078_left, chr5_10096_right
11     | GTR+G      | 1211       | 3d1045ab88f92c66257e9f20d7443ef6 | chr5_10384_right, chr7_10353_left, chr2_17775_right, chr10_4748_left, chr1_5333_right, chr5_11146_right, chr3_362_left, chr5_11783_right
12     | GTR+G      | 1062       | 131eef91226a3cedbbe6b3aed76cd928 | chr8_9158_right, chr5_11660_core, chr11_1600_left, chr6_4101_core, chr2_7393_core, chr1_5509_core, chr10_4748_core, chr4_13277_core
13     | GTR+G      | 2534       | 748110a5e7f3f86705f1856616499d44 | chr7_10832_right, chr1_31767_right, chr10_4748_right, chr1_5474_left, chr2_21303_core, chr6_9502_right, chr5_1698_left, chrz_6778_right, chr6_8771_left, chr5_1649_right, chrz_11479_core, chr7_5015_left, chr9_6328_left, chr3_451_core, chr10_5708_all, chr3_17806_left
14     | GTR+G      | 2460       | b322ceb224d7400a4f4b9768e7b2aea6 | chr11_1757_right, chr2_13044_right, chr2_14269_left, chrz_3271_left, chr7_6238_left, chr7_10603_right, chr2_25851_right, chr20_1620_core, chr3_5529_left, chr10_4758_all, chr2_5512_core, chr19_346_left, chr7_4674_left, chr8_2110_core, chr5_11258_left, chr6_3291_left
15     | GTR+G      | 459        | b46745b11ff615213e3f18fe7c52218d | chr10_4790_left, chr8_8832_right, chr3_18703_left                                                   
16     | GTR+G      | 1051       | c806019b881c093844f08805b84ac9c8 | chr4_13330_core, chr5_3386_core, chr2_17527_core, chr11_3419_left, chr3_21776_left, chr2_18572_right, chr10_4790_core
17     | GTR+G      | 1203       | 083d70fc8acd3478c33cd88b935c55da | chr5_14756_left, chrz_14460_right, chr1_32333_left, chr5_10135_core, chr3_18421_right, chr3_5766_left, chr10_4790_right
18     | GTR+G      | 1549       | c8b3c8be3eb81da8d3d6ec6db381f00a | chr1_26661_left, chr3_25156_all, chr5_1757_right, chr7_10849_right, chr3_25095_right, chr10_5022_left, chr2_24766_left, chr2_22616_left, chr3_6231_core, chr2_18714_left, chr3_24903_right, chr7_10494_right
