Settings used

alignment         : ./McCormack_2013-permut-13.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 46190


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -1555567.98116
Scheme AICc       : 3121763.63375
Number of params  : 5262
Number of sites   : 539526
Number of subsets : 520

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2258       | 520d92783d4b2f85f1da35ce871304e5 | chr2_11740_right, chr2_24947_core, chr2_18724_right, chr2_23687_left, chr3_491_core, chr6_3215_right, chr5_11245_core, chr6_9746_left, chr3_5687_left, chr2_23113_core, chr12_5739_left, chr2_21265_core, chr2_25261_core, chr6_9802_left, chr3_5552_left
2      | GTR+G      | 895        | 8db500afd2fddc1780258f0c23323421 | chr8_7536_right, chr3_3177_core, chr12_2162_right, chr7_7475_left, chr12_5739_core, chr1_15118_right, chr3_338_right, chr1_8428_left
3      | GTR+G      | 1723       | b859d2f22a4372866d993cbfd1c56566 | chr5_10797_right, chr5_17281_core, chr2_25860_left, chr11_6058_right, chr2_23507_core, chr1_14899_left, chr3_5577_left, chr5_3213_core, chr12_5739_right, chr3_7281_core, chr3_7394_core, chr6_9783_left, chr1_31749_right, chr11_3428_left, chr13_727_right
4      | GTR+G      | 1196       | 20e212d6ab965dc449bf91138a861903 | chr3_6277_core, chr11_3548_core, chr7_10489_left, chr8_2110_left, chr6_5979_core, chr7_9078_core, chr2_21409_left, chr13_2300_core, chr2_7190_left, chr2_11191_core, chr9_3633_core, chr23_16_left, chr3_3016_right, chr13_710_left
5      | GTR+G      | 1098       | 1905835b64e1daefef4c5d2fa34380a8 | chr6_3274_right, chr24_1203_core, chr7_6205_right, chr4_7559_right, chr6_3326_left, chr12_5913_right, chr6_8114_core, chr2_24763_right, chr13_2812_right, chr7_10489_core, chr11_6443_left, chr11_4858_right
6      | GTR+G      | 1035       | e4107e5e0ee81a5084d784bd8eaa91c5 | chr3_2627_right, chr3_3174_right, chr10_4660_right, chr6_4109_core, chr12_1854_left, chr2_24947_left, chr8_7335_core, chr6_3086_core, chr22_491_left, chr6_8800_left, chr3_18906_right, chr2_19349_left, chr7_10489_right, chr3_14143_core
7      | GTR+G      | 2092       | c8c3de8dd0bbb88b531c122eea8a4485 | chr8_7015_left, chr5_10353_right, chr14_3774_core, chr2_23175_core, chr4_18935_left, chr3_11879_left, chr1_27500_right, chr9_6328_left, chr6_3274_core, chr2_8786_left, chr3_226_left, chr11_1787_left, chr2_17639_core, chr9_1949_core, chr11_3231_right, chr4_2417_right, chrz_4841_left, chr7_10160_left, chr1_31076_right
8      | GTR+G      | 422        | d6fbd93c9e933b59de1ebfb6039e2d09 | chr6_3189_left, chrz_4075_left, chr2_8786_core, chrz_1330_left, chr1_5495_right                     
9      | GTR+G      | 1160       | ffbedd6ce498edd2ede1d64f2e4cf754 | chr2_13894_right, chr6_9776_right, chr1_24864_right, chr24_2269_right, chr3_5848_left, chr9_6291_core, chr3_3016_core, chr2_8786_right, chr7_1669_core
10     | GTR+G      | 1864       | 55d24997fc655e2e0bda10af0a34499c | chr4_11155_left, chrz_483_right, chr8_446_core, chr1_35494_core, chr6_10013_core, chr1_16539_right, chr2_23595_right, chr1_32334_left, chr1_6051_core, chrz_11558_left, chr2_14319_core, chr5_11146_left, chr3_7394_left, chrz_6686_left
