Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41870


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1540521.25571
Scheme AICc       : 3094082.23129
Number of params  : 6442
Number of sites   : 539526
Number of subsets : 638

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 311        | 7d09126d7e6dd05f8642e9d5d699f136 | chr12_5975_right, chr5_12349_left, chr24_1041_left, chr8_6259_right                                 
2      | GTR+G      | 511        | 31935314d0ca8c68f7a1eeffd1837545 | chr24_1041_core, chr5_12017_left, chr20_5307_core, chr5_11167_right, chrz_6036_core, chr5_11286_left, chr4_1323_core
3      | GTR+G      | 865        | 9263e1d8dcb4acf7af14cbc1655709ea | chr6_9838_right, chr1_27615_left, chr2_6040_core, chr12_1854_left, chr2_24251_left, chr24_1041_right, chr8_8890_right, chr3_292_right
4      | GTR+G      | 616        | f0123d6d9fb8bd6d57ac8c72e47d1551 | chr17_3028_right, chrz_4787_core, chr4_13384_core, chrz_4723_right, chr3_457_left, chr7_10160_core, chr4_11159_right, chrz_5682_left
5      | GTR+G      | 1096       | 10f2d391ea5a6a56f3082744cfc0e1a1 | chr7_4670_core, chr1_25705_right, chr2_22625_left, chr3_5552_core, chr2_23507_core, chr5_14666_core, chr3_457_core, chr4_7258_core, chr3_5522_core, chr11_2599_core, chr2_24815_right
6      | GTR+G      | 1353       | d156a7d737c6db8259a68e4709bbfcfb | chr3_25095_core, chr19_365_right, chr7_1417_core, chr7_1360_core, chr4_17854_right, chr3_5877_core, chr5_11146_core, chr6_3324_core, chr3_457_right, chr7_4732_core, chr6_3100_right, chr8_7491_core, chr2_6746_right, chr15_672_core, chr1_1098_left
7      | GTR+G      | 3054       | 5ba0859f66807b8994bdde864f354bdd | chr4_7593_right, chr2_6728_left, chr18_3183_left, chr9_1130_left, chr1_5316_left, chrz_3388_all, chr1_23645_left, chr1_25705_left, chr6_7340_all, chr1_24864_right, chr7_11423_core, chr3_18306_right, chr5_1674_left, chr2_23651_right, chr9_3551_all, chrz_3148_right, chr2_9384_left
8      | GTR+G      | 1248       | 4c28f6c665ff113e376f3196a1b43a63 | chr1_14872_all, chr2_9384_core, chr12_5895_all, chr7_1417_right, chrz_11525_core                    
9      | GTR+G      | 1331       | 24477445cf28b7dab2b868f9aa3a7b8b | chrz_6735_core, chr2_9384_right, chr5_10260_right, chr3_7243_right, chr26_2766_left, chr1_32299_core, chr3_16358_left, chr3_3118_core, chr20_1656_core, chr2_14258_right, chr5_11018_right, chrz_11372_left, chr19_2433_right, chr8_6259_left, chr9_1164_core
10     | GTR+G      | 1381       | d23167f5963cc2fa1fcc9cbedf0e9a45 | chr4_13330_left, chr6_10028_right, chr5_11359_left, chr5_10160_left, chr1_2746_left, chrz_7418_right, chr11_3548_left, chr9_6388_left, chr3_19987_left, chr8_3473_core, chr3_7255_right, chr1_20733_left, chrz_8004_left, chr3_14526_left, chr2_18926_core
11     | GTR+G      | 1462       | acc51174cefcc4d0d2ff9b2cfb5d1352 | chr3_2627_right, chr3_18148_left, chr20_5169_right, chr12_1854_right, chr12_5970_all, chr1_5495_left, chrz_8004_core, chr12_5999_left, chr1_25682_right, chr12_5975_left
12     | GTR+G      | 1305       | 04f25f36417ff2b57b8871cecc006698 | chr15_3386_core, chr2_24774_left, chr1_15480_left, chr8_3308_left, chr5_10313_left, chrz_8004_right, chr4_6508_left, chr2_17838_right, chr1_2557_left, chr2_5482_left
13     | GTR+G      | 1313       | aa2276cb7b21dc9eaddbd09232d9025e | chr1_28639_left, chr2_24784_right, chr8_8071_left, chr8_6894_left, chr12_1854_core, chr22_865_right, chr8_4030_left, chrz_4759_left, chr2_24763_left, chrz_3515_core
14     | GTR+G      | 1860       | a26df8b2446bdae1d3aff30e520f2f69 | chr8_4030_core, chrz_14348_core, chr1_28660_left, chr3_18421_all, chr12_5897_core, chr7_4715_right, chr8_8938_core, chr6_3144_all, chr2_8786_core, chr2_24773_left
15     | GTR+G      | 637        | 954905ad2396bf8ba2a8fca4d114f48c | chr8_9165_core, chr6_3326_core, chr8_4030_right, chr7_10832_core, chr3_16358_core, chr19_365_core, chr1_2522_core, chr6_9559_core
16     | GTR+G      | 841        | 3e52d59745d2493c1b82066da31888ed | chr2_13491_right, chr7_3146_right, chr4_6508_core, chr6_9522_right, chr1_7924_right, chr2_17666_left, chr6_8800_left, chr9_6291_left, chr6_8822_right
17     | GTR+G      | 2699       | ae50a33606c200431d888cb9a07a08af | chr1_5365_all, chr3_20632_all, chr2_4100_left, chr22_640_all, chr5_11822_left, chr1_30195_core, chr2_17775_right, chr6_9069_right, chr3_24787_right, chr6_8800_core, chr3_17623_core
18     | GTR+G      | 462        | e907b49bd03da7d93b6ed9388682e678 | chr3_5552_left, chr10_4660_left, chr8_2110_right, chr4_7243_right, chr5_5191_right, chr6_8800_right, chr2_25941_right
19     | GTR+G      | 75         | a9348dd7e3df511775ba7d424f9cc558 | chr21_1565_left                                                                                     
20     | GTR+G      | 1429       | 12e2490b92e60a84405754ccc02c142c | chr7_1405_core, chr2_8629_right, chr3_5441_core, chr21_1565_core, chr11_3190_core, chr5_2305_core, chr3_6129_core, chr12_3113_right, chr7_1380_core, chr5_8793_left, chr9_6291_core, chr1_14888_core, chr2_13491_core, chr15_672_right, chr1_5281_right, chr3_6124_core
21     | GTR+G      | 205        | 2597752cb47d316ace0397029c213e40 | chr21_1565_right, chr23_232_right, chr1_5474_left                                                   
22     | GTR+G      | 802        | 5b829ee96984d76205956ac83549c2a7 | chr2_11191_core, chr11_1678_left, chr2_18637_left, chr21_1536_left, chr7_4670_left, chr2_11191_left, chr9_7148_left, chr6_7862_right
23     | GTR+G      | 1125       | 774aaaffaf128b2e89a88e58183b8666 | chrz_7497_right, chr7_11574_core, chr1_5495_core, chr5_11219_left, chr7_4670_right, chr3_18703_core, chr1_14864_right, chr8_4221_all
24     | GTR+G      | 175        | d94c5ccc9cf82f77066a6ba2103b85b1 | chr24_1203_left, chr7_9558_core, chr11_6038_left                                                    
25     | GTR+G      | 762        | ca13931bf8cb4c041cf4c2245e988c6a | chr24_1203_core, chr5_11822_core, chr6_9046_right, chr26_2216_left, chr12_3115_core, chr20_1531_left, chr3_9709_core
26     | GTR+G      | 646        | 202cb48946488b0f94d8929c2d7fdbba | chr7_10285_left, chr5_10327_left, chr24_1203_right, chr1_2979_left, chr7_10377_left, chrz_13094_right, chr8_851_core, chrz_7924_left
27     | GTR+G      | 263        | 883efd3cad1ad9a9b6b27c619495213c | chr11_6387_right, chr1_21570_left, chr4_11110_core, chr1_5479_right                                 
28     | GTR+G      | 1282       | 5b966e483dae0ff49a3d599081bddc38 | chr20_5307_right, chr1_24640_right, chr7_1380_left, chrz_6686_right, chr8_4123_right, chr1_21570_core, chrz_7997_right, chr11_3545_right, chr10_5715_right, chr2_26639_left, chr10_5678_right
29     | GTR+G      | 1231       | d2eda3cb4ce322dfadf29ed8116a56f6 | chr1_21570_right, chr12_3115_right, chr4_7278_right, chr1_24802_right, chr9_3520_right, chr4_14147_right, chr14_3614_core, chr6_3001_right, chr3_3158_left, chr6_9776_left, chr5_10164_left
30     | GTR+G      | 338        | c66f22ca85e360e8fdd325775996f9f7 | chr7_9558_right, chr11_4723_left, chr13_187_left, chr1_32194_left                                   
31     | GTR+G      | 826        | 4db195a3bbbd3ae0996f9034b7db2331 | chr5_10192_right, chr7_4505_left, chr2_17569_right, chr7_961_left, chr2_6040_right, chr1_30549_right, chr1_22025_left, chr1_28889_left, chr3_13462_right, chr13_187_core
32     | GTR+G      | 2344       | 1335684d9fe270490ee1763d8a3c5315 | chr9_6328_all, chrz_12021_right, chr13_187_right, chr7_6308_right, chr1_32248_all, chrz_6036_right, chr6_9046_left, chr5_15939_right, chr2_5758_right, chr3_5687_core, chr7_1378_left, chr4_10894_all, chr6_8806_left, chr2_13034_left
33     | GTR+G      | 189        | 8cf7f94baf0f86bb067727340912fce1 | chr7_3146_left, chr2_23651_left, chr9_6547_core                                                     
34     | GTR+G      | 867        | 528d9f486def0d5f32c6645158f8732c | chr11_2305_left, chr4_7577_core, chr11_3558_left, chr9_3638_core, chr7_3146_core, chr2_13032_right, chr6_9522_core, chr1_13025_core, chr2_18665_core
35     | GTR+G      | 860        | b55bfa552ab6f5c403b51c415302e237 | chr7_2784_right, chr2_12872_left, chr2_12861_left, chr1_14864_left, chr5_3273_right, chr2_9409_right, chr5_1839_right, chrz_14460_left
36     | GTR+G      | 847        | 072ebe3ed974b04566728c80ccf3a853 | chr1_16391_left, chrz_5668_left, chr2_12872_core, chr2_14414_left, chr1_5509_left, chr12_1396_right 
37     | GTR+G      | 269        | b5080b6b8a24b38a976c62894e20cfd7 | chr1_28889_right, chr2_12872_right, chr8_8938_right                                                 
38     | GTR+G      | 1686       | 31e825f14801620d631596d4686cb66c | chr3_20402_right, chr20_1391_right, chrz_6778_right, chr15_4186_right, chr6_4980_left, chr20_2737_core, chr1_2979_core, chr11_3108_all, chr2_24251_core, chr5_10096_core, chr11_4735_core, chr2_21324_right
39     | GTR+G      | 175        | e12d5815e1fb099e3783551180f21100 | chr1_33124_left, chr2_24251_right                                                                   
40     | GTR+G      | 1177       | 1c054c38fcd2df99b46f45ffe13ca01f | chr3_21547_core, chr20_1164_left, chr1_27560_core, chr9_6343_left, chr1_33124_core, chr1_28889_core, chr2_9120_left, chr5_3386_left
41     | GTR+G      | 677        | ef082e8b4d8f85f1911ece96c1ea40a0 | chr2_16700_right, chr8_4014_left, chr21_1554_right, chr3_3350_right, chrz_3358_core, chr7_10866_core, chrz_6700_right, chr2_24787_left
42     | GTR+G      | 2496       | 1b4e63d7f677801b1581267480e1a6a1 | chr8_4014_core, chr1_14389_core, chr6_8822_core, chr17_2984_core, chr7_10269_right, chr11_1999_core, chr2_18637_core, chr19_2433_left, chr7_9104_core, chr6_3100_core, chrz_11659_core, chr3_491_right, chr5_10201_core, chr2_27310_right, chr7_10370_left, chr11_6409_core, chr6_3324_left, chr3_5767_right, chr8_8942_right, chr5_10846_core
43     | GTR+G      | 783        | 140f04634ddc65447b6e89444bb4b8f1 | chr8_4014_right, chr3_1249_core, chr14_3723_right, chr2_23690_left, chr8_3308_right, chr2_21303_left, chr2_6719_core, chr7_961_right
44     | GTR+G      | 3087       | 33adeaddbf91cbfac1e3e416d79aeb5d | chr1_32461_core, chr3_5482_left, chr2_24807_right, chrz_6570_all, chrz_11477_right, chr10_4411_left, chr5_3001_all, chr8_4410_right, chr3_509_right, chrz_7691_right, chr6_3226_core, chr11_3450_right, chr3_5924_left, chr1_32398_left, chr2_24830_core, chr1_1378_core
45     | GTR+G      | 1527       | 78dc556d2294b56ed905dde5a289f660 | chr6_8057_right, chr3_5877_right, chr7_4732_right, chr11_2528_right, chr2_13894_right, chr1_5492_core, chr8_8897_right, chr1_31092_left, chr1_5479_left, chr4_10598_core, chr3_5482_core
46     | GTR+G      | 211        | 6d25f5511e76d0a6866278be38d7db37 | chr5_1700_left, chr3_5482_right, chr3_1282_right                                                    
47     | GTR+G      | 117        | cd5df82f97be69a1fcf2c34e266f15cc | chr12_6056_left, chr5_14590_left                                                                    
48     | GTR+G      | 1236       | 52e1d39162935d2e6605cfc3ec1e381a | chr7_10370_core, chr1_14899_right, chr15_4186_core, chr5_14590_core, chr7_5228_right, chr1_32333_core, chr3_300_core, chr6_3291_core, chr12_6056_core, chr6_4125_right, chr2_23192_core, chr2_12861_right, chr2_14216_right, chr2_17517_right, chr6_9784_right
49     | GTR+G      | 2088       | 009494b8d8a693f012145ebc135da6b9 | chrz_4781_left, chr4_13387_all, chr11_6465_left, chr7_4746_left, chr13_1644_right, chr11_2537_left, chr5_14389_left, chr2_21402_left, chr5_14590_right, chr5_14620_core
50     | GTR+G      | 1331       | a1df44ec599346898db6cb354d03ce44 | chrz_11569_right, chr7_10530_all, chr6_9571_left, chr3_18428_left, chr12_5678_all, chr2_27310_left  
51     | GTR+G      | 810        | 34465731b539dc838165a7504fa01364 | chr1_14993_right, chr6_9536_right, chr9_3520_core, chr7_10445_right, chr8_4403_left, chr3_18428_core
52     | GTR+G      | 1796       | 64250b6edb9bcd688d44beddcca57714 | chr1_27556_core, chr5_10047_right, chr9_3566_core, chr1_5281_core, chr10_3040_core, chr3_16820_left, chr19_2460_right, chr3_18428_right, chr23_249_core, chr11_6443_right, chr2_5758_core, chr13_711_left
53     | GTR+G      | 437        | c625d54c20b649d0879879918b1cd29b | chr20_810_right, chrz_7936_left, chr2_11740_left, chr10_974_right                                   
54     | GTR+G      | 1051       | 012a3a0962ddc010f9f38eb81183fdac | chr2_17686_core, chr2_14319_core, chr2_8747_left, chr3_22983_core, chrz_7936_core, chr2_12858_core, chr5_10375_core, chr1_23645_core, chr20_810_core, chr1_5468_core
55     | GTR+G      | 1374       | 317d4a1036172643cacdad9ef4e86013 | chr6_4104_left, chr7_10430_left, chr3_9709_left, chr17_3013_right, chr8_7449_core, chrun_random_8931_right, chr12_5828_left, chr5_11822_right, chr13_696_left, chr7_2753_right, chr9_1172_left, chr1_25675_all, chrz_7936_right
56     | GTR+G      | 758        | c90902e06a6a0980a7620ce04c5f9fa8 | chr4_13413_core, chrz_3280_left, chr9_1949_core, chr1_26323_left, chr6_7105_core, chr8_7531_core, chr12_5852_right
57     | GTR+G      | 738        | 3bfc10a1a229e256d4dcffa138d55cff | chr3_7290_right, chr11_2436_core, chr10_4414_core, chrz_3280_core, chr5_11772_core, chr2_11740_right, chrz_6047_core, chr1_25705_core, chr3_5601_core, chr5_10252_core
58     | GTR+G      | 442        | 16efdb7aaab3a68664cd7f135b98639f | chr6_9464_core, chr5_11219_right, chr4_2456_core, chr6_8017_left, chrz_14545_left, chrz_3280_right  
59     | GTR+G      | 1287       | 67e24c3c335a2873d8f6900461dee5ae | chr4_13330_right, chr2_17595_right, chr5_1700_core, chr20_3192_right, chr7_10353_right, chr1_24802_core, chr5_1771_left, chr1_39151_core, chr2_21308_right, chr3_7394_right
60     | GTR+G      | 3631       | 92bf42e928a2a75dc7e49f6a6a2ba91a | chr2_14426_left, chr2_23106_all, chr3_5522_left, chr5_14620_left, chr7_6333_all, chrz_11267_right, chr5_14763_all, chr2_17831_left, chr3_3067_left, chr5_5848_right, chr5_1700_right, chr1_33124_right, chr3_5494_left, chrz_14348_left, chr5_13655_all, chrz_5682_core, chr4_7577_left, chr2_2794_left
61     | GTR+G      | 982        | 4968fc892753387609b3f605daee8e11 | chr5_11293_left, chr14_888_core, chr7_1405_left, chrz_6695_core, chr9_6300_core, chr2_13502_right, chr7_10613_left
62     | GTR+G      | 246        | 6c18b3aa03edc024292f31f1007dea2f | chr23_16_right, chr6_9828_core, chr7_1405_right, chr2_5526_right                                    
63     | GTR+G      | 588        | 212694aef36052a540ae0f2b08c7c2ee | chr2_24773_right, chr8_5056_core, chr1_7424_left, chr8_8832_right, chr6_9474_left, chr2_26586_left, chr2_13491_left
64     | GTR+G      | 2121       | 12d83fe8cd1b7fb78a1739c1c0aa9f98 | chr6_9493_core, chr1_32429_core, chr1_14909_right, chr3_5777_right, chr1_27496_right, chr5_14664_core, chr4_7258_left, chr24_2248_left, chr12_6056_right, chr6_3258_right, chr1_15632_core, chr2_22177_core, chr1_7424_core, chr11_1999_right
65     | GTR+G      | 377        | 05a7a3b84e4b21b3479d26da3da516b4 | chr1_25407_core, chr1_7424_right, chr1_30549_left, chr13_710_right, chrz_11477_left                 
66     | GTR+G      | 1605       | 5b22cd2eabda3bf5d18272c193046655 | chr3_338_core, chr1_32299_left, chr2_5666_left, chr1_16170_left, chr2_23690_core, chr3_7281_all, chr8_8942_left, chrun_random_9491_right
67     | GTR+G      | 329        | 7625d2adb8376a4d6d8010d3dc4d3bcf | chr1_15412_right, chr1_16170_core, chr1_5437_left, chr6_3274_right                                  
68     | GTR+G      | 1173       | e397c3779bdf868413d679181692ac5d | chr9_2938_left, chr1_37895_left, chr5_11156_left, chr1_16170_right, chr5_14781_core, chr2_7523_core, chr11_4750_left, chr3_24957_right, chr2_18704_left, chr1_5948_left, chrz_11569_left
69     | GTR+G      | 1333       | d82c8bc5c9f7c8ce53dbfe45fcd22514 | chr6_7105_right, chr2_14284_right, chr7_11485_core, chr1_5483_left, chr7_10800_all, chr9_2486_left  
70     | GTR+G      | 373        | 5100d12dfa6da10683fbda5f8ef76dea | chr2_18650_core, chr7_5446_core, chr1_5483_core, chr6_9800_left                                     
71     | GTR+G      | 2384       | f2e9103dbc8601e6f44e40ceb5ebd734 | chr5_1669_all, chr18_2706_core, chr5_14870_left, chr3_24957_left, chr11_1786_left, chr1_32247_all, chr2_8769_left, chr2_12816_all, chr1_5483_right, chr5_17281_left
72     | GTR+G      | 632        | 91cec48fffb997c3a4b9588de0dfdc91 | chr6_2428_right, chr2_4395_right, chr1_15632_left, chr5_14666_right, chr6_9822_core, chrz_6062_core 
73     | GTR+G      | 1026       | 8ef1260e454d72b3d94167ecb42167a4 | chr3_5661_core, chr1_15632_right, chr3_2724_all, chr18_2269_core, chr2_7957_right, chr12_5975_core  
74     | GTR+G      | 729        | a5ab87d435f2f2bb3578566747a768d5 | chr2_7954_core, chr11_4777_left, chr9_5199_core, chr7_11606_left, chr5_3415_left, chr2_13001_left, chr1_32208_left, chr1_35494_left
75     | GTR+G      | 1831       | e40b431200d6da5356dd7d4b35dd1e80 | chr2_24662_core, chr2_11187_left, chr15_672_left, chr1_32216_left, chr9_6388_right, chr2_24823_left, chr13_408_right, chr2_7957_left, chr8_661_left, chr2_11708_left, chr19_2728_right, chr1_32393_core, chr2_12977_left, chr3_3174_left, chr3_281_core, chr11_6465_right, chr11_6443_left, chr7_11606_core, chr5_11307_left
76     | GTR+G      | 621        | 6123db821c4d8acfb240430361c77e70 | chr1_23645_right, chr3_2614_left, chr7_11606_right, chr14_3754_right, chr4_17431_left, chr15_2007_left, chr6_7961_left, chr11_3326_right
77     | GTR+G      | 660        | 1662685bc5ef2df052d5f6de6e1371bf | chr5_10117_core, chr2_24807_core, chr2_18630_left, chr3_8260_core, chr8_7531_left, chr2_23651_core, chr2_6336_core, chr14_3108_right, chrz_7824_core
78     | GTR+G      | 1253       | 1f7d1ca11e74efe3c58d45b4411dc9ab | chr1_29333_core, chr11_4858_left, chrun_random_3551_core, chr12_3566_core, chr6_8823_left, chr3_21776_left, chr1_28752_core, chr7_2669_left, chrz_11555_left, chr1_12757_core, chr3_17806_core, chr1_14389_left, chr2_25995_core, chr3_21547_right, chr3_3158_core, chr6_10028_core
79     | GTR+G      | 1246       | 5461067bd3902c9d97c85734b59dbea8 | chr3_21776_core, chr3_5476_all, chr9_2502_all                                                       
80     | GTR+G      | 2788       | 30466a444deff6876e83f1b3baada78f | chr18_2706_right, chr3_292_left, chr17_2965_left, chr5_11146_right, chr4_12739_core, chr13_696_right, chr3_21776_right, chr3_17498_all, chr2_9158_left, chr1_12757_right, chr2_22050_core, chr2_24910_right, chr3_5845_right, chr7_10675_left, chr3_9719_left, chr7_4601_left, chr5_10096_right, chr2_18608_right, chr20_1656_left
81     | GTR+G      | 492        | 7ab59ee3ba93a0e51b780268ed34296d | chr9_7150_left, chr20_1611_left, chr11_3326_left, chr1_1362_left, chr2_30193_right, chrz_6778_left  
82     | GTR+G      | 772        | 855b7281b5ca5afd5bd8bc97cafb3392 | chr4_18946_left, chr10_5708_core, chr6_3226_right, chr1_9746_right, chr3_19987_right, chr26_2766_core, chrz_6778_core, chr8_707_right, chr11_6465_core, chr4_8915_right, chrz_7924_right, chr1_27635_core
83     | GTR+G      | 757        | ea8809ed1f76833602a3b3f401466c0a | chr1_31095_right, chr7_1370_core, chr5_11304_left, chr2_7393_core, chrz_14545_core, chr9_7148_core, chr2_24662_left, chr3_17438_core
84     | GTR+G      | 1527       | 62d0a4323fa2e6514c6245066b3dbfe4 | chr3_7290_core, chr5_11304_core, chr7_6308_core, chr3_17583_right, chr22_189_right, chr6_9783_core, chr1_32309_right, chr1_32294_core, chr2_7970_right, chr7_2589_core, chr5_11286_core
85     | GTR+G      | 1037       | b0e31374b76b0eb09aa3d60ba8f57db9 | chr2_25807_right, chrz_11579_left, chr3_5768_right, chrz_7677_left, chr1_8428_left, chrz_4449_left, chr8_7951_left, chr5_11304_right, chr2_19349_right, chrz_12021_left, chr13_711_right, chr2_5401_left
