Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1.0, base = 0.0, model = 0.0, alpha = 0.0
rcluster-percent  : 10.0
rcluster-max      : 11450


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1225805.80298
Scheme AICc       : 2456024.44463
Number of params  : 2196
Number of sites   : 465241
Number of subsets : 218

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 597        | eb03c36417c0dbe53886890016b1f199 | chr10_2828, chr2_16467                                                                              
2      | GTR+G      | 1863       | b6be12bdb5fc62006110273be3694084 | chr4_7551, chr4_7278, chr10_4312, chr11_1410, chr5_10912                                            
3      | GTR+G      | 2192       | 7474fa77a2e846dcd0b0ad223b131a36 | chrz_9608, chr6_9776, chr13_2790, chr10_4575, chr3_1300                                             
4      | GTR+G      | 2634       | fabdebb93761a78dbc3e54f7e76a8568 | chr10_4660, chr10_4599, chrz_11650, chr8_3473, chr6_9822, chr3_24787, chr5_3386                     
5      | GTR+G      | 3117       | 752c34aac84aed42e0a08c6d3e2ea140 | chr1_5442, chr7_9143, chr1_32388, chr10_4748, chr2_12017, chr2_7976, chr1_32446                     
6      | GTR+G      | 2552       | b75a920e6977000fcd5bb8ea680a9581 | chr8_4125, chr10_5678, chr5_1055, chr2_17608, chr10_4758, chr17_2963                                
7      | GTR+G      | 448        | e08ac066e054e1fd66bf92e14c800f08 | chr10_4790                                                                                          
8      | GTR+G      | 2283       | e20ba3d1b743e5b9d388f7fbcae3d471 | chr23_16, chr1_31767, chr6_7241, chr4_17221, chr3_24903, chr10_5022, chr6_8584                      
9      | GTR+G      | 4115       | 9a9000ea2db1c64160371d9862daea4d | chr2_7954, chr5_10135, chr10_5708, chr6_3086, chr7_11479, chr11_4723, chr2_8786, chr12_5678, chr5_11231, chr2_21320, chr2_21462
10     | GTR+G      | 3611       | 936badc7ba9286107ea8fabc715eb5c4 | chr10_5739, chr2_7963, chr14_3723, chr6_3257, chr5_11772, chr9_7189, chr3_764, chr9_5218, chrz_13094
11     | GTR+G      | 3017       | 5248956ea257bc37a227c2288a6e39f9 | chr2_14269, chr6_3228, chr11_1600, chr3_7244, chr5_14389, chrz_8059, chrz_4746, chr14_715           
12     | GTR+G      | 4160       | 6a6c7cd3b69de65ca855a64aecd9e103 | chr7_1412, chr3_5494, chr11_6443, chr3_5924, chr6_3276, chr1_5316, chrz_6800, chr2_11732, chrz_3524, chr2_26684, chr11_1757
13     | GTR+G      | 3127       | aa91b650ab3838e82f2cfd0e8bc90c7b | chr2_8747, chr2_23600, chr2_4311, chr1_14909, chr9_5129, chr11_1787, chrz_7426, chr1_32389          
14     | GTR+G      | 4159       | 64bee113b4ce477b5ee1748c70cf00e9 | chr8_4260, chr4_2456, chr1_5333, chr11_1962, chr1_5322, chr3_17832, chr5_3213, chr6_10013, chrz_8179, chrz_14313
15     | GTR+G      | 2107       | df050da52ca9d1cb75e7185b7a7d630b | chr2_6754, chr2_22041, chr11_1999, chr3_14143, chrz_14552                                           
16     | GTR+G      | 1661       | 4eef8a999930118ed15350776e70ea13 | chr3_3073, chr7_9558, chr11_2599, chr2_13491                                                        
17     | GTR+G      | 1823       | 0cf421a7cad550767e83a1a333943ddc | chr1_32216, chr11_3108, chr2_23548, chr7_11467                                                      
18     | GTR+G      | 5926       | 8786171208e2511dcfee4b28c2628a80 | chr5_2978, chr5_11657, chr6_4118, chr11_3186, chr2_25860, chrz_8694, chr7_10520, chr13_710, chr5_1918, chr5_1800, chr7_10849, chr5_11797, chr3_9749, chr5_11656
19     | GTR+G      | 1972       | 9bdb4b58be905e15b2d17f619def6101 | chr2_23192, chr6_9746, chr9_3537, chr11_3190                                                        
20     | GTR+G      | 3413       | ceaf32078d9d808b7f99ca344b5a7626 | chrz_14545, chr4_19912, chr3_509, chr7_10870, chr7_10353, chr1_29841, chr6_4403, chr1_5492, chr11_3231
21     | GTR+G      | 2842       | 7f4db1e8dec6e6c7047f5cd118463108 | chr4_17640, chr2_13027, chr14_3774, chrz_11477, chr11_3232, chr6_4409, chr4_13330                   
22     | GTR+G      | 3473       | c4adb135e013cc3be05b6e1b4b48e1b1 | chr9_6291, chr2_20139, chr7_1380, chr7_4777, chr6_9632, chr11_3250, chr5_3290, chr2_6336, chr4_10540, chr17_3013
23     | GTR+G      | 1692       | f44ddcd8b7213518608ead983c594e0f | chr11_3287, chr1_32429, chr3_5834, chr12_5983                                                       
24     | GTR+G      | 1924       | c56bf14f15a9ffec49df9f7cf8ca870f | chr11_3318, chr11_3508, chr1_32247, chr13_720, chr1_5301                                            
